"";"X.rts_a";"X.rts_i"
"con";3,5653;-3,5653
"pro_per";99,1902;-99,1902
"aux";-37,1306;37,1306
"adv_sup";13,0451;-13,0451
"adj";-23,217;23,217
"nr";-11,0661;11,0661
"ver";-69,6655;69,6655
"art_ind";-29,7339;29,7339
"ono";19,2706;-19,2706
"ver_sup";1,6985;-1,6985
"nom";-76,9372;76,9372
"pre";-33,0193;33,0193
"art_def";-20,5478;20,5478
"nom_sup";Inf;-Inf
"num";-6,8621;6,8621
"adj_ind";-1,3781;1,3781
"pro_rel";0,3728;-0,3728
"pro_ind";7,7156;-7,7156
"adj_dem";-5,826;5,826
"pro_dem";52,3463;-52,3463
"adj_pos";12,98;-12,98
"adj_num";-26,3715;26,3715
"adv";-27,6411;27,6411
"adj_int";13,4048;-13,4048
"adj_sup";1,1843;-1,1843
"pro_pos";0,5561;-0,5561
