"";"X.rts_a";"X.rts_i"
"con";29,7;24,56
"pro_per";33,28;14,55
"aux";23,95;35,9
"adv_sup";27,29;17,15
"adj";50,34;67,36
"nr";172,64;161,54
"ver";58,9;83,14
"art_ind";26,92;40,75
"ono";4,3;1,41
"pro_rel";10,7;9,1
"pre";113,12;139,11
"adj_dem";4,24;5,33
"nom";173,89;227,47
"nom_sup";117,86;6,42
"art_def";85,4;101,73
"num";18,81;24,59
"pro_dem";12,53;5,56
"ver_sup";7,82;5,12
"adj_pos";12,55;8,91
"adv";3,99;8,12
"pro_ind";6,71;4,03
"adj_ind";3,07;3,31
"adj_int";0,74;0,13
"adj_sup";0,25;0,16
"adj_num";0,95;4,54
"pro_pos";0,06;0
