"";"banalfreq";"X.rts_a";"X.rts_i"
"être";3812;-1,5501;1,5501
"vivant";23;0,9291;-0,9291
"prendre";153;0,5121;-0,5121
"certains";83;0,542;-0,542
"voir";141;-0,784;0,784
"le";4567;-0,3119;0,3119
"passage";30;0,9612;-0,9612
"supplémentaire";33;-0,9444;0,9444
"rappeler";50;-0,5222;0,5222
"un";2372;0,5016;-0,5016
"certain";19;-0,2357;0,2357
"et";3861;0,7568;-0,7568
"souhaiter";35;-0,3272;0,3272
"pour";2175;0,9853;-0,9853
"fin";142;-0,3729;0,3729
"cours";70;-0,9219;0,9219
"enfant";144;1,5086;-1,5086
"s";691;-1,591;1,591
"avec";895;0,4558;-0,4558
"cadeau";25;1,4609;-1,4609
"noël";107;0,8658;-0,8658
"cela";65;-0,5405;0,5405
"tradition";27;0,4063;-0,4063
"oui";17;1,6884;-1,6884
"parfois";30;1,6666;-1,6666
"arriver";41;-0,3735;0,3735
"père";25;1,0813;-1,0813
"retour";71;0,5174;-0,5174
"échange";20;-0,4939;0,4939
"où";132;-0,8066;0,8066
"t";79;1,0329;-1,0329
"déplacer";10;0,4094;-0,4094
"passer";149;1,6445;-1,6445
"autant";25;0,3081;-0,3081
"propos";12;0,2852;-0,2852
"du";1883;0,4163;-0,4163
"heure";148;1,8948;-1,8948
"enfance";10;1,9621;-1,9621
"reportage";41;1,949;-1,949
"marquer";84;-1,9205;1,9205
"savoir";170;0,2904;-0,2904
"expliquer";89;-1,3006;1,3006
"conserver";23;-1,6302;1,6302
"vidéo";50;-0,366;0,366
"patrimoine";22;-0,9831;0,9831
"unique";32;-0,3841;0,3841
"en";3163;0,6843;-0,6843
"vouloir";91;1,6702;-1,6702
"écrire";34;-1,9576;1,9576
"commentaire";13;0,8492;-0,8492
"idée";33;0,5201;-0,5201
"grâce";93;-0,3066;0,3066
"trouver";89;1,8038;-1,8038
"emji_sapin_de_noël";16;-0,9997;0,9997
"partir";122;0,5295;-0,5295
"recherche";45;-1,3369;1,3369
"musical";25;0,7632;-0,7632
"compagnie";29;1,0454;-1,0454
"version";18;0,4321;-0,4321
"long";54;0,5183;-0,5183
"ces";408;-1,8642;1,8642
"sur";1334;0,7594;-0,7594
"play";38;-0,9127;0,9127
"lien";208;0,6302;-0,6302
"bio";197;1,1597;-1,1597
"écouter";21;1,1312;-1,1312
"beauté";18;1,0788;-1,0788
"espace";33;-1,3436;1,3436
"2";131;-1,9981;1,9981
"saison";72;-0,3422;0,3422
"pull";10;1,3035;-1,3035
"officiellement";22;0,443;-0,443
"lancer";94;0,4726;-0,4726
"proposer";77;0,9364;-0,9364
"meilleur";66;0,8896;-0,8896
"modifier";15;-0,4951;0,4951
"250";12;-0,663;0,663
"200";32;-1,2707;1,2707
"h";32;-1,2707;1,2707
"piste";42;1,4925;-1,4925
"kilomètre";28;-0,2463;0,2463
"harry";12;-0,3175;0,3175
"chat";37;1,6414;-1,6414
"idéal";16;-0,5592;0,5592
"devenir";122;-0,341;0,341
"véritable";30;0,6867;-0,6867
"emji_notes_de_musique";22;0,2521;-0,2521
"créer";78;-1,0432;1,0432
"thomas";21;0,2887;-0,2887
"grand";234;1,038;-1,038
"succès";69;-1,3986;1,3986
"composer";15;-0,4951;0,4951
"initialement";20;-1,3551;1,3551
"station";40;-0,5105;0,5105
"conquérir";10;0,4094;-0,4094
