"";"X.rts_a";"X.rts_i"
"si";7,8984;-7,8984
"je";12,9484;-12,9484
"être";-1,5501;1,5501
"toujours";11,7176;-11,7176
"vivant";0,9291;-0,9291
",";-4,4129;4,4129
"prendre";0,5121;-0,5121
"une";-8,2465;8,2465
"bon";27,4932;-27,4932
".";186,3643;-186,3643
"falloir";12,6031;-12,6031
"il";13,7207;-13,7207
"avoir";-42,8697;42,8697
"peur";3,2149;-3,2149
"de";-4,9945;4,9945
"l";-4,9066;4,9066
"an";6,1655;-6,1655
"2000";2,93;-2,93
"?";186,7064;-186,7064
"certains";0,542;-0,542
"ne";12,5883;-12,5883
"y";19,0955;-19,0955
"voir";-0,784;0,784
"que";-2,1227;2,1227
"le";-0,3119;0,3119
"passage";0,9612;-0,9612
"d";-4,5122;4,5122
"année";4,5949;-4,5949
"supplémentaire";-0,9444;0,9444
"autres";9,58;-9,58
"nous";18,9953;-18,9953
"rappeler";-0,5222;0,5222
"les";-2,0137;2,0137
"un";0,5016;-0,5016
"certain";-0,2357;0,2357
"htag_rtsarchives";Inf;-Inf
"htag_rtsxarchives";32,0262;-32,0262
"et";0,7568;-0,7568
"vous";141,1316;-141,1316
"souhaiter";-0,3272;0,3272
"pour";0,9853;-0,9853
"cette";-6,599;6,599
"fin";-0,3729;0,3729
"fromage";2,4943;-2,4943
"souvenir";16,2686;-16,2686
"dans";4,3813;-4,3813
"cours";-0,9219;0,9219
"des";-24,2621;24,2621
"80";7,6333;-7,6333
"enfant";1,5086;-1,5086
"s";-1,591;1,591
"se";4,361;-4,361
"avec";0,4558;-0,4558
"plaisir";7,7475;-7,7475
"htag_80s";39,8723;-39,8723
"cadeau";1,4609;-1,4609
"noël";0,8658;-0,8658
"pas";29,7649;-29,7649
"cela";-0,5405;0,5405
"faire";10,5825;-10,5825
"partie";-2,413;2,413
"la";-5,9949;5,9949
"tradition";0,4063;-0,4063
"!";125,3045;-125,3045
"oui";1,6884;-1,6884
"parfois";1,6666;-1,6666
"arriver";-0,3735;0,3735
"père";1,0813;-1,0813
"tromper";2,9129;-2,9129
"c";73,2255;-73,2255
"retour";0,5174;-0,5174
"échange";-0,4939;0,4939
"htag_noel";14,39;-14,39
"où";-0,8066;0,8066
"t";1,0329;-1,0329
"comment";9,7924;-9,7924
"déplacer";0,4094;-0,4094
"aller";3,1577;-3,1577
"passer";1,6445;-1,6445
"autant";0,3081;-0,3081
"réponse";3,1402;-3,1402
"à";-5,0028;5,0028
"propos";0,2852;-0,2852
"du";0,4163;-0,4163
"classe";3,2149;-3,2149
"suisse";9,2644;-9,2644
"romand";7,664;-7,664
"htag_christmas";9,1484;-9,1484
"000";-5,3884;5,3884
"heure";1,8948;-1,8948
"mémoire";2,592;-2,592
"émission";48,1811;-48,1811
"votre";17,7345;-17,7345
"enfance";1,9621;-1,9621
"ou";5,6232;-5,6232
"reportage";1,949;-1,949
"qui";4,2067;-4,2067
"marquer";-1,9205;1,9205
"région";-2,5569;2,5569
"mais";2,4542;-2,4542
"savoir";0,2904;-0,2904
"on";41,4488;-41,4488
"expliquer";-1,3006;1,3006
"tout";9,4671;-9,4671
"conserver";-1,6302;1,6302
"plus";-4,2596;4,2596
"archive";49,2125;-49,2125
"vidéo";-0,366;0,366
"patrimoine";-0,9831;0,9831
"unique";-0,3841;0,3841
"en";0,6843;-0,6843
"lui";3,6926;-3,6926
"vie";12,0129;-12,0129
"tu";2,3111;-2,3111
"vouloir";1,6702;-1,6702
"écrire";-1,9576;1,9576
"commentaire";0,8492;-0,8492
"htag_archives";50,3355;-50,3355
"soigner";2,1403;-2,1403
"ses";2,565;-2,565
"idée";0,5201;-0,5201
"masculin";3,0608;-3,0608
"grâce";-0,3066;0,3066
"mon";7,0127;-7,0127
"oeil";2,6193;-2,6193
"trouver";1,8038;-1,8038
"quoi";22,957;-22,957
"sapin";3,7649;-3,7649
"bonheur";3,0186;-3,0186
"vos";13,1349;-13,1349
"proche";-3,2087;3,2087
"emji_sapin_de_noël";-0,9997;0,9997
"partir";0,5295;-0,5295
"recherche";-1,3369;1,3369
"musical";0,7632;-0,7632
"rts";-8,0785;8,0785
"compagnie";1,0454;-1,0454
"user_utilisateurice";84,1479;-84,1479
"retrouver";22,7717;-22,7717
"version";0,4321;-0,4321
"long";0,5183;-0,5183
"ces";-1,8642;1,8642
"sur";0,7594;-0,7594
"play";-0,9127;0,9127
"lien";0,6302;-0,6302
"bio";1,1597;-1,1597
"écouter";1,1312;-1,1312
":";5,9502;-5,9502
"beauté";1,0788;-1,0788
"espace";-1,3436;1,3436
"2";-1,9981;1,9981
"saison";-0,3422;0,3422
"pull";1,3035;-1,3035
"officiellement";0,443;-0,443
"lancer";0,4726;-0,4726
"fêter";3,3196;-3,3196
"ça";33,2683;-33,2683
"proposer";0,9364;-0,9364
"meilleur";0,8896;-0,8896
"pire";2,3178;-2,3178
"nos";4,2835;-4,2835
"htag_fashion";13,1187;-13,1187
"htag_look";13,1187;-13,1187
"modifier";-0,4951;0,4951
"250";-0,663;0,663
"courage";2,7751;-2,7751
"recette";4,1678;-4,1678
"atteindre";-3,0929;3,0929
"près_de";-4,0082;4,0082
"200";-1,2707;1,2707
"km";-2,1992;2,1992
"h";-1,2707;1,2707
"piste";1,4925;-1,4925
"kilomètre";-0,2463;0,2463
"htag_rtssportxarchives";8,4949;-8,4949
"htag_neige";9,9559;-9,9559
"budget";-2,0438;2,0438
"harry";-0,3175;0,3175
"chat";1,6414;-1,6414
"quand";17,2671;-17,2671
"idéal";-0,5592;0,5592
"devenir";-0,341;0,341
"véritable";0,6867;-0,6867
"emji_notes_de_musique";0,2521;-0,2521
"danse";7,9161;-7,9161
"créer";-1,0432;1,0432
"par";-23,6981;23,6981
"thomas";0,2887;-0,2887
"grand";1,038;-1,038
"succès";-1,3986;1,3986
"international";-2,1103;2,1103
"composer";-0,4951;0,4951
"initialement";-1,3551;1,3551
"station";-0,5105;0,5105
"chanson";3,1918;-3,1918
"conquérir";0,4094;-0,4094
"monde";0,8582;-0,8582
"40";1,0443;-1,0443
"pays";-2,3412;2,3412
"son";2,3064;-2,3064
"commencer";1,6879;-1,6879
"1970";8,8799;-8,8799
"au";-0,6242;0,6242
"producteur";-0,4951;0,4951
"louis";-0,2144;0,2144
"transformer";-1,2933;1,2933
"connaître";0,648;-0,648
"sa";-0,442;0,442
"traverser";-0,5499;0,5499
"décennie";0,4063;-0,4063
"continuer";-2,7317;2,7317
"séduire";-0,2483;0,2483
"jeune";9,097;-9,097
"public";-1,0901;1,0901
"notamment";-10,0597;10,0597
"plateformes";-1,3551;1,3551
"streaming";-0,8285;0,8285
"tiktok";-0,9997;0,9997
"50";-0,3913;0,3913
"million";-15,5783;15,5783
"exemplaire";-0,745;0,745
"vendre";-1,0589;1,0589
"environ";-4,9763;4,9763
"400";-0,9997;0,9997
"différent";-0,3883;0,3883
"rester";-3,4074;3,4074
"référence";-1,1755;1,1755
"incontournable";2,0801;-2,0801
"fête";15,023;-15,023
"populaire";-1,128;1,128
"aux";-0,7868;0,7868
"dernier";-6,6329;6,6329
"nouveau";-4,1154;4,1154
"aujourd_hui";4,351;-4,351
"âgé";0,3065;-0,3065
"profiter";2,4148;-2,4148
"retraite";0,9612;-0,9612
"oeuvre";-0,9433;0,9433
"emji_main_qui_écrit_peau_moyennement_claire";-0,4951;0,4951
"rtsinfo";-40,2184;40,2184
"emji_appareil_photo";-59,9932;59,9932
"srf";-0,6255;0,6255
"lionel";-0,3175;0,3175
"alors";1,9133;-1,9133
"approcher";-0,2357;0,2357
"voici";11,66;-11,66
"tessinoise";-0,5829;0,5829
"base";-1,2002;1,2002
"découvrir";4,2835;-4,2835
"via";-6,0375;6,0375
"notre";9,8512;-9,8512
"htag_instafood";13,7231;-13,7231
"emji_skieur";-0,8285;0,8285
"emji_drapeau_suisse";-24,542;24,542
"décembre";-3,3916;3,3916
"chute";-1,1988;1,1988
"val";3,0944;-3,0944
"obliger";0,4908;-0,4908
"arrêter";0,4417;-0,4417
"carrière";0,9072;-0,9072
"qu";7,7038;-7,7038
"sommet";-0,5592;0,5592
"te";0,8685;-0,8685
"raconter";9,8058;-9,8058
"histoire";2,9831;-2,9831
"image";0,7502;-0,7502
"terminer";-0,5933;0,5933
"âge";2,9157;-2,9157
"24";2,077;-2,077
"champion";2,3111;-2,3111
"ski";4,7824;-4,7824
"feu";0,7385;-0,7385
