"";"banalfreq";"X.rts_a";"X.rts_i"
"nyon";11;1,3547;-1,3547
"inviter";20;1,0402;-1,0402
"plonger";13;0,296;-0,296
"programme";21;0,6054;-0,6054
"événement";29;0,4748;-0,4748
"quotidien";25;0,896;-0,896
"personnalité";10;-0,4989;0,4989
"actuel";14;-1,0585;1,0585
"théâtre";10;-0,4989;0,4989
"19";19;-1,8871;1,8871
"inscrire";14;-0,6689;0,6689
"seul";24;0,522;-0,522
"montrer";31;-0,7956;0,7956
"ouvrier";12;0,3889;-0,3889
"exprimer";18;-0,3284;0,3284
"fort";32;-0,8919;0,8919
"époux";12;-0,228;0,228
"20";53;-1,9752;1,9752
"jour";101;-1,213;1,213
"encore";62;1,9748;-1,9748
"réaliser";19;-0,6398;0,6398
"moment";23;0,6227;-0,6227
"emji_feu";13;-1,4119;1,4119
"donner";30;1,3721;-1,3721
"dossier";16;-0,358;0,358
"ordre";12;-0,228;0,228
"occuper";15;1,2693;-1,2693
"commun";23;0,2599;-0,2599
"apprendre";16;0,7011;-0,7011
"poser";11;0,5096;-0,5096
"mort";53;-1,9752;1,9752
"médecin";15;0,3231;-0,3231
"terre";19;1,6711;-1,6711
"compter";12;-0,228;0,228
"spécial";22;0,7406;-0,7406
"innovation";15;1,2693;-1,2693
"solution";18;0,714;-0,714
"raclette";11;0,5096;-0,5096
"présent";24;1,394;-1,394
"pendant";26;-0,2471;0,2471
"parmi";27;-0,9275;0,9275
"froid";30;1,737;-1,737
"règle";15;-0,28;0,28
"manquer";25;0,6396;-0,6396
"femme";119;1,6149;-1,6149
"logement";11;-0,3386;0,3386
"développer";10;-0,2486;0,2486
"appeler";26;1,0474;-1,0474
"sensible";10;1,1097;-1,1097
"maison";25;1,2092;-1,2092
"entier";13;0,8614;-0,8614
"compte";30;0,5768;-0,5768
"soir";36;-1,3182;1,3182
"civil";21;-0,8616;0,8616
"personnage";10;0,6677;-0,6677
"25";24;-1,6571;1,6571
"nom";16;-0,358;0,358
"exister";14;1,5396;-1,5396
"2000";21;1,6341;-1,6341
"école";43;1,8447;-1,8447
"retourner";10;0,6677;-0,6677
"élève";16;0,2506;-0,2506
"traditionnel";16;-0,358;0,358
"sous";62;-0,6512;0,6512
"ouvrir";36;-0,7782;0,7782
"alcool";15;1,785;-1,785
"domaine";11;-1,697;1,697
"famille";46;0,4015;-0,4015
"devant";28;1,3767;-1,3767
"caméra";13;1,875;-1,875
"fils";11;0,8656;-0,8656
"là";15;1,2693;-1,2693
"âge";45;1,8386;-1,8386
"objectif";15;-1,2151;1,2151
"record";32;-1,5236;1,5236
"personnel";12;-0,7636;0,7636
"forme";13;-0,5499;0,5499
"lapin";10;1,1097;-1,1097
"part";16;-0,5964;0,5964
"poste";34;-1,7883;1,7883
"animal";50;-0,2842;0,2842
"voir";55;0,3046;-0,3046
"chaque";46;-1,2158;1,2158
"émotion";15;1,2693;-1,2693
"parole";11;0,5096;-0,5096
"manière";16;0,4385;-0,4385
"eux";14;1,0593;-1,0593
"30";48;0,3038;-0,3038
"changer";20;1,0402;-1,0402
"scène";13;-0,5499;0,5499
"travailler";16;0,7011;-0,7011
"tour";37;0,3923;-0,3923
"adolescent";22;0,7406;-0,7406
"acteur";27;0,4557;-0,4557
"décéder";16;-0,929;0,929
"film";28;0,2476;-0,2476
"philippe";14;0,4147;-0,4147
"22";22;-0,2821;0,2821
"début";45;-0,2701;0,2701
"effet";25;-1,81;1,81
"déjà";59;0,4394;-0,4394
"citoyen";17;-0,709;0,709
"représentant";11;-0,3386;0,3386
"défendre";11;-0,6269;0,6269
"menacer";16;-1,3767;1,3767
"entendre";11;0,5096;-0,5096
"avenir";15;-0,4911;0,4911
"affaire";32;-1,9307;1,9307
"4";37;-1,7931;1,7931
"500";11;-1,697;1,697
"pilote";17;0,3482;-0,3482
"18";24;-1,6571;1,6571
"armée";38;0,4737;-0,4737
"porte";18;-0,5385;0,5385
"répondre";21;0,3942;-0,3942
"document";15;0,862;-0,862
"achat";11;-1,0613;1,0613
"présenter";45;-0,2701;0,2701
"100";27;-0,3017;0,3017
"gagner";11;0,8656;-0,8656
"elles";39;-0,3158;0,3158
"travailleur";12;-0,7636;0,7636
"13";24;-1,2353;1,2353
"17";17;-1,5429;1,5429
"journaliste";27;0,9057;-0,9057
"choisir";25;0,6396;-0,6396
"matin";41;0,3028;-0,3028
"préparer";14;0,4147;-0,4147
"avant";72;0,7324;-0,7324
"star";12;0,3889;-0,3889
"puis";13;0,8614;-0,8614
"dizaine";11;-1,0613;1,0613
"art";34;0,4386;-0,4386
"légendaire";12;1,0783;-1,0783
"bas";15;-0,28;0,28
"faux";16;-0,929;0,929
"éviter";22;-0,2821;0,2821
"certains";35;0,9481;-0,9481
"tête";28;1,0527;-1,0527
"durant";34;-0,3003;0,3003
"60";28;1,3767;-1,3767
"revenir";38;-0,7303;0,7303
"lieu";31;-1,3965;1,3965
"or";17;0,5693;-0,5693
"bord";12;-0,228;0,228
"travail";59;-0,6195;0,6195
"garantir";11;0,2665;-0,2665
"malade";10;0,6677;-0,6677
"presque";13;0,296;-0,296
"porter";23;-0,3465;0,3465
"couper";44;-0,8014;0,8014
"génération";17;0,8657;-0,8657
"policier";18;-0,8284;0,8284
"vaudois";57;0,4249;-0,4249
"accueillir";27;-1,2529;1,2529
"haut";33;0,3569;-0,3569
"couleur";13;0,5305;-0,5305
"pierre";11;0,8656;-0,8656
"vert";22;-0,4513;0,4513
"geste";12;-0,4394;0,4394
"coeur";24;1,0433;-1,0433
"saint";34;-0,3003;0,3003
"journée";46;1,6776;-1,6776
"lever";15;1,2693;-1,2693
"passage";17;0,5693;-0,5693
"8";30;-0,9601;0,9601
"habitant";27;-1,2529;1,2529
"participer";25;-1,0094;1,0094
"concours";19;1,2301;-1,2301
"artiste";33;-1,295;1,295
"plage";12;1,6103;-1,6103
"tenter";13;0,296;-0,296
"chaussure";10;1,7159;-1,7159
"témoigner";19;1,2301;-1,2301
"changement";21;-0,8616;0,8616
"village";29;0,6723;-0,6723
"santé";57;-1,4979;1,4979
"70";22;1,0408;-1,0408
"frère";10;-0,4989;0,4989
"carte";20;0,2986;-0,2986
"terminer";10;-0,4989;0,4989
"revoir";11;0,5096;-0,5096
"final";16;-0,929;0,929
"féminin";15;0,862;-0,862
"café";14;1,0593;-1,0593
"pain";14;1,0593;-1,0593
"difficile";21;0,3942;-0,3942
"cas";32;-0,6559;0,6559
"chaud";11;-0,3386;0,3386
"new";16;-0,5964;0,5964
"york";13;-0,5499;0,5499
"fois";46;-0,4327;0,4327
"marque";18;-1,7132;1,7132
"homme";79;1,2043;-1,2043
"tell";10;1,7159;-1,7159
"sentiment";10;-0,2486;0,2486
"fermer";22;-1,8385;1,8385
"montreux";13;1,875;-1,875
"installer";21;0,3942;-0,3942
"amateur";14;0,2244;-0,2244
"juin";19;0,3718;-0,3718
"aucun";12;-0,4394;0,4394
"ici";21;-0,3739;0,3739
"départ";15;-0,4911;0,4911
"stress";12;0,6775;-0,6775
"10";39;-1,3424;1,3424
"beaucoup";19;1,2301;-1,2301
"surtout";19;0,8714;-0,8714
"28";10;-1,4918;1,4918
"chaîne";13;-0,9078;0,9078
"milieu";19;0,5876;-0,5876
"scolaire";13;0,5305;-0,5305
"bois";15;0,862;-0,862
"besoin";14;-1,594;1,594
"pied";13;0,8614;-0,8614
"non";44;-1,0256;1,0256
"26";12;-1,905;1,905
"route";18;1,0424;-1,0424
"jouer";22;0,5025;-0,5025
"physique";15;0,5503;-0,5503
"important";26;-0,8215;0,8215
"sportif";14;0,6888;-0,6888
"édition";25;-1,0094;1,0094
"dérouler";11;-1,0613;1,0613
"toutes";25;0,896;-0,896
"celles";12;1,0783;-1,0783
"période";17;-1,0685;1,0685
"examen";10;0,6677;-0,6677
"réussir";14;1,0593;-1,0593
"soin";15;-0,7956;0,7956
"étudiant";14;-0,6689;0,6689
"sol";10;0,6677;-0,6677
"aider";14;-0,3941;0,3941
"jardin";13;1,3035;-1,3035
"position";12;-1,905;1,905
"tabac";19;1,6711;-1,6711
"expliquer";28;-1,7946;1,7946
"cacher";11;-0,3386;0,3386
"considérer";11;-1,697;1,697
"grave";15;-1,2151;1,2151
"21";10;-0,8943;0,8943
"vd";12;-1,905;1,905
"genevois";33;1,5358;-1,5358
"immense";10;0,6677;-0,6677
"naître";20;-0,3035;0,3035
"noir";13;-0,3061;0,3061
"vidéo";20;-1,5178;1,5178
"romands";21;0,8786;-0,8786
"roi";14;1,0593;-1,0593
"siècle";17;0,5693;-0,5693
"inspirer";16;-0,358;0,358
"9";18;-0,8284;0,8284
"nuit";40;-1,4554;1,4554
"printemps";15;1,2693;-1,2693
"tôt";12;-1,905;1,905
"poursuivre";12;-0,7636;0,7636
"7";24;-1,2353;1,2353
"maman";10;1,1097;-1,1097
"mère";12;1,6103;-1,6103
"total";10;-0,4989;0,4989
"abri";15;1,2693;-1,2693
"renoncer";11;-1,0613;1,0613
"mauvais";10;0,6677;-0,6677
"menace";11;-0,3386;0,3386
"amende";11;-1,0613;1,0613
"6";35;-1,9254;1,9254
"objet";15;-0,4911;0,4911
"12";26;-1,1289;1,1289
"club";14;1,5396;-1,5396
"emblématique";16;-0,929;0,929
"genevoise";16;0,2506;-0,2506
"comprendre";19;-0,2402;0,2402
"week_end";19;-1,3634;1,3634
"entraîner";16;-0,5964;0,5964
"arbre";11;0,5096;-0,5096
"choix";10;0,6677;-0,6677
"tempête";15;-0,7956;0,7956
"vent";12;-0,228;0,228
"violent";11;-1,0613;1,0613
"spectaculaire";10;-0,4989;0,4989
"pluie";16;0,4385;-0,4385
"pousser";14;0,2244;-0,2244
"problème";12;-0,228;0,228
"magasin";15;0,3231;-0,3231
"marché";18;-1,2135;1,2135
"boîte";12;0,6775;-0,6775
"possible";14;-0,3941;0,3941
"vente";22;-1,8385;1,8385
"32";10;-1,4918;1,4918
"exemple";12;-0,228;0,228
"comportement";10;-0,4989;0,4989
"voisin";10;0,6677;-0,6677
"français";49;-0,6141;0,6141
"organiser";21;-0,8616;0,8616
"24";30;1,3721;-1,3721
"unique";21;-1,2215;1,2215
"coup";17;0,3482;-0,3482
"delémont";10;-1,4918;1,4918
"espérer";12;-0,228;0,228
"14";22;-1,3625;1,3625
"droit";43;-0,7229;0,7229
"vote";17;-1,0685;1,0685
"chef";11;0,2665;-0,2665
"point";15;-0,28;0,28
"produire";19;-0,954;0,954
"domicile";13;-0,5499;0,5499
"ménage";14;1,0593;-1,0593
"90";18;1,0424;-1,0424
"aérien";15;-1,2151;1,2151
"au_dessus";11;-0,3386;0,3386
"véhicule";10;-0,4989;0,4989
"incroyable";11;0,5096;-0,5096
"voyageur";10;0,6677;-0,6677
"phénomène";24;-1,2353;1,2353
"air";16;1,0482;-1,0482
"particulier";11;0,8656;-0,8656
"chacun";11;1,3547;-1,3547
"adulte";12;-1,2341;1,2341
"réunir";22;-0,4513;0,4513
"défi";13;-0,3061;0,3061
"preuve";10;0,6677;-0,6677
"déclarer";16;-0,929;0,929
"plateforme";12;-1,905;1,905
"site";20;-1,5178;1,5178
"information";14;-0,6689;0,6689
"culture";14;-0,6689;0,6689
"évolution";17;-0,709;0,709
"laisser";30;1,3721;-1,3721
"étape";16;0,2506;-0,2506
"celui";14;1,0593;-1,0593
"tester";10;-1,4918;1,4918
"lorsqu";10;-0,4989;0,4989
"reconnaître";11;-0,6269;0,6269
"futur";16;-0,358;0,358
"fonds";17;-0,709;0,709
"lutte";13;-0,5499;0,5499
"neuchâtelois";10;0,3606;-0,3606
"soldat";16;1,4899;-1,4899
"sortie";14;0,2244;-0,2244
"militaire";15;-0,28;0,28
"juillet";12;0,3889;-0,3889
"malgré";29;-1,9434;1,9434
"banque";12;0,6775;-0,6775
"collection";10;-0,2486;0,2486
"allemand";15;-0,28;0,28
"accès";13;-1,4119;1,4119
"nouvel";19;-0,954;0,954
"conseiller";22;-1,8385;1,8385
"message";12;0,3889;-0,3889
"mars";13;-0,3061;0,3061
"glace";10;1,1097;-1,1097
"rouge";23;-0,3465;0,3465
"mal";16;-0,358;0,358
"aide";24;-1,2353;1,2353
"midi";15;-0,7956;0,7956
"remonter";14;0,2244;-0,2244
"électronique";11;-1,697;1,697
"moyen";13;0,296;-0,296
"internet";14;1,5396;-1,5396
"micro";10;0,6677;-0,6677
"annonce";26;-0,8215;0,8215
"place";55;-0,5289;0,5289
"ciel";10;0,3606;-0,3606
"rare";11;-0,6269;0,6269
"rappeler";11;1,3547;-1,3547
"agent";11;0,2665;-0,2665
"figure";20;-0,7477;0,7477
"appel";16;-0,929;0,929
"débuter";10;-1,4918;1,4918
"aventure";15;1,2693;-1,2693
"cave";10;-0,8943;0,8943
"transporter";10;-0,4989;0,4989
"importance";10;-1,4918;1,4918
"pourtant";15;1,2693;-1,2693
"reprendre";17;-0,709;0,709
"dévoiler";16;-1,3767;1,3767
"obtenir";12;-1,905;1,905
"étranger";14;-1,594;1,594
"célébrer";12;-0,4394;0,4394
"double";14;-0,6689;0,6689
"info";10;0,6677;-0,6677
"champignon";12;0,3889;-0,3889
"nu";11;0,8656;-0,8656
"interroger";18;-0,3284;0,3284
"professeur";12;0,3889;-0,3889
"série";14;0,2244;-0,2244
"complexe";11;-1,0613;1,0613
"origine";11;-1,0613;1,0613
"bernois";16;-1,9693;1,9693
"tourner";12;-0,228;0,228
"autour";22;0,3208;-0,3208
"victoire";19;-1,3634;1,3634
"technique";10;1,1097;-1,1097
"actualité";13;0,296;-0,296
"swiss";15;0,3231;-0,3231
"contrôle";12;-0,7636;0,7636
"olympique";11;1,3547;-1,3547
"lumière";11;-0,3386;0,3386
"championnat";14;1,0593;-1,0593
"autre";15;-1,78;1,78
"campagne";27;-1,2529;1,2529
"explorer";11;-1,697;1,697
"concevoir";12;-1,905;1,905
"droite";14;-1,594;1,594
"zurich";24;-1,6571;1,6571
"découverte";18;-0,8284;0,8284
"extrême";10;-0,8943;0,8943
"adopter";15;-0,7956;0,7956
"côté";15;0,3231;-0,3231
"dédier";12;-0,4394;0,4394
"comité";12;-1,905;1,905
"billet";23;-1,5078;1,5078
"célèbre";29;-1,9434;1,9434
"minute";23;-0,535;0,535
"prestigieux";10;-1,4918;1,4918
"susciter";23;-1,5078;1,5078
"débat";16;-0,929;0,929
"patient";12;-0,7636;0,7636
"direct";10;-0,8943;0,8943
"seulement";27;-1,6492;1,6492
"rejoindre";13;-0,3061;0,3061
"joueur";20;-0,4911;0,4911
"derrière";16;-0,5964;0,5964
"frapper";16;-1,9693;1,9693
"repas";12;1,0783;-1,0783
"sud";11;-1,697;1,697
"france";38;-1,5535;1,5535
"environnement";16;-0,5964;0,5964
"communauté";13;-0,5499;0,5499
"expérience";21;0,2386;-0,2386
"météo";10;1,1097;-1,1097
"salaire";10;-0,4989;0,4989
"argent";16;0,4385;-0,4385
"tendance";14;-1,0585;1,0585
"conflit";12;-1,905;1,905
"privé";13;-0,9078;0,9078
