"";"X.rts_a";"X.rts_i"
"si";10,949;-10,949
"je";16,2073;-16,2073
"être";-1,0502;1,0502
"toujours";9,0664;-9,0664
"vivant";0,3889;-0,3889
"prendre";0,3677;-0,3677
"une";-10,0968;10,0968
"bon";18,5023;-18,5023
"et";0,4402;-0,4402
"vous";74,219;-74,219
"que";0,4462;-0,4462
"souhaiter";0,5305;-0,5305
"pour";0,9537;-0,9537
"cette";-4,5145;4,5145
"fin";-0,6869;0,6869
"d";-4,3881;4,3881
"année";1,995;-1,995
"rtsarchives";Inf;-Inf
"le";-0,4086;0,4086
"fromage";3,6856;-3,6856
"souvenir";11,2574;-11,2574
"dans";1,9783;-1,9783
"les";-2,6236;2,6236
"cours";-0,4277;0,4277
"de";-11,7871;11,7871
"des";-26,9509;26,9509
"80";5,9757;-5,9757
"enfant";3,1132;-3,1132
"s";-0,744;0,744
"se";3,9281;-3,9281
"avec";0,4989;-0,4989
"plaisir";5,1517;-5,1517
"80s";19,5492;-19,5492
"cadeau";1,454;-1,454
"noël";0,2949;-0,2949
"ne";18,4027;-18,4027
"avoir";-39,549;39,549
"pas";33,8024;-33,8024
"cela";0,522;-0,522
"faire";8,7162;-8,7162
"partie";-2,8442;2,8442
"la";-4,9703;4,9703
"tradition";1,8486;-1,8486
"oui";1,7159;-1,7159
"parfois";1,454;-1,454
"il";15,6268;-15,6268
"arriver";-0,3739;0,3739
"père";0,7011;-0,7011
"c";51,3151;-51,3151
"retour";-0,284;0,284
"noel";8,4093;-8,4093
"où";-0,4017;0,4017
"t";2,0969;-2,0969
"comment";7,0763;-7,0763
"aller";1,3193;-1,3193
"passer";1,4916;-1,4916
"autant";0,6677;-0,6677
"réponse";2,3661;-2,3661
"à";-9,7505;9,7505
"du";-0,8411;0,8411
"classe";2,8678;-2,8678
"suisse";5,0903;-5,0903
"romand";4,5361;-4,5361
"rtsxarchives";13,3086;-13,3086
"christmas";3,2961;-3,2961
"000";-4,982;4,982
"heure";2,0024;-2,0024
"soigner";0,8656;-0,8656
"ses";2,5127;-2,5127
"en";1,6545;-1,6545
"idée";1,3035;-1,3035
"masculin";2,5368;-2,5368
"grâce";-1,1216;1,1216
"l";-4,0144;4,0144
"émission";26,7787;-26,7787
"mon";6,481;-6,481
"oeil";2,6034;-2,6034
"trouver";4,3217;-4,3217
"quoi";12,9184;-12,9184
"votre";9,529;-9,529
"sapin";1,7159;-1,7159
"bonheur";3,2455;-3,2455
"vos";7,7023;-7,7023
"proche";-2,7534;2,7534
"emji_sapin_de_noël";-2,5427;2,5427
"partir";0,5968;-0,5968
"recherche";-1,6571;1,6571
"musical";0,3482;-0,3482
"rts";7,6385;-7,6385
"compagnie";0,8657;-0,8657
"retrouver";25,0982;-25,0982
"version";-0,3061;0,3061
"long";0,6227;-0,6227
"ces";-0,2749;0,2749
"sur";2,147;-2,147
"lien";10,788;-10,788
"bio";18,4869;-18,4869
"archive";56,523;-56,523
"beauté";1,3035;-1,3035
"espace";-1,2215;1,2215
"2";-1,2879;1,2879
"saison";-0,5101;0,5101
"officiellement";-0,5964;0,5964
"lancer";-0,5045;0,5045
"fêter";2,839;-2,839
"ça";20,312;-20,312
"on";30,8424;-30,8424
"proposer";0,54;-0,54
"meilleur";1,737;-1,737
"pire";1,0783;-1,0783
"nos";1,6818;-1,6818
"fashion";5,7708;-5,7708
"look";9,4739;-9,4739
"recette";3,6856;-3,6856
"atteindre";-4,1825;4,1825
"près_de";-4,5278;4,5278
