"";"X.rts_a";"X.rts_i"
"si";2,11;0,42
"je";1,7;0,07
"être";23,64;25,21
"toujours";1,63;0,3
"vivant";0,19;0,14
"prendre";1,1;1,03
"une";10,56;16,02
"bon";2,77;0,35
"et";25,52;25,09
"vous";7,76;0,28
"que";6,07;5,83
"souhaiter";0,22;0,14
"pour";15,21;14,1
"cette";2,89;4,76
"fin";0,88;1,1
"d";13,8;17,45
"année";3,52;2,55
"rtsarchives";28,6;0,02
"le";29,96;30,34
"fromage";0,57;0,09
"souvenir";1,07;0,02
"dans";11,85;10,05
"les";23,89;27,22
"cours";0,35;0,42
"de";55,13;67,56
"des";14,68;26,05
"80";0,97;0,16
"enfant";2,17;1,19
"s";3,96;4,43
"se";4,84;3,12
"avec";6,04;5,74
"plaisir";0,6;0,05
"80s";1,79;0,02
"cadeau";0,38;0,14
"noël";1,01;0,98
"ne";7,64;2,98
"avoir";13,11;26,82
"pas";7,92;1,9
"cela";0,38;0,28
"faire";5,25;2,55
"partie";0,22;0,73
"la";33,38;39,31
"tradition";0,47;0,16
"oui";0,25;0,05
"parfois";0,38;0,14
"il";8,3;3,72
"arriver";0,25;0,3
"père";0,28;0,16
"c";7,51;0,87
"retour";0,57;0,59
"noel";0,82;0,02
"où";0,69;0,77
"t";0,69;0,28
"comment";1,04;0,14
"aller";1,35;0,91
"passer";1,26;0,8
"autant";0,19;0,09
"réponse";0,66;0,23
"à";20,75;27,95
"du";12,16;13,07
"classe";0,31;0,02
"suisse";10,91;7,82
"romand";1,29;0,42
"rtsxarchives";1,13;0
"christmas";0,47;0,07
"000";0,38;1,31
"heure";1,45;0,84
"soigner";0,22;0,09
"ses";3,39;2,3
"en";21,41;19,28
"idée";0,28;0,09
"masculin";0,28;0,02
"grâce";0,53;0,84
"l";21,69;25,93
"émission";3,93;0,47
"mon";0,72;0,05
"oeil";0,35;0,05
"trouver";0,88;0,21
"quoi";1,48;0,09
"votre";1,29;0,14
"sapin";0,25;0,05
"bonheur";0,57;0,12
"vos";0,75;0,02
"proche";0,06;0,42
"emji_sapin_de_noël";0,03;0,33
"partir";0,94;0,77
"recherche";0,16;0,45
"musical";0,25;0,21
"rts";2,42;0,82
"compagnie";0,31;0,16
"retrouver";3,3;0,3
"version";0,16;0,19
"long";0,38;0,26
"ces";2,2;2,2
"sur";9,12;7,45
"lien";1,41;0,14
"bio";1,57;0
"archive";4,97;0,02
"beauté";0,28;0,09
"espace";0,16;0,37
"2";0,41;0,73
"saison";0,47;0,59
"officiellement";0,16;0,26
"lancer";0,69;0,82
"fêter";0,47;0,09
"ça";2,33;0,14
"on";4,84;0,66
"proposer";0,69;0,56
"meilleur";0,6;0,26
"pire";0,25;0,09
"nos";0,79;0,4
"fashion";0,72;0,07
"look";0,91;0,02
"recette";0,57;0,09
"atteindre";0,22;0,91
"près_de";0,28;1,08
"200";0,09;0,42
"km";0,09;0,35
"h";0,09;0,23
"piste";0,47;0,19
"kilomètre";0,19;0,16
"neige";0,97;0,37
"vitesse";0,19;0,14
"budget";0,09;0,4
"chat";0,66;0,28
"quand";1,51;0,12
"devenir";0,75;0,94
"un";15,69;16,98
"véritable";0,28;0,07
"jouet";0,38;0,05
"emji_notes_de_musique";0,13;0,35
"danse";0,97;0,12
"créer";0,35;0,66
"par";2,95;9,02
"plus";5,25;6,18
"grand";1,89;1,5
"succès";0,28;0,45
"international";0,35;0,7
"initialement";0,03;0,28
"animer";0,31;0,02
"station";0,22;0,35
"chanson";0,75;0,23
"monde";1,7;1,48
"40";0,63;0,4
"pays";0,75;1,34
"son";5,88;4,87
"commencer";0,47;0,3
"1970";0,57;0,09
"au";6,19;7,29
"qui";7,64;5,15
"transformer";0,06;0,26
"connaître";0,79;0,8
"sa";3,24;3,51
"traverser";0,09;0,19
"décennie";0,22;0,21
"continuer";0,13;0,26
"séduire";0,09;0,21
"jeune";2,7;1,12
"public";0,85;1,22
"notamment";0,19;1,29
"streaming";0,03;0,21
"50";0,44;0,61
"million";0,06;1,8
"environ";0,13;0,75
"400";0,03;0,23
"rester";0,47;0,94
"incontournable";0,25;0,07
"fête";1,54;0,26
"populaire";0,09;0,28
"aux";2,99;4,26
"dernier";0,47;1,52
"nouveau";0,5;1,43
"aujourd_hui";0,97;0,42
"âgé";0,31;0,42
"an";5,5;4,8
"profiter";0,35;0,14
"retraite";0,38;0,26
"oeuvre";0,19;0,28
"alors";1,26;0,7
"voici";0,82;0,07
"base";0,13;0,21
"découvrir";0,82;0,4
"via";0,31;0,26
"notre";1,79;0,49
"instafood";0,66;0
"emji_skieur";0,03;0,3
"emji_drapeau_suisse";0,22;7,15
"décembre";0,28;1,34
"chute";0,09;0,33
"val";0,31;0,12
"arrêter";0,31;0,23
"carrière";0,38;0,26
"qu";4,21;1,57
"te";0,22;0,09
"raconter";0,88;0,12
"histoire";0,75;0,4
"image";0,35;0,26
"ce";6,92;6,18
"penser";0,25;0,16
"garçon";0,35;0,07
"rue";0,72;0,16
"cheveu";0,28;0,05
"réaction";0,22;0,23
"1971";0,41;0
"3";0,5;0,98
"après";1,54;3,12
"mai";0,19;0,16
"1968";0,47;0,02
"microtrottoir";0,57;0
"jeunesse";0,94;0,07
"légende";0,25;0,16
"jurer";0,38;0,4
"y";3,39;0,94
"amour";1,79;0,12
"mais";2,89;1,78
"raison";0,16;0,54
"pari";0,31;0,42
"semaine";0,38;0,89
"énergie";0,22;0,12
"lundi";0,41;1,05
"repos";0,28;0,02
"léman";0,22;0,26
"hippie";0,35;0
"course";0,6;0,3
"tout";2,58;0,63
"beau";1,23;0,23
"rassembler";0,35;0,07
"vieux";0,38;0,14
"ville";0,63;0,98
"genève";1,57;2,08
"tu";0,63;0,09
"croire";0,35;0
"dieu";0,28;0,02
"ou";4,27;2,04
"fribourg";0,66;0,37
"vaud";0,63;0,37
"neuchâtel";0,22;0,42
"valoir";1,13;0,35
"question";1,1;0,3
"toute";0,79;0,45
"assurer";0,09;0,28
"ski";1,38;0,42
"rien";0,69;0,05
"mieux";1,07;0,05
"gare";0,22;0,26
"monsieur";0,63;0,02
"train";0,5;0,54
"cff";0,28;0,42
"introduire";0,06;0,19
"interdiction";0,16;0,16
"fumer";0,25;0,07
"leurs";0,91;1,1
"finir";0,28;0,09
"cigarette";0,38;0,14
"autres";2,36;0,68
"vraiment";0,38;0,16
"cuisine";0,5;0
"partager";0,66;0,37
"secret";0,63;0,07
"nombreux";0,88;0,56
"fan";0,41;0,26
"travers";0,25;0,26
"journal";0,44;0,12
"livre";0,22;0,19
"même";0,88;0,73
"personne";0,47;2,6
"jamais";0,57;0,16
"rencontrer";0,28;0,12
"complet";0,57;0,07
"drôle";0,38;0
"métier";0,69;0,05
"avis";0,57;0,12
"attendre";0,38;0,59
"insolite";0,47;0
"trop";0,91;0,09
"depuis";1,48;1,83
"transport";0,22;0,26
"adapter";0,13;0,23
"dire";1,16;0,23
"nous";2,86;0,47
"quelle";0,28;0,05
"tv";0,47;0,02
"tant";0,22;0,16
"emji_ballon_de_football";0,16;0,82
"16";0,22;0,52
"novembre";0,22;1,52
"affronter";0,19;0,09
"chez";0,66;0,7
"elle";2,2;1,9
"lors";0,72;1,34
"match";0,38;0,28
"mondial";0,35;1,15
"nati";0,19;0,14
"arrivée";0,16;0,26
"équipe";0,53;0,63
"aussi";1,35;0,52
"garder";0,19;0,26
"envers";0,13;0,14
"époque";0,35;0,07
"conseil";0,47;1,55
"sécurité";0,28;0,63
"onu";0,03;0,21
"voter";0,13;0,28
"plan";0,06;0,59
"paix";0,19;0,35
"donald";0,03;0,68
"trump";0,03;0,77
"gaza";0,06;0,94
"prévoir";0,13;0,94
"force";0,25;0,42
"mot";0,57;0,09
"bien";2,64;1,19
"manifestation";0,06;0,54
"récent";0,06;0,19
"cessez_le_feu";0,03;0,47
"guerre";0,25;0,49
"terme";0,13;0,23
"moins";0,6;1,29
"signe";0,19;0,09
"mouvement";0,19;0,23
"très";0,97;0,56
"lausannois";0,47;0,05
"tous";2,33;0,4
"salle";0,31;0
"eau";0,63;0,35
"leur";2,42;2,18
"ils";1,67;0,54
"rendre";0,41;0,7
"veille";0,22;0,09
"bain";0,25;0,19
"st";0,16;0,19
"lausanne";1,6;1,17
"pourquoi";0,66;0,19
"marier";0,28;0,12
"falloir";1,38;0,16
"salon";0,28;0,02
"mariage";0,31;0,05
"union";0,09;0,23
"lover";0,6;0,02
"vouloir";0,88;0,28
"association";0,09;0,49
"contre";0,75;1,73
"dénoncer";0,13;0,26
"voiture";1,29;0,23
"obligatoire";0,25;0,16
"selon";0,31;2,86
"lui";1,1;0,47
"société";0,31;0,28
"tuer";0,09;0,45
"petit";3,71;0,37
"feu";0,41;0,4
"liberté";0,53;0,23
"bientôt";0,13;0,19
"interdire";0,16;0,3
"individu";0,06;0,21
"sortir";0,44;0,47
"sans";1,76;1,15
"1";1,6;0,91
"entre";0,97;2,11
"parent";0,41;0,26
"soirée";0,47;0,14
"vivre";0,79;0,16
"rencontre";1,23;0,42
"suivre";0,91;0,49
"nyon";0,25;0,07
"temps";1,67;0,47
"projection";0,38;0,07
"inviter";0,38;0,19
"plonger";0,19;0,16
"programme";0,35;0,23
"regard";0,35;0,07
"événement";0,44;0,35
"quotidien";0,44;0,26
"portrait";0,5;0,02
"personnalité";0,09;0,16
"témoignage";0,44;0,12
