"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11"
"*postLikes_553";-0,091;-0,096;-0,093;-0,125;-0,09;-0,115;-0,093;-0,065;8,075;-0,1;-0,111
"*postReposts_2";-1,003;-0,168;-0,135;-0,618;-0,105;-0,003;2,654;0,018;0,166;-0,222;1,537
"*postDate_6-8-2025";-0,091;-0,096;-0,093;-0,125;-0,09;-0,115;-0,093;-0,065;8,075;-0,1;-0,111
"*a_0904";10,992;-0,096;-0,093;-0,125;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;-0,111
"*postLikes_148";10,992;-0,096;-0,093;-0,125;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;-0,111
"*postDate_4-8-2025";10,992;-0,096;-0,093;-0,125;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;-0,111
"*a_0903";-0,091;-0,096;-0,093;-0,125;-0,09;-0,115;-0,093;-0,065;8,075;-0,1;-0,111
"*postComments_18";-2,216;0,426;2,072;2,308;0;-0,103;-2,251;-0,156;0,054;-2,443;1,225
"*postDate_3-8-2025";-0,091;-0,096;-0,093;-0,125;-0,09;-0,115;-0,093;-0,065;8,075;-0,1;-0,111
"*a_0902";-0,091;-0,096;-0,093;7,978;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;-0,111
"*postLikes_10800";-0,182;-0,192;-0,187;3,053;-0,181;-0,23;-0,185;-0,13;-0,248;4,039;-0,221
"*postComments_113";-0,091;-0,096;-0,093;7,978;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;-0,111
"*postDate_1-8-2025";-0,091;-0,096;-0,093;7,978;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;-0,111
"*a_0901";-0,091;-0,096;10,741;-0,125;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;-0,111
"*postDate_30-7-2025";-0,091;-0,096;10,741;-0,125;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;-0,111
"*a_0900";10,992;-0,096;-0,093;-0,125;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;-0,111
"*postLikes_6300";0,091;0,063;0,078;-1,135;-0,817;1,389;-0,837;-0,586;0;0,043;1,52
"*postComments_148";10,992;-0,096;-0,093;-0,125;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;-0,111
"*postReposts_85";4,544;-0,192;-0,187;-0,251;4,587;-0,23;-0,185;-0,13;-0,248;-0,201;-0,221
"*postDate_29-7-2025";10,992;-0,096;-0,093;-0,125;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;-0,111
"*a_0899";0;0;0;0;0;0;0;0;0;0;0
"*postDate_28-7-2025";0;0;0;0;0;0;0;0;0;0;0
"*a_0898";-0,091;-0,096;-0,093;-0,125;-0,09;-0,115;-0,093;-0,065;8,075;-0,1;-0,111
"*postDate_27-7-2025";-0,091;-0,096;-0,093;-0,125;-0,09;-0,115;-0,093;-0,065;8,075;-0,1;-0,111
"*a_0897";0;0;0;0;0;0;0;0;0;0;0
"*postLikes_48900";0;0;0;0;0;0;0;0;0;0;0
"*postComments_618";0;0;0;0;0;0;0;0;0;0;0
"*postReposts_307";0;0;0;0;0;0;0;0;0;0;0
"*postDate_25-7-2025";0;0;0;0;0;0;0;0;0;0;0
"*a_0896";10,992;-0,096;-0,093;-0,125;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;-0,111
"*postDate_23-7-2025";10,992;-0,096;-0,093;-0,125;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;-0,111
"*a_0895";0;0;0;0;0;0;0;0;0;0;0
"*postLikes_7700";-0,456;0,793;0,847;-0,629;-0,453;-0,576;0,862;1,702;0,412;-0,503;-0,554
"*postDate_21-7-2025";0;0;0;0;0;0;0;0;0;0;0
"*a_0894";10,992;-0,096;-0,093;-0,125;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;-0,111
"*postLikes_2200";-0,555;-0,643;-0,592;-3,054;0;5,682;0,512;4,781;-1,168;4,033;-2,691
"*postComments_33";0,263;1,697;-0,154;-0,48;-0,13;-0,364;0,242;4,026;-2,128;-0,217;0,063
"*postDate_20-7-2025";10,992;-0,096;-0,093;-0,125;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;-0,111
"*a_0893";-0,091;-0,096;10,741;-0,125;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;-0,111
"*postLikes_777";-0,182;-0,192;4,419;-0,251;-0,181;-0,23;-0,185;-0,13;-0,248;-0,201;3,583
"*postComments_13";-2,404;3,622;3,885;0,48;-0,684;-1,193;-0,727;-0,231;0,512;-0,886;0,074
"*postDate_18-7-2025";-0,091;-0,096;10,741;-0,125;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;-0,111
"*a_0892";10,992;-0,096;-0,093;-0,125;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;-0,111
"*postLikes_12900";2,454;-0,289;-0,28;-0,377;2,482;-0,345;-0,278;3,91;-0,372;-0,302;-0,332
"*postComments_201";10,992;-0,096;-0,093;-0,125;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;-0,111
"*postDate_16-7-2025";10,992;-0,096;-0,093;-0,125;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;-0,111
"*a_0891";-0,091;-0,096;-0,093;-0,125;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;9,053
"*postLikes_6500";-0,456;16,473;-0,467;-0,629;-0,453;-0,576;0,862;-0,325;-0,621;-0,503;0,565
"*postComments_100";-0,182;-0,192;-0,187;-0,251;4,587;-0,23;-0,185;-0,13;-0,248;-0,201;3,583
"*postDate_14-7-2025";-0,091;-0,096;-0,093;-0,125;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;9,053
"*a_0890";-0,091;-0,096;-0,093;-0,125;-0,09;-0,115;-0,093;-0,065;8,075;-0,1;-0,111
"*postLikes_6400";-1,008;-1,063;-1,032;-1,389;20,137;-1,273;1,35;-0,717;-0,042;0;0,837
"*postComments_77";1,455;-0,385;-0,374;-0,503;-0,362;-0,461;-0,371;2,514;0,798;1,22;-0,443
"*postDate_13-7-2025";-0,091;-0,096;-0,093;-0,125;-0,09;-0,115;-0,093;-0,065;8,075;-0,1;-0,111
"*a_0889";-0,091;-0,096;-0,093;7,978;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;-0,111
"*postComments_10";-0,482;7,35;-0,02;0,159;-3,512;-1,071;-1,706;1,347;0,18;-0,697;1,478
"*postDate_11-7-2025";-0,091;-0,096;-0,093;7,978;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;-0,111
"*a_0888";-0,091;-0,096;-0,093;-0,125;-0,09;-0,115;-0,093;-0,065;8,075;-0,1;-0,111
"*postDate_10-7-2025";-0,091;-0,096;-0,093;-0,125;-0,09;-0,115;-0,093;-0,065;8,075;-0,1;-0,111
"*a_0887";-0,091;-0,096;-0,093;-0,125;-0,09;-0,115;-0,093;-0,065;8,075;-0,1;-0,111
"*postLikes_522";-0,182;-0,192;-0,187;-0,251;-0,181;-0,23;-0,185;-0,13;16,16;-0,201;-0,221
"*postDate_7-7-2025";-0,091;-0,096;-0,093;-0,125;-0,09;-0,115;-0,093;-0,065;8,075;-0,1;-0,111
"*a_0886";-0,091;-0,096;-0,093;-0,125;-0,09;8,705;-0,093;-0,065;-0,124;-0,1;-0,111
"*postLikes_33300";-0,091;-0,096;-0,093;-0,125;-0,09;8,705;-0,093;-0,065;-0,124;-0,1;-0,111
"*postComments_120";-0,091;-0,096;-0,093;-0,125;-0,09;8,705;-0,093;-0,065;-0,124;-0,1;-0,111
"*postReposts_184";-0,182;-0,192;-0,187;-0,251;-0,181;3,411;-0,185;-0,13;-0,248;4,039;-0,221
"*postDate_6-7-2025";-0,091;-0,096;-0,093;-0,125;-0,09;8,705;-0,093;-0,065;-0,124;-0,1;-0,111
"*a_0885";-0,091;-0,096;-0,093;7,978;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;-0,111
"*postLikes_40100";-0,091;-0,096;-0,093;7,978;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;-0,111
"*postComments_2200";-0,182;-0,192;4,419;3,053;-0,181;-0,23;-0,185;-0,13;-0,248;-0,201;-0,221
"*postReposts_139";-0,182;-0,192;-0,187;3,053;4,587;-0,23;-0,185;-0,13;-0,248;-0,201;-0,221
"*postDate_4-7-2025";-0,091;-0,096;-0,093;7,978;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;-0,111
"*a_0884";-0,091;-0,096;-0,093;-0,125;-0,09;-0,115;-0,093;-0,065;8,075;-0,1;-0,111
"*postLikes_30600";-0,091;-0,096;-0,093;-0,125;-0,09;-0,115;-0,093;-0,065;8,075;-0,1;-0,111
"*postComments_569";-0,091;-0,096;-0,093;-0,125;-0,09;-0,115;-0,093;-0,065;8,075;-0,1;-0,111
"*postReposts_266";-0,091;-0,096;-0,093;-0,125;-0,09;-0,115;-0,093;-0,065;8,075;-0,1;-0,111
"*postDate_2-7-2025";-0,091;-0,096;-0,093;-0,125;-0,09;-0,115;-0,093;-0,065;8,075;-0,1;-0,111
