"";"";"";"";"humanitaire";""
"1";"humanitaire";"1.7145124976885";"2.1109024960586";"1.09103900402605";"72"
"2";"conflit";"1.5550186760641";"1.56951477079448";"1.06133136534357";"87"
"3";"scrutin";"1.87206579354405";"1.60784767156319";"1.0580581750385";"90"
"4";"procès";"1.85280927960615";"1.66933215011263";"1.0549373125456";"92"
"5";"territoire";"1.56789283343943";"1.88684682263951";"1.04492083006836";"103"
"6";"humain";"0.572832801592716";"-1.05614198686767";"1.02317510605528";"121"
"7";"social";"0.504281063705675";"-0.634735024857659";"1.02129887324705";"124"
"8";"emji_graphique_en_baisse";"0.869931149761447";"-1.22319234474418";"1.017579845443";"128"
"9";"cigarette";"0.519445573170909";"-1.31075516311032";"1.0144106838877";"130"
"10";"accuser";"1.75178619841864";"1.68840287280462";"1.01138270420708";"134"
"11";"prévention";"0.612632773241373";"-1.11109527336828";"1.00676457078008";"138"
"12";"domestique";"0.906216615922716";"-1.23920635046729";"0.99979092923343";"145"
"13";"ofs";"0.906216615922716";"-1.23920635046729";"0.99979092923343";"146"
"14";"dollar";"0.633631940974656";"-0.792878129656447";"0.998594598611149";"149"
"15";"médicament";"0.944351641221695";"-1.04640565775798";"0.993604933934989";"156"
"16";"analyser";"0.789290540481138";"-1.34239427059371";"0.993604933934989";"157"
"17";"jeffrey";"1.87206579354405";"1.60784767156319";"0.992873017374152";"160"
"18";"réforme";"1.87206579354405";"1.60784767156319";"0.992873017374152";"161"
"19";"assurance";"0.582099796218133";"-1.15664922168187";"0.980965440838715";"171"
"20";"incident";"1.59196347586181";"1.80999122445271";"0.973215298981329";"183"
"21";"frontière";"1.7276419390098";"2.06898126068398";"0.973215298981329";"184"
"22";"emji_drapeau_russie";"1.7276419390098";"2.06898126068398";"0.973215298981329";"185"
"23";"écologique";"0.766435815817019";"-1.53869618508035";"0.970774338674377";"191"
"24";"végétal";"0.766435815817019";"-1.53869618508035";"0.970774338674377";"193"
"25";"emji_drapeau_france";"1.37782676303101";"1.05999057235336";"0.970480828987544";"197"
"26";"explosif";"1.55061998112466";"1.6457093224701";"0.964105352752033";"205"
"27";"risque";"0.643749398478182";"-0.843652439774417";"0.964031046502202";"208"
"28";"russie";"1.82927354034872";"1.7444798461175";"0.963737536815369";"209"
"29";"négociation";"1.73006658859262";"1.44595039330144";"0.963737536815369";"210"
"30";"emji_drapeau_brésil";"1.74335309165512";"1.35982442305918";"0.963737536815369";"211"
"31";"trottinette";"1.67950065416505";"2.22269245705758";"0.963187670566619";"212"
"32";"emji_pierre_précieuse";"1.67950065416505";"2.22269245705758";"0.963187670566619";"216"
"33";"emji_drapeau_soudan";"1.67950065416505";"2.22269245705758";"0.963187670566619";"217"
"34";"bombardement";"1.67950065416505";"2.22269245705758";"0.963187670566619";"218"
"35";"epstein";"1.87206579354405";"1.60784767156319";"0.960338025885595";"228"
"36";"musk";"1.87206579354405";"1.60784767156319";"0.960338025885595";"229"
"37";"elon";"1.87206579354405";"1.60784767156319";"0.960338025885595";"230"
"38";"corruption";"1.87206579354405";"1.60784767156319";"0.960338025885595";"231"
"39";"avocat";"1.87206579354405";"1.60784767156319";"0.960338025885595";"232"
"40";"grippe";"0.886286861328955";"-1.1100173951039";"0.960144829636035";"233"
"41";"emji_porte_documents";"0.862733514990873";"-0.957339538765347";"0.959914480261558";"235"
"42";"emji_tête_qui_parle";"0.906216615922716";"-1.23920635046729";"0.959386905887757";"237"
"43";"assureur";"0.906216615922716";"-1.23920635046729";"0.959386905887757";"238"
"44";"distinction";"0.568096801431485";"-1.03755435182623";"0.95390310465022";"254"
"45";"glacier";"0.307303003008972";"-1.56663475650411";"0.953397822151369";"256"
"46";"warner";"0.307303003008972";"-1.56663475650411";"0.953397822151369";"257"
"47";"oscar";"0.307303003008972";"-1.56663475650411";"0.953397822151369";"258"
"48";"mesurer";"0.307303003008972";"-1.56663475650411";"0.953397822151369";"259"
"49";"melissa";"0.307303003008972";"-1.56663475650411";"0.953397822151369";"260"
"50";"jamaïque";"0.307303003008972";"-1.56663475650411";"0.953397822151369";"261"
