"";"";"";"";"htag_lunettesdesoleil";""
"45";"1973";"-1.70370654003775";"-0.891190900253242";"0.848877409704694";"279"
"46";"htag_telephone";"-1.51280142832946";"-0.758337680689994";"0.848877409704694";"280"
"47";"vos";"-1.35103315525943";"-0.48397133508966";"0.846658100760279";"289"
"48";"htag_danse";"-1.63697676256516";"-0.703645018639019";"0.846610270826132";"290"
"49";"htag_70s";"-1.18830687731178";"-0.711384360600234";"0.846500261977594";"291"
"50";"bon";"-1.1411170662544";"-0.714275338789994";"0.845778029971976";"294"
"51";"1970";"-1.19286409832249";"-0.45537965782611";"0.843357835304144";"301"
"52";"htag_chorale";"-1.40558942454235";"-1.32044271490405";"0.842702565206332";"304"
"53";"htag_patois";"-1.37162908568152";"-1.17525718850176";"0.842702565206332";"306"
"54";"htag_lavaux";"-1.37162908568152";"-1.17525718850176";"0.842702565206332";"307"
"55";"htag_comedien";"-1.37162908568152";"-1.17525718850176";"0.842702565206332";"308"
"56";"htag_food";"-1.58249910178599";"-0.716154862354271";"0.842085559055837";"313"
"57";"htag_pluie";"-1.51102443259459";"-1.09089155183031";"0.842085559055837";"314"
"58";"htag_changementdheure";"-1.51102443259459";"-1.09089155183031";"0.842085559055837";"315"
"59";"htag_automne";"-1.754647048329";"-1.10896918985669";"0.842085559055837";"316"
"60";"htag_selfdefense";"-1.58249910178599";"-0.716154862354271";"0.842085559055837";"318"
"61";"htag_metier";"-1.58249910178599";"-0.716154862354271";"0.842085559055837";"319"
"62";"htag_fourire";"-0.453617695916533";"-0.0382777019833169";"0.842085559055837";"320"
"63";"htag_dessinanime";"-1.9615638309286";"0.777579174991171";"0.842085559055837";"321"
"64";"htag_champignons";"-1.754647048329";"-1.10896918985669";"0.842085559055837";"322"
"65";"htag_centenaire";"-1.58249910178599";"-0.716154862354271";"0.842085559055837";"323"
"66";"htag_anime";"-1.9615638309286";"0.777579174991171";"0.842085559055837";"324"
"67";"htag_animaldecompagnie";"-1.58249910178599";"-0.716154862354271";"0.842085559055837";"325"
"68";"2009";"-0.571373002726779";"-0.736617957154936";"0.841937286259982";"327"
"69";"surtout";"-0.784045407876546";"-0.645857115679816";"0.841497250865831";"329"
"70";"bien";"-0.798272551608986";"-0.484344496881604";"0.840550218169722";"339"
"71";"htag_mountain";"-1.77280034387884";"-1.0150053008033";"0.83966058139459";"345"
"72";"htag_babibouchettes";"-2.00349288884224";"-0.175757289901251";"0.83966058139459";"346"
"73";"htag_techno";"-1.66558834009173";"-1.57711033501736";"0.83966058139459";"347"
"74";"htag_skinautique";"-1.14389021387917";"-1.30563002009465";"0.83966058139459";"348"
"75";"htag_saintvalentin";"-1.77280034387884";"-1.0150053008033";"0.83966058139459";"349"
"76";"htag_lausannecity";"-1.82374085217008";"-1.23278359040675";"0.83966058139459";"350"
"77";"htag_fitness";"-1.34280024125614";"-1.40910718234363";"0.83966058139459";"351"
"78";"attention";"-1.50981667612444";"-0.495762065754477";"0.838503096988236";"353"
"79";"cinquante";"-0.282737497387879";"-0.0792643902472174";"0.83813958948872";"355"
"80";"htag_swisscheese";"-1.58513873330793";"-0.267416394299396";"0.837953052745547";"360"
"81";"htag_fromage";"-1.68954842576554";"-0.275163953453558";"0.837953052745547";"361"
"82";"certaine";"-1.0046433746942";"-0.773421464190968";"0.837953052745547";"362"
"83";"jamais";"-0.829656496962309";"-0.156603008618798";"0.83668077649724";"366"
"84";"htag_rtsxarchives";"-1.79386484690401";"0.0191744997913033";"0.834638438309168";"378"
"85";"htag_60s";"-1.19882996688652";"-0.295407781211342";"0.834021432158674";"379"
"86";"htag_humour";"-1.56271671371449";"-0.123611785981182";"0.832993088574516";"384"
"87";"beaucoup";"-0.58165518311249";"0.19225915675814";"0.832046055878408";"391"
"88";"2002";"-1.56551893235558";"-0.643562099153122";"0.831658633411818";"394"
"89";"htag_swissfondue";"-0.85577366217402";"-0.91019196188611";"0.831658633411818";"395"
"90";"htag_fribourgregion";"-0.885668294064662";"-0.716408528841024";"0.831658633411818";"396"
"91";"htag_jeunes";"-0.693387623807862";"-0.0262650840731844";"0.831658633411818";"397"
"92";"htag_cyclisme";"-1.59008338207803";"-1.00144707228352";"0.831658633411818";"399"
"93";"htag_acteur";"-1.4864426763164";"-0.815725471458429";"0.831658633411818";"400"
"94";"chacun";"-0.856475805974668";"-0.810972231159805";"0.831352521833278";"404"
"95";"elles";"0.261058852486818";"-0.184599129699889";"0.831122938149373";"405"
"96";"au_dessus";"-0.410546349015705";"-0.191442689393235";"0.830032415650824";"411"
"97";"derrière";"0.0926279664583161";"-0.667971744577835";"0.829051902000813";"418"
"98";"htag_jura";"-1.6369182223015";"0.821314647815892";"0.828769705389347";"419"
"99";"htag_retro";"-1.43968010670336";"-1.04756115949033";"0.828530555718612";"424"
"100";"moi";"-1.66751162306305";"-0.785319165579272";"0.828190963186169";"425"
"101";"mieux";"-1.40197098121568";"-0.0973232976722025";"0.827832238680068";"429"
"102";"1982";"-1.02131851819592";"-0.802388035857007";"0.827822672693238";"430"
"103";"htag_froid";"-0.906889668465169";"0.177635526686373";"0.827822672693238";"432"
"104";"gare";"-0.309724747661313";"0.180456957278831";"0.827205666542744";"434"
"105";"1975";"-1.08646620713742";"-0.0709439509840587";"0.827033478779815";"437"
"106";"onze";"-0.226863532174347";"-1.20081668117746";"0.827033478779815";"438"
"107";"htag_peur";"-1.82077592704144";"-0.162199061381468";"0.827033478779815";"439"
"108";"htag_courseapied";"-1.5619476343301";"-1.39138873419227";"0.827033478779815";"440"
"109";"dire";"-0.80130531923401";"-0.349518402963308";"0.826866074010301";"441"
"110";"maintenant";"-0.419961244279122";"-0.931362395220107";"0.826574311412005";"443"
"111";"htag_paysan";"-0.995265372385241";"-0.92179019303579";"0.826574311412005";"444"
"112";"htag_chanteuse";"-1.51191293046202";"-0.924614616260152";"0.826574311412005";"445"
"113";"quelle";"-1.58569387568243";"-0.573154704413354";"0.825809032465655";"449"
"114";"htag_invention";"-1.58885029665251";"0.189619892454632";"0.825809032465655";"450"
"115";"htag_instafood";"-1.44043677849581";"-0.281412276390259";"0.825646410689555";"451"
"116";"sous";"-0.019932396569384";"-0.242068693306217";"0.825359431084674";"452"
"117";"htag_christmas";"-1.87483483114657";"0.243351369889899";"0.824307172533443";"454"
"118";"donc";"-1.08231292020502";"-1.16815467896608";"0.824307172533443";"455"
"119";"comment";"-1.06964469585058";"-0.415518133886657";"0.82374277931051";"459"
"120";"htag_2000s";"-1.40159119708089";"0.0441912703433353";"0.82374277931051";"460"
"121";"chaque";"0.0496125064146646";"-0.432633664579731";"0.823541893587093";"462"
"122";"au";"-0.10646177936473";"-0.200600955053767";"0.823025330298307";"463"
"123";"htag_switzerland";"-1.93584634066475";"0.230970797043423";"0.822150042503419";"468"
"124";"envers";"0.0759786087584318";"-0.345810716649339";"0.822145259510004";"471"
"125";"parfois";"-0.930810984176583";"-0.00692807613341245";"0.822106995562687";"472"
"126";"htag_swissfood";"-1.48840031747423";"0.599825933169179";"0.820853851288038";"476"
"127";"htag_happybirthday";"-1.59618104107437";"0.865161595921678";"0.820853851288038";"477"
"128";"17";"-0.148031238799681";"-0.258847927798437";"0.81975376280266";"484"
"129";"votre";"-0.767225229638727";"-0.779599702992705";"0.81914153964558";"487"
"130";"combien";"-0.635430419378392";"0.0107382133713516";"0.819093709711433";"488"
"131";"elle";"-0.337531074781701";"-0.0198541063816921";"0.818940653922163";"490"
"132";"hors";"0.0415302659661735";"-0.337193064970111";"0.81891673895509";"492"
"133";"htag_radio";"-1.77991262976251";"-0.302027326856488";"0.817864480403859";"493"
"134";"htag_dance";"-1.57284999559344";"-1.28537906510513";"0.817864480403859";"494"
"135";"htag_vigne";"-1.67662386183671";"-0.0663387303550377";"0.817864480403859";"495"
"136";"70";"-0.835254467359313";"-0.0163373189294391";"0.816750042938236";"501"
"137";"htag_nosmoking";"-0.0211285121565558";"-0.954703064041286";"0.816037376919448";"507"
"138";"htag_smoking";"-0.960348629507718";"-1.33475445529795";"0.816037376919448";"509"
"139";"htag_smoke";"-0.159316119838731";"-1.20233186514141";"0.816037376919448";"510"
"140";"htag_mondaymood";"-0.674238953887336";"-0.122471477568915";"0.81554951159115";"511"
"141";"lorsque";"0.397058215069365";"0.28464494418295";"0.81554951159115";"512"
"142";"1989";"-1.86655916919558";"0.302785408379219";"0.815324710900659";"515"
"143";"ainsi";"0.558430419843784";"-0.131255495384273";"0.815238617019195";"516"
"144";"htag_insolite";"-0.927737411265113";"-0.431700551125658";"0.814903807480167";"517"
"145";"avec";"-0.43154856655614";"-0.213473763421618";"0.814808147611873";"519"
"146";"1977";"-1.35515546029559";"-1.3088857564114";"0.814674223796262";"520"
"147";"un";"-0.18421198015098";"-0.140836911472276";"0.814334631263819";"521"
"148";"croire";"-1.05174099470586";"-1.14291402727127";"0.813846765935521";"522"
"149";"certains";"-0.526866745337465";"-0.564668357995104";"0.813401947547955";"526"
"150";"malgré";"0.512039671009968";"-0.0795599146872635";"0.812971478140633";"527"
"151";"avant";"-0.351241819173966";"-0.16241588018192";"0.812493178799164";"528"
"152";"devant";"-0.543207060320466";"0.531414367541686";"0.812220548174527";"529"
"153";"faire";"-0.362851204149971";"-0.0590033611741165";"0.810551283472801";"535"
"154";"jusqu_au";"0.0911870937208478";"-1.0158051854295";"0.810020371203771";"536"
"155";"où";"-0.0842523691689139";"-0.0105540055550822";"0.809934277322306";"537"
"156";"même";"-0.734917243264703";"-0.237168938093705";"0.80949902492157";"538"
"157";"85";"-0.226774769599156";"-0.490214778780941";"0.809360318112544";"541"
"158";"2030";"0.53124632030777";"-0.486228752445476";"0.809360318112544";"542"
"159";"très";"-0.351988165707841";"-0.276936983344822";"0.809226394296933";"543"
"160";"130";"-0.0147395355064445";"-0.316056363834492";"0.809207262323274";"546"
"161";"htag_cff";"-0.378410728796469";"0.0823049231766971";"0.809207262323274";"547"
"162";"htag_myswitzerland";"-1.28634934418251";"0.687666578810953";"0.809073338507663";"551"
"163";"htag_vigneron";"-1.28634934418251";"0.687666578810953";"0.809073338507663";"552"
"164";"quelles";"-1.0794325615829";"-1.19888178603691";"0.808685916041073";"559"
"165";"htag_gym";"-1.11339290044373";"-1.3440673124392";"0.808685916041073";"560"
"166";"htag_geneva";"-0.953614538660009";"-0.976546599700147";"0.808685916041073";"562"
"167";"htag_waterski";"-0.848179530607774";"-1.20609776277389";"0.808685916041073";"563"
"168";"htag_jetdeaudegeneve";"-0.953614538660009";"-0.976546599700147";"0.808685916041073";"564"
"169";"htag_jetdeau";"-0.953614538660009";"-0.976546599700147";"0.808685916041073";"565"
"170";"htag_fusee";"-0.91965419979918";"-0.83136107329785";"0.808685916041073";"566"
"171";"htag_geneve";"-1.26885819221419";"-0.328011179819479";"0.808461115350583";"567"
"172";"htag_instaneuch";"-0.835809945848494";"-1.18080414801053";"0.80819326771936";"569"
"173";"alias";"-0.835809945848494";"-1.18080414801053";"0.80819326771936";"570"
"174";"sans";"-0.363310347098336";"-0.187836927053362";"0.807619308509598";"572"
"175";"mal";"-0.0748577286688769";"-0.712575491729597";"0.806839680583003";"574"
"176";"toutes";"-0.518835195148812";"0.0118451420343141";"0.806547917984707";"575"
"177";"déjà";"-0.223622012503613";"-0.166297059247935";"0.805964392788116";"578"
"178";"partout";"-0.878553326644127";"-0.205138065325057";"0.805476527459817";"579"
"179";"différents";"-0.441450698977349";"-0.702170598620312";"0.805476527459817";"580"
"180";"1995";"0.471860334484723";"-0.734367742594396";"0.805476527459817";"581"
"181";"car";"-0.23075122123801";"-0.486116115971887";"0.805466961472988";"582"
"182";"htag_breakdance";"-0.687922906759057";"-0.153606404806619";"0.804390787954683";"583"
"183";"lendemain";"0.289245576221833";"-0.167338826622515";"0.804390787954683";"584"
"184";"htag_securiteroutiere";"-0.265441108563104";"-0.370520268555805";"0.804390787954683";"585"
"185";"six";"0.561362532655921";"-0.290674451471437";"0.804165987264193";"587"
"186";"aucun";"0.32390391324863";"-0.0405260319350828";"0.80268325930564";"589"
