"";"";"";"";"htag_lunettesdesoleil";""
"1";"htag_lunettesdesoleil";"-2.03102226369335";"-1.60422679205693";"0.951635240225844";"64"
"2";"htag_travel";"-1.51457842406433";"-0.425783809549677";"0.927395029600207";"82"
"3";"htag_montagne";"-1.77766677857221";"-1.20538658521239";"0.92014401158354";"89"
"4";"htag_dog";"-1.61645944064682";"-0.861340388756568";"0.91195074386418";"100"
"5";"htag_retrogaming";"-1.61645944064682";"-0.861340388756568";"0.91195074386418";"101"
"6";"htag_rtssportxarchives";"-1.65182365266618";"-0.862875583939524";"0.901189008681133";"113"
"7";"htag_cochon";"-1.46097242217078";"-0.706836326656707";"0.887882721001472";"126"
"8";"pourquoi";"-1.49230434674168";"-0.454232206749633";"0.883161906501175";"138"
"9";"htag_lacleman";"-1.49788340689859";"-1.07423597429632";"0.882181392851164";"141"
"10";"htag_printemps";"-1.86519713447474";"-1.30707223073678";"0.8788715614082";"146"
"11";"htag_perenoel";"-1.5909891865012";"-0.752451243954845";"0.876307876937928";"158"
"12";"htag_enfants";"-1.64105333012225";"-0.808108843415511";"0.874901676874009";"162"
"13";"htag_vintage";"-1.48454731305618";"-1.04748129230494";"0.873069790396184";"163"
"14";"1980";"-1.04837724331519";"-0.561872130166288";"0.870697425662499";"169"
"15";"htag_seventies";"-1.91167462581419";"-0.290128457710006";"0.869386885466875";"172"
"16";"htag_game";"-1.48090014457966";"-1.15647759842281";"0.869176433756628";"173"
"17";"htag_armee";"-1.79857378447288";"-0.21468886357281";"0.866139232938302";"181"
"18";"htag_velo";"-1.57498239047529";"-0.886314419736751";"0.864374308368282";"186"
"19";"htag_adolescence";"-1.63824339530663";"-0.748583721892506";"0.864374308368282";"187"
"20";"htag_archives";"-1.39175249886801";"-0.116309853886963";"0.861858453832156";"196"
"21";"htag_eighties";"-1.76376791531197";"-0.781708120385652";"0.860017001367501";"215"
"22";"htag_freestyle";"-1.25158050812591";"-1.59169611353932";"0.859672625841644";"216"
"23";"htag_cars";"-1.89283465601117";"-1.35659799095681";"0.859672625841644";"217"
"24";"htag_voitures";"-1.89283465601117";"-1.35659799095681";"0.859672625841644";"218"
"25";"htag_swiss";"-1.85887431715034";"-1.21141246455451";"0.859672625841644";"219"
"26";"htag_marionnette";"-1.78739964795894";"-1.58614915403055";"0.859672625841644";"221"
"27";"htag_igerslausanne";"-1.89283465601117";"-1.35659799095681";"0.859672625841644";"222"
"28";"htag_holidays";"-1.78739964795894";"-1.58614915403055";"0.859672625841644";"223"
"29";"htag_chaussettes";"-0.729992911280884";"-0.533535304183557";"0.859672625841644";"224"
"30";"htag_noel";"-1.73293109945673";"-0.384480570980847";"0.858209029856749";"229"
"31";"htag_sport";"-1.75622044708781";"-0.0148936885680614";"0.856874574694051";"235"
"32";"2001";"-1.63373906032187";"-0.291180744040661";"0.85598493791892";"240"
"33";"htag_automobile";"-1.78228456986543";"-1.15849495007671";"0.855152697064764";"241"
"34";"htag_rentreescolaire";"-1.04017998629375";"-0.393111100253813";"0.855152697064764";"242"
"35";"htag_vieillesse";"-1.41920294903665";"-0.0773123022520786";"0.854789189565248";"244"
"36";"htag_protectioncivile";"-0.0143944213088467";"-0.596495208443486";"0.854784406571833";"249"
"37";"htag_journeeinternationaledesdroitsdesfemmes";"-0.0143944213088467";"-0.596495208443486";"0.854784406571833";"251"
"38";"htag_culte";"-1.37088066587456";"0.0406499483169494";"0.854167400421338";"254"
"39";"htag_recyclage";"-1.54853876292516";"-0.570969335951974";"0.848930022632255";"268"
"40";"peut_être";"-1.54853876292516";"-0.570969335951974";"0.848930022632255";"270"
"41";"htag_soldat";"-1.68672637060734";"-0.818598137052094";"0.848930022632255";"271"
"42";"htag_mobylette";"-1.68672637060734";"-0.818598137052094";"0.848930022632255";"272"
"43";"htag_lifestyle";"-1.44310375487293";"-0.800520499025717";"0.848930022632255";"274"
"44";"htag_chateaudoex";"-1.54853876292516";"-0.570969335951974";"0.848930022632255";"275"
