"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Coord. facteur 7";"Coord. facteur 8";"Coord. facteur 9";"Coord. facteur 10";"Coord. facteur 11";"Coord. facteur 12";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"Corr. facteur 7";"Corr. facteur 8";"Corr. facteur 9";"Corr. facteur 10";"Corr. facteur 11";"Corr. facteur 12";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"COR -facteur 7";"COR -facteur 8";"COR -facteur 9";"COR -facteur 10";"COR -facteur 11";"COR -facteur 12";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"CTR -facteur 7";"CTR -facteur 8";"CTR -facteur 9";"CTR -facteur 10";"CTR -facteur 11";"CTR -facteur 12";"mass";"chi.distance";"inertie"
"classe 1";-0,608588010277023;-1,39728665699329;2,68100687189453;-0,417777916034697;1,04797235079299;0,395183274729248;-0,131514042578872;-0,155488373804778;-0,0686171171218559;0,0730989938923679;-0,0571969136352628;0,137602893417392;-0,183385592232434;-0,421043853615442;0,807866774696739;-0,125888859556699;0,315785107409378;0,119080424939012;-0,0396290761203624;-0,0468532521737781;-0,0206763696428163;0,0220268918548773;-0,0172351240966701;0,0414638272133532;0,0500009304251783;0,207067951794907;0,634227142891944;0,0144792815113236;0,0806476838585769;0,00994830116458393;0,00105894502228193;0,00123422469749044;0,000213628827578436;0,000226382056511403;0,000135599316337475;0,000759928433277269;0,0308308486194902;0,162521087008717;0,598321417239815;0,0145287969095605;0,091419395189896;0,0129997741163493;0,00143973628431512;0,002012493737165;0,00039192559825116;0,000444796635648046;0,00027232272494381;0,00157613650067574;0,0832412694351734;1,73571294174723;0,250780923826833
"classe 2";-0,345882076796467;0,368551463677653;-0,863470096018313;0,63594139761042;1,26512494846122;0,698016501351984;0,675294067558301;-1,28519814199449;-4,13837826979617;-0,345897623292934;0,00605919886098098;-0,624198281167774;-0,0717534801969991;0,0764562604558746;-0,179127478963905;0,13192649038806;0,262451060710959;0,144804014335818;0,140090229457621;-0,266615258833105;-0,858509483867377;-0,07175670532863;0,00125698506701438;-0,129490372619476;0,0135893157940892;0,01212127538347;0,0553546038186301;0,028229320273365;0,0988938453203515;0,0261152005598049;0,023492281728539;0,0709494023209039;0,653830935741415;0,00426505397090467;1,28042131815066e-06;0,0131574846672331;0,0049361315765834;0,00560437119620053;0,0307627541560747;0,0166864828216764;0,0660385383093239;0,0201030517646555;0,0188155310626302;0,0681507735615618;0,706628226785505;0,00493657531901406;1,51481997754844e-06;0,0160759167525325;0,0412601318742659;1,89222516907367;0,147732566070967
"classe 3";-0,602431591744016;-1,43164903828418;-0,931078318735823;0,309693196790703;-1,34053898770552;1,11883826292965;-1,19385708999435;0,305534705970818;-0,238574648524269;1,66969567019094;0,388831961679855;-0,0321943469617371;-0,182138393917121;-0,432842931977036;-0,281501023368735;0,093632243467215;-0,405296836271687;0,338268123809848;-0,360949219659344;0,0923749706922925;-0,0721303529015728;0,504813645012451;0,117558956028497;-0,00973359752241047;0,0626881505737278;0,278133739432233;0,0978723636393581;0,0101802410810381;0,168845631215972;0,102029348256878;0,111653546663532;0,00609758927370921;0,00330432066346738;0,151123680823693;0,00801816339951916;5,32249769098936e-05;0,0303959411020956;0,171661636839226;0,0726060056300626;0,00803273514610926;0,150507803002367;0,104841865078955;0,119372641312197;0,00781845995618563;0,00476703897778702;0,233493480839317;0,0126626333039532;8,68079215413255e-05;0,0837529508902094;1,53447056526918;0,197204691103831
"classe 4";-0,53847792999022;-1,16657724690845;-0,811981819586712;0,166101498231576;-0,808016490483961;0,714428031849378;-0,556205895360888;-0,37806661940953;0,575650602081026;-3,56311559639015;-0,376699328148479;-0,00365518663314973;-0,130132274972182;-0,281923069853093;-0,196229103430088;0,0401412288922508;-0,195270814764174;0,172653585059924;-0,134416536844075;-0,091366175909378;0,139115678221521;-0,861086987456542;-0,0910357469123097;-0,00088333750656842;0,0430426384061863;0,158708663398847;0,063969557711391;0,0025167201137594;0,0527186724615683;0,0357520173759962;0,0208272581659499;0,00802355482627229;0,0165327315951087;0,591440136072785;0,00646746025728069;5,89614890406975e-07;0,0159999650283831;0,07509486149023;0,0363811001789164;0,00152240540413071;0,0360266321940914;0,028164379681878;0,0170708203843694;0,00788714609130321;0,0182852601595957;0,700556297916268;0,00783020096593319;7,37228865094923e-07;0,0551801932760405;1,6552439842044;0,151184495018977
"classe 5";-0,308672559147738;0,607874995959698;-0,271501650287719;0,245969429918922;1,06869118782485;-0,380154777418929;-0,372205857085622;1,96236373523666;0,0716283668319376;-0,55932953055514;2,87465591142206;-0,0810387408915133;-0,0811643725798682;0,15983860952941;-0,0713904117711172;0,0646768034979163;0,281008619557667;-0,0999603724984148;-0,0978702316277085;0,51599669819609;0,0188344291727348;-0,147073748759027;0,755880743263313;-0,0213088542022748;0,0179147082987204;0,0545824238466926;0,00905891765319418;0,006990378905921;0,116809751759839;0,0128219805049209;0,0118134829301863;0,273804009066452;0,000324225683259638;0,0184602294262305;0,477052791128876;0,000367100795699075;0,00616163461193025;0,0238961785718856;0,00476699661024872;0,00391257039792827;0,0738591579850298;0,00934589292265301;0,0089591395549722;0,249034154955024;0,000331795119740369;0,0202318405598201;0,534406377330876;0,000424702937727114;0,0646695584421625;1,47074271043409;0,139885694932732
"classe 6";-0,285868809675139;0,655939379255771;-0,278240295695345;0,0256707611999613;0,606570575327023;-0,296819780262741;-0,619306279945154;1,55292146476034;-0,0919332029011258;0,0971764851440382;-1,92602861290144;0,125840588898259;-0,103801376811184;0,238177123096419;-0,101031399019532;0,00932126998875889;0,220250893840597;-0,107777766630359;-0,224875335644951;0,563878886629659;-0,0333817216598173;0,0352856016824138;-0,699357240211332;0,0456937796089528;0,027722688755123;0,114667349447065;0,0171656211575596;0,000137373843051921;0,0678930671443085;0,0141028858947587;0,0590079635341723;0,309362647972902;0,000963629761266797;0,00100533794808421;0,386374343965555;0,00159709057616716;0,00951958949248963;0,050120117832818;0,0090183010052547;7,67648079627442e-05;0,0428595248595092;0,0102629060395327;0,0446781973503914;0,280920647084242;0,00098453113803912;0,0011000363785396;0,432125747378813;0,00184470174387377;0,116488934888535;1,09494587345403;0,139659337231321
"classe 7";-0,252872973993551;0,45053287744588;-0,708001435359799;0,467749440019859;1,02632864726669;0,489226656044438;0,475528852272198;-1,15583058006044;1,06896526753765;0,432828943065031;0,0609110968496134;1,65924102983595;-0,0898059575403122;0,160003403382488;-0,251441448400982;0,166117737639292;0,364492992126509;0,173745211306908;0,168880538089608;-0,410484641191231;0,379635070970467;0,153715982650276;0,0216321233978517;0,589267121437783;0,0197262779967426;0,0491930621180334;0,101070929945862;0,0414754991233354;0,176756001182601;0,0348402330886598;0,0316367540365955;0,155846037988763;0,118476202624086;0,0181368058991656;0,000351410040258964;0,252490785955884;0,00716181693832099;0,0227337647337074;0,0561418422710906;0,0245044486822013;0,117975353122778;0,0268064070170248;0,0253263222437866;0,149625889224817;0,127981021546172;0,0209821975518206;0,00041553845774282;0,308345305177541;0,112000093032992;1,14821547058513;0,147660784546377
"classe 8";-0,365171354169691;0,654289145985107;-0,401135110085161;0,141759884266255;0,984901411300853;0,787313079694399;0,374731266583291;-0,975287020876383;1,78714091689891;0,510931741321447;-0,179754829329985;-3,95330797689706;-0,0769168307171344;0,1378143353994;-0,0844919542697259;0,0298591904761544;0,207451910619724;0,165833453749221;0,0789304557082278;-0,205426810807586;0,376429349682509;0,107618655752966;-0,0378621477842891;-0,832693794186242;0,017448933971268;0,0440073775482534;0,0137617769938597;0,00161587196855098;0,0690433671680123;0,038272861981379;0,00833322702321149;0,0470660197434083;0,140461309085668;0,0107198612202176;0,00129812836049536;0,607971264935669;0,00566487168088612;0,0181859546787626;0,00683562178032242;0,000853696248067536;0,0412080621902961;0,0263324704629279;0,00596535830997017;0,0404074609679793;0,135679510826583;0,0110897674802074;0,00137264365494298;0,663923391827087;0,0424811898919654;1,7630141778629;0,132040841197165
"classe 9";2,30091783532117;0,304151614329659;0,772935926964867;1,59488104064301;-0,621954054028562;0,179965646654639;-0,11226079844835;0,0003557744615828;-0,0012585080544805;-0,0734808771374152;-0,00458574911769137;-0,0701804753067627;0,768255345346904;0,101553432251106;0,258076211321356;0,532516140236446;-0,207664749793608;0,0600888775334908;-0,0374828501726215;0,000118789827108603;-0,000420204287686708;-0,0245345904034503;-0,00153113953832015;-0,0234326165262138;0,700753415732723;0,00961952918196339;0,0516853735599836;0,206892308237689;0,0278509848391676;0,00202284560387356;0,000756514248792447;6,33548155173884e-09;7,04593481874869e-08;0,000224284657547453;8,54603355192153e-07;0,000193812540069334;0,531016878304176;0,00927868339485281;0,0599229372206388;0,255130684944318;0,0387991945774221;0,00324851836868356;0,00126404448417568;1,26956705621848e-08;1,58861296676785e-07;0,000541570210889787;2,10924334081197e-06;0,000494013383501668;0,100301194311033;1,7529198187961;0,308198277272975
"classe 10";2,90650131175318;-1,28534998564343;-1,31518430615766;-3,53483265663465;0,989107797723809;-0,0294491764305837;0,105849869549717;-0,00141675457993669;-0,0808794572122319;0,128574760531958;0,0845212162677907;0,00559009145426632;0,577327122156779;-0,255312944527167;-0,26123902559733;-0,702134472366611;0,19646946521358;-0,00584957873915452;0,0210252788535461;-0,000281414235434807;-0,0160653305350737;0,0255391924922743;0,0167887041205705;0,00111037672642167;0,442250261512954;0,067948583596122;0,0591858591322214;0,401966185749191;0,0278596240581308;2,14236700329406e-05;0,000266014654642523;3,97359307788e-08;0,0001150978279357;0,000271597895371091;0,000114825814987538;4,86352484133895e-07;0,320655133592211;0,0627104539705016;0,0656553901444263;0,474280061815548;0,0371350832613982;3,29187593041482e-05;0,000425282786574999;7,61879698318949e-08;0,000248298220266741;0,000627492586034068;0,000271161873940273;1,18613733684325e-06;0,0379574606644881;2,78727632890132;0,294888070438133
