"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13"
",";0,003;0,004;1;1;0;0,001;0;0;1;1;0,011;0;0
".";1;0,001;0,001;0;0;0;0;0,014;1;1;0,006;0,001;0
"suisse";0;0,587;1;0,032;0;0;1;0,223;1;1;1;1;1
"emji_main_qui_écrit";1;1;1;1;1;1;1;1;0;0;1;1;1
"!";0;1;0;0;1;1;1;1;1;0;1;1;1
"rts";1;1;1;1;1;1;1;1;0;0;1;1;1
"emji_appareil_photo";1;1;1;1;1;1;1;1;0;0;1;1;1
"keystone";1;1;1;1;1;1;1;1;0;0;1;1;1
"?";1;1;0;0;1;1;1;1;1;1;1;1;1
":";1;0,022;0,001;0;1;1;0,655;1;1;1;1;1;0,589
"info";1;1;1;1;1;1;1;1;0;0;1;1;1
"rtsinfo";1;1;1;1;1;1;1;1;0;0,312;1;1;1
"année";1;0,129;0;0,908;0,027;1;1;0,044;1;1;1;1;0,009
"premier";0;0,481;1;1;1;1;1;0,982;1;1;0,752;0;0
"emji_drapeau_suisse";0;0,046;1;1;0;0;1;1;1;1;1;1;1
"monde";0;1;1;0,055;1;1;1;0,781;1;1;1;1;0,076
"grand";0,096;1;0,045;0,543;1;0,002;1;1;1;1;1;1;0,001
"mettre";1;1;1;1;0,003;0,117;0,002;1;1;0;0,088;0,498;1
"genève";1;1;1;0,116;0,009;0;1;0,967;1;1;1;1;0,736
"lien";1;1;1;1;1;1;1;1;1;0;1;1;1
"retrouver";1;1;0,298;0;1;1;1;0,926;1;0;1;1;1
"jour";0,12;1;1;1;0,594;1;1;0,748;1;1;0;0,834;0,007
"bio";1;1;1;1;1;1;1;1;1;0;1;1;1
"emji_appareil_photo_avec_flash";1;1;1;1;1;1;1;1;0;1;1;1;1
"ats";1;1;1;1;1;1;1;1;0;1;1;1;1
"emji_main_avec_index_pointant_à_droite";1;1;1;1;1;1;1;1;0;0;1;1;1
"dernier";0;1;1;1;0,747;1;1;0,234;1;1;0,005;0,104;1
"jeune";1;1;0;0;1;1;0;1;1;1;1;1;1
"pays";0,005;0,72;1;1;1;0,434;1;0,759;1;1;0;0,038;1
"rester";0,742;0,002;1;1;0,364;1;0;0,008;1;1;1;1;0,524
"nouveau";1;0,038;1;1;0,035;0,001;0,025;1;1;1;1;0,076;0,698
"émission";1;1;0,005;0;1;1;1;1;1;0;1;1;0,684
"petit";1;1;0;0;1;1;1;1;1;1;1;1;1
"afp";1;1;1;1;1;1;1;1;0;0,01;1;1;1
"femme";1;1;1;0,348;1;1;0;0;1;1;1;0,598;1
"également";1;0,343;1;1;0,353;0,062;0;0,001;1;1;1;0,598;1
"notamment";1;1;1;1;0,085;1;0;0,588;1;1;0,243;1;1
"public";1;1;1;1;0,011;0,046;0,198;1;1;1;1;0;0,134
"emji_chaînons";1;1;1;1;1;1;1;1;1;0;1;1;1
"emji_caméscope";1;1;1;1;1;0,477;0,436;0,735;1;0;1;1;0,528
"conseil";1;1;1;1;0,033;0;1;1;1;1;0,221;0,004;1
"prendre";0,388;1;1;0,038;1;0,339;0,113;0,002;1;1;1;0,522;1
"vie";1;0,819;0,004;0;1;1;0,002;1;1;1;1;1;1
"permettre";1;0,257;1;1;0,423;0;0;0,524;1;1;1;0,715;1
"passer";0,304;0,063;0,269;0;0,708;1;1;0,072;1;1;1;1;1
"souligner";1;0,02;1;1;1;0,913;0;0;1;1;1;0,327;1
"heure";1;1;0,001;1;1;0,62;0,796;0,83;1;1;0,084;0,864;1
"aller";0;1;0;1;0,835;1;1;1;1;1;1;1;0,584
"place";0;1;1;1;0,231;0,001;1;0,342;1;1;1;1;1
"face";0;0,819;1;1;1;0;0,979;1;1;1;1;0,281;1
"enfant";1;0,636;0,093;0,026;1;1;0,03;0;1;1;0,331;1;1
"prévoir";1;1;1;1;0;0;1;0,997;0,001;1;0,015;1;1
"fin";0,177;0,991;0,05;1;0,064;1;1;1;1;1;0;0,157;1
"voir";0,635;0,749;1;0,198;1;0,345;1;1;1;0,006;1;0,407;0
"annoncer";0,35;1;1;1;0,004;1;1;1;1;1;0;0;1
"homme";1;0,594;1;0,002;1;1;0;0,005;1;1;0,079;0,023;1
"canton";1;0,58;1;1;0,006;0;1;0,331;1;0,844;1;1;1
"fédéral";1;1;1;1;0;0;1;1;1;1;0,974;0,256;1
"temps";0,139;1;0,123;0;1;1;1;1;1;1;1;1;0,926
"novembre";1;1;1;1;0,19;0;1;1;1;1;0,048;1;0
"mondial";0;1;1;1;1;1;1;0,003;1;1;1;1;0,047
"projet";1;1;1;1;0,023;0;1;1;1;1;1;1;0,684
"franc";1;1;1;1;0;0;1;1;1;1;1;1;1
"état";1;1;1;1;1;0,72;1;0,119;1;1;0;0;1
"partir";1;1;1;0;0,395;0,195;1;1;1;1;1;0;1
"devenir";0,309;1;1;0,01;1;1;1;1;1;1;1;0,193;0
"américain";0,64;1;1;1;1;1;1;1;1;1;0;0;0,658
"président";1;1;1;1;1;1;1;1;1;1;0;0;1
"lausanne";1;0,887;1;0,001;0,667;0,12;1;0,917;1;1;1;0,822;0,006
"viser";1;1;1;1;0,01;0;1;0,513;1;1;0;1;1
"national";0,036;1;1;1;0,593;0;1;1;1;1;1;0;1
"groupe";0;1;1;1;1;0,005;1;0,951;1;1;0,118;1;0,043
"équipe";0;1;1;1;1;1;0,327;1;1;1;1;1;1
"samedi";0;1;1;1;1;1;1;1;1;1;0;0,424;1
"offrir";1;0,006;1;1;1;0,034;0,001;1;1;0,841;1;1;0,008
"ville";1;1;1;0,962;1;0;1;1;1;0,89;1;1;0,002
"travail";1;1;1;1;0;0,909;0,001;0,968;1;1;1;1;1
"fois";0,009;0,021;1;1;0,375;1;1;0,9;1;1;1;1;0,03
"cliquer";1;1;1;1;1;1;1;1;1;0;1;1;1
"près_de";1;0,577;1;1;0;1;0,916;0,123;1;1;0,145;0,337;1
"archive";1;1;1;0,473;1;1;1;1;1;0;1;1;0
"noël";1;1;0,063;0,374;1;1;1;1;1;1;1;1;0
"jean";1;1;1;0,214;1;1;1;1;0;0,005;1;1;1
"décembre";0,719;1;1;1;1;0;1;1;0,524;1;1;1;0,002
"connaître";0,549;0,546;0,1;0,918;1;1;1;1;1;1;1;1;0
"social";1;1;1;1;0,102;0,88;0;0,269;1;0,841;1;0,541;1
"nouvelle";0,765;0;1;1;1;0;1;1;1;1;0,99;1;0
"service";1;0,366;1;1;0;0;1;0,002;0,876;1;1;1;1
"police";1;1;1;1;1;0;1;0,002;1;1;0;1;1
"unir";0,149;1;1;1;1;1;1;0,917;1;1;0;0,046;1
"demander";1;1;1;1;0,167;0;1;0,866;1;1;1;0,003;1
"santé";1;1;1;1;1;1;0;0;1;1;1;0,253;1
"prix";0,406;1;1;1;0;1;1;1;1;1;1;1;0,004
"international";1;1;1;1;1;1;0,228;1;1;1;0;0,397;0,152
"suivre";0,101;0,178;1;0,737;1;0,679;1;1;1;0;1;0,414;1
"semaine";0,45;1;1;1;0,009;0,005;1;1;1;1;0;0,927;1
"photo";1;1;1;1;1;1;1;1;0,543;0;1;1;1
"révéler";1;0,067;1;1;1;1;0;0;1;1;1;1;0,332
"politique";1;1;1;1;1;0,002;0,413;1;0,99;1;0,025;0;1
"jeudi";0,063;1;1;1;1;0,013;1;1;1;1;0;0,431;0,502
"lundi";0,203;1;0,982;1;1;0,008;1;1;1;1;0;0,002;1
"couper";0;1;1;1;0,753;1;1;1;1;1;1;0,949;1
"lancer";1;1;1;1;1;0;1;0,741;1;1;1;0,97;0
"initiative";1;1;1;1;1;0;1;1;1;0,673;1;1;1
"français";0,028;1;1;0,646;0,798;1;1;1;1;1;1;0;0,025
"nombreux";1;0,366;0,129;0,374;0,483;1;0,325;0,759;1;1;1;0,16;0,813
"miracle";1;1;0;0;1;0,939;1;1;1;1;1;1;1
"droit";1;1;1;1;1;0;0,719;0,723;1;1;0;0,592;1
"sécurité";1;1;1;1;0,424;0,001;0,001;0,705;1;1;0;0,927;1
"trouver";1;0,005;0;0,27;1;1;0,375;0,65;1;1;0,937;1;1
"rendre";0,052;1;1;1;0,73;1;0,004;1;1;1;1;0,047;0,085
"prochain";0,588;1;1;1;0,056;0;1;1;0,109;0,964;0,006;1;1
"expliquer";0,693;0,658;1;1;0,707;0,46;0;0,687;1;1;1;1;1
"étude";1;0;1;1;1;1;0;0,124;0,156;1;1;1;1
"indiquer";1;0,586;1;1;0;0,017;1;0,095;1;1;0;1;1
"dimanche";0,125;1;1;1;0,878;0,271;1;0,987;1;1;0;0;1
"rencontre";0,112;1;0,087;0;1;1;1;1;1;1;0,001;1;1
"partie";0,693;1;1;1;0,008;0,46;1;1;1;1;0;0,284;1
"mort";1;0,514;1;1;1;1;1;0,227;1;1;0;0,004;0,137
"mois";1;1;1;1;0,14;1;1;0;1;1;0,134;0,007;1
"mesure";1;0,113;1;1;0;0;0,246;0,687;1;1;1;1;1
"trump";1;1;1;1;1;1;1;1;1;1;0;0;1
"romand";1;1;0,023;0,003;0,332;0,36;1;1;1;1;1;1;0,02
"marquer";0,001;1;1;1;1;1;1;0,071;1;1;1;0,018;0
"désormais";0,865;0;1;1;0,593;0,039;1;0,595;1;1;1;0,082;1
"vaudois";1;1;0,012;0,122;0,006;0,642;1;1;1;1;1;0;1
"atteindre";1;0;1;1;0,19;0,855;0,01;0,449;1;1;1;1;0,311
"ouvrir";0,01;1;1;1;1;0,889;1;0,051;0,687;1;1;0,319;0,015
"début";0,012;1;0,022;1;1;0,044;1;1;1;1;0,194;0,337;1
"sport";0;1;1;1;1;1;1;1;0;0,004;1;1;1
"situation";1;0,019;1;1;0,95;1;0,012;0;0,903;0,202;0,005;0,213;1
"population";1;0,003;1;1;0,314;0;0,012;0,089;1;0,502;1;1;1
"ligne";0,76;0,154;1;1;0,312;0,001;0,001;1;1;1;0,222;1;1
"attendre";0,321;0,034;0,847;1;1;1;1;0,414;0,594;1;0,598;0,031;1
"octobre";0,229;1;1;1;1;1;1;0,503;1;1;0;0,152;0,002
"enquête";1;1;1;1;0,102;1;0;0;0,287;0,435;0,445;0,004;1
"cas";1;0,002;1;1;0,265;0,064;0,022;0;1;1;1;1;1
"déclarer";0,389;0,166;1;1;1;1;1;1;1;1;0;0,319;0,554
"créer";1;1;1;1;1;0,115;0,382;1;1;1;0,423;1;0
"continuer";1;1;1;1;0,503;0,251;0;0,967;0,502;1;0,445;1;0,929
"animal";1;0;1;0,039;1;1;0,781;1;1;0,775;1;1;1
"venir";0,581;1;0;1;1;1;1;1;1;1;1;1;0,024
"proposer";1;1;0,005;1;0,021;0,338;0,309;1;1;1;1;1;0,522
"âge";1;0,922;0,001;0,631;0,234;1;0,005;1;1;1;1;1;0,619
"journée";1;1;0,209;0;1;0,034;1;1;1;0,03;1;0,038;1
"christian";1;1;1;1;1;1;1;1;0;1;1;1;1
"événement";1;1;1;1;1;0,695;1;0,522;1;1;1;0,699;0
"vendredi";0,115;1;1;1;0;0,685;1;0,121;1;1;0;1;1
"france";0,021;1;1;1;1;0,507;1;1;1;1;0,598;0;0,264
"appeler";1;1;1;0,287;0,417;1;0,159;0,449;0,097;1;0,064;0,606;1
"violence";1;0,882;1;1;1;0,889;0,848;0;1;1;0,001;1;1
"lieu";0,998;1;1;1;1;1;1;1;1;1;0,006;0,319;0
"complet";1;1;1;1;1;1;1;1;1;0;1;1;1
"suite";0,055;1;1;1;1;1;1;0,828;1;0,003;0,014;0,006;0,683
"nuit";1;0,273;0;1;0,808;1;1;1;1;1;0,017;1;0,621
"saison";0;1;0,912;1;1;1;1;1;1;1;1;1;1
"réseau";1;0,137;1;1;1;1;0;0,039;1;1;0,957;0,56;0,718
"risque";1;0,087;1;1;1;1;0;0,722;1;1;0,444;1;1
"nombre";1;0;1;1;0;1;1;0,432;1;1;1;1;1
