"";"";"";"";"htag_propreenordre";""
"1";"htag_propreenordre";"-0.844353592646419";"-2.06378602853444";"0.884555359456746";"60"
"2";"htag_montagne";"-0.873005518516538";"-2.19776808368144";"0.87093424714743";"76"
"3";"htag_patois";"-0.844353592646419";"-2.06378602853444";"0.863011410280981";"83"
"4";"htag_berger";"-0.844353592646419";"-2.06378602853444";"0.863011410280981";"84"
"5";"htag_animaldecompagnie";"-0.844353592646419";"-2.06378602853444";"0.863011410280981";"85"
"6";"htag_alpage";"-0.844353592646419";"-2.06378602853444";"0.863011410280981";"86"
"7";"madame";"-0.806781580705763";"-1.80458096802418";"0.861795295726222";"92"
"8";"htag_fribourg";"-0.86633232967028";"-2.05704340680665";"0.861066885585403";"93"
"9";"htag_chat";"-0.836827612745335";"-2.11127442430856";"0.859986069674511";"97"
"10";"htag_changementdheure";"-0.944635333191834";"-2.53272322154895";"0.849196789446134";"127"
"11";"htag_fetenationale";"-0.944635333191834";"-2.53272322154895";"0.849196789446134";"130"
"12";"htag_perenoel";"-0.927921709767598";"-2.4545670227132";"0.848740549833094";"133"
"13";"htag_humour";"-0.809684999312282";"-1.73733575111241";"0.848462086345135";"135"
"14";"htag_enfants";"-0.870578140567418";"-2.23729802378452";"0.848397583503291";"136"
"15";"pourquoi";"-0.563091183307836";"-1.6941928173788";"0.848024725612634";"141"
"16";"htag_insolite";"-0.844856231256994";"-1.92894039224084";"0.844724067998295";"149"
"17";"pis";"-0.869424027782773";"-2.18102032678807";"0.844539998913034";"151"
"18";"htag_solitude";"-0.869424027782773";"-2.18102032678807";"0.844539998913034";"152"
"19";"htag_amour";"-0.876557475411185";"-2.25405765801641";"0.843608640806414";"153"
"20";"moi";"-0.842338161976424";"-2.06717000127807";"0.843196451914633";"155"
"21";"htag_seventies";"-0.923423112536";"-2.42176047659929";"0.843136668792924";"157"
"22";"htag_mondaymood";"-0.84833824023984";"-1.49142148181585";"0.842417698092375";"161"
"23";"htag_cinemafrancais";"-0.732594455375204";"-1.82465722003327";"0.842417698092375";"162"
"24";"htag_lausanne";"-0.562066692993982";"-1.76361433674361";"0.841552416067644";"164"
"25";"htag_instafood";"-0.50499836248426";"-2.0321813802233";"0.841552416067644";"165"
"26";"htag_summer";"-0.859397610739442";"-1.93814043283136";"0.83939393072595";"170"
"27";"htag_dance";"-0.878730361564644";"-2.31903156356822";"0.83939393072595";"171"
"28";"htag_cinema";"-0.725664235986848";"-1.89461754796823";"0.837649207516083";"177"
"29";"htag_winter";"-0.924578985082751";"-2.43893578294605";"0.836569964845236";"183"
"30";"htag_rentreescolaire";"-0.845358869867569";"-1.79409475594723";"0.836569964845236";"185"
"31";"htag_auto";"-0.924578985082751";"-2.43893578294605";"0.836569964845236";"186"
"32";"htag_police";"-0.924578985082751";"-2.43893578294605";"0.836569964845236";"187"
"33";"htag_froid";"-0.944635333191834";"-2.53272322154895";"0.836497595803168";"189"
"34";"htag_mulet";"-0.944635333191834";"-2.53272322154895";"0.836497595803168";"194"
"35";"htag_hopsuisse";"-0.951875454583078";"-2.48713048266051";"0.83451531334651";"204"
"36";"htag_nyon";"-0.583582272346917";"-1.50581880869836";"0.833616993280835";"210"
