"";"";"";"";"htag_propreenordre";""
"37";"htag_chien";"-0.884466288864585";"-2.25136090574024";"0.833503719997597";"211"
"38";"htag_tv";"-0.740045064526618";"-1.84059914060001";"0.833503719997597";"212"
"39";"htag_passion";"-0.812255676695602";"-2.04598002317013";"0.833503719997597";"214"
"40";"htag_vieillesse";"-0.900065670727205";"-2.32430669132028";"0.830056751059077";"224"
"41";"htag_securiteroutiere";"-0.799899455055188";"-1.30216234879679";"0.828216060206466";"232"
"42";"htag_switzerland";"-0.506268998037907";"-1.92585211159305";"0.827475064145287";"241"
"43";"htag_telephone";"-0.834318952778307";"-2.1271038895666";"0.82618343406837";"246"
"44";"htag_mountain";"-0.877780839494891";"-2.22009842620594";"0.825069580116534";"256"
"45";"htag_rollerskating";"-0.877780839494891";"-2.22009842620594";"0.825069580116534";"257"
"46";"htag_roller";"-0.877780839494891";"-2.22009842620594";"0.825069580116534";"258"
"47";"htag_metier";"-0.877780839494891";"-2.22009842620594";"0.825069580116534";"259"
"48";"htag_marionnette";"-0.757429819213252";"-1.87779695525575";"0.825069580116534";"260"
"49";"htag_instaneuch";"-0.880998671224332";"-2.19983498669997";"0.825069580116534";"261"
"50";"htag_fusee";"-0.877780839494891";"-2.22009842620594";"0.825069580116534";"262"
"51";"htag_fille";"-0.877780839494891";"-2.22009842620594";"0.825069580116534";"263"
"52";"htag_drague";"-0.877780839494891";"-2.22009842620594";"0.825069580116534";"264"
"53";"htag_collection";"-0.877780839494891";"-2.22009842620594";"0.825069580116534";"265"
"54";"htag_chaussettes";"-0.877780839494891";"-2.22009842620594";"0.825069580116534";"266"
"55";"htag_cadeaudenoel";"-0.877780839494891";"-2.22009842620594";"0.825069580116534";"267"
"56";"htag_an2000";"-0.877780839494891";"-2.22009842620594";"0.825069580116534";"268"
"57";"1966";"-0.846801531369552";"-1.86644127805554";"0.824636939104169";"272"
"58";"htag_swisscheese";"-0.949462080785997";"-2.50232806228999";"0.819538068118434";"300"
"59";"htag_printemps";"-0.932748457361761";"-2.42417186345424";"0.819538068118434";"301"
"60";"htag_ecole";"-0.799018418320298";"-1.49004999541387";"0.819350852553083";"302"
"61";"htag_raclette";"-0.951070996650717";"-2.492196342537";"0.819135318666922";"305"
"62";"cette";"-0.219546814434692";"0.13905013287227";"0.817544772981462";"314"
"63";"chez";"-0.44326231513677";"-0.350469915996037";"0.816997285445813";"318"
"64";"htag_armeesuisse";"-0.735993025587322";"-0.688187670310641";"0.8169233431637";"321"
"65";"htag_peur";"-0.713967932496668";"-1.7848024186164";"0.8169233431637";"322"
"66";"htag_vaud";"-0.761893937431719";"-1.83478565983";"0.816509581031874";"328"
"67";"htag_culte";"-0.304582154295506";"-1.59308658882945";"0.814571349296476";"354"
"68";"30";"-0.425285500992069";"-0.125367868328963";"0.814412452051934";"356"
"69";"htag_grevedesfemmes";"-0.579221316757916";"-0.312884086084901";"0.8141418547642";"358"
"70";"htag_jeunesse";"0.0331091630205225";"-1.76547315372706";"0.814133988563975";"360"
"71";"htag_avion";"-0.648061951974766";"-0.696522715525008";"0.813764277153408";"365"
"72";"quinze";"-0.584906789940454";"0.537674861810022";"0.813459068584685";"369"
"73";"htag_assurancemaladie";"-0.791093605833568";"-1.33001926634226";"0.813312757260503";"376"
"74";"htag_fetedesmeres";"-0.820624349125651";"-1.30264891871417";"0.813312757260503";"378"
"75";"htag_camping";"-0.79791154658612";"-0.947788428155705";"0.813312757260503";"382"
"76";"17";"-0.389057848193144";"-0.669164066691329";"0.813042159972769";"386"
"77";"100";"-0.502387010543033";"0.0972245154305247";"0.812585920359729";"390"
"78";"puisque";"-0.780654092999255";"-0.352805763217357";"0.81249467243712";"391"
"79";"jamais";"-0.42258622023398";"-1.00581010222663";"0.81228857799123";"395"
"80";"même";"-0.291392803126272";"-0.455030574723283";"0.812157999067498";"398"
"81";"htag_bonheur";"-0.830116046533958";"-1.60710376264228";"0.812082483545339";"401"
"82";"htag_nouvelan";"-0.760101412635701";"-1.93438657920291";"0.812082483545339";"404"
"83";"htag_paleofestival";"-0.707151124357997";"-1.82785684014258";"0.81203843282408";"409"
"84";"htag_comedien";"-0.670506045780084";"-1.69180788197706";"0.81203843282408";"410"
"85";"htag_chateaudoex";"-0.670506045780084";"-1.69180788197706";"0.81203843282408";"411"
"86";"htag_chanson";"-0.865292595524807";"-2.262211524122";"0.811895267979988";"413"
"87";"derrière";"-0.502224795467536";"-1.03441142243914";"0.811874815859404";"414"
"88";"2022";"-0.456412440950345";"-0.162325043411088";"0.8115947791314";"419"
"89";"laquelle";"-0.227170096900078";"0.505301732893926";"0.811462626967623";"421"
"90";"vouloir";"-0.325671725252263";"-0.597747419450035";"0.810971776073593";"428"
"91";"jusqu";"-0.362372159965419";"0.713026687181738";"0.810661847784735";"432"
"92";"57";"-0.556859497247024";"0.556316473720329";"0.810260671573269";"438"
"93";"1990";"-0.697908915887107";"-1.18768661137488";"0.810166277170571";"439"
"94";"trop";"-0.3965022423641";"-0.219261300106616";"0.810075029247963";"440"
"95";"enfin";"-0.254847125241973";"-1.23036595196323";"0.80975723475888";"451"
"96";"1960";"-0.714382026974279";"-1.38171250084053";"0.80975723475888";"452"
"97";"150";"-0.291264005721924";"0.801374110654096";"0.809469331830651";"454"
"98";"htag_backtoschool";"-0.645081473429837";"-0.240100515473793";"0.809381230388133";"456"
"99";"aussi";"-0.353053846620737";"-0.453386997960633";"0.809264810624805";"460"
"100";"htag_stoptabac";"-0.78719710227718";"-1.14633652104266";"0.809131085220983";"462"
"101";"htag_autoroute";"-0.700273328844012";"-0.960347447763971";"0.809131085220983";"463"
"102";"huit";"-0.319445639490453";"-0.00810976625596119";"0.808913978094778";"471"
"103";"1963";"-0.789027084169451";"-1.59022293698496";"0.808891952734148";"472"
"104";"htag_alcool";"-0.672988194663476";"-0.852646290321432";"0.808780252690956";"473"
"105";"déjà";"-0.292130657248884";"0.0759300845966288";"0.808638661086909";"474"
"106";"merci";"-0.0296274768301871";"-0.353006748921486";"0.808600903325829";"475"
"107";"2012";"-0.688975383810486";"-0.613436869934001";"0.808567865284885";"477"
"108";"autour";"-0.315115332463356";"0.317137842192663";"0.808544266684211";"478"
"109";"sinon";"-0.69644417488117";"-0.686152057544659";"0.808526961043716";"480"
"110";"htag_protectioncivile";"-0.69644417488117";"-0.686152057544659";"0.808526961043716";"481"
"111";"lorsque";"-0.612614413895318";"-0.210841422507495";"0.808497069482862";"482"
"112";"celui";"-0.113270150093104";"-0.0270599081840186";"0.808375929999399";"483"
"113";"1000";"-0.197429522390166";"0.595069180358853";"0.80836019759895";"484"
"114";"40";"-0.49901773907279";"-0.165305498713009";"0.808256363755982";"486"
"115";"htag_stress";"-0.826556660005843";"-1.49293319616923";"0.808165115833374";"488"
"116";"1954";"-0.761363829930968";"-1.35344139121022";"0.808165115833374";"489"
"117";"htag_lausannecity";"-0.78613389586003";"-0.922656266817893";"0.808165115833374";"491"
"118";"htag_chorale";"-0.764108802769376";"-2.01927101512366";"0.808165115833374";"492"
"119";"lendemain";"-0.778489155883322";"-0.116785055501407";"0.80811634539198";"494"
"120";"soi";"-0.668887881205787";"-1.03846635799047";"0.808092746791305";"495"
"121";"46";"-0.457263169450316";"0.812949456483018";"0.808092746791305";"496"
"122";"21";"-0.289878024886022";"-0.145329811559804";"0.808084880591081";"497"
"123";"1985";"-0.356452958661171";"-1.75873702435022";"0.808007791828877";"498"
"124";"divers";"-0.611827247265851";"-0.444127781893851";"0.807905531225955";"500"
"125";"250";"-0.713903318823371";"-0.183081573979038";"0.80790081150582";"502"
"126";"1989";"-0.742902257445822";"-1.14023770496717";"0.80790081150582";"504"
"127";"2003";"-0.748502237427319";"-1.2794581278885";"0.807825295983661";"506"
"128";"18";"-0.253844475426701";"0.052206225962364";"0.807520087414938";"510"
"129";"2016";"-0.275806371776773";"0.106857071138923";"0.807370629610666";"511"
"130";"nos";"-0.047048890086523";"-0.926067604565531";"0.807254209847339";"514"
"131";"htag_velo";"-0.640013223614043";"-1.09598543312151";"0.807221171806394";"517"
"132";"htag_television";"-0.741451741430103";"-1.88683913724055";"0.807221171806394";"518"
"133";"mince";"-0.623882072114322";"-1.00000875046502";"0.807221171806394";"519"
"134";"htag_vache";"-0.739038367633022";"-1.90203671687003";"0.807221171806394";"520"
"135";"htag_acteur";"-0.739038367633022";"-1.90203671687003";"0.807221171806394";"521"
"136";"hier";"-0.640013223614043";"-1.09598543312151";"0.807221171806394";"522"
"137";"cent";"-0.580714335130101";"0.236097802799765";"0.807221171806394";"523"
"138";"2014";"-0.648952507250676";"-1.11724304871864";"0.807221171806394";"525"
"139";"1953";"-0.651365881047757";"-1.10204546908916";"0.807221171806394";"526"
"140";"500";"-0.365969838537507";"0.721458440082493";"0.807078006962302";"527"
"141";"où";"-0.362576436617967";"-0.031865882950584";"0.806977319599425";"529"
"142";"plein";"-0.470454465254112";"-0.609497498244216";"0.806768078673444";"531"
"143";"27";"-0.295280990176337";"0.274441938853261";"0.806650085670072";"532"
"144";"2015";"-0.715486933534118";"-0.994123270340221";"0.806387354582562";"539"
"145";"1995";"-0.651441447271074";"-0.588532240239278";"0.806387354582562";"541"
"146";"d_abord";"-0.685179212110105";"-0.691584131856303";"0.806324424980764";"542"
"147";"surtout";"-0.528377550088083";"-0.330454778554061";"0.80625362917874";"544"
"148";"11";"-0.220989256206153";"0.330801165865121";"0.806231603818111";"545"
"149";"55";"-0.20394877353624";"-1.05226672262627";"0.806008203731725";"547"
"150";"5000";"0.0726471083813811";"-0.418331453767531";"0.806008203731725";"548"
"151";"onze";"-0.692408610152407";"-0.292770459184693";"0.805998764291456";"550"
"152";"arrière";"-0.588956588176958";"0.135687927184003";"0.805935834689657";"553"
"153";"7000";"-0.545637718746102";"0.344768022749019";"0.805935834689657";"554"
"154";"6000";"-0.523763758102082";"0.275179732143023";"0.805935834689657";"555"
"155";"elle_même";"-0.500237994612916";"0.402283866590947";"0.805750192364351";"557"
"156";"gare";"-0.717280346661319";"-0.37514660052405";"0.805725020523631";"560"
"157";"140";"-0.621211955715524";"0.244745337142911";"0.805438690835448";"566"
"158";"68";"-0.639922485508456";"0.00144008799691436";"0.805438690835448";"567"
"159";"lorsqu";"-0.530296654113201";"0.192103674780747";"0.805378907713739";"568"
"160";"50";"-0.465872994477361";"0.109902942606995";"0.805251475270097";"569"
"161";"malgré";"-0.317780343685198";"0.397381293552317";"0.805196411868523";"571"
"162";"1200";"0.095557381226054";"-1.15882477515518";"0.805153934387309";"572"
"163";"htag_chansonfrancaise";"0.30021357384686";"-2.07019807055013";"0.805153934387309";"574"
"164";"750";"-0.512099754097371";"0.625560485464015";"0.80510044422578";"576"
"165";"quatre";"-0.265106172099103";"0.466471030014894";"0.804988744182587";"577"
"166";"sous";"-0.164574178827023";"0.0470883174355906";"0.804900642740069";"578"
"167";"ainsi";"0.0103799442155592";"0.125284775874273";"0.804899069500024";"579"
"168";"autant";"-0.181838952763148";"-0.729220719989377";"0.8048597384989";"580"
"169";"envers";"-0.413667277118353";"0.0125689829751611";"0.804735452535348";"581"
"170";"800";"-0.526895426623068";"0.892430352981766";"0.804718146894853";"582"
"171";"htag_radio";"-0.682811996458183";"-1.27738748850051";"0.804414511566175";"586"
"172";"jusqu_au";"-0.585258708820695";"0.032169603099854";"0.804392486205545";"587"
"173";"presque";"-0.531528192692308";"-0.814829450162797";"0.80438462000532";"588"
"174";"99";"-0.50528181334482";"0.243329647277457";"0.804350008724331";"589"
"175";"3500";"-0.48803557733497";"0.122201772339954";"0.804350008724331";"590"
"176";"2020";"-0.252328498603154";"0.364591976697968";"0.803983443793854";"595"
"177";"130";"-0.638101867469192";"0.130903965880988";"0.803893769111291";"596"
"178";"voire";"-0.656812397262124";"-0.112401283265009";"0.803893769111291";"597"
"179";"19";"-0.260074275971558";"-0.121109998469766";"0.803851291630077";"598"
"180";"pendant";"-0.456366687694519";"-0.183819803645867";"0.803838705709717";"599"
"181";"1500";"0.225663454876534";"0.521228032644821";"0.803747457787109";"600"
"182";"12";"-0.276736892301869";"0.623639019711703";"0.803730152146615";"601"
"183";"htag_lundimatin";"-0.820223856849262";"-0.571956355186235";"0.803656209864501";"606"
"184";"33";"-0.542030499023817";"0.419240916291559";"0.803602719702972";"609"
"185";"outre";"-0.20607051987173";"0.23153013336152";"0.803541363341219";"610"
"186";"différents";"-0.532874491588229";"0.424092642281102";"0.803541363341219";"611"
"187";"six";"-0.451330544781426";"0.415730538456428";"0.803524057700724";"613"
"188";"1984";"-0.226775443446231";"-0.142893069997936";"0.803417077377666";"615"
"189";"très";"-0.34112044279749";"-0.322269985969428";"0.803355721015913";"617"
"190";"quasi";"-0.742352086423581";"-0.534616851881529";"0.803210982931776";"620"
"191";"10";"-0.393627651260828";"-0.0404382411160066";"0.803097709648538";"621"
"192";"eux";"-0.495671422290841";"-0.160886993046179";"0.802504598151586";"627"
"193";"15";"-0.442610389218853";"0.293375128690971";"0.802389751628304";"628"
"194";"maintenant";"0.122730772919365";"-0.546515065106086";"0.80234098118691";"629"
"195";"celle";"-0.394121134098685";"0.361749050763537";"0.802139606461154";"635"
"196";"sauf";"0.0940169711145395";"-0.195011285733353";"0.801887888053959";"637"
"197";"37";"-0.625374544920176";"0.356580556035291";"0.801815519011891";"638"
"198";"auxquels";"0.181660954151818";"-0.195705835415649";"0.801401756880065";"639"
"199";"autres";"0.124347944764954";"-0.211712839625292";"0.800605697417312";"644"
"200";"telle";"0.163635049097906";"-0.369348083083925";"0.80025329164724";"646"
