"";"";"";"";"htag_repack";""
"1";"htag_repack";"3.6510880921836";"0.410255868460893";"0.918033063976128";"110"
"2";"ehrenzeller";"3.60792547370131";"0.538073114209319";"0.906975549820248";"126"
"3";"envato";"3.40770348458919";"0.551021232581209";"0.906078414801428";"127"
"4";"gillieron";"3.45999209828887";"0.433804856389554";"0.899851777692543";"135"
"5";"sommeil";"-0.433055710184377";"0.575051568100722";"0.870363339682622";"216"
"6";"assurance";"-0.260768392615001";"0.777572669669554";"0.869201614843034";"227"
"7";"avocat";"-0.500407251846981";"2.03945346462466";"0.869091098210281";"228"
"8";"montant";"-0.222548696409259";"0.729162455977599";"0.865804203532632";"239"
"9";"pixabay";"3.60792547370131";"0.538073114209319";"0.865102097865729";"242"
"10";"mohammed";"3.60792547370131";"0.538073114209319";"0.865102097865729";"243"
"11";"ministre";"-0.307676092617654";"2.04742980245282";"0.863693335847045";"256"
"12";"emji_drapeau_états_unis";"-0.595760587104578";"1.97571170083101";"0.863382589079656";"258"
"13";"médecin";"-0.404926109882464";"0.636256359565955";"0.862228665414145";"263"
"14";"pollution";"-0.510936681774987";"0.772510316627307";"0.861538911606197";"265"
"15";"cantonal";"-0.24368020701123";"1.09255034557878";"0.861367285776509";"266"
"16";"appel";"-0.424011239987743";"1.14668095551737";"0.860580017292603";"274"
"17";"climatique";"-0.0105158061980653";"0.839106019559101";"0.858228613406318";"282"
"18";"procédure";"-0.192224449616021";"1.47803901798274";"0.858069989533425";"284"
"19";"près_de";"-0.393718576121311";"0.72509844216208";"0.857284021245197";"291"
"20";"député";"-0.345936058301383";"1.66223851277012";"0.855734187995293";"305"
"21";"emji_visage_avec_des_étoiles_à_la_place_des_yeux";"-0.498067398172004";"-2.17093230130701";"0.855563862361285";"306"
"22";"universitaire";"-0.600594506671326";"0.578830099267887";"0.854025080774657";"315"
"23";"vulnérable";"-0.543126040576379";"1.03379092644172";"0.854025080774657";"316"
"24";"cérébral";"-0.52229150314978";"1.05450991401018";"0.854025080774657";"317"
"25";"refuser";"-0.123507702081972";"1.06122005763394";"0.85361551913563";"319"
"26";"schuerpf";"3.60792547370131";"0.538073114209319";"0.853158500354303";"326"
"27";"christof";"3.60792547370131";"0.538073114209319";"0.853158500354303";"327"
"28";"wissam";"3.60792547370131";"0.538073114209319";"0.853158500354303";"328"
"29";"vernier";"-0.504463973374695";"2.22208115863078";"0.853134446734234";"331"
"30";"christelle";"-0.504463973374695";"2.22208115863078";"0.853134446734234";"334"
"31";"centriste";"-0.504463973374695";"2.22208115863078";"0.853134446734234";"335"
"32";"scrutin";"-0.508320960536252";"2.00255357318349";"0.852932266306079";"338"
"33";"candidat";"-0.537617290524935";"1.30940230892283";"0.852932266306079";"339"
"34";"voix";"-0.416253901745283";"1.16636598901045";"0.852353679228724";"342"
"35";"investissement";"0.0320436914616017";"0.878404387678606";"0.851920063969627";"345"
"36";"grave";"-0.340426158096603";"0.821725548356469";"0.850387783361396";"354"
"37";"social";"-0.119388145237438";"0.561666555764978";"0.850233060075541";"358"
"38";"emji_drapeau_russie";"-0.65078031079268";"2.79832030628795";"0.849909311351358";"365"
"39";"économie";"-0.15282454544475";"1.09091105995346";"0.849851452643623";"366"
"40";"annoncer";"-0.414578473867902";"0.954815459407456";"0.849466594722506";"368"
"41";"rénovation";"-0.486932125725323";"1.23920186043676";"0.848715731717624";"378"
"42";"syrie";"-0.632402791833004";"2.104483566199";"0.848433589255183";"381"
"43";"moderniser";"-0.484010151117095";"1.07538864407109";"0.848409535635113";"382"
"44";"martin_pêcheur";"-0.542356070527184";"0.65200256866793";"0.84775618730619";"384"
"45";"buergy";"3.60792547370131";"0.538073114209318";"0.847189952087789";"397"
"46";"berjawi";"3.60792547370131";"0.538073114209318";"0.847189952087789";"398"
"47";"emji_globe_avec_méridiens";"-0.572602380993295";"1.1574996869554";"0.846818096123467";"399"
"48";"cloudflare";"-0.572602380993295";"1.1574996869554";"0.846818096123467";"400"
"49";"expert";"-0.133608340401208";"0.982029094134311";"0.846184250729735";"405"
"50";"augmenter";"-0.0752061875387207";"0.710796114385504";"0.845815645254611";"406"
"51";"traitement";"-0.213699963121638";"0.761413464618734";"0.845703828426178";"408"
"52";"emji_sac_plein_d_argent";"-0.513868152488226";"0.755587087546481";"0.845121340761785";"411"
"53";"provisoire";"-0.484023625445893";"1.83602223056854";"0.844079884022545";"416"
"54";"mobilisation";"-0.0354561865559772";"1.50835074661466";"0.844079884022545";"417"
"55";"université";"-0.285258653103891";"0.941783665291263";"0.843749634319965";"420"
"56";"police";"-0.201058645942679";"1.19786756196672";"0.843735982265331";"421"
"57";"résultat";"-0.178485057190824";"0.744730290027273";"0.843693725905749";"423"
"58";"claude";"-0.81921424521872";"-2.03881597097783";"0.843633916904494";"425"
"59";"révéler";"-0.178768225495105";"0.512472569436861";"0.843462291074807";"427"
"60";"humanitaire";"-0.44321091377876";"1.85511088575561";"0.843364126301008";"429"
