"";"";"";"";"htag_repack";""
"61";"fan";"-0.575619520368632";"-1.56449017130497";"0.843154144698777";"433"
"62";"vérité";"-0.515820374644461";"2.04465091335155";"0.843128790883028";"434"
"63";"principalement";"-0.229883804453042";"0.304479095511313";"0.842921409672156";"437"
"64";"récompenser";"-0.617282868349944";"-1.59364736272861";"0.842476092651944";"441"
"65";"emji_ski";"-0.838398095868075";"-1.69097090820477";"0.842404581889574";"442"
"66";"walder";"-0.504463973374695";"2.22208115863078";"0.842403931791735";"443"
"67";"new_yorkais";"-0.504463973374695";"2.22208115863078";"0.842403931791735";"444"
"68";"libyen";"-0.504463973374695";"2.22208115863078";"0.842403931791735";"446"
"69";"jetten";"-0.504463973374695";"2.22208115863078";"0.842403931791735";"448"
"70";"ex_président";"-0.504463973374695";"2.22208115863078";"0.842403931791735";"449"
"71";"emji_pierre_précieuse";"-0.504463973374695";"2.22208115863078";"0.842403931791735";"450"
"72";"urgence";"-0.50695211067398";"1.11813977384747";"0.842168596373754";"453"
"73";"policier";"-0.447235573483313";"0.925092590622986";"0.842168596373754";"454"
"74";"contenir";"-0.128066959039765";"0.673773310781032";"0.841713527885947";"462"
"75";"thaïlande";"-0.659096877229162";"2.25400318549282";"0.841664120450128";"463"
"76";"pétrolier";"-0.632372882399743";"2.58298236982789";"0.841664120450128";"464"
"77";"moscou";"-0.632372882399743";"2.58298236982789";"0.841664120450128";"465"
"78";"venezuela";"-0.671682644709535";"2.88064018452468";"0.841555554110894";"469"
"79";"hezbollah";"-0.671682644709535";"2.88064018452468";"0.841555554110894";"471"
"80";"causer";"-0.185767811578393";"1.21866322566725";"0.841459339630614";"478"
"81";"emji_gyrophare";"-0.556672182460273";"1.72374723448714";"0.841459339630614";"479"
"82";"douane";"-0.254879668804745";"2.22508902374776";"0.841008821827685";"483"
"83";"washington";"-0.348214776175831";"1.73845082858129";"0.841008821827685";"484"
"84";"citoyen";"-0.15078156944807";"1.28172194553456";"0.840762434746429";"485"
"85";"leanza";"3.71343409665803";"0.22563095793539";"0.840751383083154";"487"
"86";"propagation";"-0.49374214986512";"0.700346872994328";"0.840702625745175";"489"
"87";"emji_vague";"-0.570781533194199";"0.663805275083006";"0.840702625745175";"490"
"88";"assureur";"-0.522907430723821";"0.793131260468984";"0.840702625745175";"491"
"89";"rétro";"-0.874438114809963";"-2.20446718643875";"0.840475091501271";"494"
"90";"capable";"-0.237491756412503";"0.46512898078832";"0.840017422622105";"496"
"91";"exploit";"-0.880343937339063";"-2.26050813859576";"0.840016772524265";"497"
"92";"statistique";"0.179264974349764";"0.733840615210271";"0.839936160392139";"499"
"93";"bijoux";"-0.0830246789233628";"1.43135140905897";"0.839878301684404";"502"
"94";"prime";"-0.523611781118599";"0.742794716411703";"0.839871150608167";"503"
"95";"attacher";"-0.574350386633302";"1.43100459606956";"0.839868550216808";"505"
"96";"médecine";"-0.545084350810182";"0.653535903461725";"0.839868550216808";"506"
"97";"jelassi";"-0.540521085653061";"1.335416502152";"0.839868550216808";"507"
"98";"malfaiteur";"-0.501810063939345";"1.47071372001453";"0.839643616364263";"509"
"99";"hommage";"-0.30014467882388";"-1.50794866851493";"0.839427133783635";"511"
"100";"baisser";"-0.381723248371414";"1.08964485473601";"0.839346521651509";"512"
"101";"débourser";"-0.562389930660937";"0.484168386220736";"0.839191148267814";"514"
"102";"carrière";"-0.553028097061278";"-1.71779212741945";"0.838844646119241";"517"
"103";"genevoise";"-0.281512943600567";"0.274429118339766";"0.83880043946614";"518"
"104";"friday";"-0.484010151117095";"1.07538864407109";"0.838624262951574";"520"
"105";"effraction";"-0.484010151117095";"1.07538864407109";"0.838624262951574";"521"
"106";"découverte";"-0.212419112374444";"0.212797368135185";"0.838609310701261";"522"
"107";"national";"-0.310232797012262";"0.4775075553378";"0.838243955715335";"524"
"108";"éthique";"-0.39651430854099";"0.797035481647125";"0.838063878613731";"525"
"109";"conséquence";"0.170452033619409";"0.952637977320595";"0.838008620297355";"527"
"110";"emji_symbole_d_avertissement";"-0.209135392823815";"1.07201363550738";"0.837873399946692";"528"
"111";"entreprise";"-0.227493526450851";"0.953679053395864";"0.837856497402859";"529"
"112";"cliché";"-0.635400970775613";"-1.63789144475558";"0.837840244956866";"531"
"113";"tessinoise";"-0.873210198352481";"-1.87098138482348";"0.837827893097911";"532"
"114";"améliorer";"-0.429769809856619";"0.931140229128217";"0.837718676660838";"533"
"115";"action";"-0.306491118592658";"0.738036749909167";"0.837379975686341";"537"
"116";"rencontre";"-0.449420874352243";"-0.92355894710651";"0.837210950248012";"538"
"117";"sanction";"-0.627424552837307";"1.93306419512434";"0.837057527157837";"539"
"118";"vente";"-0.376705888456458";"0.761659826891077";"0.836906054361181";"542"
"119";"facteur";"-0.471232706195954";"0.344794256794818";"0.836868348686477";"543"
"120";"supprimer";"-0.482815096707909";"1.3228547220379";"0.836590756908915";"545"
"121";"diminution";"-0.492108228852258";"0.81652802012357";"0.83657840504996";"546"
"122";"déposer";"-0.13501036502485";"1.27295099002549";"0.836471138906405";"548"
"123";"responsable";"-0.0504105805456135";"1.53273236890472";"0.836232552999226";"549"
"124";"chanteur";"-0.40427987679956";"-1.5444608174896";"0.836212399966195";"551"
"125";"abonnement";"-0.0718820633247107";"0.590611950805772";"0.836099282942083";"553"
"126";"loyer";"-0.502164274218544";"0.51123481705438";"0.836099282942083";"554"
"127";"shein";"-0.486120618075937";"1.8546899884103";"0.835993316994208";"556"
"128";"présumer";"-0.512930974303429";"2.11258306561796";"0.835993316994208";"557"
"129";"corruption";"-0.55224073661322";"2.41024088031475";"0.835993316994208";"559"
"130";"communiste";"0.0910503700367636";"1.82984257340326";"0.835993316994208";"560"
"131";"vestiaire";"-0.880098855538706";"-2.06336454090051";"0.835967313080619";"561"
"132";"assemblée";"-0.515644792605423";"1.99019188022421";"0.835895802318249";"563"
"133";"incident";"-0.556849852966998";"1.56671813920311";"0.83579763754445";"565"
"134";"évacuer";"-0.627094818885738";"1.30571148732617";"0.835796987446611";"566"
"135";"sarah";"-0.612082086021295";"0.502316837545242";"0.835796987446611";"567"
"136";"excessif";"-0.525998633444557";"1.24980173331266";"0.835796987446611";"568"
"137";"emji_billet_avec_des_ailes";"-0.574175541094754";"0.504939431900497";"0.835787886076855";"570"
"138";"cochon";"-0.784296352391442";"-1.54059024976682";"0.835531097430163";"572"
"139";"freshfocus";"3.60792547370131";"0.538073114209319";"0.835259356533158";"575"
"140";"congrès";"-0.512134701514298";"1.87375538306955";"0.835095531877548";"576"
"141";"macron";"-0.160777872544151";"1.53759767159252";"0.835095531877548";"577"
"142";"conservateur";"-0.110797928430465";"1.37642286255663";"0.835095531877548";"578"
"143";"emji_sapin_de_noël";"-0.640085484761106";"-1.50218801739031";"0.834978514266397";"579"
"144";"réduire";"-0.0975650780749894";"0.901595799832745";"0.834960961624725";"580"
"145";"écosystème";"-0.505895630030636";"0.688260796912729";"0.8347347275765";"585"
"146";"epfz";"-0.51883030703801";"0.77910670311585";"0.8347347275765";"586"
"147";"emji_adn";"-0.549917648143712";"0.778376848239797";"0.8347347275765";"587"
"148";"terme";"-0.0465180377838602";"0.692389757343129";"0.834497441865001";"588"
"149";"identifier";"-0.374071921787733";"0.810850849052487";"0.834497441865001";"589"
"150";"notamment";"-0.11968078378378";"0.515917965407944";"0.834182144412734";"590"
"151";"inondation";"-0.539052870643694";"1.10349402996102";"0.834100882182769";"591"
"152";"chaleur";"0.00651612026146731";"0.253397039113105";"0.834100882182769";"592"
"153";"légèrement";"-0.521997833767335";"0.588758300893037";"0.834100882182769";"593"
"154";"funiculaire";"-0.528580362880219";"1.06738363562833";"0.834031321713918";"597"
"155";"acheminer";"-0.541515039887594";"1.15822954183145";"0.834031321713918";"598"
"156";"exemplaire";"-0.561917779815654";"-0.890757706700699";"0.833929906450921";"600"
"157";"carburant";"-0.559258451232558";"1.55616274249095";"0.833386424656911";"604"
"158";"besoin";"-0.274231923173899";"0.565257052608512";"0.833379923678514";"605"
"159";"perte";"-0.17443768744672";"0.798334937355311";"0.833243403132171";"606"
"160";"travailleur";"8.87437778468127e-05";"0.518523273466935";"0.833141987869174";"609"
"161";"réduction";"0.172237403009438";"0.820427964857674";"0.833141987869174";"610"
"162";"établissement";"-0.566556616072725";"0.959816634520177";"0.832894300592239";"611"
"163";"émotionnel";"-0.432829912166813";"0.602796473143403";"0.83272592525175";"614"
"164";"nationalité";"-0.508069212508821";"0.143241804711491";"0.83272592525175";"615"
"165";"publicité";"-0.466402582956707";"1.0477711154946";"0.832619309206036";"616"
"166";"colis";"0.0976301063915917";"1.16244249902794";"0.832619309206036";"617"
"167";"jouet";"-0.776761496661955";"-1.73602474664517";"0.832586804314049";"620"
"168";"collaboration";"-0.569927033585966";"-0.114175677190532";"0.832558850106941";"621"
"169";"emji_porte_documents";"-0.477416213110777";"1.16812262731614";"0.832339117037114";"624"
"170";"salon";"-0.876103011338875";"-2.32249438665594";"0.832105081814813";"625"
"171";"cigarette";"-0.190119012133667";"0.78403514934935";"0.831939956963523";"627"
"172";"emji_hôpital";"-0.545399023697046";"1.47185956633316";"0.831939956963523";"628"
"173";"lausannois";"-0.827584738048453";"-1.94328427098773";"0.831391274386795";"631"
"174";"amende";"0.112190133322352";"0.784040045774051";"0.831360069690488";"632"
"175";"observer";"-0.505257885702018";"0.647752418497647";"0.831317813330906";"633"
"176";"fuite";"-0.316582201899407";"0.775798941432184";"0.831059074390696";"639"
"177";"alimentaire";"-0.456451702484823";"1.13470976495859";"0.830960259519058";"640"
"178";"craindre";"-0.499847566123926";"0.915501288266917";"0.83093230531195";"641"
"179";"salle";"-0.673790990087415";"-1.324304382945";"0.830825039168395";"642"
"180";"budget";"-0.199210438865619";"1.06965441040661";"0.830555898662749";"644"
"181";"chaussette";"-0.932100115623627";"-2.4741060724221";"0.830540296314595";"645"
"182";"adepte";"-0.863967379382999";"-2.14849157520957";"0.830347217256197";"646"
"183";"chômage";"-0.576135187532039";"0.353766270947091";"0.829777081450758";"648"
"184";"emji_immeuble_de_bureaux";"-0.521544649835582";"1.43643895216181";"0.829777081450758";"649"
"185";"gratuit";"-0.466069998729152";"1.14057212133117";"0.829692568731594";"650"
"186";"alpage";"-0.821426509824328";"-2.05106745327418";"0.829482587129363";"653"
"187";"hippie";"-0.873005518516455";"-2.1977680836814";"0.829482587129363";"654"
"188";"froid";"-0.459257541282721";"-1.25649122796626";"0.829457233313614";"655"
"189";"secret";"-0.797286567567845";"-1.73421330558391";"0.829457233313614";"656"
"190";"emji_étincelles";"-0.597970497419729";"-1.17248058439282";"0.829428629008666";"657"
"191";"grippe";"-0.53056037394869";"0.903152030079213";"0.829380521768526";"659"
"192";"planète";"-0.348022925792639";"-0.392902023229074";"0.829380521768526";"660"
"193";"anadolu";"3.60792547370131";"0.538073114209318";"0.829297309245041";"661"
"194";"petra";"3.60792547370131";"0.538073114209318";"0.829297309245041";"662"
"195";"orosz";"3.60792547370131";"0.538073114209318";"0.829297309245041";"663"
"196";"htag_fifa";"3.60792547370131";"0.538073114209318";"0.829297309245041";"664"
"197";"evan";"3.60792547370131";"0.538073114209318";"0.829297309245041";"665"
"198";"bieri";"3.60792547370131";"0.538073114209318";"0.829297309245041";"666"
"199";"secteur";"-0.217420012618115";"0.70402076971473";"0.829296659147202";"667"
"200";"outil";"-0.453095363689944";"0.774241709172893";"0.829274555820651";"668"
"201";"masculin";"-0.472731749296249";"-1.69484700935968";"0.829035319815632";"669"
"202";"recommander";"-0.486892695310251";"0.549277374122194";"0.828890998095213";"671"
"203";"gréviste";"-0.484010151117095";"1.07538864407109";"0.828842890855074";"672"
"204";"emji_montre";"-0.484010151117095";"1.07538864407109";"0.828842890855074";"673"
"205";"envie";"-0.913003727480114";"-2.15294050341558";"0.828745376179115";"674"
"206";"zurich";"-0.255817112298876";"0.328812393825875";"0.828744075983436";"675"
"207";"adapter";"-0.303850859176412";"0.452338048989337";"0.828714821580648";"676"
"208";"employé";"-0.237540561370782";"0.914509044061217";"0.828641360524759";"677"
"209";"nostalgique";"-0.583582272346924";"-1.50581880869837";"0.828620557393888";"679"
"210";"mélodie";"-0.583582272346924";"-1.50581880869837";"0.828620557393888";"680"
"211";"genèse";"-0.583582272346924";"-1.50581880869837";"0.828620557393888";"681"
"212";"municipal";"-0.489296862685442";"1.219007394666";"0.82861470651333";"682"
"213";"impact";"-0.130069434538291";"0.709358257418626";"0.828575700642947";"684"
"214";"théâtre";"-0.582982151660426";"-0.774094849328756";"0.828547746435839";"685"
"215";"téléspectateur";"-0.71655492682593";"-1.31585460380724";"0.828537994968243";"687"
"216";"culte";"-0.610695715827263";"-1.34430947285469";"0.828534744479044";"688"
"217";"connaissance";"-0.602094343649006";"0.493714604849257";"0.828530843892006";"689"
"218";"directeur";"-0.335814982409873";"0.674165191895139";"0.828320212191935";"691"
"219";"emblématique";"-0.565376353395723";"-0.478601336146431";"0.828262353484199";"692"
"220";"devenir";"-0.314171488245373";"-0.858608891365573";"0.828181091254234";"694"
"221";"oscar";"-0.629920591851076";"-1.62658307048995";"0.828109580491864";"695"
"222";"droite";"-0.124696670162768";"1.00244785216542";"0.827956807499529";"697"
"223";"vraiment";"-0.65302934198267";"-1.99024382903046";"0.827817686561828";"698"
"224";"produit";"-0.161205689522206";"0.706091728506316";"0.827766978930329";"699"
"225";"emji_trophée";"-0.707151124357999";"-1.82785684014259";"0.827707820026914";"700"
"226";"milliardaire";"-0.532362243123607";"0.655743223435426";"0.827700668950677";"701"
"227";"convention";"-0.529190129720759";"0.658461545052948";"0.827700668950677";"702"
"228";"évaluation";"-0.469429430399329";"0.952877094039705";"0.827700668950677";"703"
"229";"anticiper";"-0.478186626359482";"1.32726762740802";"0.827700668950677";"704"
"230";"aliment";"0.0364290378377433";"0.926600293818886";"0.827517991457714";"705"
"231";"ambiance";"-0.782860030082017";"-1.90582795696465";"0.827430878347191";"706"
"232";"plaisir";"-0.843136667261882";"-2.11344617155642";"0.827213095570883";"708"
"233";"européen";"-0.302882905433472";"0.986308852458496";"0.827101928840291";"709"
"234";"sonder";"-0.396514308540989";"0.797035481647125";"0.827040819643356";"710"
"235";"adulte";"-0.306862027568764";"0.486374622224866";"0.82700831475137";"711"
"236";"grain";"-0.783954088222486";"-1.52062830909393";"0.826966708489628";"713"
"237";"copain";"-0.783954088222486";"-1.52062830909393";"0.826966708489628";"714"
"238";"cheval";"-0.864409940755411";"-2.1575734671373";"0.826966708489628";"715"
"239";"boucle";"-0.772284904340469";"-1.4359510940133";"0.826966708489628";"716"
"240";"miracle";"-0.774001858725742";"-1.52719925761095";"0.826949805945795";"717"
"241";"déforestation";"-0.539053032966415";"1.12673667443512";"0.826932253304122";"718"
"242";"infection";"-0.494367107338606";"0.782692458822105";"0.826932253304122";"719"
"243";"considérablement";"-0.494367107338606";"0.782692458822105";"0.826932253304122";"720"
"244";"changement";"0.0192176394013087";"0.194104498254038";"0.826909499879732";"721"
"245";"blanc";"-0.350695787551529";"-1.24945459750623";"0.826901698705655";"722"
"246";"plonger";"-0.624433758335241";"-0.861700614742392";"0.826854241563355";"723"
"247";"département";"-0.50075860011479";"1.39891163374131";"0.826837989117362";"724"
"248";"syndicat";"-0.206068121286607";"1.33813279678643";"0.826837989117362";"725"
"249";"achat";"-0.308546422368369";"0.697592062015573";"0.826774929626909";"726"
"250";"minimum";"-0.494614755855924";"0.876670973670701";"0.826755426691717";"727"
"251";"taurisson";"-0.411935689231519";"1.00061343550193";"0.826732673267327";"728"
"252";"régulation";"0.175548517493625";"0.760040857727438";"0.826732673267327";"729"
"253";"précaire";"-0.40901371462329";"0.836800219136263";"0.826732673267327";"730"
"254";"équiper";"-0.548051543984457";"0.299902680601064";"0.826617605949695";"731"
"255";"baptiser";"-0.448253016570489";"1.16041910645961";"0.82651164000182";"732"
"256";"coprésidente";"-0.448253016570489";"1.16041910645961";"0.82651164000182";"733"
"257";"suisse";"-0.402078928390736";"-0.246460665521862";"0.826482385599033";"734"
"258";"ami";"-0.79197802220555";"-1.42525629561634";"0.82632441182398";"737"
"259";"trottinette";"-0.466017211488033";"1.16000204653044";"0.826187891277637";"739"
"260";"alarme";"-0.461696309992874";"1.08778817248937";"0.826187891277637";"740"
"261";"piste";"-0.438782024563732";"-0.949546900666488";"0.825940204000702";"742"
"262";"valaisan";"-0.508475878709244";"-1.49457107509107";"0.825877144510249";"743"
"263";"caméra";"-0.35019758923392";"-1.05901039847136";"0.825813434921956";"744"
"264";"walkman";"-0.944635333191815";"-2.53272322154891";"0.825750375431503";"746"
"265";"stresser";"-0.944635333191815";"-2.53272322154891";"0.825750375431503";"747"
"266";"roulette";"-0.944635333191815";"-2.53272322154891";"0.825750375431503";"748"
"267";"musclé";"-0.944635333191815";"-2.53272322154891";"0.825750375431503";"749"
"268";"htag_liberté";"-0.944635333191815";"-2.53272322154891";"0.825750375431503";"750"
"269";"gymnastique";"-0.944635333191815";"-2.53272322154891";"0.825750375431503";"751"
"270";"partager";"-0.40808471785146";"-0.784215982359308";"0.825617105374359";"755"
"271";"emji_cerveau";"-0.456125323637894";"0.695247008778735";"0.825541694024951";"756"
"272";"vétérinaire";"-0.470294689379648";"0.522375460887199";"0.825541694024951";"757"
"273";"effet";"-0.20843318260788";"0.0858866102687877";"0.825505288545926";"758"
"274";"passant";"-0.893056324499688";"-2.38602259114169";"0.825405173478609";"759"
"275";"parlement";"0.124994393148188";"1.25982550703991";"0.82540257308725";"760"
"276";"départ";"-0.185312399198256";"-0.105830173015366";"0.825364867412546";"761"
"277";"droit";"-0.265544205449011";"0.909430823583222";"0.825328461933521";"762"
"278";"épisode";"-0.372394330155272";"-1.23734040153137";"0.825196492072057";"765"
"279";"année";"-0.435822196984662";"-0.616532724454487";"0.825083375047945";"767"
"280";"approuver";"-0.142199486306877";"1.24457954011978";"0.824978059197909";"770"
"281";"accorder";"-0.529481936927055";"0.558514090726164";"0.824978059197909";"771"
"282";"influencer";"-0.197379704333303";"0.395562573720279";"0.824788880726549";"772"
"283";"bébé";"-0.238584066925649";"0.23034177140987";"0.824788880726549";"773"
"284";"sentiment";"-0.53918757814036";"-0.122358090403258";"0.824788880726549";"774"
"285";"compétence";"-0.14918170137111";"0.895230501262865";"0.824788880726549";"775"
"286";"essentiel";"-0.524817418175095";"0.514099023413608";"0.824768727693518";"776"
"287";"panne";"-0.251162433549791";"-0.44721629312619";"0.824760276421602";"777"
"288";"immédiatement";"-0.579319287502171";"0.983873127915585";"0.824760276421602";"778"
"289";"projection";"-0.271174964654079";"-0.419916177547806";"0.824733622410173";"779"
"290";"construire";"-0.266426015757803";"0.586110778938583";"0.824611404016305";"780"
"291";"ville";"-0.254587444211621";"-0.1112181371905";"0.824537942960416";"781"
"292";"clair";"-0.362826471188129";"0.265399086153177";"0.824402722609753";"783"
"293";"complexe";"-0.338398399637159";"0.90628849294632";"0.824364366837209";"784"
"294";"soutenir";"-0.238386956136694";"1.39608583494186";"0.82398470969881";"786"
"295";"peur";"-0.745265711911565";"-0.920453493732074";"0.823981459209611";"787"
"296";"consacrer";"-0.169605868618735";"-1.3235579379015";"0.823981459209611";"788"
"297";"chaleureux";"-0.66381628586801";"-1.73401978933182";"0.823954155100343";"791"
"298";"animation";"-0.102822605477515";"-0.982471048913295";"0.823954155100343";"792"
"299";"ubs";"0.166700370753899";"1.28671131250306";"0.823893045903409";"793"
"300";"ordonnance";"0.212561760115323";"0.939443862023468";"0.823893045903409";"795"
"301";"fiscal";"-0.472091106268226";"1.10373213153393";"0.823893045903409";"796"
"302";"déficit";"-0.472836481064011";"1.22011186942705";"0.823893045903409";"797"
"303";"dépression";"-0.0312879448072212";"0.843232085964999";"0.823849489348147";"798"
"304";"élevé";"-0.17578079719694";"0.286259007240979";"0.823804632597206";"801"
"305";"metal";"-0.583582272346923";"-1.50581880869837";"0.823766276824662";"802"
"306";"panoramique";"-0.583582272346923";"-1.50581880869837";"0.823766276824662";"803"
"307";"wilde";"-0.583582272346923";"-1.50581880869837";"0.823766276824662";"804"
"308";"panorama";"-0.583582272346923";"-1.50581880869837";"0.823766276824662";"805"
"309";"pano";"-0.583582272346923";"-1.50581880869837";"0.823766276824662";"806"
"310";"last";"-0.583582272346923";"-1.50581880869837";"0.823766276824662";"807"
"311";"golinelli";"-0.583582272346923";"-1.50581880869837";"0.823766276824662";"808"
"312";"comedy";"-0.583582272346923";"-1.50581880869837";"0.823766276824662";"810"
"313";"réalisateur";"-0.659600038259125";"-1.43245495905762";"0.823589450212257";"813"
"314";"fidèle";"-0.631448966460862";"-1.33309691737807";"0.823589450212257";"814"
"315";"route";"-0.0782916674584403";"0.297151047480156";"0.823450329274556";"817"
"316";"nyon";"-0.582013716439262";"-1.12534473789069";"0.823364516359712";"818"
"317";"mélange";"-0.635161281039051";"-1.65251943910559";"0.823364516359712";"821"
"318";"individu";"-0.532983998289248";"0.622502997675042";"0.823330711272046";"822"
"319";"euro";"-0.334572387615918";"-0.180557575316368";"0.822978358242916";"825"
"320";"vert";"-0.504075311074436";"0.452215909516178";"0.822975107753717";"826"
"321";"fribourg";"-0.334375810997297";"0.0306075157723164";"0.82296730657964";"827"
"322";"possible";"-0.403988654921648";"0.96099110366586";"0.82289644591511";"828"
"323";"distance";"0.197624403143072";"0.795403107753405";"0.822795680749953";"830"
"324";"arme";"-0.352588337665665";"1.69757540702391";"0.822771627129883";"831"
"325";"magasin";"-0.623780050495306";"-0.0328511037495688";"0.822650708931694";"832"
"326";"réserver";"-0.00357379966183858";"0.538925799617309";"0.822650708931694";"833"
"327";"propriétaire";"-0.549745457950264";"-0.0843163428218252";"0.822650708931694";"834"
"328";"générer";"-0.186422549190071";"0.197015439010511";"0.8225902498326";"835"
"329";"décision";"-0.0162632527561448";"1.00154192388929";"0.822581798560683";"837"
"330";"nouvelle";"-0.370429779148963";"-0.0389125453474989";"0.822545393081659";"838"
"331";"discrimination";"-0.41391862736669";"0.877252580051681";"0.822388069404445";"839"
"332";"cerveau";"-0.470724439302429";"0.421303678752035";"0.822388069404445";"840"
"333";"chose";"-0.693149770836852";"-1.7394269743545";"0.822370516762773";"841"
"334";"association";"-0.406340153696401";"0.622130545380777";"0.82232956059887";"842"
"335";"zone";"-0.259359885141085";"0.705419233309336";"0.822310707761518";"843"
"336";"communal";"-0.462265774299592";"0.941976056428575";"0.822276252576013";"844"
"337";"activité";"-0.366053423876155";"0.330546382596727";"0.822264550814898";"845"
"338";"fréquence";"0.325341459901193";"0.83258329289288";"0.822248298368905";"846"
"339";"enseignant";"-0.528525482606637";"0.7610058054051";"0.822207342205002";"847"
"340";"utilisation";"-0.217590263310926";"0.989310589179284";"0.822160535160542";"848"
"341";"génération";"-0.705958271457231";"-1.24551142325289";"0.822157284671343";"849"
"342";"ps";"-0.213332766154135";"1.36404405471697";"0.822010362559565";"851"
