"";"";"";"";"*i_0218";""
"1";"*i_0218";"-0.391149926836701";"-1.73389312228313";"0.885865612207959";"72"
"2";"*postLikes_9400";"-0.134669377328529";"1.32651357034836";"0.877835621397344";"118"
"3";"*postLikes_3900";"-0.0604794873914889";"0.876978262812849";"0.87007059118376";"131"
"4";"*postLikes_5800";"-0.0216801243133123";"0.624207785706284";"0.866483667956893";"144"
"5";"*postLikes_11300";"0.261834923482054";"1.07494420094756";"0.864579933725042";"155"
"6";"*i_0125";"0.30652084910986";"0.730899985334553";"0.864579933725042";"158"
"7";"*i_0029";"0.299369422200554";"0.713893892856847";"0.864579933725042";"160"
"8";"*postComments_109";"0.260711508021717";"1.15094658988541";"0.86419397956058";"161"
"9";"*i_0634";"0.277130871469353";"1.24653066674126";"0.86325359917574";"166"
"10";"*i_0095";"0.2987208044361";"0.961521531344527";"0.86325359917574";"167"
"11";"*postLikes_359";"-0.844353592646419";"-2.06378602853444";"0.862875302832001";"168"
"12";"*postComments_132";"0.180831008652414";"0.8834226111659";"0.862284119072151";"169"
"13";"*postDate_10-11-2025";"0.104402994421821";"1.12112856105461";"0.860769402133051";"181"
"14";"*postDate_26-11-2025";"0.271152738413417";"0.776655380351451";"0.857721589485116";"189"
"15";"*postComments_223";"0.119834101594123";"0.676447668482704";"0.857710868536103";"190"
"16";"*i_0422";"-0.583582272346917";"-1.50581880869836";"0.857121216340397";"194"
"17";"*postComments_248";"0.167363275403083";"1.98556769590415";"0.856791930049289";"195"
"18";"*i_0879";"-0.301164857341617";"-2.05061637464211";"0.855093425412826";"200"
"19";"*postComments_199";"-0.477476557166258";"1.86581973938486";"0.85455278326975";"202"
"20";"*postReposts_77";"0.206997860924349";"0.639534599180039";"0.854493052268107";"210"
"21";"*postLikes_10200";"-0.0673462997418778";"-1.404683871247";"0.853224917156303";"213"
"22";"*postReposts_132";"0.320014963866003";"0.953602369006521";"0.852368772799421";"217"
"23";"*postComments_166";"-0.0540982994871853";"1.25920839724338";"0.852368772799421";"218"
"24";"*i_0732";"-0.396514308540956";"0.797035481647122";"0.851858761939239";"224"
"25";"*i_0675";"-0.396514308540956";"0.797035481647122";"0.851858761939239";"225"
"26";"*i_0552";"-0.396514308540956";"0.797035481647122";"0.851858761939239";"226"
"27";"*i_0269";"-0.396514308540956";"0.797035481647122";"0.851858761939239";"228"
"28";"*i_0497";"0.153683004747897";"1.02689157720295";"0.851241541588928";"230"
"29";"*i_0155";"0.151670291638931";"0.550298141337379";"0.851241541588928";"231"
"30";"*i_0680";"-0.448253016570506";"1.16041910645963";"0.850861713681045";"232"
"31";"*postComments_805";"-0.448253016570506";"1.16041910645963";"0.850861713681045";"233"
"32";"*i_0603";"-0.448253016570506";"1.16041910645963";"0.850861713681045";"234"
"33";"*postReposts_76";"-0.448253016570506";"1.16041910645963";"0.850861713681045";"235"
"34";"*i_0382";"-0.448253016570506";"1.16041910645963";"0.850861713681045";"236"
"35";"*i_0427";"-0.0418459679638645";"-1.86993169958295";"0.850772882960653";"244"
"36";"*i_0761";"0.227776731808131";"1.05669477441791";"0.850475759516583";"248"
"37";"*postLikes_900";"0.227776731808131";"1.05669477441791";"0.850475759516583";"249"
"38";"*i_0750";"0.386039666243212";"0.588031540007018";"0.850475759516583";"251"
"39";"*i_0209";"-0.190337431212737";"0.0475930480924563";"0.850226114560998";"252"
"40";"*i_0977";"-0.506158208586098";"1.09591640479218";"0.8495476316449";"257"
"41";"*i_0517";"-0.506158208586098";"1.09591640479218";"0.8495476316449";"260"
"42";"*i_0342";"0.538973755087551";"0.941059761605659";"0.8495476316449";"262"
"43";"*postComments_260";"0.538973755087551";"0.941059761605659";"0.8495476316449";"263"
"44";"*postComments_105";"-0.196188873132332";"0.920461827469285";"0.849411322436022";"268"
"45";"*i_0935";"0.0874467643870376";"2.14294488899253";"0.848817075547882";"269"
"46";"*i_0482";"0.063139804056002";"2.11877273682933";"0.848817075547882";"270"
"47";"*i_0224";"0.0788236463821127";"2.20350882646128";"0.848817075547882";"271"
"48";"*i_0485";"-0.493742149865099";"0.700346872994332";"0.84848319456434";"274"
"49";"*postDate_17-10-2025";"-0.00376692315270669";"0.501044223111711";"0.847752638467322";"281"
"50";"*i_0948";"0.110768405156023";"1.02292370048757";"0.847545877307789";"282"
"51";"*i_0930";"-0.605629135565368";"1.73187985281183";"0.847501461947593";"283"
"52";"*postLikes_1400";"-0.238847697639614";"0.274518007371859";"0.847475425357133";"285"
"53";"*postLikes_2100";"0.0554765984871909";"0.596286638987768";"0.847032803319317";"286"
"54";"*i_0617";"-0.35652823168654";"-1.99364543225184";"0.846386483250258";"287"
"55";"*postReposts_157";"-0.35652823168654";"-1.99364543225184";"0.846386483250258";"288"
"56";"*a_0940";"-0.484010151117036";"1.0753886440711";"0.846046476010136";"291"
"57";"*postLikes_22500";"-0.484010151117036";"1.0753886440711";"0.846046476010136";"292"
"58";"*postComments_424";"-0.484010151117036";"1.0753886440711";"0.846046476010136";"293"
"59";"*postReposts_298";"-0.484010151117036";"1.0753886440711";"0.846046476010136";"294"
"60";"*postDate_29-9-2025";"-0.484010151117036";"1.0753886440711";"0.846046476010136";"295"
"61";"*a_0809";"-0.583582272346917";"-1.50581880869836";"0.845688090000279";"296"
"62";"*i_0492";"-0.583582272346917";"-1.50581880869836";"0.845688090000279";"298"
"63";"*i_0470";"-0.583582272346917";"-1.50581880869836";"0.845688090000279";"299"
"64";"*i_0464";"-0.583582272346917";"-1.50581880869836";"0.845688090000279";"300"
"65";"*postReposts_212";"-0.583582272346917";"-1.50581880869836";"0.845688090000279";"302"
"66";"*i_0299";"-0.583582272346917";"-1.50581880869836";"0.845688090000279";"303"
"67";"*postReposts_39";"-0.290350048042173";"1.06083657128625";"0.845472139455877";"304"
"68";"*postLikes_18500";"-0.576711238710292";"-1.14618191247065";"0.845089248419704";"308"
"69";"*postDate_16-11-2025";"-0.215376208493474";"-1.09976988171475";"0.845026454289772";"310"
"70";"*postComments_119";"0.559510492846293";"1.41917361105482";"0.844882487260171";"312"
"71";"*postReposts_28";"-0.0959338244616234";"-0.364343899849698";"0.844344908245384";"314"
