,;405;191;452;305;306;515;538;198;263;139;343;289;584
.;419;208;577;365;333;573;566;209;380;128;376;303;621
suisse;112;33;66;67;79;130;82;37;34;8;37;16;78
emji_main_qui_écrit;6;12;7;7;10;38;45;12;483;85;20;18;42
!;85;3;157;85;12;13;5;4;15;122;3;5;55
rts;14;10;12;6;11;22;43;10;230;155;6;9;30
emji_appareil_photo;3;8;4;1;9;15;28;5;345;96;13;15;25
keystone;2;1;1;0;6;8;6;1;374;78;5;8;3
?;22;3;258;57;5;12;13;3;12;6;6;1;28
:;35;25;67;48;21;41;47;12;22;15;14;19;53
info;3;6;9;3;7;10;32;6;195;111;5;5;16
rtsinfo;3;8;4;1;7;26;21;6;225;17;11;8;27
année;23;18;71;23;30;35;23;20;12;5;8;8;54
premier;61;14;17;13;10;30;19;12;10;3;23;34;55
emji_drapeau_suisse;52;18;6;6;40;96;12;10;2;0;18;14;23
monde;87;7;20;23;6;8;13;10;9;2;9;2;36
grand;25;7;33;17;12;37;17;3;5;2;11;7;41
mettre;11;8;11;7;23;29;35;7;8;18;21;14;14
genève;12;6;16;17;19;34;18;7;6;4;9;4;22
lien;3;1;5;5;2;6;7;0;13;152;1;0;4
retrouver;6;1;20;22;2;4;10;6;9;47;2;6;11
jour;21;4;13;12;13;14;14;8;7;4;27;11;33
bio;2;0;4;4;1;5;3;0;12;155;0;0;3
emji_appareil_photo_avec_flash;3;2;0;0;0;4;2;0;170;3;0;0;9
ats;1;1;0;1;3;3;2;2;165;3;3;4;2
emji_main_avec_index_pointant_à_droite;6;1;4;2;3;3;13;3;42;78;2;0;8
dernier;44;5;3;7;12;14;16;10;10;2;22;15;16
jeune;4;5;45;30;3;17;36;5;3;0;2;7;18
pays;23;7;5;7;4;20;12;7;7;3;31;15;17
rester;15;14;10;2;13;15;31;13;11;3;8;7;22
nouveau;6;11;7;4;16;29;25;2;9;4;9;14;20
émission;1;4;22;32;4;8;5;1;2;21;0;0;15
petit;9;5;88;29;0;3;6;3;4;1;0;1;9
afp;1;3;1;4;2;3;2;3;87;11;9;7;10
femme;8;1;11;13;5;16;46;19;4;2;9;10;5
également;7;8;3;2;12;23;35;14;14;3;8;10;10
notamment;7;5;4;3;14;12;42;7;11;3;14;8;15
public;4;5;10;5;17;24;21;2;11;3;5;22;24
emji_chaînons;0;1;0;0;1;0;1;0;10;141;0;0;2
emji_caméscope;1;0;7;4;3;14;14;5;1;37;6;2;15
conseil;2;0;9;3;15;60;5;2;13;1;14;16;3
prendre;15;4;15;16;2;19;21;13;3;3;9;10;14
vie;3;6;26;43;2;5;26;4;5;1;7;2;11
permettre;8;8;6;7;11;33;28;7;10;1;2;9;10
passer;14;9;18;20;9;10;9;9;3;2;6;7;12
souligner;2;11;0;2;5;16;57;15;9;1;6;11;10
heure;6;3;24;7;7;14;13;5;7;1;13;7;8
aller;23;5;33;5;9;13;8;2;4;0;9;6;18
place;27;4;4;7;11;25;5;7;11;1;6;3;14
face;28;6;10;0;8;31;15;5;9;1;8;11;9
enfant;1;6;20;15;2;13;21;17;6;1;12;0;14
prévoir;4;1;1;0;23;31;6;5;23;1;16;5;10
fin;15;5;21;2;13;10;7;3;10;2;20;11;9
voir;13;6;10;13;8;18;5;0;5;11;2;10;35
annoncer;14;4;0;2;16;12;5;4;6;0;35;18;15
homme;9;6;11;17;2;5;26;11;7;0;14;13;4
canton;2;6;6;2;15;62;4;7;6;5;1;4;4
fédéral;0;3;4;0;32;42;9;1;10;1;9;10;3
temps;15;2;19;28;7;9;12;3;11;0;2;1;15
novembre;8;2;3;1;10;24;3;3;9;2;13;4;26
mondial;45;3;7;6;6;5;6;11;4;0;4;1;21
projet;0;4;3;0;13;55;8;1;7;1;6;2;15
franc;2;0;3;1;51;28;6;3;5;1;4;3;2
état;10;3;1;1;6;14;10;8;7;0;35;20;4
partir;3;2;8;20;9;16;5;3;7;1;2;29;5
devenir;13;1;10;15;7;5;7;4;6;3;0;10;37
américain;11;1;3;3;6;3;5;3;5;0;39;20;15
président;2;0;1;2;2;11;3;1;6;3;30;52;6
lausanne;3;4;9;15;7;15;8;4;3;1;1;6;20
viser;0;2;1;0;14;46;9;6;8;2;22;5;2
national;15;2;7;0;8;36;7;2;7;0;4;16;3
groupe;19;2;3;2;4;19;5;4;5;1;11;5;18
équipe;57;2;4;5;2;3;15;4;4;0;4;1;11
samedi;13;1;2;2;2;6;6;2;4;2;13;5;4
offrir;2;9;7;3;3;17;20;3;6;4;2;2;20
ville;4;2;7;7;6;30;7;0;3;4;5;4;22
travail;2;3;10;5;27;11;21;4;6;0;1;4;5
fois;15;8;4;6;8;10;8;4;4;3;2;5;18
cliquer;0;0;0;0;1;0;1;0;10;98;0;0;0
près_de;2;5;6;2;29;7;11;7;4;0;11;8;9
archive;3;0;5;5;0;3;2;1;5;12;0;1;17
noël;3;1;15;8;4;6;4;0;6;0;0;1;39
jean;2;0;6;10;0;6;3;0;50;9;0;4;11
décembre;8;0;4;1;4;20;5;3;10;2;6;2;19
connaître;10;5;16;7;4;1;7;2;9;0;1;4;33
