htag_humour;5;0;10;1;4;4;1;0
8;3;4;2;4;2;4;2;5
24;9;2;6;2;3;1;2;0
voici;2;2;16;1;4;3;0;0
ton;3;0;2;0;0;0;0;0
tard;7;4;0;2;3;8;1;1
pourquoi;2;1;5;1;12;3;1;1
malgré;5;9;0;3;2;1;6;2
16;3;5;0;5;0;2;6;6
quatre;3;6;2;5;3;0;1;7
devant;12;5;3;2;1;4;1;0
60;2;3;3;1;8;6;3;2
15;1;5;2;1;2;1;6;5
parmi;4;2;0;5;2;4;4;4
htag_vintage;2;0;5;0;5;4;1;0
100;4;3;2;1;1;3;6;4
pendant;3;2;5;1;7;1;3;2
htag_kids;0;0;6;0;8;4;1;1
e;2;3;3;0;3;0;3;6
12;4;3;3;4;1;0;3;6
11;4;4;1;7;0;2;2;3
vos;2;1;13;0;4;4;0;0
toutes;4;5;4;1;5;2;1;1
mon;4;0;6;1;7;6;0;0
jamais;2;2;5;1;3;9;0;1
htag_noel;4;0;13;0;2;4;0;0
force;4;3;2;2;0;2;2;0
tu;4;0;5;0;10;1;0;0
rien;1;1;10;0;8;3;0;0
moi;5;0;4;0;12;1;0;0
cependant;0;5;1;2;0;1;10;4
cela;2;0;7;0;1;3;5;4
7;8;3;2;1;1;1;4;3
25;6;1;2;4;1;3;1;6
18;1;7;1;1;3;1;3;4
vers;4;2;3;6;0;0;5;0
htag_retro;3;0;4;0;5;4;0;0
htag_eighties;1;0;5;0;5;2;1;0
13;1;3;2;7;1;1;2;2
htag_look;0;0;10;0;6;2;0;0
autour;1;4;1;0;4;4;4;2
70;3;2;5;0;3;3;2;3
22;7;1;3;6;1;1;0;0
1990;5;0;3;1;2;6;1;4
1970;6;1;3;0;7;2;0;3
14;2;2;1;8;3;2;0;2
via;3;0;1;6;0;4;2;1
monsieur;1;0;9;1;8;2;0;0
ici;3;5;0;2;3;3;2;3
htag_instafood;1;1;8;0;6;1;0;0
htag_geneve;1;0;5;1;6;4;0;0
htag_fashion;0;0;8;0;6;4;0;0
2023;1;3;2;3;0;1;3;7
2000;2;1;3;2;5;5;2;0
200;2;7;1;3;2;0;3;2
quel;2;0;3;0;5;8;0;2
htag_amour;1;0;5;0;9;1;0;0
surtout;1;1;4;1;5;3;2;2
quelque;2;0;3;3;8;1;1;0
madame;0;0;4;1;7;5;0;0
htag_vacances;0;1;5;0;8;1;0;0
htag_love;0;0;5;0;8;2;0;0
htag_lausanne;2;0;3;0;4;5;0;0
beaucoup;2;0;1;0;6;1;3;2
attention;1;0;5;0;7;2;1;1
300;1;3;0;4;2;0;6;1
19;4;3;0;3;0;0;3;4
parfois;3;0;1;0;2;4;5;2
htag_valais;0;1;8;0;2;3;0;0
htag_ski;1;0;10;0;2;1;0;0
htag_microtrottoir;0;0;2;0;12;3;0;0
gare;0;0;3;9;3;1;0;0
90;1;0;5;2;5;2;0;2
9;2;1;0;4;4;0;1;3
2022;3;2;3;3;0;2;1;3
ni;2;0;0;0;4;2;2;0
htag_hiver;0;0;9;1;3;0;0;1
17;2;3;1;5;1;1;2;2
mal;3;1;3;2;3;0;1;2
htag_jeunesse;1;0;0;0;5;8;0;0
htag_femme;1;0;1;0;7;3;1;2
derrière;5;2;1;0;1;1;3;2
tandis_que;1;1;0;2;1;1;2;7
près;1;1;1;2;0;1;1;6
pourtant;3;1;5;0;1;5;0;0
point;3;1;5;1;3;0;0;1
là;4;1;4;1;3;1;0;1
htag_switzerland;0;0;6;0;3;2;0;0
htag_neige;0;0;10;0;2;0;0;0
htag_enfants;0;0;2;0;9;2;0;0
autre;2;3;1;1;0;2;3;2
1968;4;0;1;1;1;7;0;0
tant;1;3;2;0;1;4;1;2
or;2;2;4;2;1;2;0;0
