"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13"
",";9,113;8,165;-31,619;-0,266;12,867;11,087;50,81;12,409;-515,343;-31,501;6,431;22,716;30,539
".";-2,604;10,706;11,268;20,346;16,114;27,08;32,182;6,037;-489,936;-306,989;7,46;10,712;15,217
"suisse";41,474;0,295;-6,089;4,579;23,686;33,353;-0,002;1,483;-30,846;-18,281;-8,089;-22,697;-2,885
"emji_main_qui_écrit";-70,057;-13,684;-96,259;-50,73;-38,714;-33,491;-22,755;-14,295;2762,467;130,762;-29,607;-20,013;-36,983
"!";35,79;-18,983;181,093;67,629;-18,201;-46,865;-62,488;-17,513;-36,668;567,651;-41,792;-27,29;-2,61
"rts";-28,346;-7,316;-50,034;-32,272;-19,379;-30,102;-5,407;-7,702;689,575;1011,461;-34,825;-19,472;-24,855
"emji_appareil_photo";-51,326;-10,403;-68,853;-43,953;-23,437;-43,422;-21,268;-15,797;1855,363;310,873;-22,729;-11,11;-33,454
"keystone";-45,336;-19,717;-64,842;-39,668;-23,393;-47,154;-50,22;-20,15;2662,317;223,432;-30,971;-16,895;-65,503
"?";-6,431;-12,546;1155,601;31,41;-20,287;-30,374;-27,666;-12,901;-25,762;-6,828;-23,135;-25,809;-12,259
":";-0,005;5,251;11,362;15,418;-1,17;-0,447;0,2;-1,44;-10,822;-0,019;-10,059;-1,186;0,291
"info";-33,918;-6,903;-35,044;-25,681;-15,439;-31,718;-3,476;-7,2;715,58;683,669;-23,499;-16,537;-26,469
"rtsinfo";-29,308;-2,984;-39,25;-26,283;-12,431;-5,311;-9,523;-5,492;1186,839;1,024;-10,139;-8,983;-7,289
"année";-0,987;2,308;39,322;0,013;4,884;-0,008;-4,824;4,067;-15,282;-4,718;-11,941;-7,083;6,922
"premier";57,642;0,497;-9,423;-3,124;-4,637;-0,207;-6,118;0,001;-15,297;-6,547;0,1;18,365;12,679
"emji_drapeau_suisse";33,414;3,969;-26,016;-11,373;28,069;152,259;-14,182;-0,293;-29,805;-12,085;-0,595;-0,591;-5,033
"monde";264,776;-0,492;-1,439;3,67;-5,531;-13,489;-6,33;0,077;-9,732;-5,487;-3,97;-10,611;3,158
"grand";2,771;-0,265;4,009;0,371;-0,195;9,328;-1,793;-3,954;-14,497;-4,905;-1,516;-2,61;10,812
"mettre";-2,668;0;-7,076;-3,935;8,881;2,46;9,331;-0,179;-8,586;15,225;2,911;0,459;-5,205
"genève";-0,556;-0,093;-0,62;2,475;6,731;14,447;-0,01;0,002;-8,298;-0,994;-1,091;-3,904;0,114
"lien";-12,856;-6,338;-15,286;-6,02;-9,677;-12,901;-10,876;-8,524;-2,561;3060,589;-13,833;-12,538;-19,104
"retrouver";-3,645;-4,12;1,084;16,105;-6,083;-10,048;-2,2;0,009;-2,296;341,533;-7,607;-0,723;-2,656
"jour";2,418;-1,411;-2,831;-0,01;0,285;-1,782;-1,595;0,103;-7,549;-1,171;16,797;0,044;7,356
"bio";-13,817;-7,923;-15,868;-6,806;-10,917;-13,424;-16,723;-8,08;-2,703;3367,988;-15,159;-11,885;-19,702
"emji_appareil_photo_avec_flash";-12,286;-4,356;-24,826;-14,635;-13,32;-15,725;-19,251;-8,258;1379,545;-2,591;-15,492;-12,146;-9,858
"ats";-15,966;-5,956;-24,426;-12,26;-7,312;-17,281;-18,876;-4,381;1314,606;-2,492;-9,278;-4,774;-21,932
"emji_main_avec_index_pointant_à_droite";-5,087;-4,906;-12,854;-8,411;-5,687;-14,167;-1,306;-2,056;46,672;906,065;-9,103;-10,328;-7,955
"dernier";64,519;-0,534;-16,133;-2,305;0,104;-1,489;-0,422;1,414;-3,56;-3,361;7,711;2,647;-1,31
"jeune";-8,87;-0,514;39,697;30,392;-6,331;-0,205;19,127;-0,58;-13,481;-6,955;-9,899;-0,993;-0,414
"pays";7,871;0,128;-10,27;-1,456;-3,825;0,613;-1,526;0,094;-5,384;-1,486;37,754;4,295;-0,179
"rester";0,108;9,78;-4,2;-8,336;0,823;-0,457;12,414;6,986;-1,881;-1,665;-1,349;-0,662;0,407
"nouveau";-4,391;4,301;-7,015;-4,569;4,43;10,265;5,053;-3,032;-3,013;-0,584;-0,482;3,152;0,151
"émission";-8,718;-0,053;7,844;81,71;-1,531;-1,768;-4,815;-2,953;-8,705;69,835;-9,095;-7,13;0,166
"petit";-1,588;-0,228;330,69;34,143;-10,831;-13,305;-7,901;-1,821;-9,817;-4,302;-12,598;-7,812;-5,873
"afp";-11,394;-1,26;-15,984;-3,732;-5,884;-11,473;-13,075;-1,342;430,073;6,556;-0,175;-0,186;-3,296
"femme";-1,873;-4,243;-2,082;0,882;-2,178;0;66,79;31,108;-8,86;-2,395;-0,301;0,279;-10,552
"également";-2,78;0,899;-12,703;-7,224;0,862;3,494;27,045;11,889;-0,036;-1,227;-0,757;0,279;-3,85
"notamment";-2,519;-0,077;-10,396;-5,283;2,971;-0,956;53,318;0,293;-0,86;-1,116;1,365;-0,011;-0,316
"public";-6,92;-0,162;-3,247;-3,118;6,387;3,985;1,656;-2,917;-1,255;-1,34;-3,621;21,883;2,243
"emji_chaînons";-14,813;-4,532;-19,925;-11,746;-8,607;-19,363;-16,758;-6,628;-2,14;3384,844;-12,433;-9,748;-17,137
"emji_caméscope";-8,15;-4,5;-2,411;-1,732;-2,313;0,505;0,607;0,114;-9,996;285,32;-0,47;-3,115;0,397
"conseil";-9,429;-5,942;-3,363;-5,145;4,535;148,952;-7,778;-2,537;-0,095;-3,717;1,496;8,141;-13,34
"prendre";0,746;-0,488;-0,058;4,303;-5,95;0,915;2,518;9,976;-10,05;-1,088;-0,193;0,41;-0,631
"vie";-7,47;0,052;8,086;127,894;-5,752;-7,842;9,479;-0,482;-6,479;-3,639;-1,069;-4,969;-2,254
"permettre";-1,384;1,283;-6,669;-0,745;0,643;24,583;13,512;0,407;-1,186;-3,6;-7,14;0,133;-3,028
"passer";1,055;3,466;1,224;16,032;0,14;-1,184;-1,739;3,245;-8,319;-1,685;-1,225;-0,015;-0,758
"souligner";-9,617;5,453;-18,482;-6,93;-1,984;0,012;130,158;15,951;-2,227;-3,794;-2,073;0,961;-3,478
"heure";-1,581;-0,515;11,576;-0,098;-0,005;0,246;0,067;0,046;-1,874;-2,646;2,992;0,029;-2,677
"aller";13,23;-0,013;25,36;-2,109;0,043;-0,183;-3,161;-2,239;-7,396;-5,324;-0,056;-0,418;0,3
