"";"classe 1";"classe 2"
"aller";1;0
"voir";1;0
"suisse";1;0
"gens";1;0
"monde";1;0
"parler";0;1
"comprendre";0,023;1
"penser";1;0
"chose";1;0
"commentaire";0;1
"pays";1;0
"mettre";1;0
"passer";1;0
"donner";1;0,226
"prendre";0,842;1
"vraiment";1;0
"temps";1;0
"emji_visage_riant_aux_larmes";0;1
"question";0;1
"problème";0,018;1
"vrai";0;1
"vivre";1;0
"enfant";1;0
"trouver";1;0
"fois";1;0
"sentir";1;0,352
"police";1;0
"sujet";0;1
"venir";1;0,032
"politique";0;1
"connaître";0;1
"vie";1;0
"rester";1;0
"droite";0;1
"cas";1;0,02
"lire";0;1
"gauche";0;1
"arrêter";1;0
"humain";1;0
"genre";0,006;1
"rts";0;1
"laisser";1;0
"seul";1;0,275
"jour";1;0
"changer";1;0
"grand";1;0
"plutôt";0,031;1
"article";0;1
"raison";1;0
"aimer";1;0
"tellement";1;0
"arriver";1;0
"petit";1;0
"france";1;0
"demander";1;0,28
"ca";1;0
"idée";0,748;1
"partir";0;1
"importer";1;0,038
"moment";1;0
"droit";0;1
"compte";0;1
"faux";0;1
"histoire";0,037;1
"société";0;1
"montrer";0;1
"besoin";1;0
"sûr";1;0,349
"regarder";1;0,065
"devenir";1;0,075
"écrire";0;1
"travail";1;0
"emji_visage_faisant_un_clin_d_oeil";1;0,634
"sortir";1;0
"réalité";0;1
"extrême";0;1
"français";0,047;1
"accord";0,001;1
"lieu";1;0,006
"place";1;0
"espérer";1;0
"beau";1;0
"rendre";1;0,599
"côté";1;0
"part";0,582;1
"avis";0,147;1
"argument";0;1
"essayer";1;0
"année";1;0,007
"femme";1;0,003
"premier";0,327;1
"justement";0,003;1
"jeune";1;0
"commencer";1;0,004
"utiliser";0;1
"social";0;1
"situation";1;0,187
"exister";0,006;1
"coup";0;1
"aider";1;0
"exemple";0,133;1
"répondre";0;1
"finir";1;0
"attendre";0,929;1
"perdre";1;0,012
"violence";0,014;1
"manquer";1;0,876
"niveau";0,005;1
"rapport";0;1
"triste";1;0
"peuple";0,937;1
"réponse";0;1
"emji_visage_qui_pleure";1;0
"état";1;0,775
"ouvrir";1;0,01
"cause";0,002;1
"servir";1;0
"poser";0;1
"permettre";0,18;1
"loi";0,166;1
"mauvais";0,267;1
"manière";0;1
"ia";0;1
"voter";0,001;1
"malheureusement";1;0
"liberté";0;1
"fin";1;0
"appeler";1;0,024
"vidéo";0;1
"terme";0;1
"partie";0,001;1
"propos";0;1
