quoique;1;3
neuf;1;3
jusque;3;1
hormis;2;2
hello;2;2
ha;0;3
dix;0;4
dessous;2;2
aucuns;1;3
amen;0;4
600;0;4
500;2;2
39;2;2
21;1;3
2022;1;3
2018;2;2
vingt;2;1
u;2;1
to;2;1
six;3;0
siens;1;2
sienne;1;2
nôtre;0;3
na;3;0
mouais;2;1
mme;1;2
miens;1;2
elles_mêmes;1;2
diable;0;3
cinq;1;2
ci_dessus;3;0
ceux_là;1;2
celles_ci;3;0
auxquelles;2;1
autrefois;2;1
aucunes;1;2
99;1;2
71;1;2
66;0;3
65;1;2
55;0;3
48;1;2
400;1;2
28;1;2
2030;1;2
2027;3;0
2014;3;0
2010;1;2
1982;0;3
1980;1;2
120;0;3
