"";"classe 1";"classe 2"
"aller";-271,942;271,942
"voir";-17,108;17,108
"suisse";-41,901;41,901
"gens";-58,706;58,706
"monde";-163,495;163,495
"parler";71,01;-71,01
"comprendre";5,196;-5,196
"penser";-33,755;33,755
"chose";-69,658;69,658
"commentaire";100,969;-100,969
"pays";-39,787;39,787
"mettre";-35,198;35,198
"passer";-66,006;66,006
"donner";-1,464;1,464
"prendre";0,04;-0,04
"vraiment";-57,813;57,813
"temps";-36,184;36,184
"emji_visage_riant_aux_larmes";16,419;-16,419
"question";95,314;-95,314
"problème";5,63;-5,63
"vrai";16,34;-16,34
"vivre";-49,49;49,49
"enfant";-115,911;115,911
"trouver";-13,661;13,661
"fois";-34,342;34,342
"sentir";-0,868;0,868
"police";-56,533;56,533
"sujet";143,264;-143,264
"venir";-4,597;4,597
"politique";102,114;-102,114
"connaître";29,638;-29,638
"vie";-44,978;44,978
"rester";-13,419;13,419
"droite";179,467;-179,467
"cas";-5,384;5,384
"lire";104,378;-104,378
"gauche";116,316;-116,316
"arrêter";-20,078;20,078
"humain";-30,901;30,901
"genre";7,458;-7,458
"rts";160,575;-160,575
"laisser";-45,224;45,224
"seul";-1,189;1,189
"jour";-63,989;63,989
"changer";-70,989;70,989
"grand";-17,549;17,549
"plutôt";4,653;-4,653
"article";176,61;-176,61
"raison";-14,552;14,552
"aimer";-21,359;21,359
"tellement";-46,665;46,665
"arriver";-17,91;17,91
"petit";-33,825;33,825
"france";-19,34;19,34
"demander";-1,167;1,167
"ca";-50,724;50,724
"idée";0,103;-0,103
"partir";24,43;-24,43
"importer";-4,319;4,319
"moment";-35,009;35,009
"droit";27,299;-27,299
"compte";27,539;-27,539
"faux";148,01;-148,01
"histoire";4,36;-4,36
"société";15,242;-15,242
"montrer";15,242;-15,242
"besoin";-53,979;53,979
"sûr";-0,876;0,876
"regarder";-3,401;3,401
"devenir";-3,178;3,178
"écrire";59,079;-59,079
"travail";-17,839;17,839
"emji_visage_faisant_un_clin_d_oeil";-0,227;0,227
"sortir";-24,558;24,558
"réalité";30,755;-30,755
"extrême";129,71;-129,71
"français";3,939;-3,939
"accord";11,244;-11,244
"lieu";-7,565;7,565
"place";-19,912;19,912
"espérer";-37,511;37,511
"beau";-46,896;46,896
"rendre";-0,277;0,277
"côté";-27,206;27,206
"part";0,303;-0,303
"avis";2,102;-2,102
"argument";37,86;-37,86
"essayer";-20,227;20,227
"année";-7,177;7,177
"femme";-8,658;8,658
"premier";0,962;-0,962
"justement";9,056;-9,056
"jeune";-13,502;13,502
"commencer";-8,116;8,116
"utiliser";71,203;-71,203
"social";21,464;-21,464
"situation";-1,743;1,743
"exister";7,55;-7,55
"coup";14,94;-14,94
"aider";-32,511;32,511
"exemple";2,263;-2,263
"répondre";74,193;-74,193
"finir";-68,478;68,478
"attendre";0,008;-0,008
"perdre";-6,26;6,26
"violence";6,019;-6,019
"manquer";-0,024;0,024
"niveau";7,939;-7,939
"rapport";66,082;-66,082
"triste";-52,712;52,712
"peuple";0,006;-0,006
"réponse";64,935;-64,935
"emji_visage_qui_pleure";-25,811;25,811
"état";-0,081;0,081
"ouvrir";-6,688;6,688
"cause";9,524;-9,524
"servir";-17,917;17,917
"poser";35,883;-35,883
"permettre";1,797;-1,797
"loi";1,918;-1,918
"mauvais";1,231;-1,231
"manière";14,621;-14,621
"ia";47,674;-47,674
"voter";10,111;-10,111
"malheureusement";-29,151;29,151
"liberté";36,719;-36,719
"fin";-12,558;12,558
"appeler";-5,082;5,082
"vidéo";25,338;-25,338
"terme";16,42;-16,42
"partie";11,376;-11,376
"propos";73,498;-73,498
"chercher";-7,064;7,064
"continuer";-4,258;4,258
"apprendre";-2,005;2,005
"etc";1,901;-1,901
"étude";66,688;-66,688
"trump";23,967;-23,967
"expliquer";30,333;-30,333
"source";70,875;-70,875
"animal";-27,373;27,373
"étranger";10,213;-10,213
"info";56,633;-56,633
"entendre";-1,789;1,789
"agir";0,121;-0,121
"policier";-3,031;3,031
"important";-4,016;4,016
"exactement";36,059;-36,059
"dernier";-0,002;0,002
"mot";0,228;-0,228
"famille";-34,426;34,426
"absolument";5,804;-5,804
"propre";-0,034;0,034
"population";-2,12;2,12
"façon";-5,623;5,623
"simplement";25,745;-25,745
"oeil";-40,294;40,294
"fait";100,615;-100,615
"réfléchir";-6,231;6,231
"peur";-13,611;13,611
"udc";72,553;-72,553
"pire";-26,906;26,906
"défendre";4,347;-4,347
"sembler";9,004;-9,004
"raciste";62,684;-62,684
"oublier";-0,024;0,024
"débat";10,289;-10,289
"suivre";15,547;-15,547
"initiative";3,473;-3,473
"clairement";9,655;-9,655
"tête";-31,614;31,614
"nouveau";-2,529;2,529
"média";72,347;-72,347
"respect";-21,003;21,003
"écouter";1,234;-1,234
"meilleur";-7,996;7,996
"jouer";-9,629;9,629
"gros";-3,412;3,412
"preuve";13,374;-13,374
"information";49,587;-49,587
"travailler";-14,601;14,601
"système";2,239;-2,239
"suffire";9,737;-9,737
"intérêt";20,281;-20,281
"emji_visage_en_pleine_réflexion";1,12;-1,12
"réseau";20,546;-20,546
"pareil";-5,773;5,773
"long";-10,518;10,518
"fou";-12,999;12,999
"choix";-0,001;0,001
"blanc";2,524;-2,524
"marcher";-21,22;21,22
"journée";-17,506;17,506
"choisir";-0,668;0,668
"facile";-2,713;2,713
"truc";-17,506;17,506
"image";26,173;-26,173
"franchement";-44,135;44,135
"public";18,987;-18,987
"argent";-2,638;2,638
"justice";-12,429;12,429
"culture";12,319;-12,319
"contraire";9,849;-9,849
"vérité";3,189;-3,189
"remettre";-2,757;2,757
"discours";12,888;-12,888
"ville";-13,556;13,556
"valoir";-11,904;11,904
"valeur";3,681;-3,681
"souhaiter";-15,812;15,812
"opinion";44,931;-44,931
"plaindre";-4,095;4,095
"peine";-12,415;12,415
"citoyen";-11,357;11,357
"bref";0,124;-0,124
"réel";43,292;-43,292
"meme";-26,403;26,403
"foutre";-35,449;35,449
"faute";-3,757;3,757
"simple";0,01;-0,01
"uniquement";-0,066;0,066
"tenir";0,279;-0,279
"retrouver";-25,72;25,72
"prochain";-22,524;22,524
"démocratie";44,317;-44,317
"solution";-5,107;5,107
"préférer";-8,011;8,011
"libre";-12,41;12,41
"heure";-17,889;17,889
"soutenir";9,359;-9,359
"imaginer";-1,058;1,058
"europe";-12,414;12,414
"envie";-27,435;27,435
"armée";-6,665;6,665
"protéger";-2,28;2,28
"post";35,298;-35,298
"moyen";-2,994;2,994
"racisme";19,662;-19,662
"porte";-1,483;1,483
"message";10,998;-10,998
"face";0,828;-0,828
"concerner";6,16;-6,16
"tomber";-7,865;7,865
"sérieux";6,151;-6,151
"emji_applaudissements";-0,018;0,018
"décision";-0,412;0,412
"titre";11,09;-11,09
"pauvre";-12,429;12,429
"partager";-2,121;2,121
"haine";18,724;-18,724
"totalement";10,259;-10,259
"renseigner";0,446;-0,446
"humanité";-16,927;16,927
"type";15,577;-15,577
"possible";-6,14;6,14
"plaisir";-31,627;31,627
"heureusement";-18,837;18,837
"livre";6,862;-6,862
"intéressant";26,682;-26,682
"difficile";1,289;-1,289
"aide";-26,83;26,83
"éviter";1,907;-1,907
"traiter";2,584;-2,584
"rappeler";0,259;-0,259
"personnel";0,138;-0,138
"payer";-2,829;2,829
"haut";-1,495;1,495
"mesure";12,217;-12,217
"manifestation";-10,24;10,24
"homme";-1,512;1,512
"gouvernement";-10,24;10,24
"base";41,532;-41,532
"bas";-21,276;21,276
"scientifique";72,904;-72,904
"guerre";-13,949;13,949
"doute";0,008;-0,008
"critique";41,15;-41,15
"corps";-16,004;16,004
"sauver";-42,111;42,111
"rue";-28,011;28,011
"mériter";-3,744;3,744
"créer";0,008;-0,008
"super";-12,627;12,627
"normal";-2,21;2,21
"garder";-19,542;19,542
"emji_se_rouler_par_terre_de_rire";4,79;-4,79
"clair";-0,449;0,449
"vote";30,974;-30,974
"service";-8,108;8,108
"expression";63,079;-63,079
"coeur";-17,954;17,954
"entier";-6,324;6,324
"critiquer";9,862;-9,862
"photo";21,29;-21,29
"manger";-19,917;19,917
"fermer";-16,65;16,65
"bout";-25,147;25,147
"évidemment";6,937;-6,937
"svp";21,29;-21,29
"statistique";60,462;-60,462
"impression";0,648;-0,648
"effet";6,983;-6,983
"déranger";-2,09;2,09
"cours";16,705;-16,705
"époque";1,726;-1,726
"sécurité";-2,589;2,589
"responsabilité";-0,016;0,016
"paix";-22,047;22,047
"esprit";0,857;-0,857
"école";0,048;-0,048
"terre";-32,08;32,08
"résultat";-0,23;0,23
"respecter";-0,745;0,745
"parent";-8,617;8,617
"majorité";9,298;-9,298
"intéresser";5,649;-5,649
"grave";2,495;-2,495
"fonctionner";21,692;-21,692
"effectivement";10,074;-10,074
"air";-1,536;1,536
"sûrement";-12,119;12,119
"lien";11,005;-11,005
"exprimer";12,372;-12,372
"différent";0,577;-0,577
"but";0,004;-0,004
"ami";-2,152;2,152
"seulement";11,996;-11,996
"juger";0,542;-0,542
"fond";3,39;-3,39
"complètement";13,942;-13,942
"accepter";-4,815;4,815
"souci";-1,686;1,686
"responsable";-6,546;6,546
"prouver";0,985;-0,985
"phrase";38,972;-38,972
"nouvelle";-7,563;7,563
"métier";-2,35;2,35
"empêcher";-1,172;1,172
"emji_visage_souriant_avec_une_goutte_de_sueur";0,075;-0,075
"chiffre";34,065;-34,065
"apporter";23,678;-23,678
"riche";2,387;-2,387
"représenter";30,044;-30,044
"occuper";-17,137;17,137
"immigration";22,016;-22,016
"genève";-24,006;24,006
"forme";10,477;-10,477
"envoyer";-25,465;25,465
"également";9,524;-9,524
"âge";-2,032;2,032
"semaine";-9,766;9,766
"risque";2,859;-2,859
"relever";21,526;-21,526
"interdire";-3,177;3,177
"décider";-12,227;12,227
"dangereux";0,013;-0,013
"victime";-8,618;8,618
"objet";16,331;-16,331
"mineur";8,074;-8,074
"mec";-0,944;0,944
"logique";4,483;-4,483
"etre";-4,385;4,385
"revenir";0,472;-0,472
"rentrer";-19,917;19,917
"journaliste";23,663;-23,663
"fédéral";30,43;-30,43
"forcément";1,95;-1,95
"début";-0,737;0,737
"dur";-8,076;8,076
"éducation";0,67;-0,67
"voler";-1,189;1,189
"mort";-3,177;3,177
"mentionner";51,499;-51,499
"main";-9,242;9,242
"européen";-2,804;2,804
"emji_drapeau_suisse";0,092;-0,092
"danger";-8,633;8,633
"courir";-9,825;9,825
"conseil";0,947;-0,947
"actuel";-0,002;0,002
"vieux";-3,177;3,177
"erreur";31,637;-31,637
"conséquence";-0,392;0,392
"conscience";-5,511;5,511
"commenter";20,935;-20,935
"art";26,463;-26,463
"tuer";-13,178;13,178
"suite";-13,178;13,178
"profil";25,409;-25,409
"porter";-5,511;5,511
"physique";25,409;-25,409
"groupe";15,062;-15,062
"cest";-12,745;12,745
"capable";-7,535;7,535
"cacher";1,891;-1,891
"adulte";-0,462;0,462
"voisin";-17,81;17,81
"règle";0,633;-0,633
"plaque";-20,938;20,938
"plaire";2,339;-2,339
"nom";6,584;-6,584
"gauchiste";8,185;-8,185
"film";2,811;-2,811
"engager";-15,729;15,729
"discuter";11,91;-11,91
"bouger";-19,669;19,669
"proche";-3,355;3,355
"mentalité";-22,404;22,404
"manifester";-10,638;10,638
"limite";-9,31;9,31
"jeu";-12,534;12,534
"emji_visage_de_clown";-1,313;1,313
"compliqué";-11,896;11,896
"chance";-24,568;24,568
"campagne";23,777;-23,777
"visiblement";-0,018;0,018
"ridicule";5,243;-5,243
"relire";38,43;-38,43
