"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"1";3;4;6;9;10;10;10;10;10
"2";3;4;6;9;10;10;10;10;10
"3";3;4;6;9;10;10;10;10;10
"4";3;4;6;9;10;10;10;10;10
"5";3;4;6;9;10;10;10;10;10
"6";3;4;6;9;11;13;15;16;18
"7";3;4;6;9;11;13;15;16;18
"8";3;4;6;9;10;10;10;10;10
"9";3;4;6;9;10;10;10;10;10
"10";3;4;6;9;10;10;10;10;10
"11";3;4;6;9;10;10;10;10;10
"12";3;4;6;9;11;13;15;16;18
"13";3;4;6;9;10;10;10;10;10
"14";3;4;6;9;10;10;10;10;10
"15";3;4;6;9;11;13;15;16;18
"16";3;4;6;9;10;10;10;10;10
"17";3;4;6;9;11;13;15;16;18
"18";3;4;6;9;10;10;10;10;10
"19";3;4;6;9;10;10;10;10;10
"20";3;4;6;9;10;10;10;10;10
"21";3;4;6;9;10;10;10;10;10
"22";3;4;6;9;10;10;10;10;10
"23";3;4;6;9;10;10;10;10;10
"24";3;4;6;9;11;13;15;16;18
"25";3;4;6;9;11;13;14;14;14
"26";3;4;6;9;11;13;15;16;18
"27";3;4;6;9;10;10;10;10;10
"28";3;4;6;9;11;13;15;16;18
"29";3;4;6;9;11;13;15;16;18
"30";3;4;6;9;11;13;15;16;18
"31";3;4;6;9;11;13;15;16;18
"32";3;4;6;9;11;13;15;16;18
"33";3;4;6;9;10;10;10;10;10
"34";3;4;6;9;10;10;10;10;10
"35";3;4;6;9;11;13;15;16;18
"36";3;4;6;9;10;10;10;10;10
"37";3;4;6;9;11;13;15;16;18
"38";3;4;6;9;10;10;10;10;10
"39";3;4;6;9;11;13;15;16;18
"40";3;4;6;9;10;10;10;10;10
"41";3;4;6;9;10;10;10;10;10
"42";3;4;6;9;10;10;10;10;10
"43";3;4;6;9;11;13;15;16;18
"44";3;4;6;9;10;10;10;10;10
"45";3;4;6;9;10;10;10;10;10
"46";3;4;6;9;11;13;15;16;18
"47";3;4;6;9;11;13;15;16;18
"48";3;4;6;9;11;13;15;16;18
"49";3;4;6;9;11;13;15;16;18
"50";3;4;6;9;11;13;15;16;18
"51";3;4;6;9;11;13;15;16;18
"52";3;4;6;9;11;13;15;16;18
"53";3;4;6;9;11;13;15;16;18
"54";3;4;6;9;10;10;10;10;10
"55";3;4;6;9;10;10;10;10;10
"56";3;4;6;9;11;13;15;16;18
"57";3;4;6;9;11;13;15;16;18
"58";3;4;6;9;11;13;15;16;18
"59";3;4;6;9;11;13;15;16;18
"60";3;4;6;9;10;10;10;10;10
"61";3;4;6;9;10;10;10;10;10
"62";3;4;6;9;10;10;10;10;10
"63";3;4;6;9;10;10;10;10;10
"64";3;4;6;9;10;10;10;10;10
"65";3;4;6;9;10;10;10;10;10
"66";3;4;6;9;11;13;15;16;18
"67";3;4;6;9;10;10;10;10;10
"68";3;4;6;9;10;10;10;10;10
"69";3;4;6;9;11;13;15;16;18
"70";3;4;6;9;11;13;15;16;18
"71";3;4;6;9;11;13;15;16;18
"72";3;4;6;9;11;13;15;16;18
"73";3;4;6;9;11;13;15;16;18
"74";3;4;6;9;10;10;10;10;10
"75";3;4;6;9;11;13;15;16;18
"76";3;4;6;9;11;13;15;16;18
"77";3;4;6;9;11;13;15;16;18
"78";3;4;6;9;10;10;10;10;10
"79";3;4;6;9;10;10;10;10;10
"80";3;4;6;9;10;10;10;10;10
"81";3;4;6;9;11;13;15;16;18
"82";3;4;6;9;11;13;15;16;18
"83";3;4;6;9;11;13;15;16;18
"84";3;4;6;9;11;13;15;16;18
"85";3;4;6;9;11;13;15;16;18
"86";3;4;6;9;11;13;15;16;18
"87";3;4;6;9;11;13;15;16;18
"88";3;4;6;9;10;10;10;10;10
"89";3;4;6;9;10;10;10;10;10
"90";3;4;6;9;11;13;15;16;18
"91";3;4;6;9;11;13;15;16;18
"92";3;4;6;9;11;13;15;16;18
"93";3;4;6;9;10;10;10;10;10
"94";3;4;6;9;11;13;15;16;18
"95";3;4;6;9;10;10;10;10;10
"96";3;4;6;9;11;13;15;16;18
"97";3;4;6;9;10;10;10;10;10
"98";3;4;6;9;10;10;10;10;10
"99";3;4;6;9;11;13;15;16;18
"100";3;4;6;9;11;13;15;16;18
"101";3;4;6;9;11;13;15;16;18
"102";3;4;6;9;11;13;15;16;18
"103";3;4;6;9;11;13;15;16;18
"104";3;4;6;9;10;10;10;10;10
"105";3;4;6;9;10;10;10;10;10
"106";3;4;6;9;11;13;15;16;18
"107";3;4;6;9;11;13;15;16;18
"108";3;4;6;9;11;13;15;16;18
"109";3;4;6;9;10;10;10;10;10
"110";3;4;6;9;10;10;10;10;10
"111";3;4;6;9;11;13;15;16;18
"112";3;4;6;9;10;10;10;10;10
"113";3;4;6;9;11;13;15;16;18
"114";3;4;6;9;11;13;15;16;18
"115";3;4;6;9;10;10;10;10;10
"116";3;4;6;9;11;13;15;16;18
"117";3;4;6;9;10;10;10;10;10
"118";3;4;6;9;11;13;15;16;18
"119";3;4;6;9;11;13;15;16;18
"120";3;4;6;9;11;13;15;16;18
"121";3;4;6;9;10;10;10;10;10
"122";3;4;6;9;11;13;15;16;18
"123";3;4;6;9;11;13;15;16;18
"124";3;4;6;9;10;10;10;10;10
"125";3;4;6;9;10;10;10;10;10
"126";3;4;6;9;11;13;15;16;18
"127";3;4;6;9;10;10;10;10;10
"128";3;4;6;9;10;10;10;10;10
"129";3;4;6;9;10;10;10;10;10
"130";3;4;6;9;10;10;10;10;10
"131";3;4;6;9;11;13;15;16;18
"132";3;4;6;9;10;10;10;10;10
"133";3;4;6;9;10;10;10;10;10
"134";3;4;6;9;10;10;10;10;10
"135";3;4;6;9;10;10;10;10;10
"136";3;4;6;9;11;13;15;16;18
"137";3;4;6;9;10;10;10;10;10
"138";3;4;6;9;10;10;10;10;10
"139";3;4;6;9;10;10;10;10;10
"140";3;4;6;9;10;10;10;10;10
"141";3;4;6;9;10;10;10;10;10
"142";3;4;6;9;10;10;10;10;10
"143";3;4;6;9;10;10;10;10;10
"144";3;4;6;9;10;10;10;10;10
"145";3;4;6;9;10;10;10;10;10
"146";3;4;6;9;10;10;10;10;10
"147";3;4;6;9;10;10;10;10;10
"148";3;4;6;9;10;10;10;10;10
"149";3;4;6;9;10;10;10;10;10
"150";3;4;6;9;10;10;10;10;10
"151";3;4;6;9;10;10;10;10;10
"152";3;4;6;9;10;10;10;10;10
"153";3;4;6;9;11;13;15;16;18
"154";3;4;6;9;11;13;15;16;18
"155";3;4;6;9;11;13;15;16;18
"156";3;4;6;9;11;13;15;16;18
"157";3;4;6;9;11;13;15;16;18
"158";3;4;6;9;10;10;10;10;10
"159";3;4;6;9;10;10;10;10;10
"160";3;4;6;9;11;13;15;16;18
"161";3;4;6;9;10;10;10;10;10
"162";3;4;6;9;10;10;10;10;10
"163";3;4;6;9;11;13;15;16;18
"164";3;4;6;9;10;10;10;10;10
"165";3;4;6;9;10;10;10;10;10
"166";3;4;6;9;10;10;10;10;10
"167";3;4;6;9;10;10;10;10;10
"168";3;4;6;9;10;10;10;10;10
"169";3;4;6;9;11;13;15;16;18
"170";3;4;6;9;11;13;15;16;18
"171";3;4;6;9;11;13;15;16;18
"172";3;4;6;9;11;13;15;16;18
"173";3;4;6;9;10;10;10;10;10
"174";3;4;6;9;10;10;10;10;10
"175";3;4;6;9;11;13;15;16;18
"176";3;4;6;9;11;13;15;16;18
"177";3;4;6;9;11;13;15;16;18
"178";3;4;6;9;10;10;10;10;10
"179";3;4;6;9;11;13;15;16;18
"180";3;4;6;9;11;13;15;16;18
"181";3;4;6;9;11;13;15;16;18
"182";3;4;6;9;11;13;15;16;18
"183";3;4;6;9;10;10;10;10;10
"184";3;4;6;9;10;10;10;10;10
"185";3;4;6;9;11;13;15;16;18
"186";3;4;6;9;10;10;10;10;10
"187";3;4;6;9;11;13;15;16;18
"188";3;4;6;9;11;13;15;16;18
"189";3;4;6;9;11;13;15;16;18
"190";3;4;6;9;10;10;10;10;10
"191";3;4;6;9;10;10;10;10;10
"192";3;4;6;9;10;10;10;10;10
"193";3;4;6;9;10;10;10;10;10
"194";3;4;6;9;10;10;10;10;10
"195";3;4;6;9;10;10;10;10;10
"196";3;4;6;9;10;10;10;10;10
"197";3;4;6;9;11;13;15;16;18
"198";3;4;6;9;11;13;15;16;18
"199";3;4;6;9;10;10;10;10;10
"200";3;4;6;9;10;10;10;10;10
"201";3;4;6;9;11;13;15;16;18
"202";3;4;6;9;11;13;15;16;18
"203";3;4;6;9;11;13;15;16;18
"204";3;4;6;9;11;13;15;16;18
"205";3;4;6;9;11;13;15;16;18
"206";3;4;6;9;10;10;10;10;10
"207";3;4;6;9;10;10;10;10;10
"208";3;4;6;9;10;10;10;10;10
"209";3;4;6;9;10;10;10;10;10
"210";3;4;6;9;10;10;10;10;10
"211";3;4;6;9;10;10;10;10;10
"212";3;4;6;9;10;10;10;10;10
"213";3;4;6;9;11;13;15;16;18
"214";3;4;6;9;11;13;15;16;18
"215";3;4;6;9;10;10;10;10;10
"216";3;4;6;9;11;13;15;16;18
"217";3;4;6;9;10;10;10;10;10
"218";3;4;6;9;11;13;15;16;18
"219";3;4;6;9;10;10;10;10;10
"220";3;4;6;9;10;10;10;10;10
"221";3;4;6;9;10;10;10;10;10
"222";3;4;6;9;10;10;10;10;10
"223";3;4;6;9;11;13;15;16;18
"224";3;4;6;9;11;13;15;16;18
"225";3;4;6;9;11;13;15;16;18
"226";3;4;6;9;11;13;15;16;18
"227";3;4;6;9;11;13;15;16;18
"228";3;4;6;9;11;13;15;16;18
"229";3;4;6;9;11;13;15;16;18
"230";3;4;6;9;11;13;15;16;18
"231";3;4;6;9;11;13;15;16;18
"232";3;4;6;9;11;13;15;16;18
"233";3;4;6;9;11;13;15;16;18
"234";3;4;6;9;11;13;15;16;18
"235";3;4;6;9;10;10;10;10;10
"236";3;4;6;9;11;13;15;16;18
"237";3;4;6;9;10;10;10;10;10
"238";3;4;6;9;11;13;15;16;18
"239";3;4;6;9;10;10;10;10;10
"240";3;4;6;9;11;13;15;16;18
"241";3;4;6;9;10;10;10;10;10
"242";3;4;6;9;10;10;10;10;10
"243";3;4;6;9;11;13;15;16;18
"244";3;4;6;9;10;10;10;10;10
"245";3;4;6;9;11;13;15;16;18
"246";3;4;6;9;10;10;10;10;10
"247";3;4;6;9;11;13;15;16;18
"248";3;4;6;9;10;10;10;10;10
"249";3;4;6;9;10;10;10;10;10
"250";3;4;6;9;10;10;10;10;10
"251";3;4;6;9;11;13;15;16;18
"252";3;4;6;9;10;10;10;10;10
"253";3;4;6;9;10;10;10;10;10
"254";3;4;6;9;11;13;15;16;18
"255";3;4;6;9;10;10;10;10;10
"256";3;4;6;9;11;13;15;16;18
"257";3;4;6;9;10;10;10;10;10
"258";3;4;6;9;10;10;10;10;10
"259";3;4;6;9;10;10;10;10;10
"260";3;4;6;9;11;13;15;16;18
"261";3;4;6;9;11;13;15;16;18
"262";3;4;6;9;10;10;10;10;10
"263";3;4;6;9;10;10;10;10;10
"264";3;4;6;9;10;10;10;10;10
"265";3;4;6;9;10;10;10;10;10
"266";3;4;6;9;10;10;10;10;10
"267";3;4;6;9;11;13;15;16;18
"268";3;4;6;9;10;10;10;10;10
"269";3;4;6;9;10;10;10;10;10
"270";3;4;6;9;10;10;10;10;10
"271";3;4;6;9;10;10;10;10;10
"272";3;4;6;9;11;13;15;16;18
"273";3;4;6;9;10;10;10;10;10
"274";3;4;6;9;11;13;15;16;18
"275";3;4;6;9;10;10;10;10;10
"276";3;4;6;9;10;10;10;10;10
"277";3;4;6;9;10;10;10;10;10
"278";3;4;6;9;10;10;10;10;10
"279";3;4;6;9;11;13;15;16;18
"280";3;4;6;9;10;10;10;10;10
"281";3;4;6;9;10;10;10;10;10
"282";3;4;6;9;10;10;10;10;10
"283";3;4;6;9;11;13;15;16;18
"284";3;4;6;9;11;13;15;16;18
"285";3;4;6;9;11;13;15;16;18
"286";3;4;6;9;11;13;15;16;18
"287";3;4;6;9;11;13;15;16;18
"288";3;4;6;9;11;13;15;16;18
"289";3;4;6;9;10;10;10;10;10
"290";3;4;6;9;11;13;15;16;18
"291";3;4;6;9;11;13;15;16;18
"292";3;4;6;9;10;10;10;10;10
"293";3;4;6;9;11;13;15;16;18
"294";3;4;6;9;10;10;10;10;10
"295";3;4;6;9;11;13;15;16;18
"296";3;4;6;9;10;10;10;10;10
"297";3;4;6;9;11;13;15;16;18
"298";3;4;6;9;11;13;15;16;18
"299";3;4;6;9;11;13;15;16;18
"300";3;4;6;9;10;10;10;10;10
"301";3;4;6;9;11;13;15;16;18
"302";3;4;6;9;11;13;15;16;18
"303";3;4;6;9;10;10;10;10;10
"304";3;4;6;9;11;13;15;16;18
"305";3;4;6;9;11;13;15;16;18
"306";3;4;6;9;10;10;10;10;10
"307";3;4;6;9;11;13;15;16;18
"308";3;4;6;9;10;10;10;10;10
"309";3;4;6;9;11;13;15;16;18
"310";3;4;6;9;11;13;15;16;18
"311";3;4;6;9;11;13;15;16;18
"312";3;4;6;9;11;13;15;16;18
"313";3;4;6;9;10;10;10;10;10
"314";3;4;6;9;11;13;15;16;18
"315";3;4;6;9;11;13;15;16;18
"316";3;4;6;9;11;13;15;16;18
"317";3;4;6;9;11;13;15;16;18
"318";3;4;6;9;11;13;15;16;18
"319";3;4;6;9;11;13;15;16;18
"320";3;4;6;9;11;13;15;16;18
"321";3;4;6;9;11;13;15;16;18
"322";3;4;6;9;11;13;15;16;18
"323";3;4;6;9;10;10;10;10;10
"324";3;4;6;9;11;13;15;16;18
"325";3;4;6;9;11;13;15;16;18
"326";3;4;6;9;11;13;15;16;18
"327";3;4;6;9;11;13;15;16;18
"328";3;4;6;9;11;13;15;16;19
"329";3;4;6;9;11;13;15;16;18
"330";3;4;6;9;10;10;10;10;10
"331";3;4;6;9;11;13;15;16;18
"332";3;4;6;9;10;10;10;10;10
"333";3;4;6;9;10;10;10;10;10
"334";3;4;6;9;10;10;10;10;10
"335";3;4;6;9;11;13;15;16;18
"336";3;4;6;9;11;13;15;16;18
"337";3;4;6;9;11;13;15;16;18
"338";3;4;6;9;11;13;15;16;18
"339";3;4;6;9;11;13;15;16;18
"340";3;4;6;9;10;10;10;10;10
"341";3;4;6;9;11;13;15;16;18
"342";3;4;6;9;10;10;10;10;10
"343";3;4;6;9;10;10;10;10;10
"344";3;4;6;9;10;10;10;10;10
"345";3;4;6;9;11;13;15;16;18
"346";3;4;6;9;11;13;15;16;18
"347";3;4;6;9;11;13;15;16;18
"348";3;4;6;9;11;13;15;16;18
"349";3;4;6;9;11;13;15;16;18
"350";3;4;6;9;11;13;15;16;18
"351";3;4;6;9;11;13;15;16;18
"352";3;4;6;9;10;10;10;10;10
"353";3;4;6;9;11;13;15;16;18
"354";3;4;6;9;10;10;10;10;10
"355";3;4;6;9;11;13;15;16;18
"356";3;4;6;9;11;13;15;16;18
"357";3;4;6;9;11;13;15;16;18
"358";3;4;6;9;11;13;15;16;18
"359";3;4;6;9;11;13;15;16;18
"360";3;4;6;9;10;10;10;10;10
"361";3;4;6;9;11;13;15;16;18
"362";3;4;6;9;11;13;15;16;18
"363";3;4;6;9;11;13;15;16;18
"364";3;4;6;9;11;13;15;16;18
"365";3;4;6;9;11;13;15;16;18
"366";3;4;6;9;10;10;10;10;10
"367";3;4;6;9;11;13;15;16;18
"368";3;4;6;9;11;13;15;16;18
"369";3;4;6;9;10;10;10;10;10
"370";3;4;6;9;10;10;10;10;10
"371";3;4;6;9;11;13;15;16;18
"372";3;4;6;9;11;13;15;16;18
"373";3;4;6;9;11;13;15;16;18
