"";"";"";"";"htag_suissitude";""
"77";"htag_80s";"-0.394444552629429";"0.343574075347511";"0.832260432667242";"257"
"78";"être";"-0.241323498740639";"0.0445236060073402";"0.831967249525974";"258"
"79";"avoir";"-0.286690116930528";"0.210613057096928";"0.831437462446139";"261"
"80";"bien";"-0.399859819983276";"0.192604559925068";"0.831365452551792";"266"
"81";"presque";"-0.415036881235213";"0.434210631491756";"0.830902531802422";"268"
"82";"htag_vih";"-0.276130576097387";"-0.11336890827568";"0.830902531802422";"269"
"83";"htag_sida";"-0.276130576097387";"-0.11336890827568";"0.830902531802422";"270"
"84";"htag_hiv";"-0.276130576097387";"-0.11336890827568";"0.830902531802422";"271"
"85";"pouvoir";"-0.454061050906501";"0.407091117765261";"0.830089848709082";"273"
"86";"rien";"-0.503965560962515";"0.40922450517697";"0.829848101206633";"274"
"87";"htag_christmas";"0.268359435616485";"-0.353373694562447";"0.829498338862665";"275"
"88";"monsieur";"-0.253019965206439";"0.331444031761589";"0.8294314725322";"277"
"89";"1966";"-0.463907063236444";"-0.00778760110432664";"0.828989126038357";"278"
"90";"htag_humour";"-0.243846635758244";"-0.237005052756312";"0.828407903319703";"280"
"91";"htag_mode";"-0.541047817992582";"0.583699393083641";"0.828402759755821";"281"
"92";"htag_joie";"-0.576198749056733";"0.374160620792516";"0.827538641023663";"284"
"93";"htag_vache";"-0.545742706410264";"0.300008585807434";"0.827538641023663";"285"
"94";"htag_sun";"-0.569054221776157";"0.652872212603858";"0.827538641023663";"286"
"95";"htag_women";"-0.313473239162075";"-1.85479934179544";"0.827538641023663";"287"
"96";"on";"-0.424329540038883";"0.110881499748037";"0.82747691825708";"289"
"97";"htag_vieillesse";"-0.528313433790574";"0.520903245474682";"0.827358616287797";"290"
"98";"quel";"-0.436680683998474";"-0.0528829304716622";"0.827307180648978";"291"
"99";"sous";"-0.324759913036006";"-0.34895926522252";"0.827266032137922";"292"
"100";"1972";"-0.415439236054506";"0.456387127763642";"0.827214596499103";"293"
"101";"votre";"-0.60410117507153";"0.775650250899079";"0.826700240110914";"294"
"102";"quelque";"-0.539442721127145";"0.551394665566878";"0.826643660908213";"295"
"103";"comme";"-0.45006687722862";"-0.0769315717838821";"0.826196170850488";"296"
"104";"moins";"-0.461966994563888";"-0.56130679357704";"0.825841264942638";"298"
"105";"1961";"-0.251275607655059";"-0.615285274357216";"0.825779542176055";"299"
"106";"pas";"-0.380720432308489";"0.347584496576874";"0.825717819409472";"301"
"107";"htag_telephone";"-0.570244880109724";"0.953112149058237";"0.825239467968456";"304"
"108";"htag_70s";"-0.36281920495085";"0.489003639157251";"0.82511602243529";"305"
"109";"pendant";"-0.396235176793758";"0.190731913441957";"0.824719968016385";"306"
"110";"parfois";"-0.355328239553547";"-0.458728927837077";"0.824719968016385";"307"
