"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11"
"mot";1;1;0,036;1;0,115;1;1;1;0,075;1;0,661
"début";1;1;1;0;1;1;1;0,713;1;0,309;0,254
"donner";1;1;1;0,15;0;0,862;1;1;1;0,659;1
"cinéma";1;1;1;1;1;1;1;1;1;1;0
"nouveau";0,798;1;1;0,029;0,006;1;0,653;1;1;1;0,624
"meilleur";1;0,427;1;1;0,006;1;1;0,965;0,244;1;1
"image";0,017;1;1;1;0,48;1;0,005;1;1;1;0,002
"eau";1;0,214;0,115;0,059;0,592;0,65;1;1;0,845;1;1
"couper";1;0,517;1;1;1;1;0;1;1;1;1
"chose";1;0,511;1;1;1;1;1;1;0;0,117;1
"valoir";1;1;1;0,006;1;0,011;1;0,186;1;1;1
"tour";1;0,955;1;1;0,031;1;0,844;1;0,098;1;0,36
"retour";1;1;0,784;0,638;1;0,107;0,844;1;0;1;1
"plaisir";1;1;1;0,835;0,002;0,021;1;1;1;0,739;0,661
"matin";1;1;0;1;1;1;1;1;1;1;1
"laisser";1;0,758;1;0,467;1;0,527;1;0,002;1;0,685;1
"journaliste";1;1;1;1;0,002;1;1;1;1;0,739;0
"français";1;1;0,252;1;1;0,862;1;1;1;1;0
"famille";1;1;1;0,638;0,031;1;1;1;0,001;0,972;1
"course";1;0,894;1;0,001;0,592;0,65;1;1;1;1;0,007
"complet";0;1;1;0,835;1;1;1;1;1;1;1
"blanc";1;1;0,001;1;1;0,462;0,582;0,561;1;1;1
"avis";1;1;0,942;1;1;1;1;1;1;0;1
"armée";1;0,003;0,529;1;0,346;1;0,582;1;1;0,58;1
"village";1;1;0,892;0;0,065;1;0,261;1;1;1;1
"rire";1;1;1;1;1;1;1;0,833;0,155;1;0,008
"radio";1;0,333;0,003;1;1;1;0,263;1;1;1;0,144
"neige";1;0,683;1;0,018;1;0;1;0,561;1;1;1
"compte";0;1;1;1;1;0;0,901;1;1;1;0,987
"ambiance";1;1;0,179;0,691;1;1;0,02;1;0,462;1;0,02
"tête";0,869;1;0,663;0,043;1;1;1;0,047;1;0,268;1
"tsr";1;1;1;1;0,75;1;1;1;1;1;0
"sortir";0,639;1;0;1;0,268;1;1;0,456;1;1;1
"reportage";1;1;1;1;0,005;1;0,901;1;1;0,153;0,121
"présent";1;1;0,892;1;0;1;1;1;1;1;1
"propre";1;1;1;1;0;1;1;1;1;1;1
"match";1;1;1;1;1;1;0;1;1;1;0,012
"maison";1;0,238;1;1;0,506;1;1;1;1;0,092;0,652
"joueur";1;1;1;1;1;0,707;0;1;1;1;0,36
"droit";1;1;1;0,405;0,003;1;1;1;1;0,017;1
"vin";1;1;1;0,405;1;0,462;1;0;1;1;1
"témoignage";1;1;1;1;0;0,761;1;1;1;0,153;0,987
"simple";1;1;0,84;0,691;1;1;1;1;0,003;0,153;1
"saison";1;1;1;0,214;1;1;1;0,252;0,023;1;0,932
"saint";0,869;0,17;1;0,526;1;0,59;0,721;1;0,044;1;1
"revenir";1;1;1;1;0,005;1;0,901;1;0,462;1;0,121
"plateau";1;1;1;1;1;1;1;1;0,845;1;0
"piste";1;1;1;0;1;1;1;0,189;1;1;1
"oublier";1;1;1;1;0,268;1;0,037;0,456;1;0,473;1
"lausannois";1;1;1;1;1;0,121;1;1;0,672;0,003;1
"jeunesse";1;1;0,086;1;1;1;1;1;0;1;1
"haut";1;0,894;0;0,583;0,592;0,65;1;1;1;1;1
"fêter";1;1;1;0;1;0,017;0,037;1;1;1;1
"face";1;0,603;1;1;0,976;1;0;1;1;0,473;1
"dernier";0,798;0,758;1;1;1;1;1;1;0;1;1
"conseil";1;1;0;0,638;1;0,707;0;1;1;1;0,904
"commencer";1;1;1;1;1;0,527;0,083;1;0,002;1;1
"automne";0;1;1;0,638;1;1;1;1;1;1;1
"art";1;0,758;0,598;0,467;1;0,527;0,083;1;0,651;1;0,624
"appeler";1;1;0,84;0,1;0,248;1;1;1;1;0,498;0,433
