"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11"
"exprimer";0,833;-0,438;-0,35;-0,287;0,216;-0,315;-0,379;-0,958;-0,944;13,939;-0,917
"europe";-0,23;-0,218;-0,175;-0,143;-0,364;-0,157;4,065;-0,478;1,007;-0,488;1,065
"entourer";-0,384;-0,365;2,041;-0,239;0,442;-0,263;-0,316;-0,798;9,26;-0,815;-0,763
"enthousiasme";-0,384;-0,365;2,041;-0,239;-0,608;-0,263;10,488;-0,798;0,179;-0,815;0,203
"démonstration";-0,23;-0,218;4,5;-0,143;-0,364;-0,157;-0,189;0,979;-0,471;0,939;-0,457
"décennie";-0,539;-0,511;-0,409;-0,335;26,88;1,294;-0,443;-1,119;0,003;-1,143;-1,071
"doute";-0,307;2,114;-0,233;-0,191;-0,486;-0,21;2,629;-0,638;0,45;-0,652;0,488
"dossier";13,62;-0,511;-0,409;1,542;0,089;-0,368;-0,443;-1,119;0,003;0,001;-1,071
"dos";-0,462;6,743;-0,35;-0,287;-0,73;-0,315;-0,379;-0,958;0,05;6,516;-0,917
"demander";-0,307;2,114;-0,233;-0,191;0,841;-0,21;-0,252;-0,638;-0,629;4,337;-0,61
"crème";-0,539;96,987;-0,409;-0,335;-0,852;-0,368;-0,443;-1,119;-1,103;-1,143;-1,071
"courir";-0,384;-0,365;2,041;-0,239;-0,608;-0,263;26,407;0,168;-0,786;-0,815;-0,763
"courage";-0,384;22,545;-0,291;-0,239;-0,608;-0,263;-0,316;0,168;0,179;-0,815;-0,763
"couleur";-0,384;-0,365;-0,291;-0,239;12,622;-0,263;-0,316;-0,798;-0,786;-0,815;3,149
"continuer";0,549;-0,511;-0,409;-0,335;15,706;-0,368;-0,443;-1,119;1,359;-1,143;-1,071
"consacrer";-0,307;-0,291;2,949;-0,191;0,841;-0,21;-0,252;-0,638;0,45;0,407;-0,61
