"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Coord. facteur 7";"Coord. facteur 8";"Coord. facteur 9";"Coord. facteur 10";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"Corr. facteur 7";"Corr. facteur 8";"Corr. facteur 9";"Corr. facteur 10";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"COR -facteur 7";"COR -facteur 8";"COR -facteur 9";"COR -facteur 10";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"CTR -facteur 7";"CTR -facteur 8";"CTR -facteur 9";"CTR -facteur 10";"mass";"chi.distance";"inertie"
".";-0,124142359220769;0,143148928443487;-0,102176318604837;0,0387364223861066;0,0854023443004125;0,148703350587694;-0,109660451650641;-0,067134908512303;0,0776145458120948;0,598031387618257;-0,183547823225692;0,211649547969091;-0,151070440282038;0,0572728442825607;0,126269667284439;0,219861910777767;-0,162135932656369;-0,0992607712406647;0,114755197370837;0,88420552104029;0,0912542104398779;0,0794489361070256;0,0364035308169494;0,00464140972031092;0,021533984954651;0,0587556931374969;0,028894244246386;0,0104895854428301;0,0127496708741752;0,655828734260301;0,00155747642368655;0,00207089316640798;0,00105507174893899;0,000151642350544309;0,000737090946191519;0,00223471940680791;0,00121529455664883;0,00045548942135668;0,000608790312477903;0,0361434370389346;0,101060511540861;0,28904091600157;0,00844306517899583
",";-0,245295973036334;-0,00246705239984764;-0,0103821477637256;-0,0151434468348741;-0,00858610777337768;0,0112119041288345;0,0508552703918787;0,0186449583891979;-0,0131289796216148;-0,0433739582761164;-0,956988514085313;-0,00962486575330404;-0,0405045221021639;-0,0590800758171825;-0,0334975190098371;0,0437417024809088;0,198404845555789;0,0727407417382188;-0,0512209089453111;-0,169217534910411;0,966108863601713;6,39883538519395e-05;0,00101917725817952;0,00192350213680217;0,000590214396243203;0,000905731565248815;0,0168506058939249;0,00219389917916578;0,000989252116708781;0,00935476549817892;0,00440242972216541;4,45316044317857e-07;7,88653084272447e-06;1,67788066353606e-05;5,3939170784656e-06;9,19751163295777e-06;0,00018922718566653;2,54351575267776e-05;1,26116974376457e-05;0,000137647937850275;0,0731663844577132;0,175526693371933;0,00225422850821454
"?";-0,494471875102041;0,309580363186408;-0,666589410982029;0,311967142290773;-0,176796749648099;0,347746871767189;-0,548045273612623;-0,506978166698399;-0,0706560610787878;0,937106494501618;-0,314323866724488;0,19679278381332;-0,423734840599846;0,198310001828898;-0,112385437416928;0,221054314469657;-0,348379186392453;-0,322273815206674;-0,04491435700205;0,595696037966958;0,206111147560535;0,0529010221399456;0,220579524714811;0,0428582043104073;0,0131382869513861;0,0457446468213993;0,102742356387067;0,0851619122569439;0,0015042393594768;0,229258659498014;0,00651512593751106;0,00255379737812298;0,0118401293474002;0,00259332732045739;0,000832891018193889;0,0032223008787395;0,00800336270892178;0,00684885764113287;0,000133026593991948;0,0234000896559216;0,0266464664468407;0,766049159042398;0,0156369809203102
"!";-0,423891352992132;0,325369432065547;0,0653368337118316;-0,0455020343429477;0,262728261326381;0,424463821186092;-0,300825082557606;0,0417466463833828;0,299873368266475;0,578850704624072;-0,412047338387206;0,316278233865398;0,0635112470201943;-0,0442306548833112;0,255387329877057;0,412603811157806;-0,292419681866627;0,0405801968061945;0,291494559573385;0,562676946534304;0,332020667255847;0,128088005179321;0,00464517687415169;0,00199855267935276;0,0635977109777709;0,149393906898065;0,0678550927785865;0,00126574957097992;0,0593925003690944;0,19174263741683;0,0048519931717204;0,00285867355839631;0,000115272904140872;5,59078374647606e-05;0,00186390876105282;0,00486510732156291;0,00244365085817882;4,70602524490277e-05;0,00242821345776943;0,00904782513928052;0,027002940914357;0,517413534356215;0,00722914000152409
"suisse";0,608846301024014;-0,177075451145846;0,0831379536916969;0,0650217155734176;-0,176826749924068;-0,0324080464839217;-0,0204093668330183;0,218132645549518;-0,121112455947935;-0,310005446176009;0,783230422662783;-0,22779292608151;0,106950103005879;0,0836450606420265;-0,227472992524023;-0,0416902720811241;-0,0262549628436919;0,280609611790286;-0,155801160165195;-0,398796373120485;0,793025368452686;0,0439225363529489;0,00870764032259639;0,00472483399014595;0,0333533579207426;0,00100826099288508;0,000361600611564199;0,040009365964158;0,0112162884311804;0,0636707469610956;0,00713571559989794;0,000603585645314772;0,000133051829454882;8,13840009945503e-05;0,00060189137238759;2,02175206319642e-05;8,01828063250485e-06;0,000915932610975602;0,000282357813824077;0,00184995360113161;0,0192496212458783;0,480872473942523;0,0044512503892924
":";-0,0390442295035405;-0,111298589132769;-0,0553017577554374;-0,192119510069506;-0,657181179624636;-0,320705881112854;0,324281957054583;1,05711073940773;0,0618196052043497;0,214401817384672;-0,0286205324597645;-0,0815850363422221;-0,0405377637885773;-0,140829073694481;-0,481732525460327;-0,235086546645656;0,237707912180852;0,77489228537705;0,045315531639329;0,157162639701573;0,00193036460058427;0,0102707914180342;0,00228051842526592;0,0244155516439826;0,272689090979074;0,0584433365637163;0,054034303527262;0,556179785308535;0,00172972831894782;0,0180265292146022;1,61669878839223e-05;0,000131369551484757;3,24334591293191e-05;0,000391433814434748;0,00458021256924396;0,00109076011045934;0,00111522107948194;0,0118510374056829;4,05291833996058e-05;0,000487497422372708;0,0106051154086089;0,625033033509022;0,00414306112327968
"émission";1,95186590297033;-0,0329246610427388;0,0441632129782794;-0,177567216612743;-0,136315429039466;-0,116622382388468;0,0386298461536709;0,0367104907772289;-0,0602898653149439;-0,0203045308243732;0,990474017799608;-0,016707613600947;0,0224106148536993;-0,0901064536248474;-0,0691732410937296;-0,0591800079472078;0,0196027088072908;0,0186287322506038;-0,030594081816899;-0,0103035306854575;0,990572062641104;0,000184555803310748;0,000298632814599513;0,00428262121333795;0,00240906239252343;0,00158688502319929;0,000157445565749538;0,000137725735636082;0,000337811599532964;3,3197211003968e-05;0,0370079382271119;1,05302228162319e-05;1,89459444329e-05;0,000306281319784338;0,000180503224772238;0,000132117015244797;1,44957567516563e-05;1,3091075172306e-05;3,53088491851577e-05;4,00480019140661e-06;0,0097139292398182;1,37934443192373;0,0184816349474033
"petit";-0,490951349007021;0,150374858389922;-0,382179673168531;0,065741354399418;0,998186534112218;0,899036289475592;0,937096620504109;-0,239662284127867;-0,34712504524349;0,249632671350281;-0,268754452653018;0,0823175510997131;-0,20921113484108;0,0359878463599679;0,546422932055342;0,492146536274733;0,512981357187335;-0,131194885445637;-0,190021682851581;0,136652831464358;0,146532328082753;0,00900131494569023;0,0522903787047977;0,00137256145247775;0,30203122622285;0,22049893786628;0,216632511150421;0,0137247525069396;0,0261835328093483;0,0117324562584406;0,00171844382562562;0,000161216276879345;0,0010413425012616;3,08131230961225e-05;0,00710365462531298;0,00576252562013397;0,00626076161597165;0,0004095036836887;0,000859073501722092;0,00044428461353161;0,00712948935032528;0,902064348917624;0,00580140871286464
"année";-0,311900626304043;0,231141844544974;-0,39416946622587;0,26672530949503;0,417957802871557;-0,14951531928029;0,365943373561691;-0,912892536344363;-0,471646127124822;0,175993619367214;-0,232802166353015;0,172523931043496;-0,294207506842716;0,199083376674888;0,311963086145889;-0,111598013264275;0,273139593008211;-0,681381639488268;-0,3520359719946;0,13136137730309;0,117339825457157;0,0421957833672128;0,110359312466344;0,0448269683954305;0,105062980550898;0,0120998462611536;0,0655449256927448;0,395094383724696;0,0959058943771856;0,011570079707181;0,000710910262586763;0,000390426636536098;0,00113539832319691;0,000519889139957935;0,00127657743948489;0,000163362990585325;0,000978610936423166;0,00609006044014669;0,00162560428455674;0,000226347725938302;0,00730772658408341;0,640411783307773;0,00299709782375494
"retrouver";2,36488596311192;0,493704323718572;-0,100976017747995;0,0843090353576812;0,0090947999438362;0,0367020684249039;0,117723626977578;0,0177829204630752;-0,0294278596260143;0,364348890981113;0,965223018596536;0,201504336812392;-0,0412131401584898;0,0344105478539947;0,00371202264813212;0,0149798687236513;0,0480486401305823;0,00725805998114388;-0,0120109163579624;0,148708200674641;0,962626640079324;0,0274707357332679;0,00103348465126597;0,00063912187030221;7,09897535014275e-06;0,00010404328917236;0,000967972665591841;2,13940122749964e-05;5,32788240975201e-05;0,00707622989935179;0,0478475910683793;0,00208532395408676;8,723206411045e-05;6,08118073721151e-05;7,07662156471498e-07;1,15244644291923e-05;0,000118567848273823;2,70548943755651e-06;7,40895611159134e-06;0,00113572863189377;0,00855538722039034;1,69530191115738;0,0245885984063354
