"";"V1"
"639";0
"640";0
"641";0
"642";0
"643";3
"644";0
"645";0
"646";1
"647";0
"648";0
"649";0
"650";0
"651";0
"652";0
"653";0
"654";0
"655";0
"656";3
"657";3
"658";2
"659";0
"660";2
"661";0
"662";0
"663";1
"664";0
"665";2
"666";0
"667";0
"668";0
"669";0
"670";0
"671";0
"672";0
"673";0
"674";0
"675";0
"676";0
"677";0
"678";1
"679";0
"680";0
"681";0
"682";0
"683";0
"684";0
"685";0
"686";0
"687";0
"688";0
"689";0
"690";0
"691";3
"692";3
"693";0
"694";3
"695";3
"696";0
"697";0
"698";0
"699";0
"700";1
"701";0
"702";0
"703";0
"704";3
"705";0
"706";3
"707";3
"708";0
"709";0
"710";0
"711";0
"712";0
"713";0
"714";0
"715";0
"716";2
"717";0
"718";1
"719";0
"720";0
"721";3
"722";0
"723";2
"724";2
"725";0
"726";3
"727";0
"728";3
"729";0
"730";3
"731";3
"732";0
"733";2
"734";0
"735";0
"736";0
"737";0
"738";3
"739";0
"740";1
"741";0
"742";0
"743";0
"744";0
"745";0
"746";0
"747";3
"748";3
"749";2
"750";0
"751";0
"752";0
"753";3
"754";0
"755";0
"756";0
"757";0
"758";0
"759";0
"760";0
"761";3
"762";0
"763";1
"764";3
"765";0
"766";0
"767";0
"768";0
"769";0
"770";3
"771";0
"772";0
"773";0
"774";2
"775";0
"776";0
"777";0
"778";0
"779";0
"780";0
"781";0
"782";0
"783";0
"784";0
"785";0
"786";0
"787";0
"788";0
"789";0
"790";3
"791";3
"792";0
"793";0
"794";3
"795";0
"796";0
"797";0
"798";0
"799";0
"800";0
"801";0
"802";3
"803";0
"804";0
"805";0
"806";0
"807";0
"808";0
"809";0
"810";0
"811";2
"812";0
"813";0
"814";1
"815";0
"816";2
"817";0
"818";0
"819";0
"820";0
"821";0
"822";0
"823";0
"824";0
"825";0
"826";0
"827";0
"828";0
"829";0
"830";0
"831";0
"832";0
"833";0
"834";0
"835";0
"836";0
"837";1
"838";0
"839";0
"840";1
"841";0
"842";0
"843";0
"844";0
"845";0
"846";0
"847";0
"848";0
"849";0
"850";0
"851";0
"852";0
"853";0
"854";0
"855";0
"856";0
"857";0
"858";0
"859";1
"860";0
"861";0
"862";0
"863";1
"864";0
"865";0
"866";0
"867";0
"868";0
"869";0
"870";0
"871";3
"872";0
"873";3
"874";0
"875";0
"876";0
"877";0
"878";1
"879";2
"880";0
"881";0
"882";3
"883";0
"884";2
"885";0
"886";0
"887";0
"888";0
"889";1
"890";0
"891";0
"892";0
"893";2
"894";3
"895";0
"896";3
"897";2
"898";0
"899";0
"900";1
"901";3
"902";0
"903";0
"904";0
"905";0
"906";0
"907";1
"908";0
"909";0
"910";0
"911";0
"912";0
"913";0
"914";0
"915";0
"916";0
"917";0
"918";0
"919";0
"920";0
"921";0
"922";0
"923";0
"924";0
"925";3
"926";2
"927";0
"928";3
"929";3
"930";3
"931";3
"932";3
"933";3
"934";0
"935";0
"936";0
"937";0
"938";3
"939";3
"940";2
"941";3
"942";0
"943";0
"944";0
"945";2
"946";0
"947";0
"948";0
"949";1
"950";0
"951";3
"952";3
"953";0
"954";0
"955";1
"956";0
"957";0
"958";1
"959";0
"960";0
"961";0
"962";0
"963";0
"964";0
"965";0
"966";0
"967";0
"968";0
"969";1
"970";3
"971";1
"972";0
"973";0
"974";0
"975";0
"976";0
"977";1
"978";0
"979";2
"980";0
"981";1
"982";0
"983";2
"984";0
"985";0
"986";3
"987";1
"988";0
"989";0
"990";0
"991";0
"992";3
"993";3
"994";0
"995";3
"996";0
"997";0
"998";0
"999";1
"1000";0
"1001";0
"1002";3
"1003";2
"1004";0
"1005";0
"1006";0
"1007";0
"1008";2
"1009";2
"1010";0
"1011";0
"1012";0
"1013";0
"1014";0
"1015";0
"1016";0
"1017";0
"1018";0
"1019";3
"1020";0
"1021";0
"1022";0
"1023";0
"1024";0
"1025";0
"1026";2
"1027";1
"1028";2
"1029";1
"1030";0
"1031";0
"1032";0
"1033";0
"1034";0
"1035";0
"1036";0
"1037";3
"1038";3
"1039";3
"1040";0
"1041";0
"1042";0
"1043";0
"1044";2
"1045";0
"1046";3
"1047";0
"1048";3
"1049";0
"1050";0
"1051";0
"1052";3
"1053";0
"1054";0
"1055";0
"1056";0
"1057";0
"1058";0
"1059";0
"1060";0
"1061";0
"1062";0
"1063";0
"1064";2
"1065";0
"1066";3
"1067";0
"1068";0
"1069";0
"1070";0
"1071";0
"1072";0
"1073";0
"1074";0
"1075";0
"1076";0
"1077";0
"1078";0
"1079";0
"1080";3
"1081";0
"1082";3
"1083";0
"1084";0
"1085";0
"1086";1
"1087";0
"1088";0
"1089";3
"1090";0
"1091";3
"1092";3
"1093";1
"1094";1
"1095";3
"1096";3
"1097";3
"1098";3
"1099";0
"1100";0
"1101";0
"1102";0
"1103";0
"1104";0
"1105";1
"1106";1
"1107";1
"1108";0
"1109";0
"1110";1
"1111";1
"1112";0
"1113";0
"1114";1
"1115";0
"1116";1
"1117";1
"1118";0
"1119";2
"1120";1
"1121";0
"1122";0
"1123";0
"1124";0
"1125";0
"1126";2
"1127";0
"1128";1
"1129";1
"1130";0
"1131";1
"1132";3
"1133";0
"1134";1
"1135";2
"1136";3
"1137";2
"1138";2
"1139";0
"1140";0
"1141";2
"1142";0
"1143";0
"1144";1
"1145";3
"1146";0
"1147";0
"1148";0
"1149";0
"1150";0
"1151";0
"1152";0
"1153";0
"1154";0
"1155";0
"1156";1
"1157";0
"1158";3
"1159";3
"1160";0
"1161";3
"1162";0
"1163";1
"1164";0
"1165";0
"1166";3
"1167";2
"1168";2
"1169";0
"1170";0
"1171";0
"1172";0
"1173";3
"1174";2
"1175";0
"1176";1
"1177";1
"1178";1
"1179";0
"1180";0
"1181";1
"1182";3
"1183";3
"1184";3
"1185";1
"1186";2
"1187";1
"1188";2
"1189";0
"1190";0
"1191";3
"1192";0
"1193";0
"1194";0
"1195";0
"1196";0
"1197";0
"1198";2
"1199";0
"1200";0
"1201";0
"1202";0
"1203";0
"1204";0
"1205";0
"1206";0
"1207";1
"1208";0
"1209";0
"1210";0
"1211";0
"1212";0
"1213";0
"1214";0
"1215";0
"1216";0
"1217";0
"1218";0
"1219";0
"1220";1
"1221";0
"1222";0
"1223";0
"1224";0
"1225";0
"1226";1
"1227";0
"1228";1
"1229";0
"1230";3
"1231";0
"1232";0
"1233";3
"1234";0
"1235";0
"1236";3
"1237";0
"1238";1
"1239";0
"1240";2
"1241";2
"1242";3
"1243";0
"1244";0
"1245";0
"1246";0
"1247";0
"1248";0
"1249";3
"1250";0
"1251";0
"1252";3
"1253";0
"1254";0
"1255";3
"1256";3
"1257";0
"1258";2
"1259";3
"1260";3
"1261";0
"1262";1
"1263";1
"1264";0
"1265";0
"1266";0
"1267";0
"1268";2
"1269";0
"1270";3
"1271";3
"1272";3
"1273";1
"1274";0
"1275";0
"1276";3
"1277";3
"1278";3
"1279";3
"1280";0
"1281";3
"1282";3
"1283";3
"1284";0
"1285";2
"1286";1
"1287";0
"1288";2
"1289";0
"1290";0
"1291";0
"1292";1
"1293";2
"1294";0
"1295";2
"1296";3
"1297";3
"1298";0
"1299";3
"1300";2
"1301";3
"1302";3
"1303";0
"1304";0
"1305";0
"1306";0
"1307";0
"1308";3
"1309";3
"1310";1
"1311";0
"1312";3
"1313";2
"1314";2
"1315";2
"1316";3
"1317";3
"1318";0
"1319";0
"1320";0
"1321";0
"1322";0
"1323";1
"1324";0
"1325";0
"1326";0
"1327";0
"1328";0
