emji_drapeau_belgique;2;8;0
emji_chouette;10;0;0
emji_billet_en_dollars;0;7;0
emji_visage_dans_les_nuages;9;0;0
emji_seringue;2;5;0
emji_nuage_avec_pluie;8;1;0
emji_goutte_de_sang;9;0;0
emji_drapeau_congo_kinshasa;1;1;1
emji_danseuse;8;0;0
emji_coche;2;0;4
emji_bourgeon;9;0;0
emji_bonhomme_de_neige;9;0;0
emji_vache;7;0;0
emji_snowboardeur;6;0;0
emji_singe_ne_rien_entendre;0;7;0
emji_plus;6;0;0
emji_haute_tension;6;0;0
emji_guitare;7;0;0
emji_femme_avec_la_paume_sur_le_visage_peau_mate;3;0;1
emji_violon;5;0;0
emji_ski;7;0;0
emji_signe_de_la_main_peau_claire;6;0;0
emji_plage_avec_parasol;4;2;0
emji_oreille;1;1;1
emji_gouttes_de_sueur;5;2;0
emji_feuille_virevoltante;7;0;0
emji_drapeau_maroc;7;0;0
emji_bout_des_doigts_joints_peau_moyennement_claire;0;7;0
emji_billet_en_euros;5;0;0
emji_toilettes;0;6;0
emji_signe_je_t_aime;0;3;1
emji_ours;0;4;0
emji_mandarine;0;6;0
emji_haut_de_forme;4;2;0
emji_graphique_en_hausse;0;6;0
emji_drapeau_canada;3;1;0
emji_chope;4;0;0
emji_cercueil;0;6;0
emji_bombe;6;0;0
emji_baguette_magique;0;5;0
emji_visage_faisant_un_bisou;3;0;1
emji_vent_avec_visage;5;0;0
emji_sens_interdit;4;1;0
emji_sablier;0;3;1
emji_ruban;4;0;0
emji_rouleau_de_papier;5;0;0
emji_poule;4;0;0
emji_perroquet;0;4;0
emji_micro;5;0;0
emji_livres;4;0;0
emji_drapeau_venezuela;0;5;0
emji_drapeau_tunisie;4;0;1
emji_drapeau_mexique;4;0;1
emji_drapeau_albanie;4;0;1
emji_cocktail_tropical;2;0;1
emji_chat_qui_sourit;4;0;0
emji_avion;0;4;1
emji_voiture_de_police;2;1;0
emji_symbole_d_interdiction;4;0;0
emji_surfeur;3;1;0
emji_prince;3;0;1
emji_pomme_de_terre;3;1;0
emji_pleine_lune_avec_visage;4;0;0
emji_pilule;4;0;0
emji_femmes_avec_des_oreilles_de_lapin;4;0;0
emji_drapeau_kosovo;4;0;0
emji_cornes_avec_les_doigts_peau_moyennement_claire;4;0;0
emji_coccinelle;4;0;0
emji_cigarette;4;0;0
emji_chapiteau;0;4;0
emji_bois;4;0;0
emji_banque;4;0;0
emji_bague;0;3;1
emji_alien;3;1;0
emji_aigle;0;4;0
emji_tennis;3;0;0
emji_personne_qui_court;3;0;0
emji_oiseau;2;1;0
emji_montagne;3;0;0
emji_hamburger;2;1;0
emji_frites;2;1;0
emji_fourchette_et_couteau_avec_assiette;1;2;0
emji_douche;1;1;1
