"";"";"";"";"vendredi";""
"1";"vendredi";"-0.462750076396157";"0.561729415808628";"0.934768359941945";"74"
"2";"élève";"-0.455744881999598";"1.0066429439681";"0.922628447024674";"89"
"3";"donner";"-0.427423681362916";"0.990417122894587";"0.920632801161103";"91"
"4";"vent";"-0.589041714826582";"1.06370662041651";"0.913387808417997";"99"
"5";"fleur";"-0.608494833728198";"1.19895464228389";"0.913387808417997";"102"
"6";"sauter";"-0.35847928749152";"0.330402834631197";"0.912024383164006";"104"
"7";"vache";"-0.406513126519658";"0.483174456669804";"0.911679535558781";"105"
"8";"foutre";"-0.646682321660348";"1.24703256686284";"0.910756748911466";"107"
"9";"flamme";"-0.646682321660348";"1.24703256686284";"0.910756748911466";"111"
"10";"lausannois";"-0.40922234463378";"0.644743520283962";"0.908125689404935";"114"
"11";"exercice";"-0.359894272167402";"1.02643160979737";"0.907637155297533";"115"
"12";"futur";"-0.355500952234671";"0.981947006612042";"0.907637155297533";"116"
"13";"magnifique";"-0.438171602268674";"0.828704531226779";"0.905098693759071";"117"
"14";"barbe";"-0.438171602268674";"0.828704531226779";"0.905098693759071";"119"
"15";"malade";"-0.451446302082317";"0.768107213108262";"0.904456894049347";"120"
"16";"société";"-0.558523748054414";"0.920136140761532";"0.904195065312047";"121"
"17";"rouge";"-0.550889943404035";"1.09579239003885";"0.904195065312047";"122"
"18";"incontournable";"-0.57844131226179";"0.936975864247092";"0.904195065312047";"123"
"19";"helvétique";"-0.312290204306923";"0.193776906058084";"0.903744847605225";"124"
"20";"décennie";"-0.300905587910187";"0.122590949401573";"0.903744847605225";"125"
"21";"pêcheur";"-0.447344243933441";"0.381869025159753";"0.901985486211901";"128"
"22";"poste";"-0.535387351197896";"1.26184921974554";"0.901985486211901";"130"
"23";"astuce";"-0.522972367367709";"1.37015368403602";"0.901985486211901";"131"
"24";"voiture";"-0.48425379526718";"0.850547749994379";"0.898006966618287";"139"
"25";"simple";"-0.399067883788265";"0.5922789284102";"0.897125689404935";"142"
"26";"femme";"-0.445059412383752";"0.778558548049017";"0.891512336719884";"144"
"27";"état";"-0.498712936726608";"0.347729624796428";"0.890123367198839";"147"
"28";"choisir";"-0.425055253897542";"0.465311463618925";"0.890053120464441";"148"
"29";"florilège";"-0.449866319585194";"1.03329379837169";"0.888379970972424";"150"
"30";"éviter";"-0.388536665995316";"0.964372466791281";"0.887591291727141";"151"
"31";"comprendre";"-0.407911474961069";"0.986701349215676";"0.887591291727141";"152"
"32";"éducation";"-0.455744881999598";"1.0066429439681";"0.886920754716981";"153"
"33";"raison";"-0.455744881999598";"1.0066429439681";"0.886920754716981";"154"
"34";"look";"-0.437487622983942";"1.01041221364987";"0.884187518142235";"155"
"35";"sexe";"-0.437487622983942";"1.01041221364987";"0.884187518142235";"156"
"36";"travers";"-0.375549738187656";"0.986886194083254";"0.88208969521045";"164"
"37";"paysan";"-0.4487443502778";"0.485998011627811";"0.880627285921626";"169"
"38";"parcourir";"-0.5059026739135";"1.10660815555981";"0.880627285921626";"170"
"39";"vraiment";"-0.403867784908195";"0.283961323806242";"0.880055732946299";"173"
"40";"marathon";"-0.422233139313244";"0.729044191907663";"0.878730624092888";"174"
"41";"union";"-0.438171602268674";"0.828704531226779";"0.878299564586357";"176"
"42";"soie";"-0.438171602268674";"0.828704531226779";"0.878299564586357";"177"
"43";"piquer";"-0.438171602268674";"0.828704531226779";"0.878299564586357";"178"
"44";"conjugal";"-0.438171602268674";"0.828704531226779";"0.878299564586357";"179"
