"";"X.rts_a";"X.rts_i"
"tu";3,05;4,46
"ne";13,58;14,26
"avoir";30,67;24,25
"pas";15,79;17,71
"changer";2,06;1,42
"ou";2,95;3,66
"presque";0,29;0,21
"emji_visage_faisant_un_clin_d_oeil";0,87;0,46
"ils";4,52;6
"être";42,28;40,22
"le";17,85;19,18
"la";22,59;21,6
"fin";0,76;0,59
"c";15,99;15,22
"un";11,22;12,74
"mieux";1,14;1,08
"avant";1,59;0,87
"aujourd_hui";3,17;0,55
"les";21,34;21,37
"enfant";4,24;4,31
"faire";8,6;10,76
"des";12,53;13,46
"danser";0,08;0,03
"sur";3,32;3,81
"tiktok";0,11;0,06
"à";16,28;16,04
"l";14,33;12,82
"époque";5;0,51
"du";5,73;5,99
"style";0,13;0,12
"et";23,24;22,85
"de";34,46;35,39
"grâce";0,19;0,1
"contrairement";0,06;0,03
"on";11,2;10,93
"pouvoir";3,13;4,61
"plus";6,68;7,08
"mettre";1,06;1,71
"musique";0,26;0,25
"dehors";0,13;0,17
"même";3,93;3,56
"aller";3,13;5,93
"mon";2,86;1,63
"ami";0,57;0,52
"rassurer";0,07;0,11
"moi";2,21;1,72
"ça";8,18;8,3
"quand";2,91;2,65
"t";1,28;1,69
"petit";2,49;1,51
"plein";0,49;0,52
"qui";8,68;10,36
"s";3,27;3,56
"nous";3,66;3,28
"deux";0,69;0,7
"sortir";0,61;1,03
"dingue";0,17;0,17
"emji_visage_très_souriant_aux_yeux_rieurs";0,18;0,1
"inviter";0,06;0,04
"dame";0,82;0,07
"emji_feu";0,44;0,35
"vraiment";1,66;1,93
"insupportable";0,06;0,08
"tout";5,15;4,86
"ces";2,54;2,57
"gens";2,5;3,22
"cirque";0,03;0,08
"pareil";0,42;0,37
"tellement";1,38;0,79
"bas";0,2;0,33
"école";1,46;1,53
"en";12,77;14,07
"suisse";0,91;2,45
"vivre";2,06;2,01
"leur";2,02;2,62
"juste";1,19;1,46
"apprendre";1,27;1,05
"oublier";0,61;0,54
"leurs";1,15;1,23
"racine";0,08;0,06
"origine";0,08;0,03
"où";1,83;1,43
"mal";0,79;0,84
"jusqu_au";0,12;0,11
"dernier";0,8;0,54
"oh";0,36;0,19
"dieu";1,07;0,32
"comme";3,89;3,56
"m";1,47;1,25
"vendre";0,06;0,1
"rêve";0,29;0,19
"ouf";0,07;0,06
"dur";0,47;0,57
"pensée";0,19;0,12
"pour";8,8;11,84
"vous";4,89;8,25
"regarder";0,83;0,53
"jusqu_à";0,27;0,23
"disparaître";0,24;0,16
"aussi";2,5;2,3
"vite";0,47;0,32
"qu";6,86;7,84
"arrivée";0,04;0,03
"chose";2,22;2,42
"finalement";0,19;0,17
"bien";5,34;4,31
"parfois";0,29;0,23
"emji_visage_riant_aux_larmes";3,09;2,51
"calme";0,22;0,11
"toi";0,74;1,22
"vieux";0,68;0,2
"il";10,11;9,79
"y";4,63;5,07
"amitié";0,03;0,06
"fort";0,29;0,26
"cette";4,22;1,9
"maintenant";1,54;0,55
"ce";8,23;7,76
"que";12,82;15,38
"hypocrisie";0,02;0,1
"souvenir";1,27;0,1
"dans";7,17;7,08
"nombreux";0,11;0,1
"romand";0,03;0,05
"étudiant";0,06;0,08
"éducation";0,62;0,44
"nos";1,57;1,2
"oui";2,04;1,78
"tous";2,03;2,18
"emji_coeur_rouge";1,64;0,57
"bon";2,84;2,58
"mes";1,6;0,85
"grand";1,52;1,17
"frère";0,23;0,16
"soeur";0,22;0,1
"10";0,27;0,38
"camp";0,05;0,08
"trop";1,45;1,23
"importer";0,27;0,3
"emji_visage_avec_un_léger_sourire";0,27;0,23
"elles";0,89;0,73
"vachement";0,07;0,05
"classe";0,61;0,21
"air";0,63;0,35
"prendre";1,22;1,65
"remonter";0,08;0,09
"lol";0,11;0,05
"fou";0,44;0,45
"image";0,44;0,37
"incroyable";0,41;0,16
"magnifique";0,32;0,14
"reportage";0,46;0,03
"etait";0,39;0,23
"considérer";0,07;0,12
"avec";5;4,7
"réseau";0,24;0,18
"social";0,27;0,54
"payer";0,11;0,39
"sa";1,84;1,46
"passion";0,17;0,1
"excellent";0,16;0,17
"vidéo";1,36;0,34
"j";8,91;4,53
"adorer";0,6;0,1
"début";0,56;0,36
"témoignage";0,18;0,01
"notre";1,02;1,09
"beau";2,27;0,75
"malheureusement";0,88;0,64
"perdre";0,57;0,63
"acheter";0,11;0,16
"street";0,04;0,03
"2";0,66;0,7
"fils";0,32;0,23
"suivre";0,17;0,19
"roi";0,12;0,07
"mère";0,74;0,45
"lorsque";0,17;0,1
"je";11,68;9,52
"voir";4,06;4,24
"descendre";0,04;0,03
"quelle";1,27;0,76
"jeunesse";0,48;0,12
"orange";0,09;0,06
"sentir";0,65;0,6
"emji_visage_en_pleine_réflexion";0,24;0,2
"jeune";2,13;1,24
"homme";1,63;0,85
"emji_applaudissements";1,17;0,99
"écouter";0,47;0,32
"si";3,71;5,02
"sage";0,11;0,04
"philosophie";0,13;0,05
"dire";4,37;3,59
"adulte";0,5;0,39
"croire";0,87;0,77
"vrai";1,24;1,06
"monsieur";0,73;0,2
"exactement";0,16;0,17
"train";0,09;0,1
"se";4,04;5,11
"passer";2,07;2,08
"emji_visage_qui_pleure";2,02;1,47
"lieu";0,22;0,44
"travailler";0,61;0,88
"raison";0,52;0,5
"papier";0,06;0,04
"par";2,62;3,32
"terre";0,25;0,41
"une";9,19;8,62
"responsable";0,08;0,11
"très";2,22;1,68
"génération";0,96;0,39
"traiter";0,07;0,09
"concernant";0,03;0,1
"changement";0,12;0,13
"vivement";0,03;0,04
"emji_visage_de_clown";0,06;0,1
"aimer";1,69;0,86
"1er";0,11;0,07
"garçon";0,76;0,14
"sembler";0,27;0,25
"information";0,05;0,11
"d_abord";0,02;0,14
"mémoire";0,14;0,16
"lui";1,26;0,76
"revenir";0,48;0,22
"adorable";0,07;0,01
"temps";2,99;2,87
"août";0,08;0,03
"jour";2,18;2,43
"férié";0,06;0,03
"emji_visage_souriant_avec_yeux_rieurs";0,58;0,14
"imaginer";0,38;0,25
"utiliser";0,32;0,4
"pression";0,03;0,06
"envoyer";0,21;0,31
"décevoir";0,11;0,08
"plaisir";0,73;0,5
"trouver";1,16;1,07
"lien";0,09;0,12
"version";0,04;0,07
"long";0,26;0,29
"journée";0,63;0,64
"surtout";0,71;0,77
"me";3,27;1,78
"donner";1,16;1,65
"envie";0,54;0,65
"empêcher";0,12;0,22
"espérer";0,64;1,04
"marcher";0,21;0,5
"connaître";1,61;0,91
"sympa";0,37;0,15
"revoir";0,25;0,07
"emji_tête_à_l";0,15;0,16
"envers";0,31;0,37
"là";1,38;1,58
"singe";0,06;0,03
"tour";0,21;0,16
"recevoir";0,58;0,24
"certainement";0,28;0,21
"beaucoup";1,6;1,02
"d";10,17;11,29
"amour";0,64;0,23
"au";4,06;4,33
"quotidien";0,13;0,2
"part";0,41;0,42
"client";0,09;0,03
"demander";0,87;0,86
"pousser";0,07;0,14
"partout";0,21;0,27
"humain";0,61;0,85
"métier";0,41;0,25
"toute";0,87;0,93
"vie";3,66;2,71
"ses";1,19;1,04
"monde";2,32;3,48
"foutre";0,39;0,64
"lier";0,05;0,05
"eux";0,63;1,12
"pauvre";0,52;0,44
"bête";0,09;0,05
"numéro";0,03;0,04
"super";0,58;0,46
"ni";0,69;0,62
"rester";0,96;1,49
"ailleurs";0,28;0,44
"étonner";0,13;0,21
"maltraiter";0,07;0,02
"arriver";0,92;1,08
"mauvais";0,37;0,49
"goût";0,18;0,17
"gros";0,34;0,37
"penser";1,41;1,74
"13";0,07;0,05
"bah";0,36;0,36
"mais";6,13;7,42
"chanceux";0,07;0,02
"autres";0,96;1,7
"veille";0,04;0,03
"14";0,09;0,06
"naître";0,63;0,38
"lendemain";0,08;0,04
"12";0,11;0,07
"porte";0,22;0,44
"malheur";0,03;0,03
"personne";1,69;2,44
"lunette";0,06;0,02
"soleil";0,13;0,06
"protéger";0,12;0,44
"archive";0,33;0
"voyage";0,08;0,1
"esprit";0,37;0,3
"terrible";0,15;0,11
"main";0,33;0,48
"mourir";0,25;0,27
"donc";1,22;1,71
"peu";1,48;1,37
"méthode";0,23;0,09
"fille";1,33;0,44
"bébé";0,11;0,23
"tôt";0,14;0,17
"hélas";0,09;0,03
"film";0,14;0,1
"rapport";0,1;0,18
"rien";2,16;2,27
"jamais";1,48;1,25
"année";2,86;1,32
"90";0,33;0,07
"ho";0,04;0,03
"emji_visage_avec_bouche_ouverte";0,48;0,51
"aîné";0,07;0,04
"plutôt";0,41;0,46
"maman";0,38;0,29
"cours";0,57;0,59
"répéter";0,13;0,09
"car";0,97;1,09
"objectif";0,06;0,04
"atteindre";0,08;0,17
"preuve";0,06;0,07
"vivant";0,24;0,17
"inutile";0,06;0,09
"écrire";0,19;0,14
"tant";0,57;0,57
"parent";1,34;1,08
"emji_visage_boudeur";0,16;0,37
"condamner";0,02;0,09
"dos";0,09;0,04
"peur";0,39;0,48
"oser";0,23;0,15
"parler";1,43;1,36
"naissance";0,11;0,09
"qq";0,07;0,04
"minute";0,07;0,08
"bb";0,03;0,08
"partie";0,37;0,3
"exister";0,83;0,45
"traumatiser";0,11;0,03
"choisir";0,15;0,28
"sport";0,45;0,5
"seul";1,02;1,06
"comment";0,65;0,81
"tard";0,33;0,23
"trois";0,09;0,09
"eau";0,18;0,16
"comprendre";1,11;1,11
"heureux";1,07;0,33
"paradis";0,13;0,05
"gentil";0,27;0,1
"joli";0,26;0,14
"moment";0,84;1,38
"dignité";0,05;0,05
"chez";0,75;1,01
"célestin";0,16;0
"reposer";0,08;0,04
"paix";0,12;0,3
"sûr";0,47;0,52
"place";0,31;0,61
"moyen";0,22;0,36
"emji_visage_soulagé";0,24;0,07
"courir";0,13;0,18
"derrière";0,14;0,17
"stresser";0,08;0,03
"malade";0,18;0,23
"finir";0,56;1,05
"regard";0,13;0,07
"celle";0,2;0,12
"naturel";0,24;0,04
"appeler";0,47;0,44
"femme";1,98;1,8
"type";0,16;0,11
"tomber";0,36;0,5
"oeil";0,44;0,61
"énergie";0,07;0,05
"elle";3,83;1,84
"dégager";0,03;0,04
"premier";0,48;0,36
"meme";0,23;0,43
"après";1,06;1,51
"normal";0,44;0,64
"hein";0,18;0,17
"télé";0,16;0,1
"réalité";0,12;0,19
"tik";0,07;0,02
"tok";0,07;0,02
"draguer";0,06;0
"agréable";0,16;0,05
"ben";0,25;0,34
"facile";0,18;0,23
"emji_visage_souriant_avec_une_goutte_de_sueur";0,36;0,34
"devoir";1,77;2,42
"essayer";0,25;0,48
"ramasser";0,02;0,05
"lever";0,13;0,1
"doigt";0,17;0,16
"gars";0,19;0,19
"interviewer";0,13;0,01
"quelque";0,32;0,56
"emji_visage_souriant_avec_yeux_en_forme_de_coeur";0,76;0,2
"jeu";1,13;0,32
"quel";1,12;0,8
"habiter";0,13;0,14
"ici";0,28;0,56
"autant";0,37;0,5
"culturel";0,06;0,04
"ramener";0,09;0,1
"âme";0,17;0,1
"unir";0,04;0,06
"subir";0,13;0,16
"pire";0,57;0,64
"savoir";2,45;2,31
"meilleur";0,58;0,45
"chacun";0,29;0,28
"pays";0,37;1,75
"civil";0,03;0,1
"société";0,32;0,38
"commun";0,04;0,07
"adresse";0,07;0,03
"couple";0,17;0,39
"mesure";0,04;0,06
"foyer";0,1;0,17
"condition";0,07;0,15
"mariage";0,09;0,09
"égal";0,03;0,03
"besoin";0,44;0,91
"non";1,77;2,46
"moderne";0,06;0,07
"éviter";0,11;0,26
"marier";0,12;0,12
"aux";1,5;1,89
"boîte";0,08;0,04
"nuit";0,22;0,24
"rire";0,15;0,08
"déjà";1,03;1,54
"avance";0,23;0,22
"talent";0,05;0,06
"rue";0,36;0,47
"respect";1,02;0,71
"compliqué";0,14;0,33
"beauté";0,21;0,08
"fil";0,05;0,03
"ainsi";0,31;0,19
"mentalité";0,26;0,31
"impression";0,27;0,22
"triste";0,98;1,04
"encore";1,96;1,84
"peine";0,22;0,2
"voiture";0,14;0,03
"emji_femme_qui_hausse_les_épaules";0,06;0,05
"larme";0,08;0,02
"note";0,09;0,08
"professeur";0,27;0,06
"enseignement";0,17;0,03
"sans";1,77;1,82
"vocabulaire";0,15;0,02
"vouloir";1,56;2,37
"anglais";0,08;0,07
"italien";0,06;0,03
"emji_mains_en_prière";0,44;0,27
"uniquement";0,08;0,19
"allemand";0,06;0,26
"tourner";0,19;0,11
"parce_que";0,65;1,32
"vers";0,27;0,16
"caméra";0,18;0,03
"merde";0,16;0,14
"ma";1,97;0,84
"vive";0,13;0,12
"valeur";0,19;0,21
"famille";0,8;1,33
"français";0,43;0,37
"gosse";0,32;0,27
"toujours";1,7;1,25
"phrase";0,13;0,03
"manger";0,27;0,35
"habitude";0,17;0,17
"cela";1,1;1,16
"entre";0,53;0,64
"35";0,08;0,04
"40";0,19;0,09
"an";2,44;1,56
"maison";0,68;0,59
"taper";0,09;0,09
"double";0,06;0,03
"falloir";1,79;3,11
"éduquer";0,3;0,23
"depuis";0,94;0,9
"participer";0,17;0,23
"tâche";0,16;0,07
"ménager";0,23;0,03
"cuisine";0,18;0,08
"ménage";0,16;0,15
"course";0,14;0,11
"soin";0,11;0,16
"extérieur";0,12;0,09
"infirmier";0,03;0,04
"niveau";0,55;0,46
"erreur";0,08;0,1
"valoir";0,15;0,19
"congé";0,06;0,3
"laisser";0,62;1,38
"mari";0,22;0,11
"aise";0,04;0,1
"vacance";0,14;0,1
"sain";0,17;0,1
"catastrophe";0,05;0,09
"continuer";0,31;0,59
"enfance";0,32;0,08
"2005";0,06;0,02
"jouer";1,43;0,69
"guerre";0,24;0,28
"père";0,89;0,36
"lire";0,24;0,2
"boulot";0,23;0,32
"mature";0,06;0
"familial";0,07;0,09
"saint";0,13;0,04
"dès";0,19;0,22
"âge";0,88;0,37
"nom";0,63;0,23
"faux";0,04;0,04
"liberté";0,16;0,17
"humanité";0,14;0,37
"différents";0,09;0,06
"fait";0,03;0,03
"souvent";0,34;0,45
"accord";0,36;0,46
"religieux";0,06;0,02
"emji_visage_qui_vomit";0,03;0,07
"repas";0,16;0,2
"carrière";0,09;0,22
"cest";0,17;0,24
"propagande";0,06;0,03
"féministe";0,05;0,03
"gauche";0,14;0,23
"innocent";0,02;0,08
"évoluer";0,38;0,17
"ouais";0,14;0,27
"8";0,24;0,09
"devenir";0,89;0,8
"cool";0,21;0,17
"évolution";0,17;0,04
"retourner";0,27;0,33
"pote";0,11;0,06
"ta";0,46;0,68
"meuf";0,06;0,01
"tenter";0,04;0,1
"relation";0,07;0,14
"ect";0,08;0,1
"dessus";0,19;0,22
"votre";0,75;1,48
"direct";0,07;0,08
"insulter";0,08;0,03
"fonctionner";0,09;0,1
"façon";0,48;0,46
"dont";0,23;0,3
"occuper";0,29;0,53
"soumettre";0,07;0,03
"te";0,69;0,95
"plaire";0,11;0,03
"heureusement";0,57;0,4
"voix";0,13;0,05
"80";0,5;0,13
"exprimer";0,38;0,08
"cas";0,47;0,71
"perfection";0,04;0,03
"alcoolique";0,05;0,01
"celui";0,33;0,15
"cesse";0,04;0,1
"boire";0,1;0,1
"fond";0,2;0,12
"verre";0,03;0,05
"côté";0,44;0,54
"cet";0,71;0,32
"état";0,16;0,42
"merci";1,32;0,91
"doc";0,04;0,02
"impossible";0,13;0,17
"abuser";0,08;0,16
"alcool";0,03;0,04
"lucide";0,04;0,03
"sincère";0,1;0,04
"également";0,22;0,22
"problème";0,43;1,23
"george";0,12;0,01
"70";0,42;0,06
"nu";0,16;0,15
"peut_être";0,34;0,51
"touchant";0,19;0,02
"son";2,26;1,74
"coeur";0,37;0,27
