"";"X.rts_a";"X.rts_i"
"important";-0,7027;0,7027
"préciser";-0,2898;0,2898
"personne";-1,6526;1,6526
"aux";-1,3183;1,3183
"cheveu";1,2467;-1,2467
"presque";0,8537;-0,8537
"oublier";-0,6604;0,6604
"chouette";2,2153;-2,2153
"sujet";-5,4245;5,4245
"mr";0,5407;-0,5407
"georges";17,5565;-17,5565
"tu";2,8289;-2,8289
"mettre";-3,9387;3,9387
"post";-6,8233;6,8233
"projet";-0,5597;0,5597
"non";0,3632;-0,3632
"conclusion";-0,3151;0,3151
"chef";0,5907;-0,5907
"oeuvre";0,3173;-0,3173
"seulement";0,4639;-0,4639
"emji_visage_qui_pleure";2,4801;-2,4801
"toute";-0,3076;0,3076
"façon";0,8398;-0,8398
"suisse";-4,9548;4,9548
"exister";8,425;-8,425
"politiquement";-1,7361;1,7361
"diviser";0,4497;-0,4497
"habiter";0,4055;-0,4055
"peuple";-5,2452;5,2452
"différents";0,3625;-0,3625
"accorder";-1,3439;1,3439
"te";1,276;-1,276
"coucher";0,6939;-0,6939
"pays";-13,9002;13,9002
"fonctionner";-0,8579;0,8579
"mieux";1,0788;-1,0788
"3";-0,5788;0,5788
"langue";-0,3401;0,3401
"sérieux";-0,5957;0,5957
"beaucoup";1,1619;-1,1619
"votre";-8,7048;8,7048
"page";-1,2063;1,2063
"svp";0,7291;-0,7291
"après";-0,286;0,286
"médiocrité";-1,3419;1,3419
"cher";1,5819;-1,5819
"inclure";-0,5597;0,5597
"vos";-3,1567;3,1567
"posts";-0,201;0,201
"lien";-0,3348;0,3348
"trouver";2,3293;-2,3293
"version";0,7731;-0,7731
"long";-0,534;0,534
"celle_ci";0,2473;-0,2473
"oeil";0,3779;-0,3779
"emji_drapeau_suisse";-0,2727;0,2727
"moment";-0,4327;0,4327
"archive";31,3223;-31,3223
"rester";-1,8518;1,8518
"ma";0,8731;-0,8731
"manquer";-0,3298;0,3298
"culte";2,016;-2,016
"radio";3,8777;-3,8777
"romand";0,4313;-0,4313
"regarder";1,8202;-1,8202
"emji_visage_avec_bouche_ouverte";4,8833;-4,8833
"emji_visage_souriant_avec_yeux_rieurs";8,8658;-8,8658
"marrant";1,4265;-1,4265
"ceux";-1,5993;1,5993
"crier";-0,3444;0,3444
"scandale";-0,9258;0,9258
"direct";0,5362;-0,5362
"tour";-0,3535;0,3535
"chien";0,9953;-0,9953
"mauvais";0,9996;-0,9996
"eux";-0,9569;0,9569
"leur";-0,9623;0,9623
"sembler";0,984;-0,984
"aberrant";-0,653;0,653
"selon";-0,4803;0,4803
"aucune";-1,6601;1,6601
"logique";-0,3852;0,3852
"exprimer";7,0871;-7,0871
"bêtement";-0,2767;0,2767
"suivant";0,4039;-0,4039
"pauvre";1,6241;-1,6241
"bête";4,9996;-4,9996
"servir";-2,7529;2,7529
"justement";-2,6219;2,6219
"demander";0,4026;-0,4026
"quel";1,1983;-1,1983
"jour";-0,8044;0,8044
"emji_coeur_rouge";14,6429;-14,6429
"mdrrr";1,2467;-1,2467
"hein";0,4458;-0,4458
"quoi";-1,6164;1,6164
"comprendre";1,6807;-1,6807
"grave";0,8417;-0,8417
"éclater";-0,201;0,201
"ton";-0,8409;0,8409
"signe";0,7223;-0,7223
"hauteur";0,8618;-0,8618
"tel";-0,3827;0,3827
"voix";0,3392;-0,3392
"perdre";-0,6035;0,6035
"connerie";0,3414;-0,3414
"présenter";0,3204;-0,3204
"insta";0,5953;-0,5953
"emji_se_rouler_par_terre_de_rire";0,404;-0,404
"bah";-0,3169;0,3169
"tort";1,1136;-1,1136
"raison";3,1561;-3,1561
"quelle";1,601;-1,601
"profondeur";0,4704;-0,4704
"diversité";0,5407;-0,5407
"attitude";0,9953;-0,9953
"excellent";3,4458;-3,4458
"refaire";1,4791;-1,4791
"interview";3,6454;-3,6454
"auprès_de";0,3269;-0,3269
"mes";1,004;-1,004
"e";-1,9926;1,9926
"dernier";0,7291;-0,7291
"meilleur";-0,3007;0,3007
"avis";-1,3383;1,3383
"exactement";2,2233;-2,2233
