"";"X.rts_a";"X.rts_i"
"htag_jeunesse";6,009;-6,009
"légende";0,4344;-0,4344
"jurer";-1,6221;1,6221
"y";13,5714;-13,5714
"amour";9,1128;-9,1128
"mais";3,1941;-3,1941
"raison";-2,214;2,214
"semaine";-2,2277;2,2277
"énergie";0,5298;-0,5298
"repos";2,5867;-2,5867
"léman";-0,3101;0,3101
"course";0,8233;-0,8233
"tout";11,6577;-11,6577
"beau";6,7448;-6,7448
"rassembler";2,2017;-2,2017
"vieux";1,5033;-1,5033
"ville";-1,2805;1,2805
"genève";-1,0839;1,0839
"tu";4,3727;-4,3727
"croire";4,1309;-4,1309
"ou";7,976;-7,976
"fribourg";0,2671;-0,2671
"vaud";-0,7488;0,7488
"neuchâtel";-1,1866;1,1866
"valoir";0,9881;-0,9881
"question";4,577;-4,577
"toute";1,4559;-1,4559
"htag_enfant";4,8821;-4,8821
"assurer";-1,1769;1,1769
"ski";1,7629;-1,7629
"rien";6,2692;-6,2692
"mieux";10,4287;-10,4287
"htag_ski";6,7602;-6,7602
"gare";-0,3101;0,3101
"monsieur";6,4119;-6,4119
"train";-0,6524;0,6524
"cff";-1,7801;1,7801
"introduire";-0,8682;0,8682
"interdiction";-0,2163;0,2163
"leurs";-0,5511;0,5511
"finir";1,3429;-1,3429
"cigarette";0,4064;-0,4064
"autres";9,251;-9,251
"vraiment";1,2759;-1,2759
"cuisine";4,5065;-4,5065
"partager";1,1401;-1,1401
"secret";4,9297;-4,9297
"nombreux";1,2311;-1,2311
"fan";0,6557;-0,6557
"travers";-0,2251;0,2251
"journal";1,3109;-1,3109
"livre";0,3403;-0,3403
"même";0,6172;-0,6172
"personne";-12,9112;12,9112
"jamais";2,6136;-2,6136
"rencontrer";1,0953;-1,0953
"complet";4,2979;-4,2979
"drôle";4,5065;-4,5065
"métier";5,5926;-5,5926
"avis";3,333;-3,333
"attendre";-0,8182;0,8182
"htag_insolite";4,1309;-4,1309
"trop";7,1871;-7,1871
"depuis";-0,7561;0,7561
"transport";-0,3101;0,3101
"adapter";-0,6431;0,6431
"dire";6,4681;-6,4681
"nous";17,1405;-17,1405
"quelle";2,0516;-2,0516
"tv";2,5867;-2,5867
"tant";0,4344;-0,4344
"emji_ballon_de_football";-4,2855;4,2855
"16";-1,4529;1,4529
"novembre";-8,8365;8,8365
"affronter";0,6907;-0,6907
"chez";-0,2967;0,2967
"elle";0,7819;-0,7819
"lors";-2,026;2,026
"match";0,5519;-0,5519
"mondial";-4,086;4,086
"nati";0,4064;-0,4064
"arrivée";-0,5708;0,5708
"équipe";-0,4212;0,4212
"aussi";4,1014;-4,1014
"garder";-0,4226;0,4226
"envers";-0,2372;0,2372
"époque";2,2017;-2,2017
"conseil";-5,2463;5,2463
"sécurité";-2,4818;2,4818
"onu";-1,457;1,457
"voter";-0,8953;0,8953
"lundi";-3,1637;3,1637
"plan";-4,098;4,098
"paix";-0,8248;0,8248
"donald";-5,7675;5,7675
"trump";-6,6658;6,6658
"gaza";-7,2891;7,2891
"prévoir";-5,811;5,811
"force";-0,9653;0,9653
"mot";3,777;-3,777
"bien";5,7017;-5,7017
"manifestation";-3,6873;3,6873
"récent";-0,8682;0,8682
"cessez_le_feu";-3,7761;3,7761
"guerre";-1,1022;1,1022
"terme";-0,6431;0,6431
"moins";-2,6128;2,6128
"signe";0,6907;-0,6907
"mouvement";-0,3397;0,3397
"très";1,634;-1,634
"lausannois";3,9352;-3,9352
"tous";13,7019;-13,7019
"salle";3,7554;-3,7554
"eau";1,13;-1,13
"leur";0,652;-0,652
"ils";5,9805;-5,9805
"rendre";-1,1226;1,1226
"veille";0,6907;-0,6907
"bain";0,4604;-0,4604
"st";-0,2912;0,2912
"htag_lausanne";7,1359;-7,1359
"pourquoi";3,0279;-3,0279
"marier";1,0953;-1,0953
"falloir";10,0756;-10,0756
"salon";2,5867;-2,5867
"mariage";1,7564;-1,7564
"union";-0,8778;0,8778
"htag_love";7,1359;-7,1359
"htag_suisse";25,9285;-25,9285
"vouloir";3,4704;-3,4704
"association";-2,7248;2,7248
"contre";-3,688;3,688
"dénoncer";-0,7659;0,7659
"voiture";3,1292;-3,1292
"obligatoire";0,5749;-0,5749
"selon";-18,2078;18,2078
"lui";2,9781;-2,9781
"société";0,3415;-0,3415
"tuer";-2,36;2,36
"petit";27,8017;-27,8017
"feu";-0,2624;0,2624
"liberté";0,7766;-0,7766
"bientôt";-0,4211;0,4211
"interdire";-0,7952;0,7952
"individu";-1,0311;1,0311
"sortir";-0,2771;0,2771
"sans";1,875;-1,875
"htag_archives";27,0567;-27,0567
"1";2,4218;-2,4218
"entre";-3,9357;3,9357
"parent";0,5305;-0,5305
"soirée";1,726;-1,726
"vivre";4,4336;-4,4336
"rencontre";3,8366;-3,8366
"suivre";1,767;-1,767
"temps";6,6514;-6,6514
"projection";2,4866;-2,4866
"inviter";1,0827;-1,0827
"plonger";0,3111;-0,3111
"programme";0,6363;-0,6363
"regard";2,2017;-2,2017
"événement";0,5057;-0,5057
"quotidien";0,7922;-0,7922
"personnalité";-0,4807;0,4807
"témoignage";2,0165;-2,0165
"actuel";-1,0245;1,0245
"inédit";-2,4864;2,4864
"théâtre";-0,4807;0,4807
"19";-1,8322;1,8322
"inscrire";-0,6431;0,6431
"chanter";2,6614;-2,6614
"claude";3,7554;-3,7554
"champion";2,6136;-2,6136
"bel";2,3536;-2,3536
"seul";0,5519;-0,5519
"htag_humour";11,2685;-11,2685
"miracle";29,9393;-29,9393
"montrer";-1,3249;1,3249
"1967";4,1309;-4,1309
"ouvrier";0,2794;-0,2794
"exprimer";-0,3101;0,3101
"fort";-0,8457;0,8457
"époux";-0,2163;0,2163
"clip";13,6183;-13,6183
"plein";10,6598;-10,6598
"diffuser";12,331;-12,331
"samedi";2,1295;-2,1295
"18h45";15,4021;-15,4021
"htag_miraclesuisse";16,1538;-16,1538
"htag_madeinswitzerland";15,778;-15,778
"htag_suissitude";14,2747;-14,2747
