"";"banalfreq";"X.rts_a";"X.rts_i"
"être";1819;-0,8613;0,8613
"vivant";12;0,4064;-0,4064
"prendre";79;0,4111;-0,4111
"et";1883;0,7153;-0,7153
"que";442;0,5685;-0,5685
"souhaiter";13;0,5529;-0,5529
"pour";1086;1,2713;-1,2713
"fin";75;-0,6274;0,6274
"le";2248;0,3943;-0,3943
"fromage";13;1,3429;-1,3429
"les";1922;-1,9726;1,9726
"cours";29;-0,4003;0,4003
"enfant";92;0,4507;-0,4507
"s";315;-0,6193;0,6193
"avec";437;0,6293;-0,6293
"cadeau";16;1,0864;-1,0864
"noël";71;-0,3338;0,3338
"cela";24;0,5519;-0,5519
"tradition";14;0,4344;-0,4344
"oui";10;1,7564;-1,7564
"parfois";18;1,5033;-1,5033
"arriver";21;-0,3525;0,3525
"père";16;0,7309;-0,7309
"retour";43;-0,259;0,259
"où";55;-0,3659;0,3659
"aller";82;1,4187;-1,4187
"passer";74;1,5931;-1,5931
"autant";10;0,6907;-0,6907
"du";945;-0,6154;0,6154
"suisse";612;1,2771;-1,2771
"heure";79;1,7377;-1,7377
"soigner";11;0,8939;-0,8939
"idée";13;1,3429;-1,3429
"grâce";53;-1,0534;1,0534
"sapin";10;1,7564;-1,7564
"bonheur";17;1,7726;-1,7726
"partir";63;0,6499;-0,6499
"recherche";24;-1,5994;1,5994
"musical";17;0,3675;-0,3675
"compagnie";17;0,9006;-0,9006
"version";13;-0,2912;0,2912
"long";23;0,6557;-0,6557
"ces";164;0,3263;-0,3263
"beauté";11;0,8939;-0,8939
"espace";19;-1,8322;1,8322
"2";44;-1,2203;1,2203
"saison";39;-0,572;0,572
"officiellement";16;-0,5708;0,5708
"lancer";57;-0,462;0,462
"proposer";46;0,5824;-0,5824
"meilleur";30;1,8075;-1,8075
"pire";12;1,112;-1,112
"nos";42;1,7637;-1,7637
"km";18;-1,6625;1,6625
"h";13;-0,8778;0,8778
"piste";23;1,6646;-1,6646
"kilomètre";13;0,3111;-0,3111
"chat";25;0,6745;-0,6745
"devenir";64;-0,5713;0,5713
"un";1224;-0,7589;0,7589
"véritable";12;1,6531;-1,6531
"emji_notes_de_musique";19;-1,3175;1,3175
"créer";39;-1,2772;1,2772
"plus";431;-1,074;1,074
"grand";124;1,0299;-1,0299
"succès";28;-0,7195;0,7195
"international";41;-1,4982;1,4982
"station";22;-0,6485;0,6485
"chanson";23;0,9281;-0,9281
"monde";115;0,5521;-0,5521
"40";37;1,0141;-1,0141
"pays";81;-1,854;1,854
"son";395;1,6938;-1,6938
"commencer";28;0,8233;-0,8233
"au";508;-1,1658;1,1658
"transformer";13;-1,3733;1,3733
"connaître";59;0,2723;-0,2723
"sa";253;-0,4573;0,4573
"traverser";11;-0,6049;0,6049
"décennie";16;0,2655;-0,2655
"continuer";15;-0,7659;0,7659
"séduire";12;-0,7376;0,7376
"public";78;-1,1475;1,1475
"streaming";10;-1,457;1,457
"50";40;-0,6434;0,6434
"400";11;-1,6579;1,6579
"rester";55;-1,7826;1,7826
"incontournable";11;1,3918;-1,3918
"populaire";15;-1,1769;1,1769
"âgé";28;-0,504;0,504
"an";380;1,1761;-1,1761
"profiter";17;1,2897;-1,2897
"retraite";21;0,4174;-0,4174
"oeuvre";18;-0,5132;0,5132
"base";13;-0,5279;0,5279
"découvrir";43;1,9322;-1,9322
"via";21;0,4174;-0,4174
"chute";17;-1,4964;1,4964
"val";15;1,3109;-1,3109
"arrêter";20;0,5082;-0,5082
"carrière";23;0,6557;-0,6557
"te";11;0,8939;-0,8939
"histoire";40;1,4444;-1,4444
"image";22;0,5305;-0,5305
"ce";484;1,1267;-1,1267
"penser";15;0,5749;-0,5749
"garçon";13;1,9235;-1,9235
"cheveu";10;1,7564;-1,7564
"réaction";17;-0,2434;0,2434
"3";58;-1,7985;1,7985
"mai";13;0,3111;-0,3111
"légende";14;0,4344;-0,4344
"jurer";21;-1,6221;1,6221
"énergie";11;0,5298;-0,5298
"léman";18;-0,3101;0,3101
"course";28;0,8233;-0,8233
"vieux";18;1,5033;-1,5033
"ville";61;-1,2805;1,2805
"genève";139;-1,0839;1,0839
"fribourg";28;0,2671;-0,2671
"vaud";23;-0,7488;0,7488
"neuchâtel";24;-1,1866;1,1866
"valoir";33;0,9881;-0,9881
"toute";44;1,4559;-1,4559
"assurer";15;-1,1769;1,1769
"ski";44;1,7629;-1,7629
"gare";18;-0,3101;0,3101
"train";35;-0,6524;0,6524
"cff";22;-1,7801;1,7801
"introduire";10;-0,8682;0,8682
"interdiction";12;-0,2163;0,2163
"leurs";76;-0,5511;0,5511
"finir";13;1,3429;-1,3429
"cigarette";12;0,4064;-0,4064
"vraiment";19;1,2759;-1,2759
"partager";36;1,1401;-1,1401
"nombreux";52;1,2311;-1,2311
"fan";23;0,6557;-0,6557
"travers";19;-0,2251;0,2251
"journal";15;1,3109;-1,3109
"livre";15;0,3403;-0,3403
"même";59;0,6172;-0,6172
"rencontrer";14;1,0953;-1,0953
"attendre";37;-0,8182;0,8182
"depuis";125;-0,7561;0,7561
"transport";18;-0,3101;0,3101
"adapter";14;-0,6431;0,6431
"tant";14;0,4344;-0,4344
"16";29;-1,4529;1,4529
"affronter";10;0,6907;-0,6907
"chez";51;-0,2967;0,2967
"elle";151;0,7819;-0,7819
"match";24;0,5519;-0,5519
"nati";12;0,4064;-0,4064
"arrivée";16;-0,5708;0,5708
"équipe";44;-0,4212;0,4212
"garder";17;-0,4226;0,4226
"envers";10;-0,2372;0,2372
"onu";10;-1,457;1,457
"voter";16;-0,8953;0,8953
"paix";21;-0,8248;0,8248
"force";25;-0,9653;0,9653
"récent";10;-0,8682;0,8682
"guerre";29;-1,1022;1,1022
"terme";14;-0,6431;0,6431
"signe";10;0,6907;-0,6907
"mouvement";16;-0,3397;0,3397
"très";55;1,634;-1,634
"eau";34;1,13;-1,13
"leur";170;0,652;-0,652
"rendre";43;-1,1226;1,1226
"veille";10;0,6907;-0,6907
"bain";16;0,4604;-0,4604
"st";13;-0,2912;0,2912
"marier";14;1,0953;-1,0953
"mariage";10;1,7564;-1,7564
"union";13;-0,8778;0,8778
"dénoncer";15;-0,7659;0,7659
"obligatoire";15;0,5749;-0,5749
"société";22;0,3415;-0,3415
"feu";29;-0,2624;0,2624
"liberté";22;0,7766;-0,7766
"bientôt";12;-0,4211;0,4211
"interdire";18;-0,7952;0,7952
"individu";11;-1,0311;1,0311
"sortir";34;-0,2771;0,2771
"sans";105;1,875;-1,875
"parent";22;0,5305;-0,5305
"soirée";19;1,726;-1,726
"suivre";50;1,767;-1,767
"inviter";20;1,0827;-1,0827
"plonger";13;0,3111;-0,3111
"programme";21;0,6363;-0,6363
"événement";29;0,5057;-0,5057
"quotidien";24;0,7922;-0,7922
"personnalité";10;-0,4807;0,4807
"actuel";14;-1,0245;1,0245
"théâtre";10;-0,4807;0,4807
"19";19;-1,8322;1,8322
"inscrire";14;-0,6431;0,6431
"seul";24;0,5519;-0,5519
"montrer";28;-1,3249;1,3249
"ouvrier";11;0,2794;-0,2794
"exprimer";18;-0,3101;0,3101
"fort";32;-0,8457;0,8457
"époux";12;-0,2163;0,2163
"20";53;-1,8801;1,8801
"jour";101;-1,1147;1,1147
"réaliser";19;-0,6107;0,6107
"moment";23;0,6557;-0,6557
"emji_feu";13;-1,3733;1,3733
"donner";30;1,4335;-1,4335
"dossier";16;-0,3397;0,3397
"ordre";12;-0,2163;0,2163
"occuper";15;1,3109;-1,3109
"commun";22;-0,264;0,264
"apprendre";16;0,7309;-0,7309
"poser";11;0,5298;-0,5298
"médecin";15;0,3403;-0,3403
"terre";19;1,726;-1,726
"compter";12;-0,2163;0,2163
"spécial";22;0,7766;-0,7766
"solution";17;0,596;-0,596
"présent";24;1,4495;-1,4495
"pendant";26;0,2465;-0,2465
"parmi";27;-0,884;0,884
