"";"";"";"";"que";""
"1";"que";"-0.252908553671521";"0.0420195841453604";"1.69760376651363";"16"
"2";"ce";"-0.157077670200473";"0.112074355223731";"1.48732315187857";"21"
"3";"du";"-0.255078700276471";"-0.0132357300398288";"1.45159163309285";"25"
"4";"dans";"-0.251705475378079";"-0.09181736867038";"1.24145624472969";"33"
"5";"50";"-0.425894580990036";"-0.060051246933422";"1.23838892532559";"34"
"6";"on";"-0.183724869451161";"-0.208901235770859";"1.22575189731097";"35"
"7";"un";"-0.182881440287189";"-0.0715579233084432";"1.21521596552047";"36"
"8";"mais";"-0.214213086795196";"-0.156903697818248";"1.21135458633936";"37"
"9";"dire";"-0.116757695378546";"-0.30055148836854";"1.20900051531903";"38"
"10";"moins";"-0.320692019293338";"-0.123460923949752";"1.17433594115994";"41"
"11";"aux";"-0.354203820544668";"0.161669155131107";"1.16809706736625";"42"
"12";"une";"-0.158976756534735";"-0.00190924195084655";"1.16500749554952";"44"
"13";"pouvoir";"-0.332475230103653";"0.063865507737273";"1.12442260845123";"48"
"14";"donc";"-0.479333289413778";"0.126206304770553";"1.11876463974515";"49"
"15";"faire";"-0.218173180388634";"-0.0648393265916295";"1.11782066897779";"50"
"16";"déjà";"-0.277265699583675";"-0.0816299710687632";"1.09296940878853";"55"
"17";"si";"-0.250985182862275";"0.00650720117419171";"1.08435186920266";"56"
"18";"juste";"-0.271291326055852";"0.0076310649594014";"1.07912606577345";"58"
"19";"falloir";"-0.326249251018685";"-0.0074611907027419";"1.07407945282489";"59"
"20";"quoi";"-0.261607919732437";"-0.225038141188248";"1.03500070270777";"63"
"21";"10";"-0.32380128496715";"-0.100744705479469";"1.02598847559262";"64"
"22";"y";"-0.192917120598993";"-0.126869131430353";"1.01657804740935";"68"
"23";"autres";"-0.413682004569181";"0.139926620788598";"0.999937927480558";"72"
"24";"nous";"-0.0936417207453395";"-0.0360799938949507";"0.987389909116462";"76"
"25";"te";"-0.110609663713621";"-0.284673586795096";"0.986105125081983";"77"
"26";"nos";"-0.147716194397961";"0.0219230423458718";"0.983837721352947";"78"
"27";"devoir";"-0.344140749444727";"0.0888379841041825";"0.983715918673288";"79"
"28";"avec";"-0.109045134944089";"-0.141372754596451";"0.975313876136044";"81"
"29";"car";"-0.453688315110914";"0.0701053224307444";"0.970654923639089";"82"
"30";"environ";"-0.495591331086113";"0.14062365893008";"0.96888644242481";"83"
"31";"leur";"-0.383006520355789";"0.19629299704439";"0.967916705705987";"84"
"32";"entre";"-0.417994382899473";"0.10857303708874";"0.960218542115619";"87"
"33";"savoir";"-0.187645020158275";"-0.167432531175184";"0.958060058090509";"88"
"34";"se";"-0.321051250194676";"-0.0260596453693951";"0.954575798744495";"89"
"35";"chaque";"-0.318360295552917";"-0.229303139270684";"0.954038227302539";"90"
"36";"personne";"-0.205768990630142";"0.271005445254665";"0.950960367281926";"91"
"37";"même";"-0.219888490928649";"-0.146987312044156";"0.949513960460976";"93"
"38";"où";"-0.306037049413813";"-0.0321141696453668";"0.948129626159468";"94"
"39";"pourquoi";"-0.377577346440206";"0.0965924278329526";"0.938886676660733";"96"
"40";"non";"-0.312169514403591";"-0.0269555601734573";"0.936218729504357";"97"
"41";"son";"-0.0316903484641311";"0.0565372007158822";"0.933526187576127";"99"
"42";"assez";"-0.304090802351918";"-0.132290502999723";"0.929649583060058";"102"
"43";"combien";"-0.437811424004247";"-0.0198353444660681";"0.927226412442612";"103"
"44";"vouloir";"-0.288136316801429";"0.0173311294309252";"0.925993160311065";"105"
"45";"rien";"-0.303059781310932";"0.0377038036295761";"0.922873137824417";"106"
"46";"alors";"-0.362783550385287";"-0.0221004685330701";"0.920725194415816";"108"
"47";"5";"-0.0428824739134309";"-0.111636733799774";"0.92057176988663";"109"
"48";"comme";"-0.135225863223777";"-0.0492655430204901";"0.91935374309004";"110"
"49";"selon";"-0.606670001999863";"0.318109819558005";"0.91864166588588";"112"
"50";"sans";"-0.357630304371023";"0.064787715488556";"0.91218846622318";"114"
"51";"cela";"-0.360874338905645";"0.11110400378468";"0.912169727349386";"115"
"52";"15";"-0.376981541161292";"-0.130632554824259";"0.910403588494332";"117"
"53";"parce_que";"-0.459112151258608";"0.0855760701001763";"0.90874519816359";"121"
"54";"leurs";"-0.392681724134773";"0.267654459772384";"0.905489318841938";"125"
"55";"aucune";"-0.48645518254982";"0.255494585236759";"0.903952731190856";"126"
"56";"quand";"-0.240605748200997";"-0.116974284201458";"0.902184249976576";"127"
"57";"ta";"-0.20191631565547";"-0.382486079457769";"0.900354867422468";"129"
"58";"autant";"-0.392666064317818";"0.0231035235462274";"0.899960179893188";"130"
"59";"peu";"-0.191358817244551";"-0.234161423092141";"0.898141337955589";"132"
"60";"notre";"-0.146328413664423";"0.162085905951209";"0.895090415066055";"133"
"61";"maintenant";"-0.0877651448367044";"-0.311086824511558";"0.894891314531997";"134"
"62";"sous";"-0.412784082643973";"0.100258978141836";"0.892680127424342";"136"
"63";"surtout";"-0.231401084182079";"-0.0371639302630386";"0.892213997938724";"137"
"64";"ceux";"-0.441284651777349";"0.16095342951526";"0.891405884006371";"139"
"65";"ces";"-0.0805921971160345";"0.265399458593408";"0.890487679190481";"140"
"66";"pendant";"-0.268180517254277";"0.204536406123956";"0.884509978450295";"142"
"67";"hors";"-0.457978976566948";"0.0762165350928583";"0.883964208751054";"143"
"68";"tous";"-0.0823314747564157";"0.129216964153295";"0.883916190386958";"144"
"69";"aucun";"-0.500810484902751";"0.34806717576611";"0.87991192729317";"146"
"70";"oui";"-0.073762007752842";"-0.0975027943546437";"0.877246322496018";"147"
"71";"quelque";"-0.32991548400475";"0.00454824925354294";"0.875762437927481";"148"
"72";"autre";"-0.25623006677629";"-0.0601628168271874";"0.874434320247353";"149"
"73";"tes";"-0.324556939419072";"-0.177979813607481";"0.874003326150098";"150"
"74";"avant";"-0.162514151480508";"-0.0580087188027716";"0.873297104843999";"151"
"75";"vite";"-0.12273549832099";"-0.419936252132703";"0.869933476998032";"152"
"76";"encore";"-0.146441304546036";"-0.147234318333187";"0.868909866017052";"153"
"77";"là";"-0.142689169955791";"-0.154322408742871";"0.86890283893938";"154"
"78";"croire";"-0.181508857468834";"-0.170122130623955";"0.866271198350979";"157"
"79";"70";"0.0436247715559787";"-0.291102119629182";"0.866243090040289";"158"
"80";"après";"-0.220845364953488";"-0.312526328512024";"0.860572238358475";"159"
"81";"chez";"-0.0680985915000113";"-0.425372795402272";"0.858550782347981";"160"
"82";"certains";"-0.400420873618184";"0.0853346133301132";"0.85754356788157";"162"
"83";"jamais";"-0.178728227598655";"-0.119619188106798";"0.855655626346857";"165"
"84";"dont";"-0.454968904182401";"0.402370270887512";"0.855552562540991";"166"
"85";"certaines";"-0.383765747269401";"0.0062963473653059";"0.853793450763609";"167"
"86";"ici";"-0.28010294553959";"-0.0278606167892682";"0.852412630000937";"168"
"87";"mieux";"-0.0929709354308488";"-0.30077002615913";"0.847236016115432";"171"
"88";"aussi";"0.0413910917621058";"-0.268324805179393";"0.846949077110466";"172"
"89";"toutes";"0.031323566917597";"0.247469382109059";"0.845063477934976";"175"
"90";"comment";"-0.196878275127219";"-0.068061507179369";"0.844983837721353";"176"
"91";"ses";"-0.219582699931293";"0.140997609290044";"0.838778928136419";"181"
"92";"puis";"-0.274451604346465";"0.0234141823124391";"0.837017473999813";"183"
"93";"deux";"-0.196449719861446";"0.0191297029743024";"0.826253162184953";"195"
"94";"parfois";"-0.22786976399399";"-0.362095927703746";"0.825473156563291";"196"
"95";"2023";"-0.345685040181874";"0.278602993337929";"0.82542279583997";"197"
"96";"ainsi";"-0.444661402871132";"0.424229007663765";"0.823212779911927";"199"
"97";"dehors";"-0.188646194931027";"-0.169133763615631";"0.822128267591118";"201"
"98";"puisqu";"-0.540329748631844";"0.101468213269266";"0.819439239201724";"205"
"99";"trois";"-0.203340906318635";"-0.0743150121477015";"0.819282301133702";"206"
"100";"pardon";"-0.261211686388208";"-0.433500930244929";"0.811671976014242";"223"
"101";"101";"-0.526892465127254";"0.569584631202709";"0.809892954183454";"227"
"102";"autour";"-0.294738800840243";"-0.250474321242979";"0.809616555794997";"229"
"103";"ouais";"-0.00890152225247828";"-0.600876780297163";"0.807776632624379";"239"
"104";"lequel";"-0.400286824652797";"-0.0926728013098809";"0.80611941347325";"253"
"105";"htag_cqfd";"-0.241212199186962";"-0.928473889668126";"0.805599409725476";"255"
"106";"33";"0.49971912997576";"-0.0142868191856961";"0.805321840157407";"261"
"107";"170";"-0.305470278764657";"-0.418770491447507";"0.804785439895062";"265"
"108";"1970";"0.530565437245995";"-0.169264582911751";"0.804646069521222";"272"
"109";"mme";"0.178834939735732";"-0.882971782122621";"0.804417689496861";"276"
"110";"1982";"-0.216008872062749";"-0.614540381814968";"0.803391736156657";"285"
"111";"ben";"-0.0868163497020925";"-0.441874500953358";"0.802810831069053";"293"
"112";"1977";"-0.0585373668895485";"-1.27415650495896";"0.802590649301977";"297"
"113";"heu";"-0.101928562950123";"-0.842221104142711";"0.802245151316406";"304"
"114";"ouah";"0.652144408929166";"-0.358667638527107";"0.801355054811206";"317"
"115";"salut";"0.402060987980235";"-0.0639794517711729";"0.800873699990631";"325"
"116";"1974";"1.02718611220646";"-0.0410107302475309";"0.800657031762391";"331"
"117";"jadis";"0.683113916568087";"0.118865207321111";"0.800628923451701";"332"
"118";"ha";"0.285256244122761";"-0.432545244963386";"0.800621896374028";"333"
