social;5;4;28;228;2;142;109
emji_visage_roulant_des_yeux;4;163;34;86;6;86;86
population;0;2;123;222;12;95;71
peuple;7;4;262;120;1;69;46
heure;33;50;32;123;12;50;186
gauche;5;26;66;177;5;167;56
espérer;38;37;46;78;15;75;234
palestine;18;1;297;29;1;48;46
mort;7;42;154;77;26;80;105
pareil;29;125;15;91;13;114;128
nom;11;68;51;48;2;167;137
dieu;68;56;16;10;6;101;233
commencer;5;35;85;134;2;108;133
attendre;11;55;62;104;14;104;160
tuer;5;25;217;43;59;61;79
servir;5;73;64;183;4;108;60
faux;2;28;55;107;6;283;18
hamas;1;4;430;4;0;9;2
lieu;0;20;64;174;13;126;98
tête;13;136;22;70;10;110;121
moyen;2;27;74;230;8;62;82
emji_visage_avec_des_étoiles_à_la_place_des_yeux;322;13;0;13;0;5;18
simple;21;25;33;106;8;108;180
violence;2;3;118;40;4;170;107
triste;25;19;25;45;10;54;296
aider;2;7;51;172;12;94;121
simplement;14;12;37;157;6;166;83
classe;35;37;4;172;5;62;128
système;1;8;18;324;3;63;40
prix;4;14;50;336;3;17;17
chat;34;49;4;14;249;21;43
manifestation;0;3;349;29;1;29;24
accent;84;300;1;12;0;24;15
vieux;21;128;23;52;10;80;141
droite;0;8;72;122;1;208;24
public;1;17;60;267;1;57;41
fille;28;78;8;16;3;30;281
montrer;7;19;63;87;2;182;92
ville;9;15;38;271;16;22;57
pire;5;56;50;98;7;40;165
entreprise;0;5;19;369;1;9;8
emji_visage_souriant_aux_yeux_rieurs;55;243;3;29;6;27;46
impôt;0;3;10;385;1;10;5
salaire;0;3;2;365;1;19;20
loi;2;7;101;151;8;96;57
nouveau;9;17;46;164;4;74;118
emji_visage_boudeur;7;39;62;43;14;29;54
créer;7;11;45;178;19;105;64
répondre;5;22;20;47;5;255;60
normal;7;22;21;123;12;76;160
chercher;4;17;38;130;13;142;82
maison;10;73;23;84;16;20;189
seulement;9;29;47;155;14;91;81
retrouver;43;39;24;98;17;61;142
façon;20;25;26;77;5;118;149
article;3;9;49;105;6;224;12
blanc;2;80;34;29;5;194;42
acheter;6;37;25;237;26;27;46
essayer;0;27;43;68;15;160;101
rapport;2;23;42;101;8;190;41
jeu;75;30;13;30;1;19;227
emji_étincelles;237;8;4;12;1;14;25
manifester;1;7;287;33;0;27;31
réponse;15;23;21;28;4;250;53
rappeler;46;58;49;72;6;48;127
propre;2;62;34;95;4;107;100
mauvais;2;19;19;84;17;125;126
gaza;2;2;355;13;2;8;8
armée;2;7;168;87;2;69;55
exactement;30;37;28;63;5;197;50
soutenir;5;1;200;67;2;75;40
préférer;15;62;26;80;19;82;123
poser;3;24;18;51;13;228;62
incroyable;125;50;15;57;4;58;95
respecter;3;3;136;100;17;51;80
service;6;13;25;184;15;81;56
justement;2;13;38;103;4;183;54
eau;3;106;38;133;17;22;54
écouter;29;38;11;23;2;150;141
voiture;8;31;6;284;5;13;26
santé;10;8;9;248;17;44;47
garder;10;33;24;98;19;41;165
journée;25;47;10;43;8;68;178
sembler;3;18;40;85;10;156;75
mois;3;19;18;237;3;21;66
fou;19;59;29;38;11;83;143
ami;37;27;20;46;13;60;171
coeur;96;30;20;45;22;53;96
défendre;1;8;152;81;2;89;40
valoir;19;66;20;151;16;47;61
reportage;137;50;10;37;4;51;94
mdr;3;144;33;58;11;74;58
réalité;6;2;36;107;3;177;47
plaisir;43;31;8;36;24;33;205
heureux;48;21;10;21;16;25;231
terre;7;14;105;70;11;59;99
bidet;17;311;0;8;0;4;8
air;17;61;15;57;12;49;160
foutre;5;44;58;65;12;38;152
agir;0;4;97;111;3;101;55
possible;6;16;32;153;8;58;89
manière;5;6;37;78;9;179;53
gagner;4;17;15;258;1;29;31
truc;8;55;14;81;8;61;139
ouvrir;3;20;38;95;4;101;100
trump;5;16;183;73;1;41;36
expliquer;2;25;39;100;6;157;34
europe;1;19;91;157;3;38;44
oeil;22;31;41;51;2;62;149
canton;2;34;8;275;0;8;8
bas;11;26;34;134;12;56;81
génération;15;36;6;34;3;46;211
protéger;6;10;108;79;11;67;70
interdire;2;10;45;133;24;45;81
honte;4;16;52;77;8;64;129
gouvernement;1;6;201;70;1;33;39
couper;11;49;8;164;6;34;73
situation;0;3;66;82;3;137;62
liberté;11;10;53;51;3;158;45
israélien;2;3;325;4;0;3;2
heureusement;8;89;13;40;10;55;137
avis;4;9;30;42;3;207;50
mec;12;96;21;36;5;84;92
génocide;0;1;315;1;0;13;9
père;17;68;3;22;0;31;196
âge;25;28;6;23;7;48;205
absolument;20;19;29;57;10;173;40
hiver;34;224;1;34;7;7;22
reconnaître;12;39;143;47;4;47;43
imaginer;5;40;15;106;5;60;111
cours;10;29;33;52;0;35;169
rire;32;174;7;30;1;46;35
langue;8;28;6;47;0;169;42
choix;5;12;20;105;1;87;100
également;8;19;37;118;11;73;67
assurance;0;2;5;304;0;1;3
peur;3;22;25;53;15;90;121
équipe;18;17;2;194;1;13;50
terme;1;20;43;59;8;159;26
rue;3;13;65;78;20;48;94
mère;16;62;3;21;11;21;184
génial;208;25;3;21;2;25;43
aide;2;5;77;99;9;50;77
otage;5;4;282;4;0;4;3
solution;3;12;38;163;5;48;40
emji_visage_qui_hurle_de_peur;4;142;9;14;2;9;13
chance;35;17;13;82;4;14;152
archive;121;34;5;23;3;70;64
important;5;6;27;88;7;98;88
base;7;16;23;99;10;116;45
recevoir;8;16;30;90;2;27;136
image;21;12;41;45;2;68;125
main;6;54;29;70;10;19;117
occuper;5;8;52;78;22;26;115
haut;5;47;15;116;2;59;64
argument;3;12;26;48;3;193;15
faute;0;11;22;58;5;178;25
début;10;47;24;47;3;32;147
extrême;0;8;57;56;2;157;16
tomber;11;29;21;53;10;51;127
suivre;7;11;38;69;3;117;59
naître;10;59;23;24;3;27;159
effet;5;19;11;135;8;73;49
étude;0;7;3;126;6;104;47
justice;10;4;150;45;2;48;37
long;9;19;17;72;9;72;101
augmenter;0;5;10;248;3;7;13
étranger;1;5;27;167;3;63;24
partager;61;7;21;38;2;86;82
semaine;7;13;18;91;8;29;121
contraire;4;16;36;52;9;149;32
facile;2;21;18;71;3;106;74
sécurité;0;6;53;172;5;32;22
policier;3;7;95;35;1;81;58
maladie;2;4;1;217;20;19;22
nourrir;8;8;12;30;182;26;17
lausanne;17;32;14;182;2;9;31
raciste;1;11;18;19;1;218;8
dur;4;16;21;65;6;18;155
journaliste;14;28;55;26;5;91;59
mode;8;57;13;26;8;38;132
envie;4;26;7;38;5;23;180
actuel;5;9;25;93;2;51;101
frontalier;1;14;3;232;0;11;5
choisir;4;15;20;68;6;107;61
mériter;22;6;41;93;6;65;47
clairement;2;19;39;53;4;109;56
nombre;1;3;42;145;11;39;30
différence;2;7;18;102;6;82;61
groupe;5;14;96;49;2;63;34
franchement;6;28;17;42;7;60;121
amour;54;12;8;9;26;20;143
train;0;20;30;175;3;19;28
laver;3;229;4;6;1;5;17
suffire;2;15;30;92;3;87;51
effectivement;4;41;25;64;6;86;56
ancien;28;25;13;46;4;38;125
