"";"";"";"";"gaza";""
"75";"allemand";"0.222772981546641";"0.0270321751651614";"0.529764567009775";"218"
"76";"preuve";"0.546931572903237";"0.238726713610699";"0.529487331633355";"219"
"77";"commenter";"0.393303355071474";"0.0906508064457405";"0.529160300594172";"220"
"78";"mot";"-0.18189004297057";"0.288578957716823";"0.528822203852152";"221"
"79";"jour";"0.0385472904754913";"-0.385269848501525";"0.524654385919548";"222"
"80";"livre";"0.216307036815008";"0.0438154102088133";"0.523477666983996";"223"
"81";"vraiment";"-0.134961448790046";"-0.0610439236507162";"0.523449805125069";"224"
"82";"humain";"0.184310649909402";"0.155285021493731";"0.514641505667277";"231"
"83";"éducation";"0.0512687892434354";"-0.188013437690794";"0.51405976586102";"232"
"84";"laisser";"0.364105031667524";"-0.0860662206562233";"0.511111941666131";"233"
"85";"malheureusement";"0.150054174847969";"-0.0256623863856431";"0.508562680375191";"234"
"86";"couple";"-0.0885321091434311";"-0.140691808774156";"0.50848660366819";"235"
"87";"apprendre";"-0.102617924778996";"-0.0495650018162047";"0.508292953868553";"236"
"88";"passer";"0.143076201490757";"-0.137963117937184";"0.504879184543517";"237"
"89";"genre";"0.191067251836239";"0.0102677703544868";"0.500600709582549";"239"
"90";"moment";"-0.193474627679589";"0.191488578291442";"0.5";"240"
