"";"";"";"";"tête";""
"1";"tête";"-0.182941689687158";"-0.17355166469125";"1.02382229694752";"44"
"2";"emji_visage_roulant_des_yeux";"-0.0980585523121945";"-0.171489542771674";"1.01407592488147";"45"
"3";"chien";"-0.304679809823006";"-0.206393232193499";"0.983681636822583";"53"
"4";"raciste";"0.0896036515288349";"-0.0788629580275602";"0.969700982239674";"58"
"5";"vegan";"-0.276254028995018";"-0.560371614026393";"0.9562171164886";"63"
"6";"blague";"0.0410204431005085";"0.19263547141998";"0.951639553501501";"67"
"7";"emji_mains_en_prière";"-2.8510089247216";"0.904022658769842";"0.942895457497908";"73"
"8";"emji_visage_souriant_avec_coeurs";"-3.22286795223852";"0.970669344604573";"0.940219168464262";"76"
"9";"loup";"-0.00438913187761177";"0.0546318614553029";"0.933502901990764";"78"
"10";"secte";"-0.0555581953923587";"-0.42141053559953";"0.932320287294413";"80"
"11";"couple";"-0.0140205127279744";"-0.0972295092349217";"0.930529887297264";"81"
"12";"répondre";"0.239504547273722";"0.00512930559459685";"0.917650621517856";"90"
"13";"genocide";"2.02249898775341";"3.62293417137718";"0.917100049628764";"91"
"14";"hérisson";"-0.320882485404716";"-0.500626374658706";"0.916866295475585";"92"
"15";"carnivore";"0.0559735236870634";"-0.364932234232345";"0.916866295475585";"93"
"16";"chose";"0.14767350593422";"-0.132294687463789";"0.914632277140563";"96"
"17";"français";"0.0361383264967838";"-0.555609695876825";"0.912690451497016";"99"
"18";"nègre";"-0.307660251936071";"-0.201196903590396";"0.911254848160038";"101"
"19";"féminisme";"0.307042703825986";"-0.229349788269603";"0.910677936049283";"102"
"20";"islamiste";"2.10635412343251";"4.02535600835287";"0.909394983485294";"104"
"21";"sujet";"0.368033258262361";"-0.138125560672548";"0.907947251395085";"106"
"22";"féministe";"0.289369476569583";"0.0328955302361117";"0.907908169856896";"107"
"23";"langue";"0.255846220865488";"-0.218555254408913";"0.905634089882415";"109"
"24";"prisonnier";"1.95944406863107";"3.88292751124582";"0.904061517392788";"114"
"25";"appeler";"-0.265504552503764";"0.176409153794175";"0.902634367429275";"116"
"26";"gens";"0.215437681796188";"-0.221498520985889";"0.901513254087691";"117"
"27";"bannir";"0.0807213273386181";"-0.356239905438857";"0.900461115373067";"118"
"28";"faune";"0.0915495483833288";"-0.81402988738669";"0.897964674922683";"123"
"29";"soudan";"2.0367409056069";"3.72161791145717";"0.897957446675808";"124"
"30";"rat";"0.26008752189113";"-0.07083273474576";"0.896578321674583";"126"
"31";"féminin";"0.00752542467725277";"-0.265675187403581";"0.896235776280302";"127"
"32";"maltraitance";"-0.0196397524191784";"-0.292731550585746";"0.891619131755014";"135"
