"";"";"";"";"gaza";""
"1";"gaza";"2.03707201556017";"3.35966831366534";"1.12900100121545";"19"
"2";"génocide";"2.00963773903476";"3.33728157008261";"1.02923482665993";"26"
"3";"terroriste";"2.03361420990353";"3.44178643151887";"0.901494043334919";"38"
"4";"emji_visage_roulant_des_yeux";"-0.0985463358416427";"-0.158102696915689";"0.825621771998885";"47"
"5";"magnifique";"-3.08561770842825";"0.854183569203617";"0.806418842710655";"50"
"6";"appeler";"-0.287472713574766";"0.140514528648942";"0.787424679159511";"52"
"7";"adorer";"-2.93270781671815";"0.76758077453971";"0.765254852532809";"59"
"8";"emji_feu";"-2.70513246962407";"0.807444021586548";"0.735885344606162";"67"
"9";"emji_mains_en_prière";"-2.85590114261713";"0.82724037514247";"0.72930238231418";"69"
"10";"mdr";"-0.171876201102709";"-0.12456926932288";"0.727845908992995";"72"
"11";"emji_visage_souriant_avec_coeurs";"-3.23349275269002";"0.890138329208924";"0.724855945777205";"74"
"12";"enfant";"-0.0417101375686652";"0.232269781727369";"0.702466797842441";"78"
"13";"vegan";"-0.326857339348469";"-0.466703695620384";"0.701217526470049";"80"
"14";"nègre";"-0.327813822022045";"-0.175515767918498";"0.698929313250643";"82"
"15";"genocide";"2.00923857703144";"3.25745285771033";"0.685540353361421";"88"
"16";"secte";"-0.110571803551654";"-0.356827162742203";"0.684132943897922";"90"
"17";"répondre";"0.27399841829159";"0.0612661095266794";"0.677104301942499";"94"
"18";"complice";"1.94331790679336";"3.32410173330153";"0.672199479962203";"98"
"19";"cher";"0.417269065228172";"-0.897525566204581";"0.668728456372848";"100"
"20";"prisonnier";"1.94660179433408";"3.48757331973031";"0.664803347757977";"103"
"21";"loup";"-0.0461041819594714";"0.0871254756473436";"0.656465424054426";"108"
"22";"emji_crâne";"-0.107993234147456";"-0.30566911914112";"0.656152470922334";"110"
"23";"soudan";"2.03019064176206";"3.34668178371227";"0.655090854145075";"112"
"24";"hérisson";"-0.362258115145794";"-0.410539704439965";"0.650108233697214";"115"
"25";"carnivore";"0.0139952792712846";"-0.291655917105151";"0.650108233697214";"116"
"26";"cessez_le_feu";"2.10267140580814";"3.54767769721632";"0.649985085369158";"117"
"27";"lynx";"-0.395614319470327";"-0.395523959026844";"0.648875968522505";"119"
"28";"negre";"-0.292159732650523";"-0.188663844436201";"0.645195592775454";"123"
"29";"emji_visage_avec_des_étoiles_à_la_place_des_yeux";"-3.40879791494676";"0.956523695732468";"0.645074399182764";"124"
"30";"emji_visage_de_geek";"-0.161377619043612";"0.0121362568462318";"0.641660649339632";"125"
"31";"maltraitance";"-0.0598785816227114";"-0.250927257402664";"0.640250112299547";"126"
"32";"chose";"0.144596410888058";"-0.108713807566712";"0.637468523873769";"132"
"33";"cesser";"1.62537764800938";"2.52539442699794";"0.634206461495036";"137"
"34";"genève";"0.239868809292848";"-0.694944930981771";"0.633282458087542";"138"
"35";"russie";"1.79120239456607";"3.09375837861788";"0.633031861013624";"139"
"36";"péjoratif";"-0.11282254652318";"-0.111375985523288";"0.629867339929653";"141"
"37";"bannir";"0.0407637063840952";"-0.276687449092881";"0.628813542093858";"143"
"38";"langue";"0.283605961666469";"-0.176185921774188";"0.628654817582141";"144"
"39";"vie";"-0.338541020482";"-0.146899218803373";"0.624411087102617";"146"
"40";"casseur";"1.90151528563264";"3.18110336482813";"0.621086473192173";"149"
"41";"lol";"-0.132596632120376";"-0.134298655210291";"0.616357968341888";"157"
"42";"gâteau";"-0.215210858321366";"-0.202657123389545";"0.614083829217117";"162"
"43";"errant";"-0.356111425892906";"-0.361759207816075";"0.613118189946327";"163"
"44";"emji_visage_souriant_avec_yeux_rieurs";"-2.46981889347657";"0.628567075049628";"0.613004424348027";"165"
"45";"voisin";"-0.0408742779004188";"-0.121349706056615";"0.611996953740406";"168"
"46";"bombarder";"1.90645957625815";"3.09974949533191";"0.61185425805869";"169"
"47";"gagner";"0.619607900446784";"-0.885630866800941";"0.610726375752524";"170"
"48";"poser";"0.363380387366529";"-0.238280519264883";"0.610603813845078";"171"
"49";"maladie";"0.655519077085911";"-1.10670514567967";"0.610580357020686";"172"
"50";"rat";"0.228213448722812";"-0.0169581646282557";"0.609937835505891";"174"
"51";"cisjordanie";"2.13467685200694";"3.61475171998051";"0.608279828968474";"175"
"52";"vendredi";"-0.315131802985394";"-0.128064551271848";"0.608232719846155";"176"
"53";"génial";"-2.92510113030623";"0.648455825923481";"0.608092956267487";"178"
"54";"congo";"1.96673516376405";"3.31129741964456";"0.607514159125623";"179"
"55";"netanyahu";"2.16934770970874";"3.68038650440899";"0.60670783078716";"182"
"56";"aller";"0.286150474753441";"-0.19364403560263";"0.606343468114943";"184"
"57";"voir";"0.0444402283439364";"-0.0854384834342987";"0.605385061365007";"188"
"58";"monde";"0.238255340974343";"-0.103197459736712";"0.605222622856095";"189"
"59";"racisme";"0.208449551586631";"0.0391716641805326";"0.604556253569835";"190"
"60";"innocent";"1.41711420335166";"2.68906908826894";"0.604345337623847";"191"
"61";"gens";"0.216517130095153";"-0.206687155047908";"0.604249946537988";"192"
"62";"penser";"0.0398746644736044";"-0.132918140973106";"0.603168586933532";"194"
"63";"système";"0.691670706921543";"-0.953353088180511";"0.60202389390322";"197"
"64";"pigeon";"-0.118221547765071";"-0.414870910712203";"0.601851877191014";"198"
"65";"octobre";"1.53656032381685";"2.63872412378663";"0.601540683320751";"199"
"66";"humanitaire";"1.74361367811625";"2.64546959107482";"0.601386063753303";"200"
"67";"merveilleux";"-3.26741991726822";"0.910679529513472";"0.600882914870102";"202"
"68";"temps";"-0.15093085186621";"-0.127987837482874";"0.59653851551923";"208"
"69";"emji_visage_qui_hurle_de_peur";"-0.496308147444229";"-0.217569126090228";"0.596403052358369";"209"
"70";"coût";"0.832371741547894";"-1.24604133159686";"0.596381354795806";"210"
"71";"colon";"1.93733418600238";"3.38473493451091";"0.596115901733107";"211"
"72";"emji_pêche";"-0.540671371482398";"-9.03504780554186";"0.593833552719799";"213"
"73";"emji_visage_riant_aux_larmes";"-0.879189014581496";"0.0627715556890607";"0.591643467215765";"215"
"74";"fortune";"0.749390742006202";"-1.0640371940322";"0.59120658386147";"217"
"75";"liban";"1.920132158695";"3.50969015158031";"0.590564648767285";"218"
"76";"emji_visage_qui_rougit";"-0.53590293313611";"0.0591497075645246";"0.589864853506267";"220"
"77";"mois";"0.527182812721381";"-0.839943275489796";"0.58983826910529";"221"
"78";"instinct";"-0.101136668571966";"-0.51190302100045";"0.589663124816499";"222"
"79";"emji_visage_aux_yeux_en_spirales";"-0.214044064634076";"-0.298359223358709";"0.588959615558286";"224"
"80";"propos";"0.264610658079255";"0.242453032740424";"0.588595448359606";"225"
"81";"ukraine";"1.59815043481447";"2.28063636191617";"0.588320417093613";"231"
"82";"prime";"0.787059968679698";"-1.01700876845543";"0.588273698918367";"232"
"83";"loyer";"0.881570095346966";"-1.26524452952429";"0.588081548431892";"233"
"84";"choco";"-0.208966857450304";"-0.219342689644176";"0.587725786595285";"234"
"85";"parent";"-0.121412071951077";"-0.410720532848648";"0.587354582349287";"236"
"86";"poussin";"-0.397444575853089";"-0.142939916345506";"0.587182956584155";"237"
"87";"emji_visage_qui_regarde_entre_ses_doigts";"-0.581704543412635";"-0.10514863660355";"0.586899324482552";"239"
"88";"comprendre";"0.0920455762213432";"-0.0516642936748811";"0.586803933396693";"240"
"89";"gaffe";"-0.135927728954097";"-0.481628126606813";"0.586780281098765";"241"
"90";"aiguisé";"-0.294306000465021";"-7.87909923190997";"0.584950062375606";"243"
"91";"moyenne";"0.769782697575383";"-1.12479451956005";"0.584917222821457";"244"
"92";"bad";"-0.273063708517787";"-0.223672998384323";"0.584587263491681";"245"
