"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9"
"emji_visage_riant_aux_larmes";458,301;1,153;-168,563;-87,915;-1,59;61,017;-0,657;-17,371;-27,148
"aller";-752,13;-1,533;-0,908;107,965;-0,006;-11,001;-19,232;-17,366;732,583
"voir";-376,935;-4,229;-27,575;-20,861;-2,676;-0,271;53,905;-0,314;610,007
"suisse";-466,89;-24,551;-1,19;2062,313;-31,673;-48,41;-2,098;-41,4;-141,824
"parler";-298,959;-10,627;11,998;-19,751;-6,537;-10,284;713,324;11,541;-0,002
"emji_coeur_rouge";5146,9;-22,474;-154,614;-476,007;-17,47;-96,52;-256,568;-70,435;-362,061
"gens";-386,203;0,018;-13,805;-0,44;-2,773;-9,99;0,715;-35,779;828,813
"monde";-327,099;-8,163;-0,303;13,792;-8,284;-19,558;-46,534;-2,133;695,845
"femme";-160,569;-5,536;-74,347;-293,594;-19,201;-42,293;-105,395;15219,643;-91,834
"enfant";-114,8;-16,397;8,558;-106,962;-14,042;-38,858;-84,337;13,06;1002,762
"emji_applaudissements";2065,152;-3,354;-48,786;-185,395;-15,286;-39,851;-103,19;-23,393;-169,993
"emji_visage_souriant_avec_yeux_en_forme_de_coeur";4682,623;-19,181;-159,946;-399,596;-22,236;-88,514;-219,849;-59,209;-352,001
"prendre";-333,2;61,557;-11,407;101,965;0,984;0,199;2,872;2,38;41,514
"beau";2569,866;-18,846;-137,224;-235,502;-14,062;-56,786;-112,034;-22,227;-138,392
"époque";854,421;-9,5;-116,708;-129,733;-14,019;-8,343;-57,758;-9,236;0
"pays";-385,502;-6,217;373,416;261,721;-11,437;-19,496;-9,138;-5,4;-3,957
"penser";-199,442;-4,922;-40,978;-30,165;-0,597;-1,536;0,991;2,041;643,546
"vie";-22,678;-4,531;-80,468;-2,776;-5,986;-52,105;-108,847;0,106;742,06
"homme";-82,484;-11,663;-56,652;-312,598;-2,475;-29,971;-91,484;12569,194;-95,016
"comprendre";-184,662;-2,843;-22,825;-57,665;-1,522;-24,383;432,345;30,995;85,532
"emji_se_rouler_par_terre_de_rire";42,456;7,099;-28,544;-12,371;-0,627;64,489;-2,163;-1,882;-6,364
"temps";-77,309;-6,725;-50,121;-4,562;-1,059;-15,535;-17,295;-1,467;577,393
"aimer";691,721;-0,065;-68,511;-151,362;-0,178;-14,698;-28,47;-0,153;-4,959
"chose";-261,571;-4,472;-21,708;-42,657;-0,024;-10,154;-0,274;-0,552;935,896
"passer";-164,456;-0,019;-0,283;14,212;-11,715;-8,042;-6,531;-11,134;274,822
"mettre";-292,318;-0,462;-1,744;141,129;-0,405;0,715;1,425;1,275;26,803
"année";0,034;-5,643;-53,929;142,7;-0,283;-9,66;-19,563;-6,865;0,094
"petit";25,335;9,869;-31,68;-0,209;14,582;-0,277;-15,128;-6,695;3,95
"vrai";-17,703;-7,222;-12,042;-7,798;-8,439;-7,044;4,694;212,947;15,567
"grand";-1,163;-3,513;-39,2;127,704;-1,579;-7,383;-20,123;0,507;-0,044
"vraiment";-62,186;-5,319;-23,882;-12,559;-0,31;-2,482;-0,316;-0,018;318,367
"emji_visage_qui_pleure";103,166;-4,626;-6,085;-15,587;0,623;-12,767;-30,417;-0,943;6,461
"jour";-130,027;12,964;-20,228;2,672;2,772;-3,802;-50,773;-0,017;372,19
"trouver";-101,743;4,489;-25,987;0,602;-0,747;-12,758;15,758;13,929;102,15
"venir";-166,573;-2,351;-1,148;4,349;7,866;3,937;0,141;-0,479;117,717
"donner";-157,096;-9,693;-4,724;-2,986;27,135;-8,744;23,141;0,908;173,428
"vivre";-77,793;-1,172;-16,433;0,222;-0,383;-30,928;-35,137;-0,016;418,779
"rester";-197,152;-0,319;-5,048;56,935;0,332;-13,211;-1,074;-0,01;136,436
"payer";-336,98;-13,843;-30,57;2527,431;-12,466;-53,531;-126,398;-6,987;-136,12
"tellement";702,648;-0,47;-57,508;-91,936;-6,85;-18,504;-30,25;-12,112;-9,277
"problème";-322,446;-5,645;-16,392;73,279;-1,65;-27,641;5,296;23,889;164,141
"français";-88,728;60,964;-52,715;2,137;-17,165;19,679;920,046;-31,926;-150,061
"connaître";-36,424;0,001;-13,141;-46,516;-4,937;-0,469;147,783;4,095;35,893
"changer";-102,508;-3,058;-33,749;-8,708;-4,641;34,905;-51,159;0,008;475,691
"souvenir";2160,514;-14,161;-80,78;-165,813;-14,215;-37,587;-114,024;-36,419;-144,638
"france";-187,251;61,447;-31,453;695,649;-1,625;1,323;-17,103;-11,106;-37,144
"fois";-129,596;94,731;-0,288;4,793;-7,813;-13,131;5,122;-2,207;84,642
"commentaire";-173,606;-7,603;-36,704;-191,935;-0,337;8,396;2442,676;-9,723;-59,216
"emji_visage_souriant_avec_une_goutte_de_sueur";100,827;4,113;-37,567;-24,174;0,385;31,499;-1,868;-6,481;-7,009
"arrêter";-242,095;-7,111;129,944;25,123;0,704;-0,564;2,901;-2,314;11,281
"seul";-157,101;-1,19;5,864;5,461;4,079;-16,264;-0,438;2,07;120,1
"demander";-199,224;-2,363;5,603;3,849;-3,755;-4,77;8,897;20,198;77,187
"droit";-237,693;-10,686;512,073;-0,437;-3,67;-5,832;5,271;74,801;-7,027
"question";-212,431;-3,856;-17,046;-22,159;-1,62;-18,401;1080,858;1,509;-1,937
"devenir";-82,911;-9,002;-31,178;70,813;3,313;0,998;-0,408;4,076;18,25
"travail";-158,873;-0,817;-30,176;281,533;-5,791;-17,681;-11,254;11,494;19,775
"cas";-180,731;-3,147;-4,304;14,373;-2,514;-18,889;13,255;9,41;114,928
"jeune";-3,534;-5,21;-59,106;-58,416;-2,225;-12,878;-13,867;21,737;376,259
"raison";-23,295;-6,985;-4,707;-14,408;0,771;-10,933;-3,05;312,42;31,999
"sentir";-85,636;-0,673;-21,257;-23,206;-0,913;-0,415;14,405;2,545;227,809
"emji_visage_faisant_un_clin_d_oeil";12,966;3,095;-34,61;-6,87;-1,148;0;7,614;-1,711;1,7
"emji_feu";1199,708;-3,68;-23,579;-103,125;-8,055;-31,236;-80,512;-12,813;-80,828
"police";-195,085;-10,43;323,318;-10,657;-11,938;0,448;-0,195;-1,343;60,185
"exister";-84,239;2,744;-0,235;-0,545;-2,256;0,963;-0,033;9,077;80,521
"humain";-112,194;-10,591;1,572;-33,423;68,906;-20,341;-11,322;3,25;369,451
"accord";-107,502;-4,007;182,142;5,386;-1,282;-13,909;5,489;1,562;-0,527
"arriver";-91,426;-0,192;-8,762;0,549;-6,806;-0,069;6,375;-4,654;133,761
"utiliser";-148,185;352,713;9,791;17,512;-1,811;5,554;20,476;-0,308;-11,458
"laisser";-175,052;-2,797;0,033;-0,106;15,232;-6,693;-0,601;0,001;245,198
"besoin";-144,391;8,059;-6,154;39,012;11,717;-25,389;-3,793;0,118;111,333
"état";-193,505;-7,916;617,246;69,189;-2,334;-20,441;-16,237;-14,66;-7,525
"animal";-29,085;-9,348;-48,274;-57,113;3827,193;-13,147;-21,17;-6,204;62,714
"regarder";-32,588;-6,138;-15,993;-8,86;-0,084;-4,113;46,678;7,264;47,962
"guerre";-164,217;-9,108;2846,632;-53,116;-8,477;-25,461;-46,222;-8,75;-32,552
"coup";-94,687;-3,283;-0,145;1,441;-0,074;6,891;-4,695;0,016;105,232
"emji_mains_en_prière";1166,592;-5,868;-38,359;-120,215;-5,279;-20,025;-59,908;-14,424;-67,879
"travailler";-104,858;-3,96;-46,084;363,269;-10,364;-13,355;-19,932;0,295;9,55
"argent";-183,673;-7,402;-9,127;1234,284;-8,734;-26,394;-51,693;-9,337;-60,138
"ca";-62,136;0,133;-6,072;-22,286;0,791;18,764;-14,714;-2,613;265,004
"partir";-135,362;-5,643;-0,783;94,248;-4,009;-0,301;19,456;-1,264;1,969
"moment";-15,696;-5,883;0,037;-22,04;-3,073;-0,044;-17,625;-0,478;199,721
"etc";-110,052;-2,298;-1,025;233,044;-2,193;-11,451;-0,618;4,372;-2,39
"riche";-158,274;-8,655;-50,524;1401,178;-9,906;-21,933;-37,301;-17,136;-75,991
"place";-146,596;0,494;-0,377;209,162;-2,71;-12,362;-2,4;3,417;0,951
"vidéo";-0,306;-7,218;-11,619;-100,082;-1,787;-1,309;496,621;-2,067;-7,258
"plutôt";-130,107;-1,09;-5,557;5,416;-0,574;-14,302;11,155;1,77;112,741
"premier";-25,657;-3,82;-0,021;4,439;-4,964;-1,772;102,897;0,003;-10,468
"mot";-22,475;-3,552;0,172;-104,028;-7,889;149,214;73,068;0,061;6,654
"rendre";-114,478;-5,352;23,47;10,732;4,956;-14,346;-1,648;7,439;39,748
"appeler";-19,111;-0,282;0,178;-50,764;-0,322;837,964;-11,252;-8,903;0,013
"école";-4,026;-0,603;-35,906;-43,831;-5,929;-19,214;-13,106;-10,436;457,267
"niveau";-109,268;-6,378;-40,44;40,048;-3,073;-3,403;204,615;-0,329;-0,059
"meilleur";95,572;-1,47;-34,853;2,608;-0,773;-12,049;-13,457;-2,514;-1,941
"jouer";360,256;-8,548;-29,307;-24,235;-3,309;-18,36;-19,107;-0,105;-12,792
"part";-107,889;-0,79;-0,084;13,3;-1,506;-7,924;0,65;2,928;66,499
"magnifique";1558,22;-8,695;-58,838;-124,415;-4,757;-33,044;-80,068;-11,331;-121,188
"genre";-108,109;-6,588;-5,663;-32,834;-1,329;0,022;28,792;58,804;130,418
"adorer";1349,068;-2,268;-49,106;-126,071;-2,16;-26,348;-56,277;-21,791;-100,437
"politique";-171,604;-8,095;19,432;35,353;-9,266;-16,603;195,521;-1,139;-6,652
"palestinien";-179,846;-8,016;5300,608;-157,949;-9,174;-32,182;-74,611;-20,33;-121,689
