"";"";"";"";"emji_mains_en_prière";""
"1";"emji_mains_en_prière";"3.55095150192572";"1.23963429408256";"1.0666952767322";"17"
"2";"emji_visage_avec_des_étoiles_à_la_place_des_yeux";"4.27283613481808";"1.38528494224782";"0.961929294367494";"25"
"3";"manif";"-1.02017800607914";"2.41575069935899";"0.886212521983961";"51"
"4";"touchant";"3.65715985933871";"1.31595431515563";"0.885677286482346";"52"
"5";"emji_coeur_cartes";"4.47499768840988";"1.52704615052192";"0.879619138529536";"57"
"6";"cessez_le_feu";"-1.14810342740876";"2.97774088674822";"0.87927842473514";"59"
"7";"criminel";"-0.976973531287556";"2.22440849305173";"0.872245662867811";"70"
"8";"bombarder";"-1.08748771909591";"2.70933206289457";"0.862863399637829";"81"
"9";"emji_visage_retenant_ses_larmes";"3.41418392847278";"1.11494267235841";"0.861628086528068";"82"
"10";"cisjordanie";"-1.18147725022777";"3.12552153271739";"0.861162036582113";"85"
"11";"congo";"-1.10524941393271";"2.79711066130128";"0.859570167188399";"87"
"12";"ukraine";"-0.797815755075836";"2.34795136186108";"0.857941499100588";"91"
"13";"octobre";"-0.965591428068867";"2.18748723116754";"0.856418213649007";"95"
"14";"assassiner";"-1.16809623636166";"3.06626985862598";"0.85268770843402";"102"
"15";"innocent";"-0.782312624610995";"2.07180095894167";"0.851691837508197";"105"
"16";"emji_mains_en_prière_peau_moyennement_claire";"3.99697485545336";"1.35091635345215";"0.850432760664101";"106"
"17";"pacifique";"-0.975216799688452";"2.22593457873464";"0.84957536111852";"107"
"18";"massacrer";"-1.1192672734818";"2.85005322334503";"0.848264144435376";"109"
"19";"sanction";"-0.991897155919605";"2.29331493466458";"0.848071728375503";"111"
"20";"drone";"-0.970600194103648";"2.21404130971833";"0.847807218961254";"113"
"21";"émouvant";"4.05946034946755";"1.42605320742878";"0.847365634632083";"115"
"22";"autorisation";"-0.983208034018044";"2.24757737252418";"0.846366956176465";"119"
"23";"soldat";"-0.94225889813093";"2.39278912584785";"0.844397574294257";"125"
"24";"emji_trèfle_à_quatre_feuilles";"4.17489356730074";"1.42260070571785";"0.842566964599055";"129"
"25";"terrorisme";"-1.05191491555889";"2.57505192609864";"0.842205896213645";"131"
"26";"colonisation";"-1.04850342493327";"2.53670802143397";"0.841865082150327";"132"
"27";"adorable";"3.10741088054916";"1.03665885466059";"0.841467114801899";"134"
"28";"bombardement";"-1.1492411713685";"2.98277886331535";"0.841169717181481";"135"
"29";"emji_notes_de_musique";"4.31738759576234";"1.40590995351211";"0.839626779021335";"137"
"30";"emji_visage_souriant_avec_yeux_plissés";"0.763114798574266";"-2.78361041893965";"0.836547219643083";"144"
"31";"emji_deux_coeurs";"3.74813203789425";"1.24798958597656";"0.836137119755183";"147"
"32";"sagesse";"3.65151248350756";"1.25792964174768";"0.834643313366449";"150"
"33";"emji_mains_qui_forment_un_coeur";"3.68764826638983";"1.23724843322244";"0.834541540411383";"151"
"34";"emji_coeur_brisé";"3.00247131063841";"1.24517307566984";"0.833289482391775";"153"
"35";"emji_étoile_brillante";"4.37605833764543";"1.57690953881577";"0.83079679700958";"161"
"36";"emji_coeur_étincelant";"4.03826496770068";"1.50925661491432";"0.830771629510347";"162"
"37";"devenir";"-0.272894605224379";"-0.0340835628096266";"0.830180243412833";"164"
