"";"";"";"";"otage";""
"1";"otage";"-1.96282502971049";"5.24970899171962";"1.86902221607338";"13"
"2";"terroriste";"-1.96360403851033";"5.23301126308237";"1.65064420559239";"20"
"3";"sauvage";"0.274965354754931";"-1.6313022857381";"1.38246083707884";"32"
"4";"entreprise";"-1.04824693165507";"-0.831675474683214";"1.2794865910965";"41"
"5";"emji_visage_souriant_avec_coeurs";"3.62445494948527";"1.67544049206996";"1.27531272808856";"42"
"6";"emji_feu";"2.98232952993631";"1.48125986041057";"1.26754924153176";"43"
"7";"adorer";"3.11554402772692";"1.34524530951145";"1.26611862915026";"44"
"8";"emji_mains_en_prière";"3.15298186740508";"1.48103548185095";"1.26181947141495";"45"
"9";"genocide";"-1.91715086938734";"4.81278208938739";"1.17104724251134";"52"
"10";"cessez_le_feu";"-2.06856131144975";"5.54138887380523";"1.13695665890283";"58"
"11";"islamiste";"-1.95403026963541";"5.20749738279722";"1.13694342552713";"59"
"12";"soudan";"-1.97929443138982";"5.12686827375642";"1.13323357535224";"60"
"13";"prisonnier";"-1.76991258987184";"5.12595985154743";"1.12937393462687";"61"
"14";"emji_visage_avec_des_étoiles_à_la_place_des_yeux";"3.82216457768";"1.78420852454057";"1.10029767416383";"65"
"15";"dimanche";"0.61522494498449";"-0.960972430373805";"1.07841473885776";"72"
"16";"migros";"0.324627253767222";"-1.80157160534435";"1.07258163578602";"76"
"17";"congo";"-1.86562889511968";"5.05775085655403";"1.02677979624441";"99"
"18";"caisse";"-0.713498823774172";"-1.03902767236269";"1.02153093263175";"101"
"19";"octobre";"-1.50232991153364";"3.84787129214133";"1.02129920777641";"102"
"20";"milliard";"-1.02637311255167";"-0.770081727803679";"1.02098780110569";"103"
"21";"emji_se_rouler_par_terre_de_rire";"0.716708099671925";"-0.669763712663228";"1.01817275237705";"105"
"22";"matin";"0.397014991220183";"-1.3920898724935";"1.01367340463913";"108"
"23";"banque";"-0.994346194481866";"-0.848709804838817";"1.01342534923506";"110"
"24";"chasseur";"0.0549850809958739";"-1.3186456966117";"1.01168727203943";"112"
"25";"gagner";"-0.703183802964942";"-0.747865010877989";"1.01161068739708";"113"
"26";"génial";"3.17868524684024";"1.41030845819597";"1.01070969160475";"114"
"27";"travailler";"-0.425063058610288";"-0.735823808324776";"1.00931624529969";"116"
"28";"moyenne";"-0.94261027891349";"-0.951259184570712";"1.00501314570779";"118"
"29";"emploi";"-0.970520645409723";"-0.986150227168716";"0.998384069165761";"122"
"30";"maladie";"-0.765290375498373";"-0.911355541266198";"0.99725585349706";"123"
"31";"problème";"-0.679328482775336";"-0.282534517900363";"0.993308365681941";"124"
"32";"prix";"-0.575856486199978";"-0.825660896447265";"0.992724126222855";"125"
"33";"piéton";"0.243295354182888";"-1.89968651085503";"0.992652891243025";"126"
"34";"merveilleux";"3.46502767399992";"1.63445514278382";"0.990909182823693";"127"
"35";"genevois";"0.227335580404876";"-1.31596706874292";"0.990198803953682";"128"
"36";"supermarché";"0.180950970837225";"-1.91848856089457";"0.982679994066738";"132"
"37";"emji_visage_retenant_ses_larmes";"3.59463441708665";"1.69382969065434";"0.982181630769109";"133"
"38";"ultra";"-0.927771382210861";"-0.743283391309038";"0.980355143361357";"134"
"39";"nourriture";"-0.391980905438751";"-1.02404002913621";"0.979284647735602";"136"
"40";"emji_drapeau_israël";"-1.68827230909953";"5.37583507178968";"0.978954376465478";"137"
"41";"colon";"-1.86399242864165";"4.69332462963965";"0.977733245605694";"140"
"42";"massacrer";"-1.80747639941228";"4.92006499152067";"0.976339799300628";"141"
"43";"assassiner";"-1.95763480994239";"5.04565890094473";"0.975301401649974";"142"
"44";"trottoir";"0.238834308877624";"-1.88986243882876";"0.973869944584919";"144"
"45";"fiscal";"-1.14303644132967";"-1.06705042920615";"0.973835875681522";"145"
"46";"électrique";"0.300742431145625";"-1.72521497483892";"0.973588946522188";"146"
"47";"km";"0.297638181948625";"-1.78766158061832";"0.971766964093398";"147"
"48";"bombardement";"-2.0597030766226";"5.47135081032419";"0.97039604268314";"148"
"49";"héritage";"-0.994878062240601";"-0.815655810479626";"0.967414309732918";"153"
"50";"fumer";"0.27061322467545";"-1.36727266718752";"0.95844151788611";"160"
"51";"aéroport";"0.392288732392859";"-1.52798209308771";"0.957754227033278";"163"
"52";"milliardaire";"-1.14321395698657";"-0.882428869874029";"0.954931857713823";"168"
"53";"emji_crâne";"0.365311807826448";"-1.3757978894124";"0.954615101380584";"169"
"54";"franc";"-0.0593938679391389";"-1.30352632579154";"0.954515710282243";"170"
"55";"cigarette";"0.503567456933211";"-1.5106905299893";"0.952880402919175";"173"
"56";"moto";"0.47468831148076";"-1.62205702832972";"0.952066127971862";"174"
"57";"augmentation";"-1.05586600034387";"-0.892110018937443";"0.949987643303445";"175"
"58";"emji_visage_souriant_avec_une_goutte_de_sueur";"0.906511086411605";"-0.534213506652855";"0.948291518724395";"177"
"59";"mondial";"-0.945078889247402";"-0.262517842663451";"0.947585644833346";"178"
"60";"léman";"0.664236092298604";"-1.5918913301332";"0.946559917436022";"181"
"61";"avion";"-0.167387867680767";"-1.36747558487464";"0.945137751890076";"184"
"62";"travail";"-0.522254804201677";"-0.435681583199865";"0.939500896964348";"188"
"63";"habiter";"0.404093041310938";"-0.933708993009519";"0.935581846828924";"193"
"64";"aliment";"-0.0100111554815609";"-2.01047286485737";"0.934309190272266";"194"
"65";"bouffer";"0.186991213623296";"-1.47571962296011";"0.933945976343485";"196"
"66";"revenir";"-0.391543338287178";"-0.532518609505475";"0.933543062287605";"197"
"67";"casque";"0.178086919759018";"-1.30259181176807";"0.933190266122673";"199"
"68";"égalité";"-0.776459002166502";"-0.159436061083595";"0.930647768621209";"204"
"69";"cycliste";"0.235941415157696";"-1.67854519621154";"0.929666809452316";"205"
"70";"sud";"-0.85627730597403";"-0.463855914162946";"0.928611518130557";"206"
