"";"";"";"";"*postReposts_91";""
"1";"*postReposts_91";"1.25015843741309";"-0.422287436535079";"2.10568631526536";"6"
"2";"*postDate_31-3-2025";"1.25015843741309";"-0.422287436535079";"2.10568631526536";"7"
"3";"*postComments_381";"-1.34937530637914";"3.59690572978101";"1.22770027314511";"27"
"4";"*postDate_15-11-2025";"-0.570754549502086";"-0.714690552852053";"1.1847633525216";"35"
"5";"*postComments_273";"-1.36790997808074";"3.25855448147378";"1.11963524088675";"39"
"6";"*postReposts_376";"-1.36790997808074";"3.25855448147378";"1.11963524088675";"40"
"7";"*postComments_337";"-1.28379466504599";"3.18876014663657";"1.1115237352066";"43"
"8";"*postReposts_195";"-1.28379466504599";"3.18876014663657";"1.1115237352066";"44"
"9";"*postDate_31-10-2025";"-0.507968305348674";"-0.71510683642861";"1.10298659991874";"45"
"10";"*postComments_236";"-1.37265445817726";"3.23977300010629";"1.09932579776928";"47"
"11";"*postReposts_40";"-0.577757594449491";"-0.475564067006018";"1.09843255687783";"48"
"12";"*postReposts_25";"-0.578578526517721";"-0.537021490018866";"1.07324678062196";"51"
"13";"*postReposts_188";"-1.29376623856615";"3.32667314553483";"1.06894398176527";"55"
"14";"*postDate_9-10-2025";"-0.805844246723435";"1.54647173841053";"1.06579697074318";"56"
"15";"*postReposts_0";"1.06986482655956";"-0.179717001992389";"1.06133754794131";"60"
"16";"*postComments_260";"-0.908276953500743";"-0.890684076351199";"1.05237026194217";"65"
"17";"*postLikes_36200";"0.230966573461244";"-0.728578720922037";"1.03522300783736";"68"
"18";"*postDate_3-4-2023";"0.230966573461244";"-0.728578720922037";"1.03522300783736";"69"
"19";"*postReposts_31";"-0.527450880379185";"-0.219065911523018";"1.0334161810884";"70"
"20";"*postDate_11-10-2025";"-0.560567549999652";"1.07894112980537";"1.02795597971727";"71"
"21";"*postComments_973";"2.28740524021502";"0.961674935690797";"1.01854142740047";"75"
"22";"*a_0788";"0.295188159955696";"-1.09343605113804";"1.01510926391737";"78"
"23";"*postDate_27-1-2025";"0.295188159955696";"-1.09343605113804";"1.01510926391737";"79"
"24";"*postComments_323";"-0.111021652970194";"-0.510452494447499";"1.01095953671019";"84"
"25";"*i_0220";"-0.855339561191263";"-0.781066023146469";"1.00931191739415";"85"
"26";"*postLikes_9600";"-0.855339561191263";"-0.781066023146469";"1.00931191739415";"86"
"27";"*postComments_258";"-0.855339561191263";"-0.781066023146469";"1.00931191739415";"87"
"28";"*postReposts_125";"-0.855339561191263";"-0.781066023146469";"1.00931191739415";"88"
"29";"*postReposts_77";"-0.59944406045633";"-0.745192287838635";"1.00510244703263";"89"
"30";"*commentDate_28-10-2025";"-0.447495418213277";"1.13678773528609";"0.999678414490078";"91"
"31";"*postLikes_7100";"-1.2167560714431";"3.21427137765618";"0.996031821523271";"93"
"32";"*commentDate_9-10-2025";"-0.521865009932751";"1.17637001240977";"0.995076253989727";"94"
"33";"*i_0118";"0.123307281076247";"-1.32885088819627";"0.993292032758625";"95"
"34";"*postLikes_5800";"-0.613075150000091";"1.32177419032589";"0.992623555301904";"96"
"35";"*postLikes_16000";"0.134264524611664";"-1.08269272864195";"0.984676101094225";"97"
