"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7"
"nom";1;1;0,646;1;1;1;0
"attendre";1;0,888;0,044;1;1;0;1
"commencer";1;1;0;1;0;0;1
"servir";1;1;0,026;1;0;0;1
"tuer";1;0;0;1;1;0,784;1
"hamas";1;1;0;1;1;1;1
"lieu";1;1;0,475;0,631;0;0;1
"emji_visage_avec_bouche_ouverte";1;1;1;1;1;1;0
"faux";1;1;0,269;1;1;0;1
"super";0;0,211;1;0,353;1;1;1
"tête";1;1;1;1;1;1;0
"pareil";1;0,099;1;1;1;1;0
"moyen";1;1;0;1;0;0;1
"dieu";0,01;1;1;1;1;0;0,02
"violence";1;1;0,138;1;1;0;1
"aider";1;1;0,137;1;0;0;1
"simple";1;1;1;1;0;0;1
"système";1;1;1;1;0;0;1
"simplement";1;1;1;1;0;0;1
"classe";1;1;1;1;0;1;0,01
"manifestation";1;1;0;1;1;0;1
"droite";1;1;1;1;0,628;0;1
"prix";1;0;1;0;0;1;1
"triste";1;1;1;1;1;0;1
"public";1;1;0,881;1;0;0;1
"chat";0;0;1;1;1;1;1
"vieux";1;1;1;0,555;1;1;0
"montrer";1;1;0,028;1;1;0;1
"ville";1;0,397;1;0;0,079;1;1
"palestine";1;1;0;1;1;1;1
"fille";0;1;1;1;1;1;0
"entreprise";1;1;1;1;0;1;1
"emji_drapeau_suisse";0;1;0,647;1;0,1;1;1
"pire";1;1;0,052;0,038;1;1;0
"emji_visage_roulant_des_yeux";1;1;1;1;1;1;0
"impôt";1;1;1;1;0;1;1
"salaire";1;1;1;1;0;1;1
"loi";1;1;1;1;0,003;0;1
"emji_visage_qui_pleure_à_chaudes_larmes";1;0,034;1;0,021;1;1;0
"créer";1;0,094;0,588;1;0;0;1
"nouveau";1;1;1;1;0;0,02;1
"répondre";1;1;1;1;1;1;0
"chercher";1;0,792;0,89;1;0;0;1
"normal";1;0,33;1;1;0;0,152;0,327
"maison";1;0,023;0,673;0,116;0,208;1;0,001
"emji_visage_souriant_avec_yeux_rieurs";0;1;1;1;1;1;1
"façon";1;1;1;1;0,977;0;1
"seulement";1;1;0,657;0,114;0;0;1
"retrouver";1;0,143;1;1;0,21;0,392;1
"blanc";1;1;1;1;1;1;0
"article";1;0,86;0,144;1;0,98;0;1
"accent";0;1;1;0,355;1;1;1
"acheter";1;0;1;0,001;0;1;1
"rapport";1;1;0,45;1;0,5;0;0,776
"jeu";0;1;1;1;1;1;1
"essayer";1;0,874;1;0,648;1;0;1
"réponse";1;1;1;1;1;0,126;0
"propre";1;1;0,731;1;0,003;0;1
"manifester";1;1;0;1;1;0;1
"gaza";1;1;0;1;1;1;1
"mauvais";1;0;1;1;1;0;0,002
"armée";1;1;0;1;0,028;0;1
"soutenir";1;1;0;1;0;0;1
"préférer";1;0,004;1;1;0,375;1;0,001
"poser";1;1;1;1;1;0;0
"respecter";1;1;0;0,947;0,819;0;1
"rappeler";0;1;1;0,506;1;0,483;1
"justement";1;1;1;1;0,007;0;1
"eau";1;0;1;0;0,226;1;1
"voiture";1;1;1;0;0,11;1;1
"service";1;0,66;1;1;0;0;1
"santé";1;0,118;1;1;0;0,009;1
"écouter";0,069;1;1;1;1;1;0
"garder";1;0,015;1;0,012;0,185;0,276;0,729
"journée";1;1;1;0,335;1;1;0
"sembler";1;1;1;0,927;0,671;0;1
"mois";1;1;1;0,004;0;1;1
"défendre";1;1;0;1;0,003;0;1
"réalité";1;1;0,159;1;0,077;0;1
"valoir";1;0,17;1;0;0,027;1;1
"exactement";1;1;1;1;1;0;0
"ami";1;0,791;1;1;1;1;0
"heureux";0;0,393;1;1;1;0,071;1
"fou";1;1;0,975;1;1;1;0
"terre";1;1;0;1;0,409;0;1
"plaisir";0;0;1;1;1;1;1
"agir";1;1;0;1;1;0;1
"coeur";0;0,528;1;1;1;1;1
"air";1;1;1;1;1;1;0
"reportage";0;1;1;1;1;1;1
"possible";1;1;1;0,186;0;0,025;1
"manière";1;1;1;1;0,615;0;1
"foutre";1;1;1;1;0,092;1;0
"ouvrir";1;1;0,401;1;0,284;0;1
"mdr";1;1;1;1;1;1;0
"expliquer";1;1;0,055;1;0;0;1
"truc";1;0,2;1;1;1;1;0
"gagner";1;1;1;1;0;1;1
"incroyable";0;1;1;1;1;1;1
"bidet";0;1;1;1;1;1;0,016
"europe";1;1;0;1;0;1;1
"oeil";1;1;0,008;1;1;0,001;0,259
"génération";1;1;1;1;1;0,238;0
"canton";1;1;1;0;0;1;1
"trump";1;1;0;1;0;0;1
"protéger";1;1;0,06;1;1;0;1
"interdire";1;0;1;0;0,437;0;1
"gouvernement";1;1;0;1;0;0;1
"bas";1;0,167;1;1;0;1;1
"situation";1;1;0,013;1;1;0;1
"couper";1;1;1;1;0;1;0,004
"israélien";1;1;0;1;1;1;1
"honte";1;1;0,076;1;0;0;1
"heureusement";1;1;1;1;1;1;0
"avis";1;1;1;1;1;0;1
"liberté";1;1;1;1;1;0;1
"père";0;1;1;0,977;1;1;0,127
"génocide";1;1;0;1;1;1;1
"âge";1;1;1;0,645;1;1;0
"mec";1;1;1;1;1;1;0
"imaginer";1;1;1;1;0,032;0,21;0
"cours";1;1;1;1;1;1;0
"choix";1;1;1;1;0;0;1
"absolument";1;1;1;1;0,355;0;1
"reconnaître";1;1;0;1;1;0,168;1
"assurance";1;1;1;1;0;1;1
"également";1;1;0,013;0,011;0;0;1
"langue";1;1;1;1;0,83;1;0
"peur";1;0,102;1;1;1;0;1
"équipe";1;1;1;1;0;1;1
"terme";1;1;0;1;0,456;0;1
"rue";1;0,464;0,004;0;1;0;1
"rire";0,015;1;1;1;1;1;0
"mère";0,15;1;1;1;1;1;0
"aide";1;1;0;1;0;0;1
"emji_visage_souriant_aux_yeux_rieurs";0,001;1;1;0,621;1;1;0
"hiver";0;0,63;1;0,066;1;1;1
"otage";1;1;0;1;1;1;1
"solution";1;1;0,013;1;0;0;1
"important";1;1;1;1;0;0;1
"chance";0,184;1;1;1;0;1;0,497
"emji_pouce_vers_le_haut";0;1;1;1;1;1;1
"recevoir";1;1;1;0,852;0;1;1
"base";1;0,23;1;1;0;0;1
"main";1;1;0,001;0,502;0,871;0,33;0,616
"haut";1;1;1;0;0;1;0,238
"occuper";1;0,797;0;1;0;0,006;1
"image";1;1;0,102;1;1;0;1
"extrême";1;1;0,378;1;1;0;1
"début";1;1;0,771;1;1;1;0
"suivre";1;1;0,201;1;0,002;0;1
"faute";1;1;1;1;1;0;0,356
"argument";1;1;1;1;0,794;0;1
"naître";1;1;0,189;0,982;1;1;0
"étude";1;1;1;1;0;0;1
"tomber";1;0,772;1;0,021;1;0,307;0,011
"justice";1;1;0;1;1;0;1
"effet";1;1;1;1;0;0;1
"augmenter";1;1;1;1;0;1;1
"archive";0;1;1;1;1;1;1
"long";1;0,996;1;1;1;0;0,668
"étranger";1;1;0,971;1;0;0;1
"contraire";1;1;1;1;0,535;0;1
"sécurité";1;1;0,599;1;0,001;0;1
"semaine";1;0,409;1;0;1;1;0,002
"maladie";1;0,002;1;1;0;1;1
"facile";1;1;1;1;0;0;1
"emji_visage_avec_des_étoiles_à_la_place_des_yeux";0;1;1;1;1;1;1
"policier";1;1;0,861;1;1;0;1
"journaliste";1;1;0;1;1;0,003;0,298
"raciste";1;1;1;1;1;0;0
"nourrir";1;0;1;1;1;1;1
"partager";0;1;1;1;1;0;1
"lausanne";1;1;1;0;1;1;1
"dur";1;1;0,707;1;0;1;0,106
"mode";1;1;1;1;1;0,956;0
"envie";1;1;1;1;0,85;1;0
"choisir";1;1;1;1;0,052;0;1
"actuel";1;1;1;1;0,055;0;1
"frontalier";1;1;1;0;0;1;1
"emji_visage_boudeur";1;1;0,006;0,246;0;0,06;1
"nombre";1;1;0,058;0,442;0;0;1
"mériter";1;1;0,331;1;0;0;1
"différence";1;1;1;1;0;0;1
"train";1;1;0,127;0;0,027;1;1
"groupe";1;1;0;1;0,398;0;1
"clairement";1;1;0,222;1;1;0;0,809
"éviter";1;0,008;1;1;0;0;1
"ancien";0,18;1;1;0,884;1;1;0
"suffire";1;1;0,8;1;0,002;0;1
"peine";1;1;0,948;1;0,008;0;0,201
"risque";1;1;1;0,582;0;0;1
"franchement";1;1;1;0,836;0,946;1;0
"bref";1;1;0,568;1;0,177;0;1
"majorité";1;1;0,787;1;0;0;1
"effectivement";1;1;1;0,359;1;0;0,177
"traiter";1;0,535;0;1;1;0;1
"meme";1;1;1;1;0,032;1;0
"laver";1;0,258;0,65;0,52;1;1;0,001
"génial";0;1;1;1;1;1;1
"face";1;1;0,019;1;1;0;1
"battre";1;0,992;1;1;1;0;1
"noir";1;1;1;1;1;1;0
"intéressant";0,814;1;1;1;1;0,356;0,004
"caisse";1;0,115;1;1;0;1;1
"baisser";1;1;1;1;0;1;1
"amour";0;0,136;1;1;1;0,013;1
"propos";1;1;1;1;1;0;1
"nouvelle";1;1;1;0,938;1;1;0
"nature";0,01;0;1;1;1;0;1
"renard";0,898;0;1;1;1;1;1
"remettre";1;1;1;1;0,425;0;1
"victime";1;1;0;1;1;0;1
"toucher";1;1;1;1;0;0,004;1
"tenir";1;1;0;0,705;1;0;1
"info";1;0,012;0,08;1;1;0,123;0,019
"plaindre";1;0,966;1;1;0,022;0;1
"détruire";1;0;0;1;0,006;0;1
"civil";1;1;0;1;1;0,295;1
"éducation";1;1;1;1;0,525;0;0,718
"international";1;1;0;1;0,319;0;1
"voter";1;1;1;1;0;0;1
"feu";1;0,066;0;0;1;1;1
"dimanche";1;1;1;0;1;1;1
"complètement";1;1;0,438;0,705;1;0;1
"valeur";1;1;1;1;0;0;1
"réseau";1;1;1;1;1;0;1
"terroriste";1;1;0;1;1;1;1
"souhaiter";1;1;1;1;0,002;0;1
"joli";0;1;1;0,307;1;1;1
"intérêt";1;1;0,468;1;0;0;1
"exprimer";0,762;1;1;1;1;0;0
"marcher";1;1;1;0,004;1;0,015;0,001
"accepter";1;1;0,253;1;0;0;1
"égalité";1;1;1;1;1;0;1
"porter";1;1;1;1;1;0,136;0
"métier";1;1;1;1;0,554;0;1
"corps";1;0,969;0;1;1;0;1
"difficile";1;1;1;1;0,131;0;1
"porte";1;1;1;1;1;1;0
"pied";1;1;1;0;0,481;1;0,034
"humanité";1;1;0;1;1;0;1
"type";1;0,047;1;1;0,556;0;1
"vérité";1;1;0,963;1;1;0;1
"profiter";1;1;1;1;0;0,323;1
"preuve";1;1;1;1;1;0;1
