"";"";"";"";"mais";""
"1";"mais";"-0.118002255621126";"-0.209621893421406";"1.32243300475428";"29"
"2";"il";"-0.0561371455846528";"-0.10541308562278";"1.31717731458721";"30"
"3";"avoir";"0.0403775204423045";"-0.0542903892469256";"1.26870508359128";"32"
"4";"pouvoir";"-0.268617064264493";"-0.17558089074324";"1.23652561296152";"36"
"5";"par";"-0.482775818386761";"0.102191616413185";"1.22411691518376";"37"
"6";"dans";"-0.124557481078183";"-0.188240576985045";"1.21860623522012";"38"
"7";"s";"-0.25123861566564";"-0.00506453941155148";"1.17282771160116";"40"
"8";"sur";"-0.263650891558568";"-0.234251797979254";"1.16624873315334";"41"
"9";"tu";"-0.054735046903506";"-0.324386362157047";"1.16284322961441";"42"
"10";"c";"0.12249223022092";"-0.135842154982156";"1.13515206279714";"45"
"11";"tout";"-0.0219816490651611";"-0.113275615819631";"1.1274709483566";"48"
"12";"aux";"-0.305836238900113";"-0.0474215040090269";"1.11768949142115";"49"
"13";"personne";"-0.182792919862834";"0.0859081717451388";"1.11665261348062";"50"
"14";"sans";"-0.296032004962075";"-0.134659882455982";"1.10679623063338";"52"
"15";"on";"-0.0480502918520286";"-0.236104049396361";"1.08096008437405";"53"
"16";"devoir";"-0.310432249402586";"-0.17201207093126";"1.0599735781792";"55"
"17";"depuis";"-0.343648313012014";"0.390503282167742";"1.05997116121431";"56"
"18";"votre";"-0.138886959348766";"0.180521845986639";"1.05983822814501";"57"
"19";"leur";"-0.406418492321761";"-0.108151696401147";"1.03276459585875";"60"
"20";"cela";"-0.344284954200784";"-0.128774648703811";"1.0272937958159";"61"
"21";"autres";"-0.413541218663027";"-0.132266946938741";"1.01915104108016";"62"
"22";"moins";"-0.20887027487809";"-0.420385785133037";"1.01396544289508";"64"
"23";"falloir";"-0.313211457845716";"-0.236666266627547";"1.01036899912934";"66"
"24";"donc";"-0.472396992821251";"-0.131953368100118";"1.00130658925055";"68"
"25";"ils";"-0.188381986663759";"0.00822141185194502";"0.989056202673493";"70"
"26";"déjà";"-0.1459923729496";"-0.281354612065291";"0.988547431562815";"71"
"27";"y";"-0.043794341339732";"-0.108044567386746";"0.979903156611086";"73"
"28";"vouloir";"-0.278780528391278";"-0.162808600935378";"0.976629377659005";"74"
"29";"non";"-0.290968455227426";"-0.15819727511602";"0.975851114962386";"76"
"30";"comme";"0.000159436727389505";"-0.0843193260668968";"0.974120568096613";"78"
"31";"rien";"-0.204786003855942";"-0.170199893432474";"0.966707736759564";"81"
"32";"juste";"-0.16552131471568";"-0.228077602166211";"0.966663022908982";"82"
"33";"car";"-0.426580791211803";"-0.217839571170954";"0.957683998319111";"85"
"34";"100";"-0.378269389364343";"-0.422938124371159";"0.957199396857396";"86"
"35";"notre";"-0.127669540265051";"-0.0178157265697396";"0.954052508562373";"87"
"36";"au";"-0.101014605486487";"-0.0429896549089892";"0.951092935046815";"88"
"37";"leurs";"-0.454747223513093";"0.144026861204296";"0.948727934895755";"89"
"38";"combien";"-0.458651538206841";"-0.317601409944598";"0.940322939468762";"92"
"39";"nos";"0.0439281778901847";"-0.312768024681971";"0.934693828225206";"95"
"40";"alors";"-0.344706181573073";"-0.185371614790441";"0.921111693990272";"98"
"41";"dire";"0.0230620061667377";"-0.157162029952681";"0.920083275426883";"99"
"42";"vos";"-0.234969894980326";"0.0631977725077026";"0.918817994303653";"100"
"43";"même";"-0.0644084947696089";"-0.223424617969338";"0.912657150782904";"103"
"44";"ses";"-0.122435199409186";"0.110464555353213";"0.910445627902761";"105"
"45";"certaines";"-0.431956843854573";"-0.305901653506071";"0.909585188399667";"106"
"46";"ainsi";"-0.497107460994118";"0.0128643860075081";"0.909129590516709";"107"
"47";"elles";"0.0058927112317116";"-0.0853577228950618";"0.908113256777801";"108"
"48";"où";"-0.191359091282531";"-0.119670226877282";"0.903854564630465";"109"
"49";"certains";"-0.318600479940709";"-0.277931933700336";"0.901902865476678";"110"
"50";"chez";"0.129243199877405";"-0.371668456523601";"0.90130829211218";"111"
"51";"pendant";"-0.216468699403797";"0.00442076070403979";"0.899564451939477";"112"
"52";"parce_que";"-0.478414870922909";"-0.220220058243705";"0.898366845833345";"113"
"53";"ceux";"-0.42794644296013";"-0.093361342957139";"0.898175905606535";"114"
"54";"pourquoi";"-0.37006395052595";"0.12971505248714";"0.893951050967747";"118"
"55";"chaque";"-0.137524708564563";"-0.262947274040923";"0.890085115616065";"121"
"56";"ton";"0.00460359163715295";"-0.32169355628277";"0.883956901121417";"124"
"57";"dont";"-0.557039873649964";"0.411869267742099";"0.883891643069216";"125"
"58";"entre";"-0.355467178045576";"-0.00959647636658747";"0.882144177449168";"128"
"59";"quelque";"-0.28691526409206";"-0.226779373807465";"0.880912733834487";"129"
"60";"bien";"0.208658919169973";"-0.115884648658564";"0.879466180344033";"130"
"61";"avec";"0.155186479483317";"-0.0870375224720539";"0.872950042983524";"137"
"62";"5";"-0.0155807927637594";"-0.335174409331303";"0.86870947807291";"140"
"63";"or";"-0.0334616013498731";"-0.139271657589375";"0.868031519419489";"142"
"64";"savoir";"-0.0143090604854721";"-0.23855267746162";"0.865974682292711";"145"
"65";"m";"0.522937524577301";"-0.22340747102829";"0.864714235099274";"146"
"66";"eux";"-0.280794433015355";"0.0372941794711232";"0.8641704179976";"147"
"67";"surtout";"-0.171106179887356";"-0.3286868891197";"0.860453125987042";"149"
"68";"3";"-0.167566716912161";"-0.494289766869045";"0.860031365612632";"151"
"69";"soi";"-0.134459794750785";"-0.233068221371282";"0.858885724251771";"153"
"70";"deux";"0.00216604778970253";"0.320612877248844";"0.858663363481308";"154"
"71";"400";"-0.709410092256477";"-0.413456646037095";"0.858578769709937";"155"
"72";"2";"-0.145342881248222";"-0.11689011833159";"0.858172719607353";"156"
"73";"autant";"-0.289756447928961";"-0.276638102956467";"0.857185389447202";"157"
"74";"aujourd_hui";"0.262788430246736";"-0.304888930013055";"0.847525989239013";"162"
"75";"180";"-0.308341466518419";"-0.0646429201142689";"0.843446152494006";"166"
"76";"150";"-0.345223989750771";"-0.215897264827479";"0.841562128357315";"169"
"77";"19";"-0.338313581334114";"-0.450022596787963";"0.839060569689612";"170"
"78";"an";"0.153772915084643";"-0.134232212481698";"0.838335480220713";"171"
"79";"bah";"-0.0749782473145799";"-0.393635188041685";"0.83790888591651";"172"
"80";"ensuite";"-0.570161835414232";"-0.189319406953517";"0.837772327399868";"173"
"81";"hein";"-0.0371831049894654";"-0.406370258698776";"0.836534841372946";"174"
"82";"ailleurs";"-0.448263163043415";"0.0487704666149238";"0.835578931756447";"176"
"83";"ouais";"0.156443499962198";"-0.231232441310871";"0.834849008357755";"179"
"84";"tous";"-0.0134157578374896";"0.0406280707148225";"0.83423268230919";"180"
"85";"quoi";"-0.123305089642753";"-0.240799979186382";"0.832568601978066";"182"
"86";"peu";"-0.0324894502737953";"-0.304354192085656";"0.831494261081647";"184"
"87";"maintenant";"0.214363790146271";"-0.200568019752299";"0.830993949348106";"185"
"88";"300";"-0.301885085599751";"-0.319578295399968";"0.830519015745977";"186"
"89";"20";"-0.185884521749484";"-0.168795159162665";"0.830125050467875";"187"
"90";"4";"0.121114511045155";"-0.339058467561096";"0.828789677362652";"191"
"91";"parfois";"-0.0493651607509264";"-0.513622616642748";"0.82842834111065";"192"
"92";"jusqu_à";"-0.197381174904272";"-0.0209330055167459";"0.824433098137014";"201"
"93";"11";"-0.363217424884734";"0.406164518936221";"0.824226447638378";"202"
"94";"mal";"-0.0450603462566112";"-0.321611712219939";"0.82415273020904";"203"
"95";"hors";"-0.285325061570887";"-0.513989235403995";"0.823827648430484";"205"
"96";"9";"-0.391421853975416";"-0.32154215522214";"0.823735803764423";"207"
"97";"6";"0.366414511547795";"-0.290282334307136";"0.820355678356903";"225"
"98";"pan";"0.333032375944035";"-0.599175765985618";"0.818226332283235";"232"
"99";"merde";"-0.0287122536728064";"-0.687053023088483";"0.816202124182558";"237"
"100";"puis";"-0.102712859312378";"-0.20309880332328";"0.815979763412095";"239"
"101";"con";"0.155613096324255";"-0.582260567273896";"0.815799699527319";"240"
"102";"120";"-0.156543788161628";"0.0981069255766509";"0.815587006616441";"241"
"103";"sauf";"-0.27404315310579";"-0.347051943548512";"0.815253465460748";"244"
"104";"aussi";"0.224900507876216";"-0.106180340327845";"0.81516645472448";"245"
"105";"dehors";"-0.0416829086889151";"-0.667220973520206";"0.814314474598523";"246"
"106";"devant";"0.104027521172559";"-0.108689701241186";"0.81421779600267";"247"
"107";"2016";"0.388860969364163";"-0.78698343905887";"0.813283639070238";"250"
"108";"lui";"0.287705014376505";"-0.176521859992279";"0.81326913728086";"251"
"109";"huit";"0.0404500419713255";"-0.244203049244634";"0.813203879228659";"253"
"110";"27";"-0.635147406073286";"-0.348849856232723";"0.812083615999209";"260"
"111";"haha";"0.692374839175073";"-0.398764733310286";"0.811899926667088";"261"
"112";"2006";"0.136566196324336";"-0.361385731876365";"0.811864880676091";"262"
"113";"bon";"0.427411087838531";"-0.0746121504261498";"0.811730739124345";"264"
"114";"mince";"0.516926909853747";"-0.32584419618353";"0.811510795318778";"267"
"115";"lendemain";"0.0977525961331722";"-0.604318805392966";"0.811426201547407";"269"
"116";"ben";"-0.00513177661300568";"-0.141329185974189";"0.811411699758029";"271"
"117";"ok";"-0.0373254912993537";"-0.36251356746622";"0.811149459066777";"273"
"118";"trois";"-0.158313649444685";"-0.235325519671755";"0.810750659858882";"277"
"119";"diable";"-0.464204214628599";"0.365250868053446";"0.810465458001115";"278"
"120";"45";"-0.34139214026497";"-0.241421890777493";"0.810432828975015";"279"
"121";"durant";"-0.220081668484858";"0.0108172970605019";"0.810309563765302";"280"
"122";"44";"0.326982908799265";"-0.307258920885801";"0.810148835599696";"282"
"123";"1992";"0.467670398774216";"-0.202399064079204";"0.810083577547495";"283"
"124";"mien";"0.526351666227071";"-0.609717094202028";"0.809189300535852";"287"
"125";"htag_caisseunique";"0.451712659462751";"-1.0243767061099";"0.809110749176721";"290"
"126";"vingt";"0.147787509992833";"-0.799837077866914";"0.809020112993109";"291"
"127";"hum";"0.247404405753534";"-1.19798725793492";"0.809020112993109";"292"
"128";"25";"-0.0410887757822358";"-0.349484261359233";"0.80873611961779";"293"
"129";"tienne";"0.0407871767196742";"-0.0440480024529478";"0.80854517939098";"295"
"130";"hello";"0.289041136555804";"-0.692828055992329";"0.808355447646618";"297"
"131";"53";"0.166436536652846";"-0.596285603299086";"0.807648485414441";"303"
"132";"85";"0.739398807768533";"-0.523441298332144";"0.807648485414441";"304"
"133";"80";"0.613232379139003";"-0.147363797653214";"0.807445460363149";"307"
"134";"mille";"0.512859858801491";"-0.262861321074063";"0.80707566473401";"308"
"135";"1999";"0.23048137797829";"-0.875278806860258";"0.80701644909405";"309"
"136";"95";"-0.320546778554571";"0.358192231983174";"0.806968109796124";"310"
"137";"htag_shameonyoutrump";"0.451712659462751";"-1.0243767061099";"0.806761459297487";"312"
"138";"4500";"0.451712659462751";"-1.0243767061099";"0.806761459297487";"313"
"139";"1998";"0.0134201577610991";"-0.447242936777741";"0.806708286069768";"315"
"140";"sinon";"-0.11231926210859";"-0.395721942171581";"0.806159635038301";"320"
"141";"puisqu";"-0.498982788608831";"-0.139775553734565";"0.80589014345236";"322"
"142";"125";"-0.427808857049798";"0.0194624768180425";"0.805542100507288";"324"
"143";"2012";"-0.0600540003732069";"0.331961470103071";"0.805421252262471";"326"
"144";"bye";"0.298074897137505";"-0.688898432206875";"0.805190432114872";"327"
"145";"1994";"-0.112946177674531";"-0.185540817946403";"0.805190432114872";"328"
"146";"93";"0.0186706848623133";"-0.884234746341668";"0.805005534300302";"330"
"147";"sien";"0.0372201082749336";"-0.932512754615025";"0.804930608388516";"335"
"148";"adieu";"0.490872651312802";"-0.750620573895493";"0.804930608388516";"336"
"149";"euh";"0.372137739686216";"-0.360764941595127";"0.804917315081586";"337"
"150";"chut";"0.517403879307069";"-0.580794924622575";"0.804897979362416";"339"
"151";"debout";"0.194586187027371";"-0.84022531207044";"0.804733625749465";"341"
