"";"";"";"";"mais";""
"152";"van";"1.36960856879221";"-0.216144894703555";"0.804402501558668";"343"
"153";"douze";"-0.714525260381666";"0.192122781491506";"0.804226063121236";"344"
"154";"moi_même";"0.280550691069348";"-0.498756235342546";"0.804211561331858";"346"
"155";"presque";"0.217154645058745";"-0.194572104623205";"0.803551729915159";"351"
"156";"jusqu_au";"0.35390121518928";"-0.300398293610881";"0.803438132565031";"352"
"157";"nôtres";"-0.0920568553892328";"0.291542143608053";"0.803295531636148";"355"
"158";"wouah";"1.32854422111052";"-0.171191709891677";"0.803010329778381";"357"
"159";"parce";"-0.342982403305745";"-0.32116233263148";"0.802960781998006";"359"
"160";"septante";"0.986630417702253";"0.0660504432271371";"0.802483431430981";"363"
"161";"mme";"0.849819105461394";"0.0248165635889954";"0.802132971521012";"365"
"162";"1961";"1.32240716837416";"0.0883700342681604";"0.801879190206898";"367"
"163";"98";"0.833341097551402";"-0.0736995688477401";"0.801677373638054";"368"
"164";"alentour";"1.06501093001728";"-0.173259700733979";"0.801667705778469";"369"
"165";"1971";"0.976721905190514";"0.0366232951548505";"0.801636285234816";"370"
"166";"moyennant";"1.65921759306339";"-0.0206292677738016";"0.801441719560662";"372"
"167";"beurk";"1.10467404320058";"-0.0304408040124017";"0.801253196298748";"373"
"168";"sus";"0.648786318995704";"0.306368638352084";"0.801253196298748";"374"
"169";"1977";"1.09595598180198";"0.124672048776315";"0.800571612197982";"376"
"170";"bougre";"1.20332986885852";"0.316180174590684";"0.80043505368134";"378"
"171";"miens";"0.786544730849357";"-0.0815641560525241";"0.800404841620136";"379"
