"";"banalfreq";"X.rts_a";"X.rts_i"
"emji_feu";1621;-0,7517;0,7517
"emji_trinquer";27;-0,4324;0,4324
"emji_ok_peau_claire";50;0,3477;-0,3477
"emji_visage_qui_hurle_de_peur";327;-0,8986;0,8986
"emji_visage_envoyant_un_bisou";229;1,1816;-1,1816
"emji_visage_avec_bouche_ouverte";990;-1,9672;1,9672
"emji_visage_avec_un_doigt_sur_la_bouche";52;-0,6822;0,6822
"emji_soleil";52;1,7967;-1,7967
"emji_pouce_vers_le_haut_peau_moyennement_claire";73;0,9135;-0,9135
"emji_cornes_avec_les_doigts";67;-0,3427;0,3427
"emji_v_de_la_victoire_peau_moyennement_claire";13;-1,2675;1,2675
"emji_visage_avec_masque";15;0,4904;-0,4904
"emji_couronne";40;1,644;-1,644
"emji_feuille";42;-0,66;0,66
"emji_cotillons";62;-0,7051;0,7051
"emji_fondue";32;0,4423;-0,4423
"emji_visage_souriant_avec_une_larme";217;-1,2753;1,2753
"emji_visage_qui_vomit";119;-0,8605;0,8605
"emji_visage_qui_bave";12;0,2555;-0,2555
"emji_drapeau_belgique";10;1,1152;-1,1152
"emji_cerveau";12;-0,6301;0,6301
"emji_visage_qui_rougit";156;-0,7374;0,7374
"emji_singe_ne_rien_voir";134;-0,394;0,394
"emji_chat_qui_sourit_avec_des_yeux_rieurs";11;-0,7814;0,7814
"emji_cent_points";47;1,0555;-1,0555
"emji_applaudissements_peau_moyennement_claire";139;-1,033;1,033
"emji_explosion";42;-0,66;0,66
"emji_pouce_vers_le_haut_peau_claire";153;-0,4741;0,4741
"emji_ok_peau_moyennement_claire";43;0,9923;-0,9923
"emji_signe_de_la_main";57;1,9463;-1,9463
"emji_visage_pensif";146;-1,2127;1,2127
"emji_visage_bleu_et_froid";49;-0,5454;0,5454
"emji_feuille_morte";12;-1,5205;1,5205
"emji_jeune_pousse";21;-0,3004;0,3004
"emji_bouteille_de_champagne";19;-1,8397;1,8397
"emji_dans_le_mille";12;-1,0155;1,0155
"emji_chat_qui_pleure_de_joie";77;-0,2893;0,2893
"emji_personne_avec_la_paume_sur_le_visage_peau_claire";23;-0,3444;0,3444
"emji_index_pointant_vers_le_haut_peau_claire";12;-0,6301;0,6301
"emji_note_de_musique";19;1,8613;-1,8613
"emji_index_pointant_vers_le_haut";37;-0,6495;0,6495
"emji_skieur";16;-1,5561;1,5561
"emji_ampoule";13;-0,5086;0,5086
"emji_visage_confus";27;-0,2791;0,2791
"emji_symbole_de_paix";12;-0,6301;0,6301
"emji_cornes_avec_les_doigts_peau_claire";15;-1,3008;1,3008
"emji_visage_qui_regarde_entre_ses_doigts";128;0,3332;-0,3332
"emji_visage_rouge_et_chaud";28;0,3783;-0,3783
"emji_bouquet";20;1,4338;-1,4338
"emji_visage_sans_bouche";13;-0,5086;0,5086
"emji_visage_endormi";38;-1,9323;1,9323
"emji_visage_avec_yeux_ouverts_et_main_sur_la_bouche";26;-0,3298;0,3298
"emji_visage_qui_tire_la_langue";17;-0,9385;0,9385
"emji_visage_qui_fond";82;-0,7511;0,7511
"emji_visage_aux_yeux_en_spirales";71;-0,7879;0,7879
"emji_tas_de_crotte";79;-1,5183;1,5183
"emji_visage_avec_bouche_en_diagonale";18;-0,3139;0,3139
"emji_poing_de_face";15;0,2734;-0,2734
"emji_visage_neutre";44;-0,3867;0,3867
"emji_moai";12;-0,3519;0,3519
"emji_bout_des_doigts_joints";11;-0,2212;0,2212
"emji_v_de_la_victoire_peau_claire";18;-0,7972;0,7972
"emji_point_d_exclamation_rouge";22;-1,6432;1,6432
"emji_vague";12;1,4343;-1,4343
"emji_parapluie_avec_gouttes_de_pluie";11;0,3989;-0,3989
"emji_ballon_gonflable";11;1,2734;-1,2734
"emji_visage_qui_fait_un_salut_militaire";80;-0,3682;0,3682
"emji_visage_souriant_avec_des_cornes";22;-0,6248;0,6248
"emji_singe_ne_rien_dire";12;-0,3519;0,3519
"emji_ogre";15;-1,3008;1,3008
"emji_escargot";11;1,2734;-1,2734
"emji_ballon_de_football";14;0,2138;-0,2138
"emji_lotus";11;1,2734;-1,2734
"emji_boisson_chaude";14;0,2138;-0,2138
"emji_cadeau";12;0,2555;-0,2555
"emji_confettis";11;-0,4472;0,4472
"emji_chat_qui_pleure";10;-0,5687;0,5687
"emji_chat";16;0,5812;-0,5812
"emji_chouette";10;1,9359;-1,9359
"emji_double_point_d_exclamation";18;-0,5207;0,5207
"emji_soleil_avec_visage";32;-0,4534;0,4534
"emji_bout_des_doigts_joints_peau_claire";12;-0,3519;0,3519
"emji_croix";19;-0,6766;0,6766
"emji_canard";13;1,5975;-1,5975
"emji_ciseaux";22;0,5685;-0,5685
"emji_empreintes_d_animaux";25;-0,2416;0,2416
"emji_arc_en_ciel";19;-0,4346;0,4346
"emji_billet_en_dollars";10;-1,5179;1,5179
"emji_paume_contre_paume_doigts_vers_le_haut";17;0,6773;-0,6773
"emji_rat";10;-0,9717;0,9717
