"";"Valeurs propres";"Pourcentages";"Pourcentage cumules"
"facteur 1";0,429188437938449;8,37170752205877;8,37170752205877
"facteur 2";0,341898859502279;6,66904557733922;15,040753099398
"facteur 3";0,329224663203376;6,42182394899984;21,4625770483978
"facteur 4";0,315652152269523;6,15707988360996;27,6196569320078
"facteur 5";0,297697394577268;5,80685614330838;33,4265130753162
"facteur 6";0,284357470097956;5,54664888645966;38,9731619617758
"facteur 7";0,277150022899444;5,40606112921146;44,3792230909873
"facteur 8";0,274912268691736;5,36241171539414;49,7416348063814
"facteur 9";0,26666314699403;5,20150515766211;54,9431399640436
"facteur 10";0,263298767733299;5,13587990620051;60,0790198702441
"facteur 11";0,248610148827246;4,84936514831206;64,9283850185561
"facteur 12";0,240247398788265;4,68624216731397;69,6146271858701
"facteur 13";0,237573080444379;4,63407717632904;74,2487043621991
"facteur 14";0,233344999646324;4,55160464750006;78,8003090096992
"facteur 15";0,209811784179016;4,09256805766967;82,8928770673689
"facteur 16";0,205044294392218;3,99957387007881;86,8924509374477
"facteur 17";0,196643625008285;3,83571123806194;90,7281621755096
"facteur 18";0,183682101808406;3,58288503940902;94,3110472149186
"facteur 19";0,181610298258711;3,54247264282974;97,8535198577484
"facteur 20";0,110042599659803;2,14648014225163;100
