"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17";"classe 18";"classe 19";"classe 20";"classe 21"
"suisse";1;1;0,949;1;1;1;1;1;1;0,31;0,591;1;1;1;0;0;0,812;1;0,879;0,769;1
"émission";1;0,215;1;1;1;1;1;1;0,603;1;1;1;1;1;0;0;1;1;1;0,305;1
"petit";0,312;1;0,936;1;0,028;1;1;0,001;1;0,239;1;1;1;0,225;1;0,732;0;1;1;1;0,003
"année";1;0,549;1;1;1;1;1;0,783;0;1;1;0,955;1;1;0;1;1;1;1;0,156;0
"retrouver";1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;0;1
"miracle";1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1
"archive";1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;0;1
"jeune";1;1;1;1;1;1;0,066;0,266;1;1;0,044;0,992;0,011;1;0,022;0;1;0,2;1;1;1
"rts";1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;0;1
"vie";1;1;1;1;1;1;1;1;0;1;0,795;1;1;0;1;0;0,519;1;1;0,62;0,3
"grand";0,258;1;0,772;1;1;0,821;0,219;1;0,62;1;0,231;0,643;1;1;0,346;1;0,015;0,869;0,78;1;0,048
"temps";1;1;0;1;1;0,034;0,029;1;0,142;1;1;1;1;1;1;0,011;1;0,043;1;1;1
"monde";1;0,337;0,17;1;1;1;1;1;1;1;1;1;1;0,119;0,001;1;1;0,892;0,011;0,145;1
"genève";1;1;1;0,058;1;0,026;1;1;0,116;1;1;1;0,077;0,008;1;1;0,004;1;1;0,067;1
"diffuser";1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1
"fête";1;1;1;1;0;1;0,734;1;1;1;0;0,813;1;1;0,57;1;1;1;1;0,653;1
"bio";1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,19;0;1;1;1;0;1
"aimer";1;0,17;1;0;1;1;0,137;1;1;1;1;1;0,111;0,854;1;1;1;1;1;0,38;1
"samedi";1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1
"lien";1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,142;0;1;1;1;0;1
"heure";1;1;1;1;1;0,283;1;0,372;1;1;0,524;1;0,051;1;1;1;1;0,041;0;1;0,259
"clip";1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1
"aller";1;1;1;1;0,843;0;1;0;1;1;0,524;1;0,051;1;1;1;1;0,002;1;1;1
"romand";1;1;0,887;0,174;1;1;0,241;1;1;0,278;1;1;0,206;1;0,001;1;0,035;1;1;0,653;1
