"";"";"";"";"retrouver";""
"1";"retrouver";"-2.56444064696961";"-0.339447065101071";"2.37666050710698";"9"
"2";"vélomoteur";"0.112707258450497";"0.753824457525978";"1.17554040653094";"86"
"3";"adapter";"0.576677725685202";"1.20713860062725";"1.13680671084931";"104"
"4";"comprendre";"0.659451818133521";"1.00703901538023";"1.09753057652395";"122"
"5";"mode";"0.375833696841881";"-0.945757571228058";"1.08995431810423";"126"
"6";"voiture";"0.233938164135119";"0.821276196086442";"1.08871445834711";"127"
"7";"feu";"0.605401210388895";"1.18160653483503";"1.07129681310523";"139"
"8";"retour";"0.567592454513715";"0.801350764887447";"1.06334502023984";"142"
"9";"cuisine";"0.186415227084407";"-0.707152679759486";"1.06015595788378";"145"
"10";"commun";"0.213947332751413";"0.489587431818442";"1.05858825059473";"146"
"11";"école";"0.81168321728503";"-1.55228452944008";"1.05742588207243";"150"
"12";"international";"0.328029014185518";"1.23868882448936";"1.05018343204886";"153"
"13";"revoir";"-2.26831817471897";"-0.159105198728926";"1.03423215940435";"170"
"14";"discothèque";"0.752437084829786";"1.07362513261959";"1.03423215940435";"171"
"15";"cinéma";"0.260323875701314";"1.26986924018277";"1.02746657851813";"174"
"16";"course";"0.279081592252999";"-0.247343944038127";"1.02254290467494";"179"
"17";"bidet";"0.759543873898706";"-1.63850806605448";"1.02105268862071";"181"
"18";"moment";"0.552356393431285";"1.29448614564232";"1.00896405598877";"196"
"19";"cacher";"0.030129257091999";"1.04893196503895";"1.00129242374158";"202"
"20";"écolier";"0.502347954933992";"-1.63782009915029";"1.00086324151796";"203"
"21";"michel";"0.52076275101873";"0.581240082752166";"0.996136276193934";"206"
"22";"varié";"0.590601797072755";"1.29207372416887";"0.996136276193934";"208"
"23";"onde";"0.487879815136412";"1.18124328840067";"0.992553796799558";"214"
"24";"vendredi";"0.605189291122399";"1.22661239291155";"0.992553796799558";"215"
"25";"manquer";"1.22901644470319";"-1.96525154416711";"0.984691416897424";"221"
"26";"henriette";"0.682140950006767";"-1.08899996876954";"0.984464904057181";"223"
"27";"tecktonik";"0.716624399926073";"-1.27019354239674";"0.984464904057181";"224"
"28";"réserver";"0.665987413173837";"-0.382636869999171";"0.984464904057181";"225"
"29";"suivre";"-0.0690400563482785";"0.34222965688539";"0.984232430352721";"226"
"30";"fondue";"0.957115011722431";"0.599731538060951";"0.983809208993318";"227"
"31";"côté";"0.908818067452111";"1.42978324856037";"0.983809208993318";"229"
"32";"aventure";"0.135396580348902";"0.645838556013482";"0.982432249359207";"230"
"33";"présenter";"-0.660046401010533";"0.489382835809962";"0.980298259969545";"233"
"34";"marathon";"0.785868111013418";"0.87353325081844";"0.978623257124588";"235"
"35";"histoire";"-0.505933151204622";"0.132695709878387";"0.973914174393211";"240"
"36";"bras";"0.78076737465033";"0.953162493473415";"0.972853140562597";"241"
"37";"incontournable";"0.503955780359346";"-0.511439684411679";"0.969038187463761";"242"
"38";"boucle";"0.633207856691662";"-0.504358685220114";"0.963423053371411";"248"
"39";"semaine";"0.509664955657348";"0.73341834265384";"0.960943333857167";"250"
"40";"cadeau";"0.314532624658929";"1.23305182898988";"0.958857031381241";"251"
"41";"fois";"-0.978194029436756";"-0.0471884053406093";"0.956544216065071";"253"
"42";"cochon";"0.440794986014818";"0.441874660148392";"0.9515907379008";"255"
"43";"décider";"0.528537353411071";"0.323625867233901";"0.9515907379008";"256"
"44";"convivialité";"0.56084442707693";"-1.08910033030684";"0.9515907379008";"257"
"45";"affectueux";"0.457430522354454";"-1.05113582372443";"0.9515907379008";"258"
"46";"entretenir";"0.905704381616211";"-1.89170987468209";"0.9515907379008";"259"
"47";"gentil";"0.603858275166692";"-0.184667206672407";"0.9515907379008";"263"
"48";"imaginer";"0.454241725514846";"1.18268988635746";"0.9515907379008";"264"
"49";"vote";"0.688172793679966";"-0.0356145984646612";"0.9515907379008";"265"
"50";"vin";"0.387405202764972";"0.832955399303341";"0.947900962950519";"269"
"51";"repos";"0.724472016917843";"-1.13667121088217";"0.945796777881942";"278"
"52";"saison";"0.379985089352712";"-0.856507004606799";"0.943400510466736";"281"
"53";"agent";"0.601163533146888";"1.20245766851254";"0.942834228366127";"282"
"54";"courant";"0.659265880335501";"0.760724676105913";"0.942834228366127";"283"
"55";"quotidien";"-0.0257282281653165";"0.14570468393417";"0.942738854538656";"285"
"56";"alpage";"-0.732064486999983";"0.665606497483543";"0.941940098733587";"286"
"57";"entendre";"0.0617140393926694";"1.05435276128289";"0.939829952800793";"289"
"58";"voisin";"0.0617140393926694";"1.05435276128289";"0.939829952800793";"290"
"59";"seul";"0.197586576420864";"0.907935416281517";"0.938518562673068";"291"
"60";"actualité";"0.27097796846539";"1.46711939242973";"0.936837598963894";"293"
"61";"paraître";"0.453881127837906";"1.14781515089886";"0.936271316863285";"294"
"62";"important";"0.483791195212168";"1.24178046536484";"0.936271316863285";"295"
"63";"produire";"0.738026880766648";"1.31549964225791";"0.936271316863285";"296"
"64";"rassembler";"0.57484605155694";"-0.389062349880816";"0.93435787944965";"298"
"65";"seulement";"0.790095731310759";"1.71088917043881";"0.931872199071189";"310"
"66";"récréation";"0.655349633804414";"-0.596797157733222";"0.930203157090448";"314"
"67";"cueillette";"0.685717500398237";"-0.595849738192761";"0.930203157090448";"315"
"68";"rappeler";"0.616653078965857";"1.02932346278992";"0.929160005852485";"316"
"69";"rue";"0.611925366538854";"-0.887796989475702";"0.92889772782694";"317"
"70";"souffrir";"0.749721648884948";"1.91701283597425";"0.927610181156083";"319"
"71";"bout";"0.708732420678748";"0.146055318567215";"0.927610181156083";"320"
"72";"chanson";"0.505959710261528";"0.800096005159836";"0.927085625104992";"321"
"73";"heure";"0.597125552376689";"0.475056514573013";"0.926555108189686";"323"
"74";"expérience";"-0.0663579998197945";"0.109568321287291";"0.925929217446908";"324"
"75";"vacance";"0.360771455061232";"0.707264488817088";"0.925446387445336";"325"
"76";"romands";"0.722167177622926";"-0.90084049715913";"0.924659553368701";"326"
"77";"liberté";"0.78747903456865";"0.325183832841207";"0.922275207681928";"335"
"78";"inscription";"-0.903888606995544";"0.638289328733138";"0.919735879525515";"341"
"79";"apprenti";"-0.656401708256841";"-0.548212390441045";"0.919735879525515";"343"
"80";"florilège";"0.959217985590954";"-1.96072966727201";"0.91968819261178";"344"
"81";"service";"0.59457379591619";"0.215857368457559";"0.91968819261178";"345"
"82";"femme";"0.161251981211268";"-0.526882673749798";"0.917446907666213";"346"
"83";"art";"0.282988777563594";"0.82815458815644";"0.916528934576806";"347"
"84";"lapin";"0.509761885853431";"0.0794875128939913";"0.916099752353187";"349"
"85";"indispensable";"0.558113405278664";"-1.33058932285599";"0.916099752353187";"353"
"86";"tranché";"0.986296679170904";"-2.10967299003641";"0.916099752353187";"356"
"87";"gêner";"0.986296679170904";"-2.10967299003641";"0.916099752353187";"357"
"88";"conjugal";"0.935659692418669";"-1.22211631763884";"0.916099752353187";"358"
"89";"secours";"0.651232133350698";"-0.38281113430038";"0.916099752353187";"359"
"90";"drôle";"-0.977945944430752";"-0.408393565638798";"0.915306957412335";"361"
"91";"cigarette";"0.870714699433217";"1.43034020015387";"0.913512737283038";"363"
"92";"interdire";"-0.300211635780586";"1.34004548579521";"0.913512737283038";"364"
"93";"tradition";"-0.675142355626715";"0.62737452447822";"0.912970298639297";"365"
"94";"accueillir";"-0.629069592630124";"0.665384859405303";"0.912970298639297";"366"
"95";"mère";"0.342276357305179";"0.121779116686154";"0.912708020613752";"368"
"96";"simplement";"0.733047549596437";"1.25920102045683";"0.909340132331186";"370"
"97";"presser";"0.748583196749095";"-0.071058788579842";"0.909340132331186";"372"
"98";"pluie";"0.851079169473171";"-0.0953587623832465";"0.909340132331186";"373"
"99";"horizon";"-0.708511858997749";"0.533465221614495";"0.909340132331186";"374"
"100";"chance";"0.605257704274088";"1.49081916829786";"0.909328210602752";"375"
"101";"conseil";"0.819818620281737";"0.349400445297577";"0.909143423812027";"376"
"102";"présent";"-0.29463118440652";"0.265572564508637";"0.908642711217805";"377"
"103";"esprit";"-0.115979774528433";"-0.0093499600855107";"0.907730698992614";"379"
"104";"venir";"0.477805691332645";"-0.213041877014194";"0.906461034914407";"382"
"105";"jambon";"0.99243985658316";"0.611142046958877";"0.906198756888862";"383"
"106";"emji_visage_faisant_un_clin_d_oeil";"1.25457126957613";"0.227601607456912";"0.906198756888862";"384"
"107";"gastronomique";"1.01723915722964";"0.671641305080153";"0.906198756888862";"385"
"108";"mouton";"0.914868211612743";"1.52923825895044";"0.906198756888862";"386"
"109";"armailli";"-0.305019758894789";"0.856425591454653";"0.906198756888862";"388"
"110";"léman";"0.41770877086903";"-0.981350243659274";"0.906103383061391";"389"
"111";"particulier";"1.11104748124382";"-0.94980027498362";"0.906103383061391";"391"
"112";"rapidement";"0.831006428839473";"1.69704753678103";"0.905549022689217";"394"
"113";"dernier";"0.341335273013379";"1.26814303751117";"0.904839679847402";"395"
"114";"véritable";"1.0225190387524";"-1.37538649260667";"0.904029002313899";"396"
"115";"jeu";"0.429176112510795";"0.740233524222702";"0.903802489473656";"397"
"116";"face";"1.0774892224386";"-0.197387747561071";"0.903695193917751";"398"
"117";"portrait";"-0.836881087996052";"-0.261200063874996";"0.903593859226063";"399"
"118";"érotique";"0.483951092921357";"0.508129553235025";"0.903194481323529";"401"
"119";"représentant";"0.484616600899211";"1.213769353027";"0.903194481323529";"402"
"120";"eurovision";"0.598662862647997";"1.29166452216421";"0.903194481323529";"403"
"121";"dédier";"0.478077369587819";"1.30532761052133";"0.903194481323529";"404"
"122";"félin";"0.518434542840664";"0.326935979607825";"0.903194481323529";"405"
"123";"célèbre";"0.625101509040456";"0.725631829783575";"0.902586473173402";"406"
"124";"roulette";"1.22850309633663";"-2.09797751872127";"0.900327305635184";"411"
"125";"chaud";"1.15680517469975";"-1.97707936401602";"0.900327305635184";"414"
"126";"témoignage";"-0.169095307294416";"-0.918283886076448";"0.900178284029761";"417"
"127";"saint";"0.0648134908365539";"0.353632269502495";"0.897793938342988";"419"
"128";"prêt";"0.475180716943305";"0.12713457394183";"0.89777009488612";"420"
"129";"beau";"0.659090829092852";"-0.399858440766112";"0.896011639942126";"421"
"130";"début";"-0.0823092822143705";"-0.332387483053409";"0.895272492779226";"422"
"131";"chat";"0.33347758748234";"0.722523458792775";"0.89514731463067";"423"
"132";"jeune";"-0.179221253627329";"-0.304928353548086";"0.893883611416681";"425"
"133";"soigner";"0.206763987372379";"1.10536738157706";"0.893567685613183";"426"
"134";"arriver";"-0.503246704928812";"0.732417158284256";"0.893567685613183";"427"
"135";"rencontre";"0.14133533101416";"0.320182796168264";"0.892101313015818";"428"
"136";"instrument";"0.649902094600554";"1.48642661280099";"0.890766079431225";"429"
"137";"inventer";"-1.35094518403267";"0.301230157241911";"0.890766079431225";"431"
"138";"défi";"0.876706710907918";"1.67870722540335";"0.890766079431225";"432"
"139";"importer";"0.797919326477278";"0.691259684893694";"0.890766079431225";"433"
"140";"bruit";"0.788724603918428";"1.6446803970202";"0.890766079431225";"434"
