"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17";"classe 18";"classe 19";"classe 20";"classe 21"
"premier";0,887;-1,046;0,095;-1,34;-0,12;-0,829;-0,103;-0,937;4,047;0,259;-1,118;-1,604;-1,415;-0,035;7,533;-0,687;0,033;-0,865;0,656;12,139;-1,415
"femme";-1,417;21,402;-0,973;-1,643;-1,873;-1,017;1,218;-1,149;-1,372;-1,92;12,125;-0,372;-0,23;-1,598;-0,134;2,005;-0,001;-1,061;-1,552;-0,205;20,65
"enfant";-0,232;-1,571;-0,01;-0,406;-2,295;-1,246;-2,238;-1,407;-1,68;0,43;8,674;-0,689;38,123;-0,369;-1,901;18,511;-0,051;-0,034;-1,901;-2,069;2,544
"18h45";-2,114;-1,914;-1,452;-2,453;-2,796;-1,518;-2,727;-1,715;-2,047;-2,866;-2,047;-2,935;-2,59;-2,385;308,645;181,799;-1,649;-1,583;-2,317;-2,521;-2,59
"passer";-1,682;-1,522;-0,004;-1,951;-0,552;-0,012;2,414;-1,364;-0,173;-0,592;-0,173;-0,633;0,013;0,052;-1,843;10,991;-0,038;73,315;-1,843;0,023;-0,437
"homme";-1,417;71,66;-0,973;1,668;-1,873;0,004;-1,827;-1,149;-1,372;-0,342;0,476;-0,372;0,128;-1,598;-0,134;-0,842;-0,001;1,135;-1,552;-1,689;4,13
"beau";-1,417;-0,03;-0,973;0,188;1,123;-1,017;-1,827;-0,004;-0,058;17,806;2,627;11,237;-0,23;-1,598;-1,552;2,005;-1,105;0;-1,552;-1,689;-1,735
"rencontre";-0,12;-1,378;0,001;-0,249;-2,013;-1,093;17,15;-0,018;-1,474;-0,438;-0,098;-2,113;-0,308;8,364;0,169;-0,905;-1,187;-1,14;0,169;1,237;3,516
"amour";-1,628;-0,098;-0,001;97,857;-0,501;-1,169;-2,1;-1,321;1,859;-0,539;-0,146;-2,261;-1,994;-0,292;-1,784;20,158;-0,026;-1,219;0,099;-1,942;-0,393
"prendre";0,242;-1,426;-1,082;-0,286;-0,452;3,958;16,249;-1,278;-1,525;-0,488;-1,525;-0,524;-1,929;0,104;1,442;-0,937;7,885;-1,179;4,157;0,059;-1,929
"jour";3,18;-1,14;-0,865;-0,092;1,622;-0,904;0,206;0,003;-0,015;4,31;-1,219;-0,236;-1,542;0,413;-0,06;0,135;-0,982;11,928;-1,38;-1,501;-0,128
"souvenir";-0,055;-1,234;-0,937;-1,582;-0,27;-0,979;-0,244;-0,001;-1,321;-1,849;-1,321;1,088;-0,194;-0,127;10,595;73,946;-1,064;-1,021;-0,107;0,202;0,169
