"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17";"classe 18";"classe 19";"classe 20";"classe 21"
"pleuvoir";-0,196;-0,177;-0,134;-0,227;-0,259;5,778;2,644;-0,159;-0,189;2,457;-0,189;-0,271;-0,239;-0,22;-0,214;-0,116;-0,152;-0,146;3,333;-0,233;-0,239
"piquant";-0,196;-0,177;6,099;-0,227;-0,259;-0,14;-0,252;-0,159;3,941;-0,265;-0,189;-0,271;-0,239;-0,22;3,333;-0,116;-0,152;-0,146;-0,214;2,961;-0,239
"pipe";-0,146;-0,133;-0,101;-0,17;-0,194;8,304;20,042;-0,119;-0,142;-0,198;-0,142;-0,203;-0,179;-0,165;-0,16;-0,087;-0,114;-0,11;-0,16;-0,175;-0,179
"payer";-0,196;4,307;-0,134;-0,227;-0,259;5,778;-0,252;-0,159;-0,189;-0,265;-0,189;-0,271;-0,239;-0,22;-0,214;-0,116;-0,152;-0,146;-0,214;2,961;2,85
"passager";18,73;-0,177;-0,134;-0,227;-0,259;-0,14;-0,252;-0,159;-0,189;2,457;-0,189;-0,271;-0,239;-0,22;3,333;-0,116;-0,152;-0,146;-0,214;-0,233;-0,239
"parfaire";-0,146;6,33;-0,101;4,674;-0,194;-0,105;-0,189;-0,119;-0,142;-0,198;-0,142;-0,203;-0,179;4,841;-0,16;-0,087;-0,114;-0,11;-0,16;-0,175;-0,179
"panne";3,774;-0,177;-0,134;-0,227;-0,259;-0,14;14,094;-0,159;-0,189;-0,265;-0,189;-0,271;-0,239;3,202;-0,214;-0,116;-0,152;-0,146;-0,214;-0,233;-0,239
"palais";-0,196;-0,177;-0,134;-0,227;-0,259;-0,14;-0,252;-0,159;3,941;-0,265;3,941;-0,271;-0,239;-0,22;-0,214;-0,116;5,211;5,483;-0,214;-0,233;-0,239
"paire";-0,196;-0,177;-0,134;3,078;-0,259;-0,14;-0,252;-0,159;-0,189;-0,265;-0,189;12,963;-0,239;-0,22;-0,214;-0,116;-0,152;-0,146;3,333;-0,233;-0,239
"oser";-0,196;-0,177;-0,134;-0,227;-0,259;-0,14;-0,252;-0,159;-0,189;-0,265;3,941;-0,271;14,943;-0,22;-0,214;-0,116;-0,152;-0,146;-0,214;2,961;-0,239
"orientation";-0,196;-0,177;-0,134;-0,227;-0,259;-0,14;-0,252;-0,159;3,941;-0,265;-0,189;-0,271;36,52;-0,22;-0,214;-0,116;-0,152;-0,146;-0,214;-0,233;-0,239
"oreille";-0,146;29,115;-0,101;-0,17;-0,194;-0,105;-0,189;-0,119;-0,142;-0,198;-0,142;-0,203;-0,179;-0,165;-0,16;-0,087;-0,114;-0,11;-0,16;4,515;-0,179
"onde";-0,146;-0,133;-0,101;-0,17;-0,194;-0,105;-0,189;-0,119;-0,142;3,831;-0,142;-0,203;-0,179;-0,165;-0,16;-0,087;34,002;-0,11;-0,16;-0,175;-0,179
"obliger";-0,146;-0,133;-0,101;-0,17;-0,194;-0,105;-0,189;-0,119;-0,142;-0,198;5,837;-0,203;-0,179;-0,165;-0,16;-0,087;-0,114;-0,11;5,018;4,515;-0,179
"nautique";-0,146;-0,133;-0,101;-0,17;-0,194;-0,105;-0,189;-0,119;-0,142;-0,198;-0,142;3,713;-0,179;4,841;-0,16;-0,087;-0,114;-0,11;-0,16;4,515;-0,179
"natal";18,73;-0,177;-0,134;-0,227;-0,259;-0,14;-0,252;-0,159;-0,189;-0,265;3,941;-0,271;-0,239;-0,22;3,333;-0,116;-0,152;-0,146;-0,214;-0,233;-0,239
"monter";-0,146;-0,133;-0,101;-0,17;3,955;-0,105;-0,189;-0,119;-0,142;-0,198;-0,142;-0,203;-0,179;-0,165;-0,16;-0,087;-0,114;7,909;5,018;-0,175;-0,179
"midi";-0,146;-0,133;-0,101;-0,17;3,955;-0,105;-0,189;-0,119;-0,142;3,831;-0,142;-0,203;-0,179;-0,165;-0,16;-0,087;7,544;-0,11;-0,16;-0,175;-0,179
"marché";-0,196;-0,177;-0,134;-0,227;2,548;-0,14;-0,252;-0,159;3,941;2,457;-0,189;2,371;-0,239;-0,22;-0,214;-0,116;-0,152;-0,146;-0,214;-0,233;-0,239
"manteau";-0,196;-0,177;-0,134;15,882;-0,259;26,852;-0,252;-0,159;-0,189;-0,265;-0,189;-0,271;-0,239;-0,22;-0,214;-0,116;-0,152;-0,146;-0,214;-0,233;-0,239
"maman";-0,146;-0,133;-0,101;-0,17;46,872;-0,105;-0,189;-0,119;-0,142;-0,198;-0,142;-0,203;-0,179;-0,165;-0,16;-0,087;-0,114;-0,11;-0,16;-0,175;-0,179
"leçon";-0,196;-0,177;-0,134;-0,227;13,699;-0,14;2,644;-0,159;-0,189;-0,265;-0,189;-0,271;-0,239;-0,22;-0,214;-0,116;5,211;-0,146;-0,214;-0,233;-0,239
"leysin";-0,196;-0,177;-0,134;-0,227;-0,259;-0,14;2,644;-0,159;-0,189;-0,265;-0,189;2,371;-0,239;-0,22;-0,214;-0,116;-0,152;5,483;-0,214;-0,233;2,85
"laurent";-0,146;-0,133;-0,101;4,674;-0,194;-0,105;-0,189;-0,119;-0,142;-0,198;-0,142;-0,203;-0,179;-0,165;-0,16;10,282;-0,114;-0,11;-0,16;4,515;-0,179
"jurer";-0,146;-0,133;-0,101;4,674;-0,194;-0,105;-0,189;-0,119;-0,142;-0,198;-0,142;-0,203;-0,179;-0,165;-0,16;10,282;-0,114;-0,11;-0,16;4,515;-0,179
"jeûne";5,614;-0,133;8,733;-0,17;-0,194;-0,105;-0,189;-0,119;-0,142;-0,198;-0,142;-0,203;-0,179;-0,165;-0,16;-0,087;-0,114;-0,11;-0,16;4,515;-0,179
"inventer";-0,196;-0,177;-0,134;-0,227;-0,259;-0,14;-0,252;-0,159;-0,189;2,457;-0,189;-0,271;-0,239;-0,22;16,926;-0,116;5,211;-0,146;-0,214;-0,233;-0,239
"intégralité";-0,146;-0,133;-0,101;-0,17;-0,194;-0,105;-0,189;-0,119;-0,142;-0,198;-0,142;-0,203;-0,179;-0,165;-0,16;-0,087;-0,114;-0,11;-0,16;51,988;-0,179
"interprète";-0,146;-0,133;-0,101;-0,17;-0,194;-0,105;-0,189;-0,119;-0,142;-0,198;-0,142;-0,203;-0,179;-0,165;56,572;-0,087;-0,114;-0,11;-0,16;-0,175;-0,179
"insolite";-0,196;-0,177;-0,134;-0,227;-0,259;-0,14;-0,252;-0,159;-0,189;-0,265;-0,189;12,963;2,85;-0,22;-0,214;-0,116;-0,152;-0,146;3,333;-0,233;-0,239
"ingénieur";-0,146;-0,133;-0,101;-0,17;-0,194;-0,105;-0,189;-0,119;-0,142;-0,198;-0,142;-0,203;-0,179;-0,165;5,018;-0,087;7,544;-0,11;-0,16;4,515;-0,179
"inaugurer";-0,146;6,33;-0,101;-0,17;-0,194;-0,105;-0,189;7,206;-0,142;-0,198;-0,142;-0,203;-0,179;-0,165;-0,16;-0,087;7,544;-0,11;-0,16;-0,175;-0,179
"immeuble";-0,196;-0,177;-0,134;-0,227;-0,259;-0,14;-0,252;-0,159;-0,189;-0,265;-0,189;-0,271;-0,239;3,202;3,333;-0,116;-0,152;-0,146;3,333;2,961;-0,239
"imaginer";-0,146;-0,133;-0,101;-0,17;-0,194;-0,105;-0,189;-0,119;-0,142;3,831;27,13;-0,203;-0,179;-0,165;-0,16;-0,087;-0,114;-0,11;-0,16;-0,175;-0,179
"imagination";-0,196;-0,177;-0,134;71,348;-0,259;-0,14;-0,252;-0,159;-0,189;-0,265;-0,189;-0,271;-0,239;-0,22;-0,214;-0,116;-0,152;-0,146;-0,214;-0,233;-0,239
"idole";-0,196;-0,177;-0,134;3,078;-0,259;-0,14;-0,252;-0,159;-0,189;32,86;-0,189;-0,271;-0,239;-0,22;-0,214;-0,116;-0,152;-0,146;-0,214;-0,233;-0,239
"humeur";-0,146;6,33;-0,101;-0,17;-0,194;-0,105;-0,189;-0,119;5,837;-0,198;-0,142;-0,203;-0,179;-0,165;-0,16;-0,087;-0,114;-0,11;-0,16;-0,175;4,364
"htag_bonneannée";-0,146;6,33;-0,101;-0,17;-0,194;-0,105;-0,189;-0,119;5,837;-0,198;-0,142;3,713;-0,179;-0,165;-0,16;-0,087;-0,114;-0,11;-0,16;-0,175;-0,179
"helvète";-0,196;-0,177;6,099;-0,227;2,548;-0,14;-0,252;-0,159;-0,189;-0,265;-0,189;-0,271;-0,239;3,202;-0,214;-0,116;-0,152;-0,146;-0,214;2,961;-0,239
"guy";-0,146;-0,133;-0,101;-0,17;-0,194;-0,105;-0,189;-0,119;5,837;-0,198;5,837;-0,203;-0,179;-0,165;-0,16;-0,087;-0,114;-0,11;5,018;-0,175;-0,179
"grève";-0,146;-0,133;-0,101;-0,17;-0,194;-0,105;-0,189;-0,119;-0,142;-0,198;-0,142;-0,203;4,364;-0,165;5,018;-0,087;-0,114;-0,11;-0,16;-0,175;4,364
"grain";-0,146;-0,133;-0,101;4,674;-0,194;-0,105;-0,189;-0,119;-0,142;-0,198;-0,142;-0,203;-0,179;-0,165;-0,16;-0,087;-0,114;35,468;-0,16;-0,175;-0,179
"geste";-0,146;-0,133;8,733;-0,17;3,955;-0,105;-0,189;-0,119;-0,142;-0,198;-0,142;-0,203;-0,179;-0,165;-0,16;-0,087;-0,114;-0,11;5,018;-0,175;-0,179
"gastronomique";-0,146;-0,133;-0,101;-0,17;19,515;-0,105;-0,189;7,206;-0,142;-0,198;-0,142;-0,203;-0,179;-0,165;-0,16;-0,087;-0,114;-0,11;-0,16;-0,175;-0,179
"février";-0,196;-0,177;-0,134;-0,227;-0,259;-0,14;-0,252;-0,159;-0,189;61,07;-0,189;-0,271;-0,239;-0,22;-0,214;-0,116;-0,152;-0,146;-0,214;-0,233;-0,239
"futur";-0,146;-0,133;-0,101;-0,17;-0,194;-0,105;-0,189;-0,119;-0,142;-0,198;5,837;-0,203;-0,179;-0,165;5,018;-0,087;7,544;-0,11;-0,16;-0,175;-0,179
"fusée";-0,146;-0,133;8,733;-0,17;-0,194;-0,105;-0,189;7,206;-0,142;-0,198;-0,142;-0,203;-0,179;-0,165;5,018;-0,087;-0,114;-0,11;-0,16;-0,175;-0,179
"foutre";-0,196;-0,177;-0,134;-0,227;-0,259;-0,14;-0,252;-0,159;-0,189;-0,265;-0,189;59,624;-0,239;-0,22;-0,214;-0,116;-0,152;-0,146;-0,214;-0,233;-0,239
"forme";-0,196;-0,177;-0,134;-0,227;-0,259;-0,14;-0,252;4,959;3,941;-0,265;-0,189;-0,271;-0,239;3,202;3,333;-0,116;-0,152;-0,146;-0,214;-0,233;-0,239
"folie";-0,146;-0,133;-0,101;4,674;-0,194;-0,105;-0,189;7,206;-0,142;-0,198;-0,142;-0,203;-0,179;-0,165;5,018;-0,087;-0,114;-0,11;-0,16;-0,175;-0,179
"finalement";-0,196;-0,177;-0,134;-0,227;-0,259;-0,14;-0,252;102,055;-0,189;-0,265;-0,189;-0,271;-0,239;-0,22;-0,214;-0,116;-0,152;-0,146;-0,214;-0,233;-0,239
"fermer";-0,196;-0,177;-0,134;-0,227;-0,259;-0,14;-0,252;-0,159;-0,189;-0,265;3,941;-0,271;2,85;3,202;-0,214;-0,116;-0,152;5,483;-0,214;-0,233;-0,239
"familial";-0,196;-0,177;-0,134;-0,227;2,548;-0,14;-0,252;-0,159;-0,189;-0,265;3,941;-0,271;-0,239;-0,22;3,333;7,256;-0,152;-0,146;-0,214;-0,233;-0,239
"fabriquer";-0,146;-0,133;-0,101;-0,17;3,955;-0,105;-0,189;-0,119;-0,142;-0,198;-0,142;-0,203;-0,179;-0,165;5,018;-0,087;-0,114;-0,11;-0,16;-0,175;4,364
"eurovision";-0,146;-0,133;-0,101;-0,17;-0,194;-0,105;-0,189;-0,119;-0,142;19,011;-0,142;-0,203;-0,179;-0,165;-0,16;-0,087;-0,114;7,909;-0,16;-0,175;-0,179
"envahir";-0,146;-0,133;-0,101;-0,17;-0,194;-0,105;-0,189;7,206;-0,142;-0,198;-0,142;3,713;-0,179;-0,165;-0,16;-0,087;-0,114;-0,11;-0,16;-0,175;4,364
"entretenir";-0,146;-0,133;-0,101;4,674;-0,194;-0,105;-0,189;-0,119;27,13;-0,198;-0,142;-0,203;-0,179;-0,165;-0,16;-0,087;-0,114;-0,11;-0,16;-0,175;-0,179
"entendeur";5,614;-0,133;-0,101;-0,17;-0,194;-0,105;-0,189;-0,119;-0,142;-0,198;-0,142;-0,203;-0,179;-0,165;-0,16;-0,087;-0,114;7,909;-0,16;-0,175;4,364
"enneigé";-0,196;-0,177;-0,134;-0,227;-0,259;-0,14;-0,252;4,959;-0,189;-0,265;-0,189;12,963;-0,239;-0,22;-0,214;-0,116;-0,152;-0,146;-0,214;-0,233;2,85
"développer";-0,196;4,307;-0,134;-0,227;-0,259;-0,14;-0,252;4,959;-0,189;-0,265;-0,189;-0,271;-0,239;-0,22;3,333;-0,116;-0,152;-0,146;-0,214;2,961;-0,239
"dépendre";-0,146;-0,133;8,733;-0,17;-0,194;-0,105;-0,189;7,206;-0,142;-0,198;-0,142;-0,203;-0,179;-0,165;-0,16;-0,087;-0,114;-0,11;-0,16;-0,175;4,364
"dénoncer";-0,146;-0,133;-0,101;-0,17;-0,194;86,364;-0,189;-0,119;-0,142;-0,198;-0,142;-0,203;-0,179;-0,165;-0,16;-0,087;-0,114;-0,11;-0,16;-0,175;-0,179
"dédier";-0,146;-0,133;-0,101;-0,17;-0,194;-0,105;-0,189;-0,119;-0,142;19,011;-0,142;-0,203;-0,179;4,841;-0,16;-0,087;-0,114;-0,11;-0,16;-0,175;-0,179
"déclarer";-0,196;-0,177;-0,134;71,348;-0,259;-0,14;-0,252;-0,159;-0,189;-0,265;-0,189;-0,271;-0,239;-0,22;-0,214;-0,116;-0,152;-0,146;-0,214;-0,233;-0,239
"débat";-0,196;-0,177;-0,134;-0,227;-0,259;-0,14;-0,252;-0,159;-0,189;-0,265;3,941;-0,271;-0,239;-0,22;-0,214;-0,116;5,211;5,483;3,333;-0,233;-0,239
"double";-0,146;-0,133;-0,101;-0,17;-0,194;-0,105;-0,189;-0,119;-0,142;3,831;-0,142;-0,203;-0,179;-0,165;5,018;-0,087;-0,114;-0,11;-0,16;-0,175;4,364
"dormir";-0,196;-0,177;-0,134;-0,227;-0,259;-0,14;2,644;-0,159;-0,189;-0,265;-0,189;-0,271;-0,239;-0,22;-0,214;-0,116;-0,152;5,483;3,333;-0,233;2,85
"domicile";5,614;-0,133;-0,101;-0,17;-0,194;-0,105;-0,189;-0,119;-0,142;-0,198;-0,142;-0,203;4,364;-0,165;-0,16;-0,087;-0,114;-0,11;-0,16;-0,175;4,364
"discothèque";-0,196;4,307;-0,134;-0,227;-0,259;-0,14;-0,252;-0,159;-0,189;-0,265;-0,189;-0,271;-0,239;-0,22;-0,214;-0,116;-0,152;-0,146;40,994;-0,233;-0,239
"différence";-0,196;91,447;-0,134;-0,227;-0,259;-0,14;-0,252;-0,159;-0,189;-0,265;-0,189;-0,271;-0,239;-0,22;-0,214;-0,116;-0,152;-0,146;-0,214;-0,233;-0,239
"descente";-0,196;49,942;-0,134;-0,227;-0,259;-0,14;-0,252;-0,159;-0,189;-0,265;-0,189;2,371;-0,239;-0,22;-0,214;-0,116;-0,152;-0,146;-0,214;-0,233;-0,239
"danger";-0,196;-0,177;-0,134;-0,227;2,548;-0,14;-0,252;4,959;-0,189;2,457;-0,189;-0,271;2,85;-0,22;-0,214;-0,116;-0,152;-0,146;-0,214;-0,233;-0,239
"célébrer";-0,146;-0,133;-0,101;-0,17;-0,194;8,304;-0,189;-0,119;-0,142;-0,198;5,837;-0,203;-0,179;-0,165;5,018;-0,087;-0,114;-0,11;-0,16;-0,175;-0,179
"culture";-0,146;-0,133;-0,101;-0,17;-0,194;-0,105;-0,189;-0,119;-0,142;-0,198;-0,142;-0,203;-0,179;-0,165;23,822;10,282;-0,114;-0,11;-0,16;-0,175;-0,179
"cueillette";-0,196;4,307;-0,134;-0,227;-0,259;-0,14;-0,252;23,542;-0,189;2,457;-0,189;-0,271;-0,239;-0,22;-0,214;-0,116;-0,152;-0,146;-0,214;-0,233;-0,239
"courant";-0,196;-0,177;-0,134;-0,227;-0,259;-0,14;-0,252;-0,159;3,941;2,457;-0,189;-0,271;-0,239;-0,22;-0,214;-0,116;-0,152;25,661;-0,214;-0,233;-0,239
"copain";-0,146;-0,133;-0,101;4,674;-0,194;-0,105;-0,189;-0,119;-0,142;-0,198;5,837;-0,203;4,364;-0,165;-0,16;-0,087;-0,114;-0,11;-0,16;-0,175;-0,179
"contractuel";-0,196;4,307;6,099;-0,227;-0,259;-0,14;-0,252;-0,159;-0,189;-0,265;-0,189;-0,271;14,943;-0,22;-0,214;-0,116;-0,152;-0,146;-0,214;-0,233;-0,239
"continuer";-0,146;-0,133;-0,101;-0,17;-0,194;-0,105;-0,189;-0,119;-0,142;-0,198;5,837;-0,203;-0,179;4,841;-0,16;-0,087;-0,114;-0,11;-0,16;4,515;-0,179
"construction";-0,146;-0,133;-0,101;-0,17;-0,194;-0,105;-0,189;-0,119;-0,142;-0,198;5,837;-0,203;-0,179;4,841;-0,16;-0,087;-0,114;-0,11;5,018;-0,175;-0,179
"conseiller";45,061;-0,177;-0,134;-0,227;-0,259;5,778;-0,252;-0,159;-0,189;-0,265;-0,189;-0,271;-0,239;-0,22;-0,214;-0,116;-0,152;-0,146;-0,214;-0,233;-0,239
"congé";5,614;-0,133;-0,101;-0,17;-0,194;-0,105;-0,189;-0,119;-0,142;-0,198;-0,142;3,713;-0,179;-0,165;5,018;-0,087;-0,114;-0,11;-0,16;-0,175;-0,179
"confort";-0,146;6,33;8,733;-0,17;-0,194;-0,105;-0,189;7,206;-0,142;-0,198;-0,142;-0,203;-0,179;-0,165;-0,16;-0,087;-0,114;-0,11;-0,16;-0,175;-0,179
"compagnon";-0,146;-0,133;-0,101;-0,17;-0,194;8,304;-0,189;-0,119;-0,142;-0,198;-0,142;-0,203;-0,179;-0,165;5,018;-0,087;-0,114;7,909;-0,16;-0,175;-0,179
"communauté";-0,146;-0,133;-0,101;-0,17;-0,194;8,304;-0,189;-0,119;5,837;-0,198;-0,142;-0,203;-0,179;-0,165;-0,16;-0,087;-0,114;-0,11;5,018;-0,175;-0,179
"commentaire";-0,146;-0,133;-0,101;4,674;-0,194;-0,105;-0,189;-0,119;-0,142;-0,198;-0,142;-0,203;21,176;-0,165;-0,16;-0,087;-0,114;-0,11;-0,16;-0,175;-0,179
"classique";-0,146;-0,133;-0,101;-0,17;-0,194;-0,105;-0,189;-0,119;-0,142;-0,198;-0,142;3,713;-0,179;-0,165;-0,16;-0,087;-0,114;-0,11;23,822;-0,175;-0,179
"circuler";-0,146;-0,133;-0,101;-0,17;-0,194;-0,105;-0,189;-0,119;-0,142;-0,198;5,837;-0,203;-0,179;-0,165;-0,16;-0,087;7,544;7,909;-0,16;-0,175;-0,179
"château";-0,146;-0,133;-0,101;-0,17;-0,194;-0,105;4,085;-0,119;-0,142;-0,198;-0,142;-0,203;-0,179;-0,165;5,018;-0,087;-0,114;-0,11;-0,16;4,515;-0,179
"chef";-0,196;-0,177;-0,134;-0,227;-0,259;-0,14;-0,252;-0,159;3,941;2,457;3,941;-0,271;-0,239;-0,22;-0,214;7,256;-0,152;-0,146;-0,214;-0,233;-0,239
"chaud";-0,146;-0,133;-0,101;-0,17;-0,194;-0,105;-0,189;-0,119;5,837;-0,198;-0,142;18,53;-0,179;-0,165;-0,16;-0,087;-0,114;-0,11;-0,16;-0,175;-0,179
"charles";-0,146;-0,133;-0,101;-0,17;-0,194;-0,105;-0,189;-0,119;-0,142;3,831;5,837;-0,203;-0,179;-0,165;-0,16;-0,087;-0,114;-0,11;-0,16;4,515;-0,179
"charger";-0,146;-0,133;-0,101;-0,17;-0,194;8,304;-0,189;-0,119;-0,142;-0,198;5,837;-0,203;-0,179;4,841;-0,16;-0,087;-0,114;-0,11;-0,16;-0,175;-0,179
"cff";3,774;-0,177;-0,134;-0,227;-0,259;5,778;-0,252;-0,159;-0,189;2,457;-0,189;-0,271;-0,239;-0,22;-0,214;-0,116;-0,152;-0,146;3,333;-0,233;-0,239
"ceinture";-0,146;-0,133;-0,101;4,674;-0,194;37,057;-0,189;-0,119;-0,142;-0,198;-0,142;-0,203;-0,179;-0,165;-0,16;-0,087;-0,114;-0,11;-0,16;-0,175;-0,179
"cassette";-0,196;-0,177;-0,134;-0,227;-0,259;-0,14;-0,252;-0,159;-0,189;2,457;-0,189;-0,271;-0,239;-0,22;-0,214;-0,116;5,211;-0,146;-0,214;2,961;2,85
"cacher";-0,146;-0,133;-0,101;-0,17;-0,194;-0,105;-0,189;-0,119;-0,142;-0,198;-0,142;-0,203;-0,179;-0,165;-0,16;-0,087;-0,114;35,468;-0,16;4,515;-0,179
"bureau";-0,146;6,33;-0,101;-0,17;-0,194;-0,105;-0,189;-0,119;-0,142;3,831;5,837;-0,203;-0,179;-0,165;-0,16;-0,087;-0,114;-0,11;-0,16;-0,175;-0,179
"bruit";-0,196;-0,177;-0,134;-0,227;2,548;-0,14;-0,252;-0,159;-0,189;2,457;-0,189;-0,271;-0,239;-0,22;-0,214;-0,116;-0,152;-0,146;16,926;-0,233;-0,239
"bouteille";-0,146;-0,133;-0,101;-0,17;3,955;8,304;-0,189;-0,119;-0,142;3,831;-0,142;-0,203;-0,179;-0,165;-0,16;-0,087;-0,114;-0,11;-0,16;-0,175;-0,179
"bientôt";-0,196;-0,177;-0,134;-0,227;-0,259;115,315;-0,252;-0,159;-0,189;-0,265;-0,189;-0,271;-0,239;-0,22;-0,214;-0,116;-0,152;-0,146;-0,214;-0,233;-0,239
"beurre";-0,146;-0,133;8,733;-0,17;-0,194;-0,105;-0,189;-0,119;-0,142;-0,198;-0,142;-0,203;4,364;-0,165;-0,16;-0,087;7,544;-0,11;-0,16;-0,175;-0,179
"base";-0,146;-0,133;-0,101;-0,17;3,955;-0,105;-0,189;-0,119;5,837;-0,198;-0,142;-0,203;-0,179;-0,165;-0,16;-0,087;-0,114;-0,11;-0,16;4,515;-0,179
"aéroport";26,228;-0,133;-0,101;-0,17;-0,194;8,304;-0,189;-0,119;-0,142;-0,198;-0,142;-0,203;-0,179;-0,165;-0,16;-0,087;-0,114;-0,11;-0,16;-0,175;-0,179
"auprès_de";-0,146;-0,133;-0,101;-0,17;3,955;-0,105;-0,189;7,206;-0,142;-0,198;-0,142;-0,203;-0,179;-0,165;-0,16;-0,087;7,544;-0,11;-0,16;-0,175;-0,179
"article";-0,146;-0,133;-0,101;-0,17;-0,194;-0,105;-0,189;-0,119;-0,142;-0,198;5,837;-0,203;4,364;-0,165;-0,16;-0,087;-0,114;-0,11;-0,16;-0,175;4,364
"architecte";-0,146;-0,133;-0,101;-0,17;-0,194;-0,105;-0,189;-0,119;-0,142;3,831;5,837;-0,203;-0,179;-0,165;-0,16;-0,087;-0,114;-0,11;-0,16;4,515;-0,179
"appel";3,774;-0,177;-0,134;3,078;2,548;5,778;-0,252;-0,159;-0,189;-0,265;-0,189;-0,271;-0,239;-0,22;-0,214;-0,116;-0,152;-0,146;-0,214;-0,233;-0,239
"anzère";-0,146;-0,133;-0,101;-0,17;-0,194;-0,105;-0,189;-0,119;-0,142;-0,198;-0,142;-0,203;-0,179;-0,165;-0,16;-0,087;-0,114;-0,11;56,572;-0,175;-0,179
"angoisse";82,768;-0,177;-0,134;-0,227;-0,259;-0,14;-0,252;-0,159;-0,189;-0,265;-0,189;-0,271;-0,239;-0,22;-0,214;-0,116;-0,152;-0,146;-0,214;-0,233;-0,239
"amener";-0,196;-0,177;-0,134;-0,227;-0,259;-0,14;-0,252;-0,159;-0,189;2,457;-0,189;-0,271;36,52;-0,22;-0,214;-0,116;-0,152;-0,146;-0,214;-0,233;-0,239
"adapter";-0,196;-0,177;-0,134;-0,227;-0,259;-0,14;-0,252;-0,159;-0,189;-0,265;-0,189;-0,271;-0,239;-0,22;-0,214;-0,116;58,202;5,483;-0,214;-0,233;-0,239
"actif";-0,146;-0,133;-0,101;-0,17;-0,194;-0,105;-0,189;-0,119;27,13;-0,198;-0,142;-0,203;-0,179;-0,165;-0,16;-0,087;-0,114;-0,11;5,018;-0,175;-0,179
"été";-0,146;-0,133;-0,101;-0,17;-0,194;-0,105;-0,189;-0,119;-0,142;-0,198;-0,142;-0,203;-0,179;-0,165;-0,16;10,282;-0,114;-0,11;-0,16;21,786;-0,179
"éternel";-0,146;-0,133;-0,101;-0,17;3,955;-0,105;-0,189;-0,119;-0,142;3,831;-0,142;3,713;-0,179;-0,165;-0,16;-0,087;-0,114;-0,11;-0,16;-0,175;-0,179
"érotique";-0,146;-0,133;-0,101;-0,17;-0,194;-0,105;-0,189;-0,119;5,837;19,011;-0,142;-0,203;-0,179;-0,165;-0,16;-0,087;-0,114;-0,11;-0,16;-0,175;-0,179
"élastique";-0,146;-0,133;-0,101;4,674;-0,194;8,304;-0,189;-0,119;-0,142;-0,198;-0,142;-0,203;-0,179;-0,165;-0,16;-0,087;-0,114;-0,11;-0,16;-0,175;4,364
"écrivain";-0,146;-0,133;-0,101;-0,17;-0,194;-0,105;-0,189;-0,119;5,837;-0,198;-0,142;-0,203;-0,179;-0,165;-0,16;10,282;7,544;-0,11;-0,16;-0,175;-0,179
"échauffement";-0,146;-0,133;-0,101;-0,17;3,955;-0,105;-0,189;-0,119;-0,142;-0,198;-0,142;18,53;-0,179;-0,165;-0,16;-0,087;-0,114;-0,11;-0,16;-0,175;-0,179
"walkman";-0,146;6,33;-0,101;-0,17;-0,194;-0,105;-0,189;-0,119;-0,142;-0,198;-0,142;-0,203;-0,179;-0,165;-0,16;-0,087;-0,114;-0,11;-0,16;4,515;4,364
"véhicule";-0,146;6,33;-0,101;-0,17;-0,194;8,304;-0,189;-0,119;-0,142;-0,198;5,837;-0,203;-0,179;-0,165;-0,16;-0,087;-0,114;-0,11;-0,16;-0,175;-0,179
"visionner";-0,146;-0,133;-0,101;-0,17;-0,194;-0,105;-0,189;-0,119;-0,142;-0,198;-0,142;-0,203;-0,179;-0,165;-0,16;-0,087;-0,114;-0,11;-0,16;51,988;-0,179
"vigneron";-0,146;-0,133;-0,101;-0,17;-0,194;-0,105;-0,189;-0,119;-0,142;3,831;-0,142;-0,203;-0,179;-0,165;23,822;-0,087;-0,114;-0,11;-0,16;-0,175;-0,179
"vertu";-0,146;-0,133;-0,101;-0,17;-0,194;-0,105;-0,189;-0,119;-0,142;3,831;-0,142;-0,203;4,364;-0,165;-0,16;-0,087;-0,114;-0,11;5,018;-0,175;-0,179
"vacancier";5,614;-0,133;-0,101;-0,17;-0,194;-0,105;-0,189;7,206;-0,142;-0,198;-0,142;3,713;-0,179;-0,165;-0,16;-0,087;-0,114;-0,11;-0,16;-0,175;-0,179
"union";-0,146;-0,133;-0,101;-0,17;-0,194;-0,105;-0,189;-0,119;-0,142;-0,198;5,837;-0,203;21,176;-0,165;-0,16;-0,087;-0,114;-0,11;-0,16;-0,175;-0,179
"tunnel";-0,146;-0,133;-0,101;-0,17;-0,194;8,304;4,085;-0,119;-0,142;-0,198;-0,142;-0,203;-0,179;-0,165;-0,16;-0,087;7,544;-0,11;-0,16;-0,175;-0,179
"tuer";-0,146;-0,133;-0,101;-0,17;-0,194;37,057;-0,189;-0,119;-0,142;-0,198;-0,142;-0,203;-0,179;-0,165;-0,16;-0,087;-0,114;-0,11;-0,16;-0,175;4,364
"traverser";-0,146;-0,133;-0,101;-0,17;-0,194;-0,105;-0,189;-0,119;-0,142;3,831;5,837;-0,203;-0,179;-0,165;-0,16;-0,087;-0,114;7,909;-0,16;-0,175;-0,179
