suisse;3;3;5;7;3;1;6;3;2;12;8;8;7;3;32;16;6;1;8;9;8
émission;3;6;0;0;2;0;4;2;5;4;1;1;3;1;29;16;2;2;0;7;2
petit;6;1;3;0;10;3;1;9;4;8;0;4;1;7;2;3;12;2;1;1;11
année;4;5;1;0;3;2;4;4;11;4;3;6;4;0;12;1;1;3;1;8;16
retrouver;0;0;1;0;0;1;0;0;0;0;0;0;0;0;31;17;0;1;0;14;1
miracle;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;15;0;0;0;0;1
archive;1;0;1;0;0;0;1;1;1;0;0;0;0;1;29;19;2;1;1;16;0
jeune;1;2;1;1;1;0;7;4;2;2;6;4;8;0;7;7;2;4;1;3;0
rts;0;1;0;0;1;0;0;1;0;1;0;0;0;1;28;18;1;1;0;11;0
vie;1;2;0;1;3;0;0;0;8;1;3;3;3;13;0;7;3;0;1;4;5
grand;4;1;2;1;0;2;5;1;3;2;4;4;1;0;4;0;5;2;3;1;6
temps;2;0;13;0;1;4;6;0;4;0;2;0;0;1;0;4;0;4;1;1;2
monde;0;2;2;1;1;0;0;0;1;0;1;0;0;3;5;0;0;1;4;3;1
genève;0;0;1;5;1;4;1;0;4;1;0;1;5;6;2;0;5;1;1;5;0
diffuser;0;0;1;0;0;0;0;0;0;0;0;1;0;0;28;15;0;0;0;0;0
fête;0;0;0;0;12;0;2;1;0;0;5;2;0;1;2;0;0;0;0;2;0
bio;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;8;1;0;0;29;0
aimer;1;3;1;12;1;0;4;0;1;0;0;1;4;2;0;0;0;0;1;3;0
samedi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;15;0;0;0;1;0
lien;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4;8;0;0;0;27;0
heure;0;0;0;0;1;2;1;2;0;1;2;0;4;0;1;0;1;3;7;1;3
clip;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;15;0;0;0;0;0
aller;0;0;0;1;2;9;0;5;0;0;2;1;4;0;1;0;0;4;0;0;0
