"";"Valeurs propres";"Pourcentages";"Pourcentage cumules"
"facteur 1";0,433473639986967;10,2879204073933;10,2879204073933
"facteur 2";0,357242547942474;8,47867681060623;18,7665972179996
"facteur 3";0,335591230497253;7,96481158318816;26,7314088011877
"facteur 4";0,310819365003351;7,37688429757149;34,1082930987592
"facteur 5";0,273411600724981;6,48906075765342;40,5973538564126
"facteur 6";0,257107160383831;6,1020965479684;46,699450404381
"facteur 7";0,254258005652353;6,03447564925199;52,733926053633
"facteur 8";0,248243912829183;5,89173915369643;58,6256652073295
"facteur 9";0,234345652033904;5,56188241577039;64,1875476230998
"facteur 10";0,224041718100754;5,31733224614423;69,5048798692441
"facteur 11";0,201302438095389;4,77764567414492;74,282525543389
"facteur 12";0,18879010883843;4,48068217825491;78,7632077216439
"facteur 13";0,183219398262967;4,34846877073444;83,1116764923784
"facteur 14";0,161128961561751;3,82418163172062;86,935858124099
"facteur 15";0,154541656197097;3,66784069875687;90,6036988228558
"facteur 16";0,146772668148939;3,48345409871391;94,0871529215698
"facteur 17";0,140092890788619;3,32491846590325;97,412071387473
"facteur 18";0,109040388268588;2,58792861252699;100
