"";"X.rts_a";"X.rts_i"
"importer";0,82;1,3
"quoi";1,98;2,6
"quelqu_un";0,31;0,24
"emji_visage_faisant_un_clin_d_oeil";0,78;0,59
"heureux";0,78;0
"beaucoup";1,24;1,3
"certaines";0,39;0,24
"personne";2,14;2,84
"emji_visage_boudeur";0,86;0,71
"vétérinaire";0,31;0,83
"air";0,39;0,24
"traiter";0,54;0
"mauvais";0,58;0,35
"santé";0,43;0,83
"tuer";1,94;1,42
"habituer";0,35;0,12
"perdre";0,54;1,06
"adorable";0,97;0,12
"dame";3,54;0,12
"question";0,39;0,47
"seulement";0,35;0,59
"crever";0,23;1,06
"eux";1,98;0,71
"respecter";0,43;0,59
"éviter";0,27;0,59
"mieux";1,28;1,18
"leurs";1,71;0,95
"naturel";0,74;0,95
"ton";0,35;0,47
"emji_coeur_rouge";2,57;0,95
"carence";0,04;1,18
"vivre";1,17;1,06
"riz";2,99;0,12
"toutes";0,31;0,24
"ces";2,26;2,48
"ok";0,23;0,59
"pigeon";1,21;0,35
"genre";0,31;0,47
"représenter";0,23;0,47
"besoin";1,32;1,18
"changer";0,51;0,24
"eau";0,43;0,35
"loup";0,58;0,95
"etc";0,62;0,35
"tant";0,82;1,42
"habitat";0,51;0,35
"sentir";0,58;1,06
"arriver";0,35;0,71
"fruit";0,35;0,24
"avant";1,09;1,77
"emji_visage_souriant_avec_une_goutte_de_sueur";0,54;0,71
"france";0,39;0,47
"enfin";0,35;0,35
"requin";0,04;1,06
"exemple";0,39;0,83
"graine";0,35;0,12
"mon";2,26;2,25
"4";0,23;0,71
"chercher";0,43;0,24
"plaisir";0,82;0,83
"part";0,54;0,47
"prédateur";0,35;0,24
"peu";1,79;0,95
"finir";0,66;0,59
"ceux";1,44;1,3
"blaireau";0,31;0,35
"fou";0,31;0,47
"population";0,31;0,59
"uniquement";0,16;0,83
"aucun";0,54;0,83
"également";0,19;0,59
"chasseur";2,61;0,35
"emji_applaudissements";1,21;0,35
"préférer";0,51;0,71
"maltraiter";0,27;0,83
"parce_que";1,13;1,42
"venir";1,98;1,42
"vos";0,58;1,18
"2";0,89;0,59
"laisser";1,21;2,72
"chose";1,09;1,06
"soin";0,54;0,24
"ben";0,43;0,47
"lui";1,4;1,3
"malheureux";0,89;0,12
"objet";0,51;0,71
"errant";0,54;0,35
"maison";0,43;0,12
"temps";0,86;1,3
"année";0,82;1,06
"toute";0,58;0,47
"elles";0,35;0,59
"instinct";0,35;0,35
"demander";0,47;0,95
"triste";0,27;0,95
"fois";0,31;0,35
"aucune";0,27;0,35
"légume";0,43;0,35
"créer";0,54;0,47
"ici";0,19;0,71
"revenir";0,39;0,12
"oh";0,23;0,59
"espérer";0,47;0,59
"végétarien";0,04;1,42
"accord";0,54;0,47
"pays";0,23;0,83
"quel";0,66;0,35
"aider";0,47;0,35
"reproduire";0,43;0,12
"sauver";0,39;0,59
"continuer";0,43;0,59
"écosystème";0,74;0,71
"considérer";0,43;0,83
"normal";0,31;0,35
"surtout";0,7;1,18
"gros";0,35;0,95
"cela";1,01;0,59
"croquette";1,01;0,12
"poulet";0,51;0,35
"connaître";0,54;0,83
"mignon";0,66;0,24
"ami";0,47;0,24
"faune";0,86;0,12
"alimentaire";0,35;0,12
"point";0,51;0,35
"renard";8,56;0,35
"poulailler";0,39;0
"sûr";0,47;0,12
"attaquer";0,39;0,12
"dépendant";0,51;0
"conscience";0,23;0,47
"partie";0,47;0
"côté";0,35;0,24
"quelques";0,35;0,35
"tomber";0,27;0,35
"nuisible";0,82;0,24
"mamie";0,39;0
"droit";0,31;0,47
"mère";0,43;0
"pareil";0,54;0,12
"emji_visage_souriant_avec_coeurs";0,66;0
"meilleur";0,39;0,59
"soir";0,78;0,24
"équilibré";0,08;1,54
"rendre";1,24;0
"nourriture";1,28;0,35
"malheureusement";0,78;0,59
"repas";0,19;0,59
"pain";0,89;0
"forêt";0,43;0,71
"poubelle";0,43;0,12
"lapin";1,52;0,35
"hérisson";0,74;0,12
"détruire";0,62;0,83
"super";0,43;0,83
"carnivore";0,43;1,06
"plein";0,62;0,47
"canard";0,58;0,12
"coup";0,47;0,12
"apprendre";0,39;0,12
"garder";0,58;0,24
"céréale";0,43;0,12
"famille";0,43;0,59
"patte";0,27;0,35
"cygne";0,47;0
"tirer";0,31;0,24
"nombre";0,54;0,12
"campagne";0,31;0,24
"emji_renard";0,89;0,12
"3";0,43;1,06
"emji_visage_qui_pleure_à_chaudes_larmes";0,47;0,59
"emji_visage_souriant_avec_yeux_en_forme_de_coeur";0,54;0
"regarder";0,43;0,47
"abandonner";0,39;1,18
"assez";0,47;0,59
"oeuf";0,35;0,83
"malade";0,31;0,35
