"";"*rts_a";"*rts_i"
"pro_per";2681;767
"aux";1912;630
"art_ind";1070;430
"nom";5251;1901
"pro_rel";746;274
"ver";2973;1026
"pre";2951;1187
"con";1710;633
"ver_sup";722;269
"art_def";2720;880
"adj";1614;579
"ono";371;109
"adv";298;112
"pro_dem";921;308
"nr";865;369
"adj_pos";422;125
"adv_sup";2220;713
"nom_sup";185;41
"pro_ind";459;167
"num";160;72
"adj_dem";173;44
"adj_sup";40;18
"adj_ind";98;38
"adj_int";31;15
"adj_num";25;6
"pro_pos";7;3
