de;11;20;20;22;24;19;25;20;21;35;34;24;29;36;32;27;38;17;21;25;33;39;28;33;14;15;26;33;27;31;24;31;29;19;25;24;39;25;24;32;25;19;22;23;28;39;29;27;34;22;27;23;37
la;12;11;14;20;20;18;26;19;17;33;32;14;29;35;31;25;36;8;8;25;31;35;26;35;9;11;26;32;27;30;24;31;28;17;25;23;35;25;24;31;27;17;21;25;20;38;19;18;32;19;22;20;36
le;11;14;13;22;20;12;24;19;18;29;32;16;27;34;29;22;37;12;15;24;24;37;25;32;11;8;24;31;24;30;20;30;26;15;26;22;40;19;24;32;17;11;22;24;13;39;15;23;32;18;24;19;36
les;10;11;13;13;14;12;21;16;15;33;32;15;24;31;31;19;34;10;14;22;31;36;19;29;9;6;21;30;27;29;22;28;24;15;23;23;38;21;24;29;18;13;21;24;19;33;23;15;31;6;16;9;35
l;8;13;11;18;9;11;18;14;10;34;32;10;22;32;27;10;37;8;11;24;29;35;21;34;9;5;26;33;24;29;21;24;23;15;20;16;39;22;22;31;24;9;21;22;17;37;10;15;30;11;20;14;36
et;5;11;10;18;14;10;21;18;15;34;31;17;29;32;30;21;34;11;16;25;32;36;20;30;9;6;23;30;25;31;22;27;26;15;25;23;42;22;23;30;17;16;19;24;15;38;18;20;29;16;21;11;36
être;8;15;15;20;15;15;24;15;12;33;29;14;23;30;29;20;33;8;8;23;29;32;21;28;13;14;26;33;23;28;18;29;22;12;23;20;25;23;23;30;21;10;19;21;19;36;16;19;33;15;20;15;33
à;11;11;9;9;10;10;18;17;15;34;32;14;27;33;31;17;35;12;9;24;27;35;24;31;8;5;26;31;23;30;20;29;21;14;23;19;39;24;22;31;14;14;19;20;20;36;16;13;31;13;18;8;35
avoir;11;10;6;17;7;8;18;18;8;21;25;6;25;34;23;11;33;5;7;23;20;24;20;28;6;8;24;33;21;26;22;24;20;12;12;21;32;23;23;31;9;7;17;22;16;37;8;10;25;5;20;5;29
des;10;2;9;8;13;6;21;8;9;35;32;10;22;32;28;13;32;13;13;26;30;36;18;21;7;4;24;31;24;27;21;26;21;12;23;20;18;24;22;30;17;14;20;23;10;29;9;8;31;13;17;10;32
en;8;12;13;16;9;15;25;19;12;35;30;15;28;35;30;21;33;8;10;20;26;32;24;27;6;9;18;32;23;29;22;26;24;11;24;20;33;24;18;30;26;12;20;23;20;36;16;17;29;13;19;17;33
d;4;8;7;11;9;5;14;11;7;32;31;11;25;30;27;14;34;8;6;23;28;28;21;28;2;2;18;26;25;25;22;21;19;7;20;15;39;24;21;28;10;14;16;18;12;37;10;15;27;10;13;7;37
un;8;12;9;16;10;11;19;15;9;22;30;9;23;31;30;13;35;10;6;20;25;31;22;29;5;5;21;25;22;27;21;24;18;10;20;20;20;19;19;30;17;9;17;15;13;28;17;19;26;14;20;11;33
pour;9;8;10;11;16;10;21;19;12;31;19;12;21;32;25;11;35;8;16;18;29;28;17;28;10;6;20;23;21;24;20;23;19;14;18;14;13;16;17;23;14;6;19;25;12;34;20;17;26;11;17;5;31
une;9;11;4;11;2;5;23;13;7;24;29;7;21;26;27;9;31;4;5;20;21;35;14;25;2;3;19;28;23;26;19;27;16;7;16;18;18;20;20;24;12;11;17;15;10;34;10;18;27;6;17;9;35
du;9;8;5;13;8;3;16;19;9;19;19;14;23;25;23;10;27;5;5;14;15;22;22;30;4;6;19;25;14;25;14;17;15;11;13;19;11;14;11;27;15;10;15;20;8;24;12;12;21;10;15;10;27
dans;21;4;4;12;3;3;14;11;6;18;24;5;17;26;25;8;22;8;6;19;19;20;16;21;5;5;17;19;20;21;16;19;13;8;14;11;38;18;17;24;13;9;17;13;3;25;17;10;18;10;17;4;23
sur;4;2;3;18;7;7;20;12;6;22;21;9;15;27;14;11;25;2;3;15;21;24;15;23;1;2;11;22;12;16;21;20;16;5;12;11;38;21;16;21;13;8;16;22;9;24;5;6;21;5;11;7;17
que;2;9;8;2;9;2;7;11;4;25;25;5;13;15;12;5;22;0;4;17;20;21;10;23;4;5;8;17;15;15;18;21;7;2;12;12;4;11;12;20;7;4;12;16;9;23;5;10;18;2;8;3;19
par;2;1;2;2;2;0;15;5;0;20;17;4;12;20;18;5;22;1;3;17;16;19;8;17;2;4;19;22;22;18;18;22;10;6;15;7;6;14;11;22;4;1;15;12;5;24;3;1;20;4;10;3;20
plus;6;5;4;4;2;3;14;11;7;18;19;4;16;17;14;3;12;0;3;10;18;24;9;19;3;2;13;10;16;17;13;18;12;4;11;18;17;10;8;12;4;5;13;17;3;18;2;5;18;3;14;0;14
au;3;3;6;15;9;3;12;14;4;15;12;5;15;20;16;8;23;2;1;8;8;15;15;22;0;1;15;20;14;20;7;12;10;8;9;11;11;12;12;19;7;3;11;10;4;16;8;7;13;5;8;10;19
