"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Coord. facteur 7";"Coord. facteur 8";"Coord. facteur 9";"Coord. facteur 10";"Coord. facteur 11";"Coord. facteur 12";"Coord. facteur 13";"Coord. facteur 14";"Coord. facteur 15";"Coord. facteur 16";"Coord. facteur 17";"Coord. facteur 18";"Coord. facteur 19";"Coord. facteur 20";"Coord. facteur 21";"Coord. facteur 22";"Coord. facteur 23";"Coord. facteur 24";"Coord. facteur 25";"Coord. facteur 26";"Coord. facteur 27";"Coord. facteur 28";"Coord. facteur 29";"Coord. facteur 30";"Coord. facteur 31";"Coord. facteur 32";"Coord. facteur 33";"Coord. facteur 34";"Coord. facteur 35";"Coord. facteur 36";"Coord. facteur 37";"Coord. facteur 38";"Coord. facteur 39";"Coord. facteur 40";"Coord. facteur 41";"Coord. facteur 42";"Coord. facteur 43";"Coord. facteur 44";"Coord. facteur 45";"Coord. facteur 46";"Coord. facteur 47";"Coord. facteur 48";"Coord. facteur 49";"Coord. facteur 50";"Coord. facteur 51";"Coord. facteur 52";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"Corr. facteur 7";"Corr. facteur 8";"Corr. facteur 9";"Corr. facteur 10";"Corr. facteur 11";"Corr. facteur 12";"Corr. facteur 13";"Corr. facteur 14";"Corr. facteur 15";"Corr. facteur 16";"Corr. facteur 17";"Corr. facteur 18";"Corr. facteur 19";"Corr. facteur 20";"Corr. facteur 21";"Corr. facteur 22";"Corr. facteur 23";"Corr. facteur 24";"Corr. facteur 25";"Corr. facteur 26";"Corr. facteur 27";"Corr. facteur 28";"Corr. facteur 29";"Corr. facteur 30";"Corr. facteur 31";"Corr. facteur 32";"Corr. facteur 33";"Corr. facteur 34";"Corr. facteur 35";"Corr. facteur 36";"Corr. facteur 37";"Corr. facteur 38";"Corr. facteur 39";"Corr. facteur 40";"Corr. facteur 41";"Corr. facteur 42";"Corr. facteur 43";"Corr. facteur 44";"Corr. facteur 45";"Corr. facteur 46";"Corr. facteur 47";"Corr. facteur 48";"Corr. facteur 49";"Corr. facteur 50";"Corr. facteur 51";"Corr. facteur 52";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"COR -facteur 7";"COR -facteur 8";"COR -facteur 9";"COR -facteur 10";"COR -facteur 11";"COR -facteur 12";"COR -facteur 13";"COR -facteur 14";"COR -facteur 15";"COR -facteur 16";"COR -facteur 17";"COR -facteur 18";"COR -facteur 19";"COR -facteur 20";"COR -facteur 21";"COR -facteur 22";"COR -facteur 23";"COR -facteur 24";"COR -facteur 25";"COR -facteur 26";"COR -facteur 27";"COR -facteur 28";"COR -facteur 29";"COR -facteur 30";"COR -facteur 31";"COR -facteur 32";"COR -facteur 33";"COR -facteur 34";"COR -facteur 35";"COR -facteur 36";"COR -facteur 37";"COR -facteur 38";"COR -facteur 39";"COR -facteur 40";"COR -facteur 41";"COR -facteur 42";"COR -facteur 43";"COR -facteur 44";"COR -facteur 45";"COR -facteur 46";"COR -facteur 47";"COR -facteur 48";"COR -facteur 49";"COR -facteur 50";"COR -facteur 51";"COR -facteur 52";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"CTR -facteur 7";"CTR -facteur 8";"CTR -facteur 9";"CTR -facteur 10";"CTR -facteur 11";"CTR -facteur 12";"CTR -facteur 13";"CTR -facteur 14";"CTR -facteur 15";"CTR -facteur 16";"CTR -facteur 17";"CTR -facteur 18";"CTR -facteur 19";"CTR -facteur 20";"CTR -facteur 21";"CTR -facteur 22";"CTR -facteur 23";"CTR -facteur 24";"CTR -facteur 25";"CTR -facteur 26";"CTR -facteur 27";"CTR -facteur 28";"CTR -facteur 29";"CTR -facteur 30";"CTR -facteur 31";"CTR -facteur 32";"CTR -facteur 33";"CTR -facteur 34";"CTR -facteur 35";"CTR -facteur 36";"CTR -facteur 37";"CTR -facteur 38";"CTR -facteur 39";"CTR -facteur 40";"CTR -facteur 41";"CTR -facteur 42";"CTR -facteur 43";"CTR -facteur 44";"CTR -facteur 45";"CTR -facteur 46";"CTR -facteur 47";"CTR -facteur 48";"CTR -facteur 49";"CTR -facteur 50";"CTR -facteur 51";"CTR -facteur 52";"mass";"chi.distance";"inertie"
"classe 1";-1,40171362420959;1,59275216040436;-9,41847143706034;5,88521973273528;-1,48609920490982;1,98121098706603;-0,72057869331649;0,260200050432815;-1,38435991926534;0,830893575072312;-0,630377730335264;0,482754708956027;-0,0243182335743663;-0,135948753370598;0,32754265094413;0,169912831982448;-0,122438557230979;-0,196232285830941;-0,382168411320261;0,052466567779712;0,307598976825947;0,205647984566275;0,150303327999873;-0,295435900856384;-0,234758871044001;-0,100808548092703;0,137024328995163;0,206430484222214;0,129135334264194;0,0732090084186036;-0,274633490918799;-0,0383428316583854;-0,0920890262614694;-0,039068455441718;-0,287887755117871;0,0822027347269224;0,0659325953548932;0,0686410033316687;0,000271685101588944;0,194383591836378;-0,0894882111337827;-0,20480947272335;0,130244588611167;0,0930088061515651;0,0643602651177748;-0,0547239787280898;-0,0396139762374906;-0,0876025544062572;0,0457159436588596;-0,0702266876596725;-0,0649871292619176;0,0588836207922416;-0,118940572855213;0,135150897517813;-0,799192052353852;0,499382608758657;-0,126101000731389;0,168113062239481;-0,0611437608153754;0,0220789343278915;-0,117468046961492;0,070504385556318;-0,0534898762958976;0,0409635182537085;-0,00206349184470045;-0,0115357533276236;0,027793202452304;0,0144177307136041;-0,0103893633372012;-0,0166510334823785;-0,0324283997704811;0,00445198185969312;0,0261009081180801;0,0174499902607606;0,0127537919483593;-0,0250688262444969;-0,0199201563875514;-0,00855397725452622;0,0116270198878719;0,0175163882437215;0,0109576095772727;0,00621205448037283;-0,023303665007557;-0,00325353073807139;-0,00781409365511037;-0,00331510259338928;-0,0244283382285231;0,00697520534138957;0,00559462398445616;0,0058244423943792;2,30534832943765e-05;0,016494164975895;-0,00759340489541311;-0,0173788394370682;0,0110517339013803;0,00789214037245635;0,00546120596247904;-0,00464353150773275;-0,00336139204569464;-0,00743339996465799;0,00387916649555827;-0,00595899356023996;-0,00551439769802258;0,00499649248452417;0,0198228110607745;0,0225295590244251;0,648053226831351;0,246864644091971;0,0146789177063582;0,0242829649694026;0,00302293413398469;0,000372589926905187;0,0100726461717295;0,00350888308365249;0,00191293107624094;0,00109299854448593;2,66737985601609e-06;8,19846754083419e-05;0,000460404831972025;0,000122953793366801;6,13175302339713e-05;0,000151187836798784;0,000558639018778311;1,05105661808843e-05;0,000353673603506956;0,000156942816750792;8,29385183619673e-05;0,000313634121766934;0,000191924529886625;3,4997528726794e-05;6,32647251190364e-05;0,000143169564863145;5,47136110851648e-05;1,73549449340781e-05;0,000236743794926843;4,49731550430046e-06;2,57147049945815e-05;4,58049470614754e-06;0,000244484896404672;1,94886056306247e-05;1,2354428470104e-05;1,33794597627705e-05;2,00896098395842e-10;0,000100672455535462;2,0886075841232e-05;0,000107707778729333;4,2389626685543e-05;2,15075814213784e-05;1,00468798506935e-05;7,07954093783424e-06;3,68773695953167e-06;1,74248596920899e-05;4,55986609619175e-06;1,06620505446326e-05;8,80618862095727e-06;5,93923884234073e-06;0,0140457285377815;0,0181351890429971;0,63414201973935;0,247600231458763;0,0157877879652809;0,0280599657709207;0,00371183373201977;0,000483994508648151;0,0137000993054526;0,00493533324964792;0,00284071330806535;0,00166601427727545;4,22755953606636e-06;0,00013212230460289;0,000766940020403576;0,000206384956563983;0,00010716725041914;0,000275274895861959;0,00104408355487785;1,9678454680172e-05;0,000676387315373989;0,000302325372478662;0,000161496410897418;0,000623953491389194;0,000393975945135702;7,26474544003538e-05;0,000134221179032196;0,000304630472420577;0,000119210871651563;3,83137561277285e-05;0,000539178636454016;1,05097902117888e-05;6,06235610000508e-05;1,09113419209141e-05;0,000592477780516632;4,830568146743e-05;3,10760652383341e-05;3,36816165595006e-05;5,27663833963268e-10;0,00027011262718455;5,72476066282054e-05;0,000299864987693603;0,00012126767692682;6,18406180163394e-05;2,96115629099585e-05;2,14082423361889e-05;1,12181838932645e-05;5,48604317709207e-05;1,49403598882087e-05;3,52557575558731e-05;3,01912008380542e-05;2,47864708731548e-05;0,0071486771103971;5,64622266595633;0,227898613817777
"classe 2";-0,99146609386269;0,673065779201265;0,322417777856861;-0,307204514861648;1,21963422657205;-0,00361855862686475;-0,282529496307608;-0,160094969932112;-0,0845196171652488;0,328484495427947;0,25354347630225;-0,168295126107548;0,143678177841186;0,6530076763605;1,01496843826703;-0,361246644194394;0,260020969627019;-2,70947822772392;0,241555957656002;-4,06424849825433;0,852731074741315;1,38185739408958;0,613630598301123;0,364136645087261;-1,99622940414791;4,29927130339546;0,33508383708132;6,1343087792451;2,58753657264281;4,61380458398505;-1,02909614580042;-2,90559515780925;-3,31118570412399;3,22941428051838;3,14544654684277;-1,06827145706027;1,79614560439823;-0,936865300882754;0,416805690680786;2,07287640944133;0,693066438205956;-0,435395493681918;1,05609981907118;0,248018529526959;-0,127016583182209;0,954103100442691;1,22949386828059;1,24573906565677;-0,199883753630481;0,737041312921699;-0,585790527969779;-0,257596309571291;-0,0743761136337785;0,0504909014909933;0,0241865873496561;-0,0230453447148583;0,0914924417372274;-0,00027145086381487;-0,0211943162275997;-0,0120097315980592;-0,00634034859031356;0,0246416900286526;0,0190198923808795;-0,0126248769381715;0,0107782046687824;0,0489862169179176;0,0761391724503109;-0,0270993850669637;0,0195058099352642;-0,203255019814477;0,0181206331378863;-0,304884866979568;0,0639687264210143;0,103661822834577;0,046032294388;0,0273161822283998;-0,149749735186161;0,322515407216808;0,0251367481932814;0,460173121051788;0,194107408563678;0,346110528788334;-0,077198980735629;-0,217966985425632;-0,248392885764761;0,242258696475047;0,235959748139762;-0,0801377674676595;0,134740189707421;-0,0702801644043411;0,0312672189247583;0,155499509596683;0,0519912768402781;-0,0326617570829469;0,0792246962736072;0,0186054313400801;-0,0095283135576824;0,0715732802726522;0,092232075534734;0,0934507300641553;-0,0149945387599162;0,0552901090435529;-0,0439438354408369;-0,0193239209196494;0,016558566659494;0,00671725230053422;0,00126796756095458;0,00112307580913149;0,0165073741025691;1,35248307553527e-07;0,000775914373201744;0,000235500636445634;6,26874987780411e-05;0,00091564726380676;0,000516681407455108;0,000221783880780372;0,000155461478551888;0,00315819651833481;0,00738124436487238;0,000927935036128063;0,000461727082471557;0,0481246532550563;0,000372629774332212;0,105303223099359;0,00453813496978782;0,0118314871350445;0,002308093768423;0,000795510462221621;0,0231700895517788;0,106280286781731;0,000631674829748175;0,211083683018613;0,0366774003210541;0,115088767176684;0,00555013910733166;0,043119682195918;0,0555076979196304;0,0522549912437567;0,0487293503652104;0,00549530548145965;0,0153082572039772;0,0041614625881757;0,000789455199450395;0,0191143101652573;0,00209168021914458;0,000812709253789236;0,00465340129498999;0,000255347756952546;6,53336266019036e-05;0,00359302910831457;0,00593111236097371;0,00588315475195846;0,000145543246983731;0,00196083199950716;0,0011946434942939;0,000189776050658227;0,00550085054747614;0,00253506519439755;0,000581717425031884;0,000528115969657364;0,00832402391150811;7,32732304199251e-08;0,000446685343325818;0,000143426528213649;3,99750627948517e-05;0,000603814952266903;0,000359731934641972;0,000158495592535339;0,000115519615643242;0,00238622112073438;0,00576473286649456;0,000730267133161912;0,000378347491676206;0,041081419665928;0,000326519872818045;0,0924346114567127;0,0040690993288227;0,010685640662389;0,00210711445672187;0,000741998257437357;0,0222994940207917;0,103434118121246;0,000628320272200457;0,210574306093762;0,0374668434727833;0,119122144865548;0,00592633251860443;0,047243745176177;0,0613537608077084;0,058360853546799;0,0553654368129572;0,00638612421438287;0,0180533246378843;0,00491166140617277;0,000972168156830215;0,0240447867789428;0,00268796648496266;0,00106082066620047;0,00624142920249292;0,000344224968405802;9,0280709560703e-05;0,00509406786421919;0,00845915234613135;0,00868416926794526;0,000223578019699749;0,00303988934910167;0,00192025454714156;0,000371324312705098;0,00559595369502052;4,36966178687119;0,106848827215979
"classe 3";-1,33498936921665;1,35916849029859;0,0185485867917988;-0,715280455672391;1,39009202480873;0,487502976443952;0,138935775632708;0,0443377724667106;-0,9434468873349;0,361622690943742;1,53663613633335;-1,95492549421598;-0,266259424522266;-0,983173398374922;0,104915300114046;0,366175928736015;1,20977921608058;1,96544347901665;0,930940579504531;1,45582317634503;2,28783870924681;3,29339289271083;-3,9564322754018;3,65481794184139;-0,670219127124376;0,171316524544888;4,65663226959206;3,18730935016542;-5,55753487555558;-3,49401040578245;-4,07642804101527;0,742760403620517;-0,798473930304265;2,50125853437559;-0,0511606994885823;0,256082068299406;-1,91911039894739;0,153926900566254;-1,16566137567104;0,102484250920113;0,949053357796085;-1,08281085114011;0,0969107423389105;-0,0570803069572676;0,427861999862744;-1,19596896999091;-0,938592437433362;0,0996858225858084;-0,299572800672861;-0,638778767906066;-0,0189543775784539;-0,92360859142305;-0,0998689080424592;0,101677718266391;0,00138759689877883;-0,0535092486122423;0,103991069739859;0,0364694963477309;0,0103936140020444;0,00331685406894562;-0,0705780979285855;0,02705254745895;0,114953853965327;-0,146245564881372;-0,0199185391256377;-0,0735499892180507;0,00784858419171148;0,0273931695619101;0,0905020909292519;0,147032402350696;0,0696425164659445;0,10890833610892;0,171150391859538;0,246374660004089;-0,29597581838436;0,27341242212278;-0,0501382662053386;0,0128159778874992;0,348356916274413;0,238438681037079;-0,415752328990679;-0,261382608701398;-0,30495255359879;0,0555649896225646;-0,0597328498328411;0,187116065730583;-0,00382726882357962;0,0191571836600638;-0,143566281781155;0,011515081567228;-0,0872016897062234;0,00766672040013832;0,0709975110683766;-0,0810037441596575;0,00724977309793126;-0,00427010735665684;0,0320078284550148;-0,0894689634538002;-0,0702149425192672;0,00745737342822491;-0,0224106717044311;-0,0477862517129402;-0,00141795360699794;-0,0690940194813525;0,0279735928976337;0,0255240075352835;3,91036649874359e-06;0,0056732540276879;0,0199816578726914;0,00228739298163452;0,00017483968476712;1,68310062183845e-05;0,00727824113086455;0,00103403544638567;0,0176842100744665;0,0278851477460332;0,000497481319131471;0,00667096165646744;7,34899228362513e-05;0,00088841348476568;0,00931336166984605;0,0235962521861631;0,00515717179115012;0,0125899510825831;0,0304389498472595;0,0626218074851257;0,0894072082919359;0,0746748308300376;0,00243369460673907;0,000157248732318253;0,113672687352756;0,0531003592273717;0,157657840513733;0,0615019041543703;0,0811478754841883;0,0026255993771916;0,00300769123626238;0,0292094279667174;1,20122559946371e-05;0,000294247347318265;0,0162842670832685;0,000104675818182381;0,00575348057142059;4,35363184919477e-05;0,00365470595360129;0,00468379816646348;3,65115305633355e-05;1,26026541711833e-05;0,000690794667591975;0,00526060354634302;0,00322079547131286;3,51033469770689e-05;0,000304626341150901;0,00137240817184038;1,16546253219196e-06;0,00227333630368278;0,00991829254175558;0,0102808232905044;1,91470976454237e-06;0,00284730516636615;0,0107539596469036;0,00132262230447369;0,000107426018259716;1,09402951768129e-05;0,00495354612170172;0,000727767481346599;0,0131408477378779;0,0212687379130889;0,00039454021515501;0,00537949536674247;6,12574555580333e-05;0,00074620968690973;0,00814504592219654;0,021498215767886;0,00482308840145894;0,0117950166145028;0,029129438057853;0,0603626624127857;0,0871141635839078;0,0743383291475098;0,00249985566694139;0,000163335207968614;0,120677189141738;0,056536605892693;0,171888053088874;0,0679406483786986;0,0924785176508426;0,00307028567376694;0,00354815661736814;0,0348175706888066;1,45664675745583e-05;0,00036495526780681;0,0204965712462064;0,000131859173211554;0,00756181610633434;5,84514866261278e-05;0,00501259433781322;0,00652508987107058;5,22667071041814e-05;1,81323418778052e-05;0,00101879952212108;0,00796014763693271;0,00490270091511938;5,53029238444287e-05;0,000499443146815063;0,00227081755940456;1,99940306913382e-06;0,00474741532298907;0,00556520669669624;4,52673435748841;0,114038453233236
"classe 4";-0,545580825620016;0,535429901929667;0,732732283395823;0,865319239237539;-1,02566629635821;-0,116804750662997;0,128430478740956;-0,885568282404343;1,21097829300929;-1,0832144478713;4,06516562664906;6,61592328920011;-1,59545795482846;-0,533858179081252;1,40995460185674;-0,500430254663296;1,68096059293366;-0,274139034343901;0,783670347462095;0,529371987121849;-0,437826196481462;-0,666662541882514;-1,1320662030855;-0,581913850429125;-0,376112572744563;-0,360980710934912;0,360448546667275;-0,0543476415792928;-0,38736781641888;-0,0113950373706602;-0,407703547929533;-0,598956592962517;-0,84008719446802;-0,355718330492317;-0,110610157832628;-0,36583931692453;-0,236389133871851;0,0825509249163825;0,0430499017634746;-0,159955113250088;-0,362090508100924;0,177811532949615;0,805616723170501;-0,0834439600479115;-0,121124113881597;-0,39180597780738;0,262483055610911;-0,00983616466443483;0,311009636887504;0,406105293278287;-0,0893754809209626;-0,267539083307799;-0,0604940166539535;0,0593684819614923;0,0812453753378574;0,0959466205762156;-0,113725906592814;-0,0129513139026435;0,0142403749453646;-0,0981918350284779;0,134273305777615;-0,12010684718412;0,4507456742823;0,73357375267601;-0,176904421045941;-0,0591942092896854;0,156335804267148;-0,0554877201289843;0,186384955864251;-0,0303965435190145;0,0868933892548483;0,0586967802042762;-0,0485461804699373;-0,0739195606175795;-0,125523531119345;-0,064522623424349;-0,0417033722061514;-0,0400255509607327;0,0399665445723896;-0,00602606796355898;-0,0429513539282083;-0,00126348205087626;-0,0452061803863737;-0,0664123231759347;-0,0931488907718994;-0,0394420580753806;-0,012264457282602;-0,0405642733238526;-0,0262108335369123;0,00915324878035395;0,0047733742681868;-0,0177358272696614;-0,0401486053004209;0,0197157475673654;0,0893268039850846;-0,00925226853981468;-0,0134302450127746;-0,0434434573826207;0,029104128282848;-0,00109063420318179;0,0344847569231041;0,0450289658675536;-0,00990995573413616;-0,0296647407701927;0,00788770875806775;0,00668724978039598;0,010302117457716;0,0140175549172798;0,0183652404289799;0,000221690604684188;0,000252224965565105;0,0113356513588918;0,0202443705657676;0,0156636511006157;0,208948907247414;0,53917964058198;0,0301562656371216;0,00332062658750775;0,0224078624069012;0,00280131991121804;0,0303563344137328;0,000775003567414854;0,00616984903137662;0,00281040384033008;0,00188201195324443;0,00433202198708034;0,0123580157980811;0,00319595144726552;0,00129392224787936;0,00117868204435237;0,00114984375726793;2,60645639867405e-05;0,00129311838019626;1,10436266285285e-06;0,00137039766072825;0,00288244949599168;0,00562083104322591;0,00099737484196287;9,47941832933712e-05;0,00101385303888473;0,000417122245449444;5,08277910192614e-05;1,32486065062049e-05;0,00017904975381514;0,000898143011063712;0,000213232235234662;0,00425974083923905;4,54694044213096e-05;9,34636639745019e-05;0,000953186535363104;0,000425257151134406;5,76996724378917e-07;0,000554307073977284;0,000936482539909191;4,37477858817258e-05;0,000322034397250137;0,00361508087159334;0,00348180995442567;0,00652064373934326;0,00909394952538565;0,0127765026469059;0,000165699360834189;0,000200325401894147;0,00952453817105257;0,0178103533852501;0,014250454235567;0,200704129966799;0,531594821670155;0,0309150922816436;0,0034613986616422;0,02414404759089;0,00304149380337407;0,0343174401101779;0,000912728427433934;0,00745876026039902;0,00340346847036719;0,00232810898084593;0,00539773957833431;0,0155647973258268;0,00411260697901191;0,00171804890659772;0,00158258779339537;0,00157792507398796;3,58724653670839e-05;0,00182241336119627;1,57699867136388e-06;0,00201877910688456;0,00435702968930282;0,00857133657976891;0,00153678216077775;0,000148590089357688;0,00162547604944375;0,000678664040832326;8,27644259011896e-05;2,25083753756115e-05;0,000310739222736335;0,00159233375074731;0,000383989785653676;0,00788236906659893;8,45648012990173e-05;0,000178180857860403;0,00186441219662739;0,000836762802918566;1,17503661800917e-06;0,00117475556823756;0,00200298234031744;9,70144896149576e-05;0,000869309226663339;0,012145064338094;3,48389448059166;0,14741097043674
"classe 5";-1,48127270550542;1,66746523556455;0,472209441536219;-0,605167233515334;2,12017235505337;0,854288466065862;0,414603791636189;-0,883260567961731;-2,57290554276347;-7,91468895608374;-6,71369138128111;3,42674204462423;2,09453351743601;0,127197509804357;2,56701646863398;2,89479481304731;0,0676263907130004;0,295395990854807;-0,982702034294009;-1,94896093353773;0,073681881342659;0,13952658382944;-0,287907243087127;-0,611871663363296;1,02364519954744;-0,583087177698108;0,648002046427759;-0,600789280652819;-1,623512662317;-0,00408366957699312;-0,321063961259391;0,21191914563799;-0,463241006158822;0,617934575689453;-0,305864979647397;0,327025986995427;0,443427741267398;-0,158032003527911;0,304733225592034;-0,276940086122716;-0,398281188361186;-0,108566428095266;-0,536234389021431;-0,150450575991668;-0,0965887354621155;0,0242115168538801;-0,181091231309284;0,0370210061302273;0,134316518381513;0,125747872964249;-0,222467113291471;-0,0388749088279221;-0,113849744662753;0,128160392476999;0,0362937385846828;-0,0465127958936344;0,162955194115652;0,0656601065883727;0,0318662023802588;-0,0678868852165946;-0,197751999342386;-0,608318315315063;-0,516010351546021;0,26337736822908;0,160984608209804;0,00977632542552177;0,197299368585436;0,222492218408929;0,00519772442071131;0,0227039612680539;-0,0755298975456151;-0,149795985449716;0,00566314585150659;0,0107239307681889;-0,0221283805407339;-0,0470280944092033;0,0786767650281949;-0,044815735853584;0,0498050542972565;-0,04617630902414;-0,124782223674654;-0,000313868430100508;-0,0246767863027095;0,0162879802823354;-0,0356044299422255;0,047494086267205;-0,0235086015591251;0,0251350240770218;0,034081594112982;-0,0121462463888828;0,0234216156113349;-0,021285451338411;-0,0306116567397541;-0,00834435149696201;-0,0412146582074813;-0,0115635423493279;-0,00742375312040054;0,00186088287556183;-0,0139185650073736;0,00284541265049939;0,0103234882171865;0,00966490719477556;-0,0170986908419754;-0,00298790251612486;0,0263022758877698;0,0293390804222183;0,00193551167539589;0,00310142280575788;0,0354991048925155;0,00536445960266884;0,00118907439215624;0,00510118033531669;0,0413399422288788;0,378287887378629;0,257808350707583;0,0654343824612347;0,0235110530028278;8,52738902283065e-05;0,0335999088283256;0,0424035075585628;2,22257948445438e-05;0,000407063119588217;0,0043887620812485;0,0172323181795843;2,41118716104658e-05;8,58386908381242e-05;0,000361577082682703;0,00159843170441084;0,00433572775545292;0,00139118945480468;0,00168110812706193;0,00144086744375601;0,0102752688255485;6,41611317151864e-08;0,000384442475545518;0,000163230764546411;0,000773136919753017;0,00136151217675042;0,000327900284534552;0,000366479259462212;0,000663964211081141;8,42632216479161e-05;0,000300300536451266;0,000242794999276354;0,000491565530208631;3,59595894713457e-05;0,00085374107173431;6,68663752132542e-05;2,68859357213425e-05;1,64653285063173e-06;9,15660629628917e-05;3,69750542967643e-06;4,67683662705061e-05;4,06176037335457e-05;0,000122614421135927;3,07579352682978e-06;0,0128856441084875;0,0163286269791666;0,0013094997624827;0,00215073499713854;0,0263984499113046;0,0042859310222256;0,00100949141609817;0,0045815641952733;0,0388761972115164;0,367877981855176;0,264702984763321;0,0689602643846919;0,0257638475327566;9,50152487149923e-05;0,0386984349192267;0,0492120733882365;2,68576809287337e-05;0,000512442669451343;0,00567126318038546;0,0223070612205681;3,18828770241515e-05;0,000114327317498632;0,000486789579805608;0,00219865340733779;0,00615368129076805;0,00199665520156273;0,00246597600397686;0,00211972949134442;0,0154791622260334;9,79348541173401e-08;0,000605367652280295;0,000263740290528256;0,00126023078356647;0,00224244130268908;0,000549408786968444;0,000628059257722374;0,00115473361998468;0,000146664897706511;0,0005453504913963;0,000450409702480255;0,000931570398495185;6,92192979872594e-05;0,00168867244036204;0,000132930243697601;5,47884547871715e-05;3,44254867212484e-06;0,000192588759048334;8,04882576982234e-06;0,00010594853192415;9,28618618233364e-05;0,000290648262049961;8,87513276395339e-06;0,00587267667993912;5,17987981613657;0,157570697733554
"classe 6";-2,18584279968118;1,39797434553941;-0,138041014307694;-1,48121492085953;2,81050181578367;1,5824347447065;0,610259912647883;-0,222711467639074;0,257094020108395;1,91603898811247;1,71495252515157;-2,49879311236278;-0,513292523201879;-7,39468217283788;2,34067437886891;5,27494313615383;1,71586891784967;-0,58801946455719;0,920511021440266;-0,361100844129793;-0,838027415351021;-5,40696036605871;0,28033145968924;-4,10684784154808;0,879349858059949;-0,561732921925125;0,949242593989163;1,41958846727986;0,753178987989558;0,362621280548211;0,278755883581425;1,55417335401126;1,02231547318279;0,928324243093398;-1,9014906327399;-0,136464736694963;1,03050531784665;1,4358910613159;-0,89555357900264;1,50099330031021;0,143968714307461;-1,81235473599157;0,315055895613972;0,150133233176854;-0,494308414295073;-0,664857386181939;0,123419974643597;-0,675770733152286;-0,38629838691938;0,393157909229399;-0,191449873206931;0,881572133566875;-0,155849111431966;0,0996746241718661;-0,00984223084302278;-0,105609620824241;0,200386876280261;0,112826525721589;0,0435111185226101;-0,0158791768293316;0,0183306295375905;0,136612282369934;0,12227495373037;-0,178162256805868;-0,0365974093184343;-0,527235831472728;0,166888498180883;0,376099873579029;0,122340291909191;-0,0419253896342889;0,0656318124870286;-0,025746245660104;-0,0597507872282185;-0,385512612673252;0,0199874432440276;-0,292815470071732;0,0626970494110818;-0,0400511769450583;0,0676803541536305;0,101215696415544;0,0537011518140833;0,0258546517471445;0,019875105734472;0,11081150770276;0,0728904009574372;0,0661888899000242;-0,135574994483567;-0,00972984331664165;0,0734743313360597;0,1023780603307;-0,0638523637416358;0,107019805885766;0,0102648718389506;-0,12921966540549;0,0224632720111444;0,0107043978599164;-0,0352438552088319;-0,0474038814138638;0,00879976061588963;-0,0481819956626677;-0,027542813398003;0,0280318926936504;-0,013650246315707;0,0628554961498692;0,0560681821555184;0,0201876915934861;0,000161919100786334;0,0181886999545729;0,061065813211358;0,018018716411449;0,00252189795380806;0,000317492513331187;0,000404074521868485;0,0217029491361987;0,016467731392373;0,0340611352647145;0,00138223748023729;0,282132566807006;0,0273475313469604;0,137834238838639;0,0140071066087332;0,00157903335714847;0,00376974219103625;0,000579094954939995;0,00305338311503541;0,126191723650862;0,000335578963576109;0,0704929954499311;0,00313214478215572;0,0012639630751539;0,00353144677213317;0,00787517004082754;0,00216487866655728;0,000495259412072247;0,000283694991078282;0,00859440628829118;0,00368610434850949;0,00300809299673353;0,0124058350224781;6,24713787716263e-05;0,00351038510509933;0,00680998708273509;0,00253895483445036;0,0069820175508571;6,2877233096005e-05;0,00980991799613188;0,000288501057605915;6,51822103143166e-05;0,000689324221052874;0,00121545458106955;4,16357067121732e-05;0,00120605324193153;0,000378699274929523;0,000388689110508736;8,88946074009684e-05;0,00154842243779627;0,0241660949325572;0,0098847804985427;9,63795535017894e-05;0,0110969794786017;0,0399518014696476;0,012665438964021;0,00188364176617009;0,000250872920843476;0,000334312470563409;0,0185685208834407;0,0148755430965197;0,0315812435477556;0,00133259599258012;0,276571644193694;0,0277108998763496;0,140735671967915;0,0148914449725093;0,00174884786446236;0,00428574781089209;0,000659516452083586;0,00355209914648625;0,147868272351418;0,000397477274569212;0,0853072322275226;0,00391103787836867;0,00159598344372566;0,00455746205417679;0,0101928011438925;0,00286922771896033;0,000665082010423443;0,000393021864585375;0,012217083553597;0,00528613797542158;0,00435881072460854;0,0182876123431489;9,41910221046819e-05;0,00537117250797518;0,0104282542323106;0,0040565027446677;0,0113953097300805;0,000104834657095392;0,0166132668332803;0,000502046389715269;0,000114004580605726;0,00123584678736479;0,00223576226671582;7,70441258843238e-05;0,00230976281097243;0,000754769627950765;0,000781812590634295;0,000185386793393432;0,00393083065134846;0,00505788122434547;5,23530532381608;0,138628542180989
