"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17";"classe 18";"classe 19";"classe 20";"classe 21";"classe 22";"classe 23";"classe 24";"classe 25";"classe 26";"classe 27";"classe 28";"classe 29";"classe 30";"classe 31";"classe 32";"classe 33";"classe 34";"classe 35";"classe 36";"classe 37";"classe 38";"classe 39";"classe 40";"classe 41";"classe 42";"classe 43";"classe 44";"classe 45";"classe 46";"classe 47";"classe 48";"classe 49";"classe 50";"classe 51";"classe 52";"classe 53"
",";-131,197;-0,281;-2,674;0,058;-0,028;-4,237;2,867;0,525;-2,674;2,152;3,769;-9,201;1,441;4,109;1,742;-2,977;4,223;-5,316;-0,788;2,867;3,655;4,337;-0,349;0,746;-59,87;-108,951;2,867;3,655;1,15;3,429;2,643;3,429;1,742;0,525;2,867;0,963;1,233;2,755;0,963;3,542;0,279;-0,001;2,42;2,867;-9,08;2,467;0,018;-13,863;1,843;-0,655;1,246;-0,055;4,223
".";-784,027;0,441;0,5;0,46;0,539;0,422;0,5;-1,102;0,5;-0,15;0,657;-0,327;0,578;0,716;0,637;0,617;0,736;0,383;0,519;0,5;0,637;0,756;0,598;-0,173;0,617;-0,462;0,5;0,637;0,519;0,598;0,46;-0,327;0,637;0,383;0,5;0,48;-0,066;0,48;0,48;0,617;0,558;0,383;0,422;0,5;-0,15;-0,094;0,637;-2,115;0,657;0,539;0,539;0,519;0,736
"suisse";0,362;-5,235;-4,484;0,092;-2,149;-4,824;0,001;23,42;-6,488;7,774;0,981;-6,468;9,881;0,384;3,557;-4,993;19,598;-1,053;-9,306;9,224;1,258;-5,897;6,652;13,468;-6,877;-3,536;-6,488;-0,622;4,038;1,006;-2,2;-1,853;-0,622;-2,296;-1,584;7,794;67,544;-6,067;-2,52;-0,466;2,862;-2,296;6,087;12,018;-13,813;-1,239;-9,498;-6,655;34,652;-3,536;-3,536;-3,188;-1,639
"emji_main_qui_écrit";25,362;-20,538;-19,596;3,863;-25,084;-19,632;-2,73;18,902;-23,262;12,689;27,486;-24,122;6,61;12,689;16,601;-25,032;11,303;-17,824;-17,126;15,183;1,571;33,265;2,666;9,563;-28,742;-25,084;12,251;13,852;16,256;17,454;16,214;14,548;-3,686;-3,868;1,259;8,699;-34,207;14,119;4,585;18,522;-22,307;-17,824;-0,311;5,341;-29,602;5,459;-25,943;-37,043;23,963;-25,084;-0,178;-24,172;1,924
"!";-0,472;0,333;-0,075;34,259;0,107;6,833;13,213;16,147;-1,305;-3,152;-9,23;18,865;0,79;-0,461;-4,825;-0,298;-13,406;12,419;0,001;-8,293;-2,027;-13,838;12,578;28,571;78,646;-4,774;-4,044;-3,277;-6,378;-5,902;-7,454;-5,902;-0,424;-0,185;-2,486;-1,071;-0,638;-7,873;-1,071;-8,406;0,376;9,18;12,652;7,653;0,174;-2,779;19,115;-1,964;-7,061;20,391;-1,815;-0,155;-3,453
"rts";-11,018;-8,694;-10,194;19,377;-14,078;-11,018;31,761;0,035;-13,056;4,164;10,428;-15,617;-0,129;7,551;0,167;-13,226;3,605;-10,004;-10,697;7,252;2,342;4,433;-1,568;0,001;-16,131;-11,2;-0,062;3,626;4,386;0,084;-2,959;28,128;-1,183;-1,561;0,349;4,12;59,081;-0,942;10,993;1,688;-9,138;0,441;39,261;27,2;-18,713;1,654;-13,734;-17,836;1,036;-11,2;-6,431;-13,567;22,011
"emji_appareil_photo";-10,923;-11,427;-10,091;-11,932;-13,957;-10,923;15,848;2,696;-12,943;24,032;8,346;-15,482;-3,637;24,032;2,422;-15,992;13,507;-9,917;-10,589;0,375;9,33;3,202;-5,712;-7,903;-15,992;-13,957;27,5;14,468;0,217;11,583;5,013;24,484;-0,1;-2,93;9,853;6,163;-21,127;4,216;14,215;19,067;-14,464;-9,917;19,945;32,093;-18,551;11,292;-13,6;-20,611;19,058;-13,957;0,105;-13,449;2,488
"keystone";-8,846;-9,254;-7,834;-9,663;-11,302;-8,846;14,292;9,958;-10,481;21,263;-0,404;-12,538;-3,41;15,001;4,829;-12,951;26,798;-8,031;-10,892;25,972;6,697;0,481;0,233;-2,491;-12,951;-11,302;6,074;37,208;2,062;6,222;-1,647;0,006;-6,175;-5,451;25,972;15,848;-17,109;1,685;3,046;18,698;-11,714;-8,031;13,637;53,136;-15,023;5,572;-13,364;-16,691;61,232;-11,302;-4,381;-10,892;-0,424
"?";23,384;0,285;35,562;-2,518;-0,23;18,606;-7,262;-1,598;0,452;-4,049;-1,968;2,146;11,417;-4,049;-9,259;-0,151;-10,697;40,948;23,114;-4,901;-1,772;-8,526;-2,636;4,623;43,059;103,805;-7,262;-4,783;-3,25;-6,28;-2,518;-4,263;-1,772;-1,598;-7,262;-4,628;-2,374;-2,758;-6,978;-8,972;-2,194;0,143;-3,816;-3,002;110,933;-11,274;2,77;60,252;-7,118;0,201;-5,45;2,258;-10,697
":";36,063;-3,892;-4,679;0,239;-5,208;-5,921;-1,42;0,198;-0,498;0,01;0,634;-0,448;23,514;0,01;-6,548;-0,564;0;-1,472;0,026;-0,048;0,218;12,346;-1,242;2,042;-6,278;-7,566;0,071;-0,689;6,478;0,446;6,298;-0,448;0,001;-1,472;0,071;-1,234;125,799;3,462;-1,234;-0,564;-0,248;0,198;-1,9;-0,498;-3,784;-0,299;-1,593;-4,737;-0,003;-1,81;-0,769;-4,943;0,671
"info";-4,622;-4,934;-8,339;-5,248;-8,992;-7,038;46,783;-6,39;-8,339;5,704;5,64;-9,975;-5,028;12,655;0,74;-7,793;9,208;-6,39;-8,665;9,823;11,108;8,441;-5,329;-11,622;-10,303;-6,513;0,126;4,396;6,314;1,19;-1,761;38,313;-4,098;-0,896;3,043;10,945;-13,612;-0,887;14,293;1,938;-6,831;-0,176;47,645;40,661;-11,952;4,118;-8,115;-10,715;2,442;-8,992;-2,751;-8,665;32,8
"rtsinfo";-5,695;-5,958;-4,436;-6,221;-7,276;-5,695;-0,4;-2,94;-6,748;9,554;0,808;-8,072;-7,806;5,126;3,518;-8,338;21,162;-5,17;-2,833;3,33;5,349;19,895;-5,714;-9,404;-8,338;-7,276;10,883;16,494;9,861;6,594;21,729;-0,345;0,016;-0,356;3,33;6,067;-11,015;19,953;0,922;21,687;-7,541;-5,17;-0,618;0,123;-7,271;18,704;-8,604;-10,746;27,116;-7,276;4,164;-7,012;-0,496
"année";-2,331;-1,045;0,136;-2,709;-1,83;-0,138;3,863;0,173;-0,026;9,463;0,408;-2,339;2,261;-0,255;-1,361;-4,267;1,431;-0,631;-0,59;3,863;1,44;-2,276;3,56;-0,19;-1,221;-3,481;-3,093;0,064;8,337;5,64;0,322;8,197;0,064;1,044;-0,026;-0,382;4,506;0,218;-0,382;-1,221;-1,997;0,173;-4,429;-1,505;-5,267;-2,439;1,44;-1,411;15,242;-3,481;0,035;0,076;-0,017
"premier";-1,87;-2,032;-2,527;-0,815;-2,862;-3,887;0,006;40,357;-2,527;0,057;0,218;-3,373;11,541;1,382;1,086;-3,545;0,397;-3,529;-1,199;-0,227;0,299;-0,663;18,388;9,982;-5,69;-4,966;20,53;1,086;1,187;0,512;0,065;0,512;0,003;0;0,006;0,027;-0,963;-2,36;0,537;4,568;0,802;-0,375;-0,025;-1,067;-6,601;0,231;-3,718;-3,303;-0,994;-4,966;6,761;-4,785;4,064
"emji_drapeau_suisse";-1,451;-3,293;-6,249;-0,095;-6,739;-5,274;4,107;65,828;-6,249;14,265;-0,049;-3,281;6,092;-0,001;4,406;-7,722;54,864;-4,789;-6,494;9,195;-1,067;-2,031;0,915;9,315;-7,722;-4,456;0;15,122;8,308;5,479;-5,761;-3,281;-5,642;-2,611;9,195;13,706;-10,201;-2,031;2,727;-2,005;-6,984;-4,789;0,188;49,785;-8,957;-0,069;-5,642;-7,574;52,935;-6,739;-6,739;-6,494;-0,012
"monde";0,225;-0,085;-3,118;-0,127;-0,351;-2,632;0,655;89,174;-1,259;-2,473;6,205;-0,026;59,328;0,003;-0,076;-0,64;-0,291;-0,661;-3,24;0,027;0,756;-0,346;7,801;79,09;-3,853;-0,351;-1,259;-2,02;0,009;-1,798;-2,875;0,186;4,061;-0,006;-1,259;-2,996;0,084;0,057;-2,996;-0,64;-1,579;-0,661;0,225;-1,259;-4,47;-2,819;-2,02;-1,435;-0,11;-0,351;-0,351;-3,24;2,557
