"";"";"";"";"l";""
"29";"plus";"0.0252528004463805";"0.0249257590365463";"0.861833232224655";"31"
"30";"monsieur";"0.0185029655689025";"0.0158154304728695";"0.859316285530909";"32"
"31";"1985";"0.095897642645342";"0.131775647719224";"0.85514313472072";"33"
"32";"la";"0.0280739264942399";"-0.0715047942883683";"0.854362180078953";"34"
"33";"sinon";"0.0231714989629346";"0.019969922896242";"0.852103939721643";"35"
"34";"2024";"0.0566278495398559";"0.0575780131017807";"0.846380968709062";"36"
"35";"1972";"0.0566278495398559";"0.0575780131017807";"0.846380968709062";"37"
"36";"avoir";"-0.0190502908112239";"-0.0698775030367565";"0.845807946262935";"38"
"37";"ça";"-0.0712443470750745";"0.0162920813015937";"0.845592760618609";"39"
"38";"falloir";"-0.70134405078348";"0.0303080003713616";"0.844129981800438";"40"
"39";"du";"-0.293946079612205";"0.0188041340206104";"0.844040522599988";"41"
"40";"c";"-0.0779878787241136";"0.0183996786647321";"0.842643024819983";"42"
"41";"un";"-0.258656624234489";"0.0160923605640312";"0.842157043758078";"43"
"42";"on";"0.0205490958938459";"0.0184724580075707";"0.840657997696481";"44"
"43";"non";"0.0255865359670281";"0.0256319031587088";"0.839857700524886";"45"
"44";"car";"0.0410316116285837";"0.0493339842663603";"0.839161369451112";"46"
"45";"assez";"0.035483592277939";"0.0360637596863684";"0.837921029725952";"47"
"46";"autant";"0.0215078747285387";"0.018102029023292";"0.837921029725952";"48"
"47";"de";"0.0221802266439705";"0.0206194030990376";"0.836762895752556";"49"
"48";"mi";"0.0486056800369549";"0.048562079962313";"0.836163277327918";"50"
"49";"tu";"0.0257513365831123";"0.0257444889530977";"0.835708727876982";"51"
"50";"croire";"0.0204958280718883";"0.0180687836254247";"0.83192968111202";"52"
"51";"con";"0.0325613410311531";"0.0305302136833777";"0.831758016159804";"53"
"52";"mieux";"0.0306714767529532";"0.0330438166455497";"0.830759458057483";"54"
"53";"madame";"0.0462847422578477";"0.0572273350224856";"0.830454813212706";"55"
"54";"à";"0.02585016365501";"-0.164643100806172";"0.829889044215265";"56"
"55";"ci";"0.0829478873450163";"0.102190108026726";"0.829359542461249";"57"
"56";"maintenant";"0.0236163557309225";"0.0225864485956313";"0.829173370611664";"58"
"57";"dire";"0.0203723540149669";"0.0181632038799693";"0.828433518845779";"59"
"58";"ils";"0.0187138832233214";"0.0157993797009769";"0.82826668952602";"60"
"59";"elle";"0.0289709908993382";"-0.295281546171221";"0.827052945779372";"61"
"60";"mais";"0.0291529054185655";"0.0298396152884833";"0.825701386507706";"62"
"61";"il";"-0.0873185664415444";"0.0255190997665557";"0.823414132355656";"63"
"62";"par";"0.0165170020253512";"0.0124983474044423";"0.822983761067004";"64"
"63";"bon";"0.0179430015574469";"0.014641053398121";"0.821680558119906";"65"
"64";"2023";"0.0365724257826035";"0.0350381802531115";"0.820880260948312";"66"
"65";"en";"0.02253592527132";"0.02127555344027";"0.820527259778968";"67"
"66";"avec";"0.0267865964182569";"-0.204090419734055";"0.818080429755845";"68"
"67";"des";"0.0217082009319628";"0.0199721583848298";"0.817932942965913";"69"
"68";"une";"0.0213124424916226";"0.0193378939577827";"0.817635551569822";"70"
"69";"toi";"0.0198439663949883";"0.0168385184716595";"0.816530609553451";"71"
"70";"cela";"0.0325864204653453";"0.0327554903044435";"0.816216293443762";"72"
"71";"m";"0.0225149817002271";"0.0208671903040816";"0.816051881940232";"73"
"72";"qui";"0.0214694414143491";"0.0195928119132695";"0.814818795663757";"74"
"73";"quel";"0.023595386880852";"0.020453582527502";"0.814444034148357";"75"
"74";"dont";"0.0419273975697153";"0.0451560395191265";"0.813979813432508";"76"
"75";"ah";"0.0177573245350386";"0.0143620552218608";"0.812986090962643";"77"
"76";"tant";"0.0469673710164087";"0.0546787305930231";"0.812710459912607";"78"
"77";"tout";"-0.244519501576568";"0.0203913941281704";"0.81246626047354";"79"
"78";"t";"0.0259142543732367";"0.0260923428747954";"0.812369547824405";"80"
"79";"s";"0.0197599236404259";"0.0171883703803691";"0.811965772514265";"81"
"80";"encore";"0.0191630233793509";"0.0164742574149351";"0.811890820211185";"82"
"81";"malgré";"0.0562073223353466";"0.0721369975618334";"0.811462866738762";"83"
"82";"dehors";"0.0562073223353466";"0.0721369975618334";"0.811462866738762";"84"
"83";"autour";"0.0562073223353466";"0.0721369975618334";"0.811462866738762";"85"
"84";"23";"0.0562073223353466";"0.0721369975618334";"0.811462866738762";"86"
"85";"22";"0.0562073223353466";"0.0721369975618334";"0.811462866738762";"87"
"86";"1994";"0.0562073223353466";"0.0721369975618334";"0.811462866738762";"88"
"87";"comme";"0.027581225396511";"0.0286468661710868";"0.811462866738762";"89"
"88";"16";"0.0562073223353466";"0.0721369975618334";"0.811462866738762";"90"
"89";"1000";"0.0562073223353466";"0.0721369975618334";"0.811462866738762";"91"
"90";"mal";"0.0255788704977465";"0.0243206055155458";"0.811010735104054";"92"
"91";"devoir";"0.0179178368598217";"0.0146032409394091";"0.810962378779486";"93"
"92";"si";"0.0200820008555903";"0.0178551123886391";"0.810454637371526";"94"
"93";"sur";"0.0222974025563189";"0.0206836527043425";"0.810374849435989";"95"
"94";"se";"0.0200780678323354";"0.0175573750414163";"0.81029989713291";"96"
"95";"même";"0.0211408482667338";"0.0190348047742569";"0.810208020116231";"97"
"96";"faire";"0.0246023959241496";"0.0245785175865696";"0.810186259770176";"98"
"97";"chaque";"0.0343776461648491";"0.0393357399752683";"0.809233640176193";"99"
"98";"y";"-0.185344593855667";"0.0230727492031347";"0.80893866659633";"100"
"99";"100";"0.0381662676489851";"0.0450285202175647";"0.808914488434046";"101"
"100";"les";"-0.101320289112207";"0.0211787337826378";"0.808583247610758";"102"
"101";"bien";"0.0216972188421273";"0.0201195762350298";"0.808418836107228";"103"
"102";"aucun";"0.0265447139039774";"0.0237682638287769";"0.808302780928266";"104"
"103";"cette";"0.0279870829438546";"0.0279846945622466";"0.808109355629995";"105"
"104";"mes";"0.0182426681257858";"0.0150913321938941";"0.808060999305427";"106"
"105";"an";"0.020459749076013";"0.0184227166253752";"0.808015060797088";"107"
"106";"que";"0.0240627523284744";"0.0235755767107559";"0.807932855045323";"108"
"107";"entre";"0.0165170020253512";"0.0124983474044423";"0.807526661918955";"109"
"108";"contre";"0.0165170020253512";"0.0124983474044423";"0.807526661918955";"110"
"109";"me";"0.0273238827439033";"0.0281767275132241";"0.807255866501376";"111"
"110";"aujourd_hui";"0.0202420983984166";"0.017527791925318";"0.807253448685148";"112"
"111";"lui";"0.021084020618915";"0.018848422179055";"0.807151900403556";"113"
"112";"toutes";"0.035244273607056";"0.0388507728361495";"0.807011667062309";"114"
"113";"quoi";"0.0205042241532051";"0.0177001409733279";"0.806997160164939";"115"
"114";"ma";"0.0203272727751108";"0.0182236578195519";"0.806997160164939";"116"
"115";"moins";"0.0282288998217433";"0.03009663761482";"0.806257308399054";"117"
"116";"voilà";"0.0165170020253512";"0.0124983474044423";"0.806221041155628";"118"
"117";"déjà";"0.0194937760486009";"0.0169712461662466";"0.806182356095974";"119"
"118";"vous";"0.0218849551820309";"0.0205642304175321";"0.806117075057808";"120"
"119";"après";"0.0195314567324395";"0.0170278651379151";"0.806017944592444";"121"
"120";"ou";"0.0211262005129636";"0.0194241261323974";"0.805959917002963";"122"
"121";"dans";"0.0229205707426871";"0.0218323671556797";"0.805732642277495";"123"
"122";"jamais";"0.0276922911445472";"0.0275866809670694";"0.805657689974415";"124"
"123";"jusqu_à";"0.0335271393010635";"0.038057768900467";"0.805512621000712";"125"
"124";"pour";"-0.129051095930958";"0.0209696464972222";"0.805464264676145";"126"
"125";"son";"0.021710528580507";"0.0198713188111868";"0.805408654902892";"127"
"126";"ces";"0.0207572713010745";"0.0182233534016093";"0.805241825583133";"128"
"127";"au";"0.0241671402702188";"0.0238896263301792";"0.805135441669085";"129"
"128";"40";"0.0302559590557342";"0.0331424955358469";"0.804963776716869";"130"
"129";"sous";"0.0302559590557342";"0.0331424955358469";"0.804963776716869";"131"
"130";"presque";"0.0165170020253512";"0.0124983474044423";"0.804915420392302";"132"
"131";"pourquoi";"0.0198245287178508";"0.0174682349175582";"0.804891242230018";"133"
"132";"haha";"0.0165170020253512";"0.0124983474044423";"0.804729248542716";"134"
"133";"te";"0.0199190294804937";"0.0176102317036473";"0.8045745083041";"135"
"134";"ce";"0.0228677279726413";"0.021864306185885";"0.804516480714619";"136"
"135";"alors";"0.0210102458340299";"0.019249892705279";"0.80427469909178";"137"
"136";"tard";"0.0165170020253512";"0.0124983474044423";"0.803986978960603";"138"
"137";"mêmes";"0.0165170020253512";"0.0124983474044423";"0.803986978960603";"139"
"138";"merde";"0.0165170020253512";"0.0124983474044423";"0.803986978960603";"140"
"139";"celle";"0.022934737627672";"0.0197110939160165";"0.803950711717177";"141"
"140";"d";"0.0253666044330882";"0.0254097300091428";"0.803834656538215";"142"
"141";"ceux";"0.0165170020253512";"0.0124983474044423";"0.803800807111017";"143"
"142";"celles";"0.0363621621803489";"0.0423176724831378";"0.803735526072851";"144"
"143";"quatre";"0.0363621621803489";"0.0423176724831378";"0.803735526072851";"145"
"144";"35";"0.0363621621803489";"0.0423176724831378";"0.803735526072851";"146"
"145";"24";"0.0363621621803489";"0.0423176724831378";"0.803735526072851";"147"
"146";"14";"0.0363621621803489";"0.0423176724831378";"0.803735526072851";"148"
"147";"ta";"0.0192231602283055";"0.0165646190060826";"0.80369200538074";"149"
"148";"partout";"0.0165170020253512";"0.0124983474044423";"0.803614635261432";"150"
"149";"pendant";"0.0305253503700555";"0.0335472827541097";"0.803450223757902";"151"
"150";"eux";"0.0165170020253512";"0.0124983474044423";"0.803428463411846";"152"
"151";"peut_être";"0.0165170020253512";"0.0124983474044423";"0.803428463411846";"153"
"152";"vite";"0.0284240981183498";"0.0303899424516596";"0.803244709378489";"154"
"153";"vos";"0.0165170020253512";"0.0124983474044423";"0.803242291562261";"155"
"154";"nonante";"0.0165170020253512";"0.0124983474044423";"0.803242291562261";"156"
"155";"90";"0.0165170020253512";"0.0124983474044423";"0.803242291562261";"157"
"156";"très";"0.027322934816593";"0.0281453985361582";"0.803172174891638";"158"
"157";"sans";"0.021175574541818";"0.0184855909588011";"0.803058537528904";"159"
"158";"50";"0.0165170020253512";"0.0124983474044423";"0.803056119712676";"160"
"159";"ses";"0.0194937760486009";"0.0169712461662466";"0.803029523734163";"161"
"160";"bah";"0.0194937760486009";"0.0169712461662466";"0.803029523734163";"162"
"161";"nous";"0.0222079421508003";"0.0208183796342119";"0.802949735798627";"163"
"162";"trop";"0.0257906732378091";"0.0261835387700403";"0.802940064533713";"164"
"163";"hier";"0.0165170020253512";"0.0124983474044423";"0.802872365679319";"165"
"164";"surtout";"0.02710108744135";"0.0284019874464133";"0.80285544096572";"166"
"165";"autre";"0.0206228972298335";"0.0186678629379655";"0.802768399581498";"167"
"166";"x";"0.0335271393010635";"0.038057768900467";"0.80270553635956";"168"
"167";"ensuite";"0.0335271393010635";"0.038057768900467";"0.80270553635956";"169"
"168";"puis";"0.0165170020253512";"0.0124983474044423";"0.802686193829733";"170"
"169";"point";"0.0165170020253512";"0.0124983474044423";"0.802686193829733";"171"
"170";"2025";"0.0165170020253512";"0.0124983474044423";"0.802686193829733";"172"
"171";"aux";"0.0206949304790349";"0.0187761000525887";"0.802628166240252";"173"
"172";"devant";"0.0165170020253512";"0.0124983474044423";"0.802500021980148";"174"
"173";"avant";"0.0213442031441344";"0.0197516967479088";"0.802454083471808";"175"
"174";"autres";"0.0198245287178508";"0.0174682349175582";"0.802388802433642";"176"
"175";"0";"0.0165170020253512";"0.0124983474044423";"0.802313850130562";"177"
"176";"quatre_vingt";"0.0165170020253512";"0.0124983474044423";"0.802313850130562";"178"
"177";"votre";"0.0249871338734726";"0.0233842447760037";"0.802195377135371";"179"
"178";"toujours";"0.0246834049013203";"0.02362213633098";"0.802185705870458";"180"
"179";"dommage";"0.0284240981183498";"0.0303899424516596";"0.802127678280977";"181"
"180";"ouf";"0.0165170020253512";"0.0124983474044423";"0.802127678280977";"182"
"181";"2000";"0.0165170020253512";"0.0124983474044423";"0.802127678280977";"183"
"182";"12";"0.0165170020253512";"0.0124983474044423";"0.802127678280977";"184"
"183";"000";"0.0314008721415995";"0.034862841213464";"0.801968102409903";"185"
"184";"plupart";"0.0314008721415995";"0.034862841213464";"0.801968102409903";"186"
"185";"6";"0.0314008721415995";"0.034862841213464";"0.801968102409903";"187"
"186";"17";"0.0314008721415995";"0.034862841213464";"0.801968102409903";"188"
"187";"notre";"0.0267230843907786";"0.0278340003020572";"0.801818197803744";"189"
"188";"elles";"0.0267230843907786";"0.0278340003020572";"0.801818197803744";"190"
"189";"4";"0.0278570935424928";"0.0295379617351255";"0.801796437457688";"191"
"190";"20";"0.0278570935424928";"0.0295379617351255";"0.801796437457688";"192"
"191";"pouvoir";"0.0258781017248456";"0.0259277138553331";"0.80165862193267";"193"
"192";"ton";"0.0222213765353105";"0.0198296660424327";"0.801557073651078";"194"
"193";"quelqu_un";"0.0273416348371681";"0.0287634338110035";"0.801508717326511";"195"
"194";"longtemps";"0.0273416348371681";"0.0287634338110035";"0.801508717326511";"196"
"195";"leur";"0.0256763067122732";"0.0262611128253787";"0.80145068973703";"197"
"196";"quand";"0.0244550660873503";"0.0244260774359205";"0.801438600655888";"198"
"197";"souvent";"0.0297471087953497";"0.032377897456906";"0.801424093758517";"199"
"198";"toute";"0.0267371382283766";"0.0262970798078705";"0.801412004677375";"200"
"199";"deux";"0.0259173410461396";"0.0266232908627718";"0.80122583282779";"201"
"200";"savoir";"0.0237938846970994";"0.0227381470007628";"0.801175058686994";"202"
"201";"g";"0.0165170020253512";"0.0124983474044423";"0.801015482815921";"203"
"202";"dessus";"0.0165170020253512";"0.0124983474044423";"0.801015482815921";"204"
"203";"vers";"0.0165170020253512";"0.0124983474044423";"0.801015482815921";"205"
"204";"salut";"0.0165170020253512";"0.0124983474044423";"0.801015482815921";"206"
"205";"quels";"0.0165170020253512";"0.0124983474044423";"0.801015482815921";"207"
"206";"or";"0.0165170020253512";"0.0124983474044423";"0.801015482815921";"208"
"207";"mme";"0.0165170020253512";"0.0124983474044423";"0.801015482815921";"209"
"208";"attention";"0.0165170020253512";"0.0124983474044423";"0.801015482815921";"210"
"209";"1987";"0.0165170020253512";"0.0124983474044423";"0.801015482815921";"211"
"210";"pis";"0.0165170020253512";"0.0124983474044423";"0.800831728782564";"212"
"211";"trois";"0.0165170020253512";"0.0124983474044423";"0.800831728782564";"213"
"212";"près";"0.0165170020253512";"0.0124983474044423";"0.800831728782564";"214"
"213";"lorsque";"0.0165170020253512";"0.0124983474044423";"0.800831728782564";"215"
"214";"lequel";"0.0165170020253512";"0.0124983474044423";"0.800831728782564";"216"
"215";"hé";"0.0165170020253512";"0.0124983474044423";"0.800831728782564";"217"
"216";"chouette";"0.0165170020253512";"0.0124983474044423";"0.800831728782564";"218"
"217";"certaines";"0.0165170020253512";"0.0124983474044423";"0.800831728782564";"219"
"218";"certain";"0.0165170020253512";"0.0124983474044423";"0.800831728782564";"220"
"219";"7";"0.0165170020253512";"0.0124983474044423";"0.800831728782564";"221"
"220";"2006";"0.0165170020253512";"0.0124983474044423";"0.800831728782564";"222"
"221";"1971";"0.0165170020253512";"0.0124983474044423";"0.800831728782564";"223"
"222";"2004";"0.0165170020253512";"0.0124983474044423";"0.800645556932978";"224"
"223";"v";"0.0165170020253512";"0.0124983474044423";"0.800645556932978";"225"
"224";"puisque";"0.0165170020253512";"0.0124983474044423";"0.800645556932978";"226"
"225";"million";"0.0165170020253512";"0.0124983474044423";"0.800645556932978";"227"
"226";"lors";"0.0165170020253512";"0.0124983474044423";"0.800645556932978";"228"
"227";"jusqu_au";"0.0165170020253512";"0.0124983474044423";"0.800645556932978";"229"
"228";"hop";"0.0165170020253512";"0.0124983474044423";"0.800645556932978";"230"
"229";"ho";"0.0165170020253512";"0.0124983474044423";"0.800645556932978";"231"
"230";"grâce";"0.0165170020253512";"0.0124983474044423";"0.800645556932978";"232"
"231";"gare";"0.0165170020253512";"0.0124983474044423";"0.800645556932978";"233"
"232";"franco";"0.0165170020253512";"0.0124983474044423";"0.800645556932978";"234"
"233";"euh";"0.0165170020253512";"0.0124983474044423";"0.800645556932978";"235"
"234";"certaine";"0.0165170020253512";"0.0124983474044423";"0.800645556932978";"236"
"235";"anti";"0.0165170020253512";"0.0124983474044423";"0.800645556932978";"237"
"236";"amen";"0.0165170020253512";"0.0124983474044423";"0.800645556932978";"238"
"237";"9";"0.0165170020253512";"0.0124983474044423";"0.800645556932978";"239"
"238";"87";"0.0165170020253512";"0.0124983474044423";"0.800645556932978";"240"
"239";"8";"0.0165170020253512";"0.0124983474044423";"0.800645556932978";"241"
"240";"2019";"0.0165170020253512";"0.0124983474044423";"0.800645556932978";"242"
"241";"200";"0.0165170020253512";"0.0124983474044423";"0.800645556932978";"243"
"242";"1986";"0.0165170020253512";"0.0124983474044423";"0.800645556932978";"244"
"243";"1976";"0.0165170020253512";"0.0124983474044423";"0.800645556932978";"245"
"244";"19";"0.0165170020253512";"0.0124983474044423";"0.800645556932978";"246"
"245";"juste";"0.0264719303493508";"0.0262880880622476";"0.800476309796991";"247"
"246";"cent";"0.0165170020253512";"0.0124983474044423";"0.800461802899621";"248"
"247";"vingt";"0.0165170020253512";"0.0124983474044423";"0.800461802899621";"249"
"248";"bof";"0.0165170020253512";"0.0124983474044423";"0.800461802899621";"250"
"249";"250";"0.0165170020253512";"0.0124983474044423";"0.800461802899621";"251"
"250";"voire";"0.0165170020253512";"0.0124983474044423";"0.800461802899621";"252"
"251";"vlan";"0.0165170020253512";"0.0124983474044423";"0.800461802899621";"253"
"252";"u";"0.0165170020253512";"0.0124983474044423";"0.800461802899621";"254"
"253";"soi";"0.0165170020253512";"0.0124983474044423";"0.800461802899621";"255"
"254";"pa";"0.0165170020253512";"0.0124983474044423";"0.800461802899621";"256"
"255";"ouh";"0.0165170020253512";"0.0124983474044423";"0.800461802899621";"257"
"256";"neuf";"0.0165170020253512";"0.0124983474044423";"0.800461802899621";"258"
"257";"mienne";"0.0165170020253512";"0.0124983474044423";"0.800461802899621";"259"
"258";"in";"0.0165170020253512";"0.0124983474044423";"0.800461802899621";"260"
"259";"huit";"0.0165170020253512";"0.0124983474044423";"0.800461802899621";"261"
"260";"hors";"0.0165170020253512";"0.0124983474044423";"0.800461802899621";"262"
"261";"f";"0.0165170020253512";"0.0124983474044423";"0.800461802899621";"263"
"262";"environ";"0.0165170020253512";"0.0124983474044423";"0.800461802899621";"264"
"263";"celui_là";"0.0165170020253512";"0.0124983474044423";"0.800461802899621";"265"
"264";"b";"0.0165170020253512";"0.0124983474044423";"0.800461802899621";"266"
"265";"97";"0.0165170020253512";"0.0124983474044423";"0.800461802899621";"267"
"266";"96";"0.0165170020253512";"0.0124983474044423";"0.800461802899621";"268"
"267";"51";"0.0165170020253512";"0.0124983474044423";"0.800461802899621";"269"
"268";"500";"0.0165170020253512";"0.0124983474044423";"0.800461802899621";"270"
"269";"45";"0.0165170020253512";"0.0124983474044423";"0.800461802899621";"271"
"270";"44";"0.0165170020253512";"0.0124983474044423";"0.800461802899621";"272"
"271";"36";"0.0165170020253512";"0.0124983474044423";"0.800461802899621";"273"
"272";"300";"0.0165170020253512";"0.0124983474044423";"0.800461802899621";"274"
"273";"21";"0.0165170020253512";"0.0124983474044423";"0.800461802899621";"275"
"274";"2018";"0.0165170020253512";"0.0124983474044423";"0.800461802899621";"276"
"275";"2010";"0.0165170020253512";"0.0124983474044423";"0.800461802899621";"277"
"276";"2008";"0.0165170020253512";"0.0124983474044423";"0.800461802899621";"278"
"277";"1998";"0.0165170020253512";"0.0124983474044423";"0.800461802899621";"279"
"278";"1992";"0.0165170020253512";"0.0124983474044423";"0.800461802899621";"280"
"279";"1982";"0.0165170020253512";"0.0124983474044423";"0.800461802899621";"281"
"280";"1978";"0.0165170020253512";"0.0124983474044423";"0.800461802899621";"282"
"281";"160";"0.0165170020253512";"0.0124983474044423";"0.800461802899621";"283"
"282";"150";"0.0165170020253512";"0.0124983474044423";"0.800461802899621";"284"
"283";"120";"0.0165170020253512";"0.0124983474044423";"0.800461802899621";"285"
"284";"07";"0.0165170020253512";"0.0124983474044423";"0.800461802899621";"286"
