"";"";"";"";"l";""
"1";"l";"-0.0293465358814288";"0.0515485858579187";"2.2059141982961";"2"
"2";"force";"0.0396855101976244";"0.0406985452332479";"1.97765058599073";"4"
"3";"j";"0.0423905669745859";"-0.034949174843069";"1.83833601491133";"5"
"4";"moi";"-0.13256459363918";"-0.140404550938";"1.25688989704499";"6"
"5";"je";"0.0354966690380742";"0.0405076221657015";"1.25253057438522";"7"
"6";"ouais";"0.0432417080489309";"0.0448350862932682";"1.17600910857314";"8"
"7";"merci";"0.0236022337044407";"0.0203599074971435";"1.16532236084369";"9"
"8";"mille";"0.048789702180596";"0.0576807745301882";"1.09092857331258";"10"
"9";"heu";"0.0246815188155064";"0.0261352444635319";"1.05808737548246";"11"
"10";"aussi";"0.0418222011149407";"-0.175781215316029";"1.04369895110736";"12"
"11";"ne";"-0.0921593824150043";"0.0358508920335914";"1.00526050870853";"13"
"12";"vive";"0.0650089678322315";"0.0844594776870368";"0.988437343391449";"14"
"13";"oh";"0.0274941397121229";"0.0272513218838739";"0.96777710371992";"15"
"14";"pas";"-0.0357788875279085";"0.0318212742443786";"0.959723357863178";"16"
"15";"e";"0.0344451698520268";"0.0368943525799749";"0.943170987963671";"17"
"16";"le";"0.0297151054286566";"-0.0233339020966674";"0.941422906830551";"18"
"17";"et";"-0.105699872395919";"-0.115963883691159";"0.941270584408163";"19"
"18";"ni";"0.0655462212318161";"0.0861696211282783";"0.907232567544993";"20"
"19";"beaucoup";"0.0314269744925743";"0.0332294738745015";"0.899468959635657";"21"
"20";"peu";"0.0274154187304396";"0.0266144368503863";"0.895660899075955";"22"
"21";"chacun";"0.0586649803644351";"0.0648659302531669";"0.889969359674342";"23"
"22";"sa";"0.0380500682722676";"-0.897807542428287";"0.885639050809309";"24"
"23";"être";"-0.0536384013869578";"-0.00267465049107398";"0.885121638136435";"25"
"24";"où";"0.0409432514240766";"-0.806436266826412";"0.877389461838068";"26"
"25";"vouloir";"0.0246313112052181";"0.0241641130290654";"0.875370585287368";"27"
"26";"aïe";"0.0699981320446907";"0.0726045683342268";"0.863428990935387";"28"
"27";"2016";"0.0699981320446907";"0.0726045683342268";"0.863428990935387";"29"
"28";"1960";"0.0699981320446907";"0.0726045683342268";"0.863428990935387";"30"
