"";"";"";"";"*a_0597";""
"1";"*a_0597";"0.0965639849671572";"0.132488914722592";"2.48449485896269";"2"
"2";"*postLikes_119800";"0.0965639849671572";"0.132488914722592";"2.48449485896269";"3"
"3";"*postDate_18-3-2024";"0.0965639849671572";"0.132488914722592";"2.48449485896269";"4"
"4";"*postReposts_22";"0.0925767676102189";"0.126429016288354";"2.39125659690628";"5"
"5";"*postComments_2200";"0.0750068400203303";"0.0991838860973996";"1.91863393994541";"6"
"6";"*a_0423";"0.0710365446504336";"0.076727105878518";"1.37060673339399";"7"
"7";"*postDate_17-5-2023";"0.0710365446504336";"0.076727105878518";"1.37060673339399";"8"
"8";"*commentLikes_251";"0.0688293815625825";"0.061308290591809";"1.34962465878071";"9"
"9";"*commentDate_17-5-2023";"0.067629073236366";"0.0727128084738883";"1.33456747042766";"10"
"10";"*commentLikes_279";"0.0899976531367476";"0.135230420936248";"1.28849959053685";"11"
"11";"*postComments_142";"0.0505917161660277";"0.0526413214507396";"1.15437415832575";"13"
"12";"*a_0935";"-8.21410476849055";"-0.110962961812712";"1.11491428571429";"14"
"13";"*postComments_193";"-8.21410476849055";"-0.110962961812712";"1.11491428571429";"15"
"14";"*postReposts_141";"-8.21410476849055";"-0.110962961812712";"1.11491428571429";"16"
"15";"*a_0892";"0.0254780570389361";"0.0274656734449064";"1.09482852593267";"17"
"16";"*postLikes_12900";"0.0254780570389361";"0.0274656734449064";"1.09482852593267";"18"
"17";"*postComments_201";"0.0254780570389361";"0.0274656734449064";"1.09482852593267";"19"
"18";"*postDate_16-7-2025";"0.0254780570389361";"0.0274656734449064";"1.09482852593267";"20"
"19";"*commentDate_2-9-2021";"-22.8463212494077";"-0.33044973375432";"1.0926330300273";"21"
"20";"*commentDate_1-12-2023";"0.0587995515354457";"0.0531464435120625";"1.07434340309372";"22"
"21";"*postLikes_3400";"0.0412986123094796";"0.0416932376199313";"1.05609030937216";"23"
"22";"*a_0940";"0.0733407026708995";"0.0763612071423383";"1.03975796178344";"24"
"23";"*postLikes_22500";"0.0733407026708995";"0.0763612071423383";"1.03975796178344";"25"
"24";"*postComments_424";"0.0733407026708995";"0.0763612071423383";"1.03975796178344";"26"
"25";"*postReposts_298";"0.0733407026708995";"0.0763612071423383";"1.03975796178344";"27"
"26";"*postDate_29-9-2025";"0.0733407026708995";"0.0763612071423383";"1.03975796178344";"28"
"27";"*a_0945";"0.0221723944077546";"0.0177750980192928";"1.03508020928116";"29"
"28";"*postLikes_19300";"0.0221723944077546";"0.0177750980192928";"1.03508020928116";"30"
"29";"*postComments_316";"0.0221723944077546";"0.0177750980192928";"1.03508020928116";"31"
"30";"*postReposts_381";"0.0221723944077546";"0.0177750980192928";"1.03508020928116";"32"
"31";"*postDate_6-10-2025";"0.0221723944077546";"0.0177750980192928";"1.03508020928116";"33"
"32";"*commentDate_17-6-2024";"0.0254615632873985";"0.01998693040315";"1.01932438580528";"34"
"33";"*commentDate_7-10-2025";"0.0269794779327975";"0.0222603360419156";"1.0184746132848";"35"
"34";"*commentDate_16-7-2025";"0.0265370908132689";"0.0292345392496886";"0.997727752502275";"36"
"35";"*postDate_22-9-2025";"-5.12762160454708";"-0.0646649708562793";"0.996033712465878";"37"
"36";"*commentLikes_45";"0.0447053683654142";"0.0395970781428558";"0.982582984531392";"38"
"37";"*a_0367";"0.116334456089101";"0.124571979781437";"0.975539581437671";"39"
"38";"*postLikes_110";"0.116334456089101";"0.124571979781437";"0.975539581437671";"40"
"39";"*postDate_13-2-2023";"0.116334456089101";"0.124571979781437";"0.975539581437671";"41"
"40";"*commentLikes_181";"0.116334456089101";"0.124571979781437";"0.975539581437671";"42"
"41";"*a_0653";"0.022905974355385";"0.0178473352606621";"0.956446223839854";"43"
"42";"*postComments_71";"0.022905974355385";"0.0178473352606621";"0.956446223839854";"44"
